juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr6_76380436_+:chr6_76527218_+	intrachromosomal	0	na	28	22	16	72.7273	5	22.7273	6	0	0	100	100	0	0	na	na	GT	AG	76380345	76527315	1	1	146782	ENSG00000112701.13	ENSG00000196586.9	SENP6	MYO6	protein_coding	protein_coding	C1E2NACXX130117:1:1106:21020:78871/1,C1DVPACXX130111:3:2103:9701:92515/1,C1FGVACXX130122:2:2101:1776:38673/2,C1FGVACXX130122:3:2316:17642:16352/2,D1JYHACXX130117:8:2306:7473:15912/2,C1E2NACXX130117:6:2112:6220:52765/2,C1E2NACXX130117:7:2112:8335:63882/1,D1JYHACXX130117:3:1214:12378:72452/1,C1E5MACXX130111:7:2208:15638:39100/1,C1E2NACXX130117:6:2214:16880:80150/1,C1E5MACXX130111:4:2101:2874:86945/2,C1FGVACXX130122:5:1216:19207:83054/2,C1E5MACXX130111:5:2213:17925:18028/1,C1E5MACXX130111:5:2213:17925:18028/1,C1E5MACXX130111:5:1208:14274:56192/2,C1FGVACXX130122:5:1216:19207:83054/1,C1FGVACXX130122:4:1203:20516:6425/2,C1EF5ACXX130117:5:1215:19267:32019/2,C1DVPACXX130111:4:2315:19737:30364/2,C1EF5ACXX130117:3:2113:8687:18810/1,C1EF5ACXX130117:8:1312:14181:2360/1,D1JYHACXX130117:1:1309:6660:36218/1,	C1E2NACXX130117:8:1112:14521:6000,D1JYHACXX130117:4:2209:11244:69900,C1E2NACXX130117:2:1316:19070:52542,D1JYHACXX130117:7:1107:4047:16242,C1E5MACXX130111:4:2312:19760:43163,C1FGVACXX130122:5:1104:14947:55398,	na
chr3_45565600_+:chr3_45654384_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	45565503	45654440	1	1	88784	ENSG00000011376.5	ENSG00000144791.5	LARS2	LIMD1	protein_coding	protein_coding	C1FGVACXX130122:6:2302:1877:7874/2,D1JYHACXX130117:2:2312:9485:19219/1,	C1FGVACXX130122:7:1303:19741:18612,	na
chr4_124555_+:chr4_337571_+	intrachromosomal	0	na	11	8	8	100	8	100	3	0	0	100	100	0	0	109	89.91	GT	AG	124457	337630	1	1	213016	ENSG00000250312.2	ENSG00000131127.9	ZNF718	ZNF141	lincRNA	protein_coding	C1E2NACXX130117:6:1207:2749:25110/1,C1E5MACXX130111:8:2202:15276:64029/2,C1EF5ACXX130117:1:2211:10223:21624/2,C1FGVACXX130122:6:1114:14739:10286/2,C1E2NACXX130117:1:1106:14568:30602/1,C1EF5ACXX130117:1:2211:10223:21624/1,C1E2NACXX130117:4:1108:8040:6263/1,C1EF5ACXX130117:8:2113:2960:37625/1,	C1EF5ACXX130117:3:2106:10501:6725,C1E2NACXX130117:6:2111:12743:39290,C1EF5ACXX130117:8:2301:10389:89669,	na
chr12_54388800_+:chr12_54446944_+	readthrough	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	54388714	54447025	1	1	58144	ENSG00000180806.4	ENSG00000198353.6	HOXC9	HOXC4	protein_coding	protein_coding	C1FGVACXX130122:7:1311:21103:58634/2,C1EF5ACXX130117:5:1107:16643:25322/1,D1JYHACXX130117:2:1201:7421:72767/2,	C1E2NACXX130117:1:2113:12950:27237,	na
chr2_74213833_+:chr2_74300676_+	readthrough	0	na	3	2	2	100	1	50	1	10	90.9091	100	100	0	0	na	na	GT	AG	74213735	74300728	1	1	86843	ENSG00000255989.1	ENSG00000187605.11	RP11-711M9.1	TET3	lincRNA	protein_coding	C1EF5ACXX130117:5:2209:13112:47811/1,C1EF5ACXX130117:4:1112:21147:37245/1,	D1JYHACXX130117:2:1211:1449:3047,	D1JYHACXX130117:1:1208:18099:78416,C1EF5ACXX130117:5:2116:17764:94248,D1JYHACXX130117:3:2107:5480:57034,C1E2NACXX130117:5:2108:13829:45017,C1EF5ACXX130117:7:2315:14779:63774,C1EF5ACXX130117:1:1108:12696:18658,C1E2NACXX130117:5:2211:5359:27813,C1E2NACXX130117:5:2111:19612:37806,D1JYHACXX130117:7:1314:8881:38592,D1JYHACXX130117:3:1101:13562:54511,
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	44	40	31	77.5	17	42.5	4	0	0	100	100	0	177	na	na	GT	AG	51387665	51732867	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C1E2NACXX130117:4:1201:5179:59064/2,C1E2NACXX130117:1:2115:13429:83093/1,C1DVPACXX130111:4:1116:18057:91323/1,D1JYHACXX130117:3:1201:17560:92048/2,C1EF5ACXX130117:7:2315:8150:87760/1,C1EF5ACXX130117:1:2114:18029:28014/2,C1E2NACXX130117:1:2115:13429:83093/2,C1EF5ACXX130117:7:2312:8086:78667/2,C1EF5ACXX130117:4:1101:2360:30936/2,D1JYHACXX130117:3:1201:17560:92048/1,D1JYHACXX130117:3:1201:17560:92048/1,C1E2NACXX130117:6:2115:9293:41928/2,C1E5MACXX130111:4:1315:7172:87115/2,D1JYHACXX130117:1:2216:6588:21321/1,C1EF5ACXX130117:8:2108:14729:62008/2,C1E2NACXX130117:4:1303:10200:93827/2,C1FGVACXX130122:7:2313:7643:9880/1,C1E2NACXX130117:2:1114:7063:85018/1,C1E2NACXX130117:2:1114:7063:85018/1,C1E2NACXX130117:2:1114:7063:85018/1,C1EF5ACXX130117:6:1208:10436:34402/2,C1EF5ACXX130117:2:2313:7818:92678/1,D1JYHACXX130117:1:2108:9142:52375/2,C1E2NACXX130117:2:2110:9859:9097/2,C1EF5ACXX130117:2:1116:9090:27874/2,C1EF5ACXX130117:6:1208:10436:34402/1,D1JYHACXX130117:8:2113:17760:8717/1,C1E5MACXX130111:7:2204:14943:89211/1,C1E5MACXX130111:4:1315:7172:87115/1,C1FGVACXX130122:8:1303:15158:75478/1,C1E2NACXX130117:5:1107:4896:77431/1,C1E2NACXX130117:6:1316:2015:12250/2,D1JYHACXX130117:6:2314:13968:43912/1,C1DVPACXX130111:4:2315:11213:9369/2,C1FGVACXX130122:7:2211:7224:48977/1,C1E5MACXX130111:5:2208:11276:32645/1,C1E5MACXX130111:8:1314:3691:66739/1,C1DVPACXX130111:4:2203:5606:14130/2,D1JYHACXX130117:4:2213:5058:5697/2,C1E2NACXX130117:6:1316:2015:12250/1,	D1JYHACXX130117:1:2205:9491:20255,C1DVPACXX130111:4:2207:3710:3603,C1EF5ACXX130117:7:2303:7408:16725,C1E2NACXX130117:3:2203:5468:72210,	na
chr14_69356856_-:chr19_39212178_+	interchromosomal	0	na	40	39	19	48.7179	39	100	1	0	0	100	100	0	0	1334	85.38	GT	AG	69356932	39212257	0	na	na	ENSG00000072110.9	ENSG00000130402.7	ACTN1	ACTN4	protein_coding	protein_coding	C1EF5ACXX130117:1:1105:13757:87651/2,C1FGVACXX130122:5:1316:14883:29469/1,C1FGVACXX130122:1:1314:13840:45296/1,C1DVPACXX130111:4:1115:18428:99729/1,C1FGVACXX130122:6:1103:1831:68289/1,C1FGVACXX130122:5:2309:13532:93139/2,C1E2NACXX130117:2:2110:18714:37536/1,C1FGVACXX130122:5:2316:14608:79017/1,C1FGVACXX130122:7:2110:9659:26234/1,C1FGVACXX130122:3:1116:5385:71382/2,C1EF5ACXX130117:5:1316:19908:14015/2,C1EF5ACXX130117:3:2106:3041:45251/2,D1JYHACXX130117:2:2209:4547:55925/1,C1E2NACXX130117:2:2107:19377:71619/1,C1FGVACXX130122:7:2106:10758:3499/1,C1FGVACXX130122:4:1107:5002:53982/1,C1E2NACXX130117:7:1205:11417:35398/1,C1E2NACXX130117:6:2201:4912:81634/1,C1FGVACXX130122:4:2208:17296:79830/1,C1FGVACXX130122:7:2216:11795:57286/2,C1E5MACXX130111:5:1313:11198:65384/1,C1FGVACXX130122:5:2207:7547:46076/1,C1EF5ACXX130117:6:1303:2909:35869/1,D1JYHACXX130117:7:2106:2421:56864/2,C1FGVACXX130122:5:1104:19709:27496/1,C1E5MACXX130111:7:1301:17915:83152/2,C1FGVACXX130122:2:2103:17375:24843/1,C1E2NACXX130117:3:2212:16151:86057/1,C1E2NACXX130117:2:2202:14173:90422/1,D1JYHACXX130117:4:1205:18344:30007/1,D1JYHACXX130117:3:2314:13574:11887/1,C1FGVACXX130122:8:1306:16556:55269/2,C1FGVACXX130122:2:2316:8060:58383/1,C1EF5ACXX130117:5:2310:19775:15255/1,C1E5MACXX130111:5:2107:19594:42787/2,D1JYHACXX130117:4:1315:9874:13827/1,C1FGVACXX130122:4:2105:20259:67999/1,C1E2NACXX130117:5:2111:17158:96950/2,C1DVPACXX130111:4:2303:13247:63226/1,	C1E2NACXX130117:6:2114:4019:88152,	na
chrX_11074056_-:chrX_10588459_-	intrachromosomal	0	na	4	2	2	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	11074148	10588423	1	1	485597	ENSG00000234129.3	ENSG00000101871.10	RP11-120D5.1	MID1	lincRNA	protein_coding	C1FGVACXX130122:8:2312:5371:19278/1,C1E2NACXX130117:3:1214:16191:34856/1,	C1EF5ACXX130117:5:1308:7939:42447,C1E5MACXX130111:4:1116:2143:61004,	na
chr12_49318006_-:chr12_49297691_-	readthrough	0	na	6	3	3	100	0	0	3	1	25	100	100	0	0	na	na	GT	AG	49318035	49297598	1	1	20315	ENSG00000134285.6	ENSG00000272822.1	FKBP11	RP11-302B13.5	protein_coding	protein_coding	C1EF5ACXX130117:6:1114:13081:15318/2,C1EF5ACXX130117:6:1114:13081:15318/1,C1FGVACXX130122:1:1309:14496:86618/1,	C1E2NACXX130117:7:1110:9827:19150,C1EF5ACXX130117:6:2111:19696:22603,C1FGVACXX130122:1:1307:14299:96184,	C1EF5ACXX130117:8:2105:4291:59007,
chr10_45487450_+:chr10_45498728_+	readthrough	0	na	10	9	9	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	45487360	45498805	1	1	11278	ENSG00000107551.16	ENSG00000165512.4	RASSF4	ZNF22	protein_coding	protein_coding	C1FGVACXX130122:7:2301:14431:82420/2,D1JYHACXX130117:5:2304:20510:87625/2,D1JYHACXX130117:2:1301:3812:56387/1,C1EF5ACXX130117:6:1313:10087:45502/2,C1EF5ACXX130117:6:1313:10087:45502/1,D1JYHACXX130117:4:1302:10510:60214/1,C1FGVACXX130122:7:2301:14431:82420/1,D1JYHACXX130117:4:1302:10510:60214/2,D1JYHACXX130117:5:2304:20510:87625/1,	C1E2NACXX130117:4:1214:2269:71833,	na
