Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Junc_n	Position_Consist	Junction	Identity	Align_Len	Evalue	BitScore
TNFAIP8	DMXL1	5	5	1	1	7	7	3	3	PARTIALLY	TNFAIP8:5:118651997_DMXL1:5:118573017,3|TNFAIP8:5:118604602_DMXL1:5:118573017,2|TNFAIP8:5:118604602_DMXL1:5:118576114,2	100.00	13	1.4	24.7
EXOSC10	MTOR	1	1	-1	-1	8	12	10	1	YES	EXOSC10:1:11158077_MTOR:1:11169786,12	86.96	23	1.0	24.7
TIAL1	MCMBP	10	10	-1	-1	15	27	23	1	YES	TIAL1:10:121347664_MCMBP:10:121619396,27	100.00	12	1.2	22.9
USP34	XPO1	2	2	-1	-1	2	4	4	1	YES	USP34:2:61558411_XPO1:2:61729445,4	100.00	14	0.57	26.5
USP3	NTSR1	15	20	1	1	3	10	9	1	YES	USP3:15:63829355_NTSR1:20:61386037,10	100.00	12	1.3	22.9
RIMS2	ATP6V1C1	8	8	1	1	4	15	13	1	YES	RIMS2:8:104513290_ATP6V1C1:8:104075183,15	81.08	37	0.13	28.3
TYRO3	RTF1	15	15	1	1	16	26	20	1	PARTIALLY	TYRO3:15:41854916_RTF1:15:41762455,26	100.00	13	0.71	24.7
PDAP1	PTCD1	7	7	-1	-1	23	19	16	1	PARTIALLY	PDAP1:7:98995485_PTCD1:7:99021580,19	84.30	293	9e-87	309
SPTAN1	GLE1	9	9	1	1	6	14	11	2	PARTIALLY	SPTAN1:9:131329256_GLE1:9:131296040,8|SPTAN1:9:131329256_GLE1:9:131295792,6	100.00	15	0.077	28.3
SNRPD3	UPB1	22	22	1	1	8	15	11	3	PARTIALLY	SNRPD3:22:24953768_UPB1:22:24919587,9|SNRPD3:22:24953768_UPB1:22:24917954,5|SNRPD3:22:24953768_UPB1:22:24921679,1	81.03	232	8e-59	215
UVRAG	MOGAT2	11	11	1	1	5	7	7	1	YES	UVRAG:11:75694557_MOGAT2:11:75431037,7	90.00	20	0.47	24.7
MFSD1	RSRC1	3	3	1	1	21	2	2	1	PARTIALLY	MFSD1:3:158520104_RSRC1:3:158178724,2	100.00	13	0.21	24.7
