"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","CLDND1:THYN1","chr3",98235896,"chr11",134122810,Inf,"11240",3206,FALSE,TRUE,TRUE,"Locus_424_Transcript_16/42_Confidence_0.481_Length_2164",816,"HighConfidence","-"
"jaffa-direct","SVOPL:FDXACB1","chr7",138314794,"chr11",111746828,Inf,"11193",3135,TRUE,TRUE,TRUE,"Locus_633_Transcript_17/17_Confidence_0.388_Length_1868",921,"HighConfidence","-"
"jaffa-direct","HTR3E:BMP10","chr3",183824131,"chr2",69093703,Inf,"11073",2778,TRUE,TRUE,TRUE,"Locus_119_Transcript_12/13_Confidence_0.630_Length_2452",1303,"HighConfidence","-"
"jaffa-direct","STS:TMEM236","chrX",7252148,"chr10",17813308,Inf,"10324",2978,FALSE,TRUE,TRUE,"Locus_9_Transcript_403/2361_Confidence_0.002_Length_2222",957,"HighConfidence","-"
"jaffa-direct","DUSP11:ANKS3","chr2",74000927,"chr16",4747417,Inf,"9908",2820,TRUE,TRUE,TRUE,"Locus_438_Transcript_7/14_Confidence_0.274_Length_1197",538,"HighConfidence","-"
"jaffa-direct","BMP8B:EEF1B2","chr1",40228764,"chr2",207027453,Inf,"10725",1707,FALSE,TRUE,TRUE,"Locus_12_Transcript_22/24_Confidence_0.296_Length_1659",191,"HighConfidence","-"
"jaffa-direct","MCHR1:RWDD4","chr22",41075738,"chr4",184567690,Inf,"9013",2632,TRUE,TRUE,TRUE,"Locus_150_Transcript_3/20_Confidence_0.456_Length_1380",909,"HighConfidence","-"
"jaffa-direct","LMTK3:IL10","chr19",48994365,"chr1",206944760,Inf,"7928",2199,FALSE,TRUE,TRUE,"Locus_9_Transcript_685/2361_Confidence_0.003_Length_7962",5978,"HighConfidence","-"
"jaffa-direct","MEOX1:NDUFAF3","chr17",41738434,"chr3",49060309,Inf,"7784",2218,TRUE,TRUE,TRUE,"Locus_9_Transcript_466/2361_Confidence_0.001_Length_2441",275,"HighConfidence","-"
"jaffa-direct","ETV2:NUTF2","chr19",36135249,"chr16",67904703,Inf,"7726",2144,TRUE,TRUE,TRUE,"Locus_314_Transcript_2/30_Confidence_0.075_Length_1408",1120,"HighConfidence","-"
"jaffa-direct","C12orf73:SHISA7","chr12",104350409,"chr19",55945163,Inf,"5916",1645,FALSE,TRUE,TRUE,"Locus_291_Transcript_16/17_Confidence_0.237_Length_3317",546,"HighConfidence","-"
"jaffa-direct","KLRC1:GPR37L1","chr12",10600131,"chr1",202096869,Inf,"5804",1705,FALSE,TRUE,TRUE,"Locus_9_Transcript_731/2361_Confidence_0.001_Length_1186",337,"HighConfidence","-"
"jaffa-direct","XRCC4:PNO1","chr5",82554496,"chr2",68385512,Inf,"6244",1172,FALSE,TRUE,TRUE,"Locus_459_Transcript_6/10_Confidence_0.130_Length_890",680,"HighConfidence","-"
"jaffa-direct","COL18A1:MMP1","chr21",46925192,"chr11",102667893,Inf,"5366",1551,FALSE,TRUE,TRUE,"Locus_9_Transcript_1372/2361_Confidence_0.002_Length_2825",1480,"HighConfidence","-"
"jaffa-direct","AVPR1B:TSC22D4","chr1",206225380,"chr7",100075082,Inf,"5119",1395,FALSE,TRUE,TRUE,"Locus_561_Transcript_19/20_Confidence_0.266_Length_1795",1386,"HighConfidence","-"
"jaffa-direct","ITGB1BP2:PI4KB","chrX",70522406,"chr1",151267017,Inf,"4683",1352,TRUE,TRUE,TRUE,"Locus_433_Transcript_3/26_Confidence_0.171_Length_978",327,"HighConfidence","-"
"jaffa-direct","UTS2B:STX5","chr3",190995861,"chr11",62594870,Inf,"4457",1309,FALSE,TRUE,TRUE,"Locus_507_Transcript_13/13_Confidence_0.329_Length_1638",311,"HighConfidence","-"
"jaffa-direct","ITIH6:KLC4","chrX",54786189,"chr6",43038430,Inf,"3952",1066,FALSE,TRUE,TRUE,"Locus_497_Transcript_18/20_Confidence_0.542_Length_2241",963,"HighConfidence","-"
"jaffa-direct","RHNO1:C1QTNF4","chr12",2994700,"chr11",47612367,Inf,"3712",1067,TRUE,TRUE,TRUE,"Locus_392_Transcript_14/19_Confidence_0.170_Length_1468",349,"HighConfidence","-"
"jaffa-direct","NPPA:AHI1","chr1",11907170,"chr6",135716034,Inf,"3253",1116,TRUE,TRUE,TRUE,"Locus_9_Transcript_77/2361_Confidence_0.000_Length_1206",542,"HighConfidence","-"
"jaffa-direct","PPL:CLC","chr16",4940729,"chr19",40225133,Inf,"3394",916,TRUE,TRUE,TRUE,"Locus_513_Transcript_16/30_Confidence_0.075_Length_2045",317,"HighConfidence","-"
"jaffa-direct","PCDHA2:SFTPC","chr5",140176937,"chr8",22020949,Inf,"3082",867,TRUE,TRUE,TRUE,"Locus_516_Transcript_16/20_Confidence_0.535_Length_2634",2411,"HighConfidence","-"
"jaffa-direct","CRELD2:TRBV2","chr22",50313488,"chr7",142000958,Inf,"2749",761,FALSE,TRUE,TRUE,"Locus_1082_Transcript_2/3_Confidence_0.600_Length_598",360,"HighConfidence","-"
"jaffa-direct","ELP3:DTYMK","chr8",27964300,"chr2",242619734,Inf,"2452",638,TRUE,TRUE,TRUE,"Locus_549_Transcript_17/17_Confidence_0.209_Length_1045",295,"HighConfidence","-"
"jaffa-direct","ZNF438:SPESP1","chr10",31165927,"chr15",69237938,Inf,"2125",636,TRUE,TRUE,TRUE,"Locus_482_Transcript_10/12_Confidence_0.268_Length_1438",281,"HighConfidence","-"
"jaffa-direct","OAS1:GRIN2B","chr12",113346629,"chr12",13720197,99626.438,"1977",501,TRUE,TRUE,TRUE,"Locus_159_Transcript_8/59_Confidence_0.012_Length_664",205,"HighConfidence","-"
"jaffa-direct","HSD11B1L:POLR1A","chr19",5687002,"chr2",86274386,Inf,"1901",526,TRUE,TRUE,TRUE,"Locus_513_Transcript_5/30_Confidence_0.408_Length_5443",4915,"HighConfidence","-"
"jaffa-direct","IL18BP:AOC2","chr11",71711603,"chr17",41001103,Inf,"1808",514,TRUE,TRUE,TRUE,"Locus_720_Transcript_3/5_Confidence_0.533_Length_1307",357,"HighConfidence","-"
"jaffa-direct","PPHLN1:NUDT12","chr12",42792796,"chr5",102888117,Inf,"1761",541,FALSE,TRUE,TRUE,"Locus_437_Transcript_9/14_Confidence_0.257_Length_3058",2283,"HighConfidence","-"
"jaffa-direct","IDH3G:TAF5","chrX",153052506,"chr10",105139641,Inf,"1675",281,FALSE,TRUE,TRUE,"Locus_484_Transcript_10/13_Confidence_0.308_Length_1803",1140,"HighConfidence","-"
"jaffa-direct","CXCL17:VRK2","chr19",42946906,"chr2",58373451,Inf,"1467",423,FALSE,TRUE,TRUE,"Locus_789_Transcript_4/9_Confidence_0.481_Length_883",588,"HighConfidence","-"
"jaffa-direct","C6orf62:GNRH1","chr6",24716376,"chr8",25280847,Inf,"1418",388,TRUE,TRUE,TRUE,"Locus_270_Transcript_15/16_Confidence_0.255_Length_2875",439,"HighConfidence","-"
"jaffa-direct","FMO6P:VAMP5","chr1",171115658,"chr2",85818848,Inf,"1265",390,FALSE,TRUE,TRUE,"Locus_572_Transcript_17/20_Confidence_0.388_Length_1191",597,"HighConfidence","-"
"jaffa-direct","C8orf12:ARHGEF35","chr8",11295719,"chr7",143885488,Inf,"1202",398,FALSE,TRUE,TRUE,"Locus_667_Transcript_10/32_Confidence_0.396_Length_4522",4190,"HighConfidence","-"
"jaffa-direct","GIT1:SOCS1","chr17",27903096,"chr16",11349385,Inf,"1330",266,TRUE,TRUE,TRUE,"Locus_115_Transcript_3/13_Confidence_0.406_Length_2063",149,"HighConfidence","-"
"jaffa-direct","MDH2:C17orf80","chr7",75686811,"chr17",71231615,Inf,"1234",332,FALSE,TRUE,TRUE,"Locus_576_Transcript_19/20_Confidence_0.250_Length_3853",405,"HighConfidence","-"
"jaffa-direct","TYMS:BCAR1","chr18",671451,"chr16",75276988,Inf,"1180",323,TRUE,TRUE,TRUE,"Locus_584_Transcript_2/8_Confidence_0.621_Length_975",460,"HighConfidence","-"
"jaffa-direct","C10orf113:THBS3","chr10",21435271,"chr1",155176197,Inf,"1221",270,FALSE,TRUE,TRUE,"Locus_471_Transcript_3/4_Confidence_0.472_Length_3263",218,"HighConfidence","-"
"jaffa-direct","BARHL2:GPM6A","chr1",91180088,"chr4",176594987,Inf,"1055",312,TRUE,TRUE,TRUE,"Locus_589_Transcript_3/16_Confidence_0.458_Length_3471",2578,"HighConfidence","-"
"jaffa-direct","CSGALNACT2:C1GALT1C1","chr10",43659492,"chrX",119761026,Inf,"1077",264,FALSE,TRUE,TRUE,"Locus_668_Transcript_2/2_Confidence_0.375_Length_2818",1494,"HighConfidence","-"
"jaffa-direct","CDYL2:IFITM1","chr16",80654660,"chr11",314922,Inf,"1023",270,FALSE,TRUE,TRUE,"Locus_1036_Transcript_5/17_Confidence_0.294_Length_792",448,"HighConfidence","-"
"jaffa-direct","PRKAR2A:COL11A2","chr3",48827977,"chr6",33148507,Inf,"973",306,TRUE,TRUE,TRUE,"Locus_9_Transcript_1314/2361_Confidence_0.001_Length_858",314,"HighConfidence","-"
"jaffa-direct","AFM:CYP11B2","chr4",74349706,"chr8",143998630,Inf,"935",249,TRUE,TRUE,TRUE,"Locus_525_Transcript_4/9_Confidence_0.643_Length_2892",230,"HighConfidence","-"
"jaffa-direct","KLRD1:TMEM230","chr12",10464214,"chr20",5090091,Inf,"909",266,TRUE,TRUE,TRUE,"Locus_9_Transcript_1518/2361_Confidence_0.001_Length_2113",585,"HighConfidence","-"
"jaffa-direct","UNC5CL:HPSE2","chr6",40999775,"chr10",100249953,Inf,"894",222,FALSE,TRUE,TRUE,"Locus_687_Transcript_4/5_Confidence_0.833_Length_1942",459,"HighConfidence","-"
"jaffa-direct","IL25:USP31","chr14",23842605,"chr16",23080937,Inf,"832",282,FALSE,TRUE,TRUE,"Locus_510_Transcript_3/15_Confidence_0.319_Length_1696",536,"HighConfidence","-"
"jaffa-direct","DMRTC1B:STARD3NL","chrX",72065391,"chr7",38253958,Inf,"830",259,TRUE,TRUE,TRUE,"Locus_621_Transcript_1/9_Confidence_0.586_Length_1127",308,"HighConfidence","-"
"jaffa-direct","SLC6A12:TYR","chr12",307963,"chr11",88960991,Inf,"827",248,FALSE,TRUE,TRUE,"Locus_569_Transcript_1/3_Confidence_0.885_Length_2454",1146,"HighConfidence","-"
"jaffa-direct","ADGB:LPPR4","chr6",146956673,"chr1",99771241,Inf,"781",240,TRUE,TRUE,TRUE,"Locus_494_Transcript_2/3_Confidence_0.542_Length_4230",3906,"HighConfidence","-"
"jaffa-direct","ZSCAN5D:C5orf52","chr19",56757835,"chr5",157102100,Inf,"754",243,FALSE,TRUE,TRUE,"Locus_133_Transcript_4/6_Confidence_0.556_Length_1114",702,"HighConfidence","-"
"jaffa-direct","SAP30:PAPLN","chr4",174294666,"chr14",73727864,Inf,"758",231,TRUE,TRUE,TRUE,"Locus_9_Transcript_1712/2361_Confidence_0.003_Length_2417",1758,"HighConfidence","-"
"jaffa-direct","SLC7A10:ZFP36L1","chr19",33701373,"chr14",69257209,Inf,"630",356,TRUE,TRUE,TRUE,"Locus_430_Transcript_21/22_Confidence_0.430_Length_4089",1310,"HighConfidence","-"
"jaffa-direct","MPDZ:NDUFB11","chr9",13126515,"chrX",47001839,Inf,"804",165,FALSE,TRUE,TRUE,"Locus_597_Transcript_4/10_Confidence_0.576_Length_5100",220,"HighConfidence","-"
