"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","LRRC1:NDRG3","chr6",53707025,"chr20",35284935,Inf,"11",26,FALSE,TRUE,TRUE,"Locus_665_Transcript_7/12_Confidence_0.611_Length_2009",536,"HighConfidence","-"
"jaffa-direct","GATAD2A:CTR9","chr19",19576423,"chr11",10774219,Inf,"5",17,FALSE,TRUE,TRUE,"Locus_800_Transcript_11/12_Confidence_0.263_Length_4530",403,"HighConfidence","-"
"jaffa-direct","MTAP:CDKN2B-AS1","chr9",21859424,"chr9",22112319,252.9,"1",16,FALSE,TRUE,FALSE,"Locus_309_Transcript_14/30_Confidence_0.191_Length_1423",945,"HighConfidence","-"
"jaffa-direct","STAU2:TCEB1","chr8",74585342,"chr8",74872053,286.706,"0",35,FALSE,TRUE,TRUE,"Locus_5190_Transcript_3/16_Confidence_0.273_Length_1933",1372,"MediumConfidence","-"
"jaffa-direct","PSMC4:RXRB","chr19",40480735,"chr6",33167193,Inf,"-",8,TRUE,TRUE,TRUE,"Locus_1803_Transcript_17/19_Confidence_0.080_Length_920",800,"MediumConfidence","-"
"jaffa-direct","NARF:FER","chr17",80417948,"chr5",108103794,Inf,"-",7,FALSE,TRUE,TRUE,"Locus_4903_Transcript_3/7_Confidence_0.140_Length_879",150,"MediumConfidence","-"
"jaffa-direct","NRIP1:AF127936.7","chr21",16437066,"chr21",16230029,207.039,"-",4,FALSE,TRUE,FALSE,"Locus_3785_Transcript_14/14_Confidence_0.000_Length_327",112,"MediumConfidence","-"
"jaffa-direct","TICAM1:USP46-AS1","chr19",4831626,"chr4",53527059,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_6010_Transcript_5/5_Confidence_0.125_Length_757",113,"MediumConfidence","-"
"jaffa-direct","KRT18:KRT19","chr12",53344150,"chr17",39684231,Inf,"6",186,NA,FALSE,TRUE,"Locus_412_Transcript_115/129_Confidence_0.044_Length_1788",1092,"LowConfidence","-"
"jaffa-direct","RPL13P5:RPL13","chr12",6993573,"chr16",89628016,Inf,"18",9,NA,FALSE,TRUE,"Locus_1045_Transcript_19/84_Confidence_0.080_Length_1779",940,"LowConfidence","-"
"jaffa-direct","GPATCH2L:CD82","chr14",76620697,"chr11",44641318,Inf,"2",5,NA,FALSE,TRUE,"Locus_4752_Transcript_2/6_Confidence_0.833_Length_2646",1748,"LowConfidence","-"
