#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
202142	X	153357642	[153357641,153357765]	X	24512859	[24512857,24513000]	11	22	MECP2	PDK3	intra-chromosomal
127745	17	57941025	[57941024,57941117]	17	57917129	[57917129,57917222]	43	0	TUBD1	VMP1	intra-chromosomal
37352	10	47747132	[47746945,47747133]	10	47099716	[47099467,47099715]	19	4	AL603965.1;ANXA8L2;C10orf43	RP11-314P12.2	intra-chromosomal
201952	X	53710819	[53710818,53710942]	X	11272827	[11272668,11272829]	15	4	HUWE1	ARHGAP6	intra-chromosomal
79672	14	19680595	[19680593,19680694]	14	19925240	[19925239,19925325]	21	0	AL589743.1;AL589743.2	CTD-2314B22.3	intra-chromosomal
103667	16	9186858	[9186776,9186859]	16	9162367	[9162367,9162460]	19	0	C16orf72	RP11-473I1.6	readthrough-adjacent
137481	19	42744107	[42744107,42744294]	19	49414406	[49414403,49414509]	3	7	GSK3A	NUCB1;NUCB1-AS1	intra-chromosomal
117368	16	85205413	[85205162,85205413]	16	85391069	[85391067,85391249]	9	4	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
201956	X	53713215	[53713214,53713313]	X	11272827	[11272668,11272829]	6	4	HUWE1	ARHGAP6	intra-chromosomal
9957	16	72661434	[72661437,72661577]	1	60125891	[60125888,60125965]	10	2	AC004158.2	FGGY	inter-chromosomal
19776	11	68287119	[68286969,68287119]	1	145021167	[145021112,145021169]	6	3	PPP6R3	PDE4DIP	inter-chromosomal
108403	16	20907630	[20907628,20907695]	16	20873965	[20873880,20873966]	11	0	ERI2	DCUN1D3	readthrough-intersecting
142513	2	69870010	[69870010,69870208]	2	69693685	[69693593,69693685]	9	1	AAK1	AC114772.1	readthrough-intersecting
156539	21	35446045	[35445898,35446046]	21	43954808	[43954807,43954867]	5	3	AP000318.2;MRPS6;SLC5A3	SLC37A1	intra-chromosomal
77201	13	60667762	[60667762,60667866]	7	86594340	[86594220,86594340]	5	3	DIAPH3	KIAA1324L	inter-chromosomal
55899	12	53343240	[53343240,53343374]	11	73390765	[73390699,73390768]	6	2	KRT18;KRT8	RAB6A	inter-chromosomal
176307	5	65018241	[65018095,65018242]	5	65307877	[65307875,65307956]	4	3	NLN	ERBB2IP	readthrough-adjacent
64256	12	31478770	[31478770,31478828]	12	31451158	[31451067,31451159]	10	0	AC024940.1	FAM60A	readthrough-intersecting
93069	15	40854971	[40854970,40855170]	7	26241385	[26241386,26241446]	5	2	C15orf57	CBX3	inter-chromosomal
199943	9	71736642	[71736564,71736642]	9	71766566	[71766565,71766656]	9	0	RP11-265B8.4	TJP2	readthrough-intersecting
202143	X	153363061	[153363060,153363210]	X	24512859	[24512859,24513000]	5	2	MECP2	PDK3	intra-chromosomal
76663	1	64014965	[64014660,64014965]	13	50601542	[50601328,50601542]	1	4	DLEU2L	DLEU2	inter-chromosomal
85197	14	61189834	[61189759,61189836]	14	61262935	[61262933,61263028]	8	0	SIX4	MNAT1	readthrough-adjacent
81266	14	24761402	[24761402,24761488]	14	24740517	[24740436,24740517]	7	0	DHRS1	RABGGTA	readthrough-adjacent
54282	11	67980944	[67980943,67981039]	11	67897315	[67897315,67897407]	7	0	SUV420H1	CTD-2655K5.1	readthrough-adjacent
185574	6	126288150	[126288073,126288152]	6	126249320	[126249319,126249394]	7	0	HINT3	NCOA7	readthrough-intersecting
54276	11	67864486	[67864486,67864597]	3	160679524	[160679523,160679660]	3	2	CHKA	PPM1L	inter-chromosomal
42436	10	89129690	[89129271,89129690]	10	88993853	[88993853,88994131]	1	3	FAM22D	FAM22A	intra-chromosomal
158809	22	38323833	[38323745,38323833]	22	38273681	[38273678,38273741]	6	0	MICALL1	EIF3L	intra-chromosomal
55906	11	73418465	[73418465,73418558]	12	53346106	[53345939,53346106]	4	1	RAB6A	KRT18	inter-chromosomal
156535	21	35445568	[35445521,35445569]	21	35467162	[35467160,35467240]	5	0	MRPS6	SLC5A3	readthrough-intersecting
151235	2	206950475	[206950475,206950536]	2	206927968	[206927900,206927969]	5	0	AC007383.3	INO80D	readthrough-intersecting
202545	X	54069064	[54069064,54069124]	X	54989815	[54989735,54989818]	4	0	PHF8	PFKFB1	intra-chromosomal
167648	3	186845787	[186845787,186845851]	3	186760561	[186760490,186760561]	4	0	RPL39L	ST6GAL1	readthrough-adjacent
31946	1	226736668	[226736634,226736668]	19	1356323	[1356322,1356415]	4	0	C1orf95	MUM1	inter-chromosomal
