juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr7_137686350_-:chr7_136939721_-	intrachromosomal	0	na	26	9	6	66.6667	4	44.4444	17	0	0	100	100	0	0	na	na	GT	AG	137686434	136939622	1	1	746629	ENSG00000182158.10	ENSG00000105894.7	CREB3L2	PTN	protein_coding	protein_coding	D1ELWACXX121213:4:1206:3318:25848/2,D1JRNACXX121222:2:2210:1730:63461/2,D1ELWACXX121213:2:1201:9983:57446/1,D1ELWACXX121213:1:2111:8278:84389/1,C1EBLACXX121222:6:1201:12478:32803/2,C1EBLACXX121222:6:1201:12478:32803/2,C1EBLACXX121222:6:2303:16028:5816/2,D1JRNACXX121222:5:2315:5111:6991/1,D1ELWACXX121213:6:2309:11420:90296/2,	D1ELHACXX121214:8:2113:13132:32754,C1EBLACXX121222:2:2316:6479:18717,D1JRNACXX121222:5:2105:5915:32761,D1JRNACXX121222:3:1208:4747:85964,D1ELWACXX121213:4:1309:2186:5152,D1JNMACXX121226:8:2209:16921:63513,D1ELHACXX121214:1:2111:16355:34495,D1JRNACXX121222:5:2312:3351:26888,D1JNMACXX121226:2:2312:12564:89103,D1JRNACXX121222:5:1306:2662:44753,D1ELWACXX121213:7:2314:17927:23911,D1ELWACXX121213:4:1306:4711:53713,C1EBLACXX121222:3:2209:6865:27349,C1EBLACXX121222:2:2314:2163:55054,D1JRNACXX121222:7:2109:11857:38990,D1ELWACXX121213:4:1113:2613:93268,D1JRNACXX121222:6:1101:17409:96808,	na
chr9_540667_+:chr9_549190_+	readthrough	0	na	8	7	7	100	1	14.2857	1	0	0	100	100	0	0	na	na	GT	AG	540575	549285	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	D1ELHACXX121214:4:2209:15854:9438/2,D1ELWACXX121213:6:2216:19834:20928/1,D1ELWACXX121213:3:2116:15791:17829/2,D1ELWACXX121213:1:1305:3081:38411/2,D1ELWACXX121213:3:2116:15791:17829/1,C1EBLACXX121222:4:2316:19112:16352/1,D1ELWACXX121213:6:2216:19834:20928/2,	D1JRNACXX121222:2:1111:11805:45266,	na
chr17_7758602_+:chr17_7761721_+	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	7758572	7761819	1	1	3119	ENSG00000167874.6	ENSG00000182224.7	TMEM88	CYB5D1	protein_coding	protein_coding	D1JNMACXX121226:8:1101:2342:42187/1,D1ELHACXX121214:4:2202:15108:27840/2,D1JNMACXX121226:1:1305:18345:17284/2,	D1ELHACXX121214:6:1208:4959:55603,	na
chr11_73008815_+:chr11_73057928_+	readthrough	0	na	7	6	5	83.3333	4	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	73008716	73058007	1	1	49113	ENSG00000171631.10	ENSG00000110237.3	P2RY6	ARHGEF17	protein_coding	protein_coding	D1JRNACXX121222:8:1301:19394:94489/2,D1JNMACXX121226:1:2101:1394:65228/2,D1ELHACXX121214:7:1116:5617:85816/2,D1JRNACXX121222:4:2216:16031:31693/2,D1ELHACXX121214:7:1116:5617:85816/1,D1JRNACXX121222:4:2216:16031:31693/2,	D1ELHACXX121214:4:1212:7171:7314,	na
chr9_540667_+:chr9_549107_+	readthrough	0	na	5	4	4	100	1	25	1	0	0	100	100	0	0	na	na	GT	AG	540575	549200	1	1	8440	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	D1ELHACXX121214:8:2305:3597:59815/1,D1JNMACXX121226:4:2110:19270:93958/2,C1EBLACXX121222:8:1314:1389:51908/1,D1ELHACXX121214:8:2305:3597:59815/2,	D1JRNACXX121222:2:1111:11805:45266,	na
chr9_13276573_-:chr9_13250371_-	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	13276671	13250333	1	1	26202	ENSG00000234740.1	ENSG00000107186.12	RP11-272P10.2	MPDZ	sense_intronic	protein_coding	D1ELWACXX121213:6:2102:7832:39007/1,D1ELWACXX121213:3:1205:3183:93525/1,D1ELWACXX121213:8:1208:13159:7913/1,	D1ELHACXX121214:1:2103:9862:98091,	na
chr1_213031108_-:chr1_213009529_-	readthrough	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	213031133	213009448	1	1	21579	ENSG00000198468.3	ENSG00000185523.6	FLVCR1-AS1	C1orf227	lincRNA	protein_coding	D1ELHACXX121214:8:1213:21130:79859/2,D1ELHACXX121214:8:1310:20149:88322/1,D1ELHACXX121214:8:1213:21130:79859/1,	D1ELWACXX121213:1:2102:13769:8295,	na
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	9	7	6	85.7143	2	28.5714	2	0	0	100	100	0	0	na	na	GT	AG	85029019	84967571	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	D1ELWACXX121213:3:1114:10825:27208/2,D1ELWACXX121213:8:2202:10249:77374/2,D1JRNACXX121222:1:2116:1063:71682/1,D1JRNACXX121222:1:2116:1063:71682/2,D1JRNACXX121222:8:1310:7755:14205/2,D1JRNACXX121222:8:1310:7755:14205/2,D1ELWACXX121213:8:2202:10249:77374/1,	D1ELHACXX121214:7:1111:10384:50829,D1JRNACXX121222:6:1202:12559:72522,	na
chr1_156219360_-:chr1_156216547_-	readthrough	0	na	11	8	6	75	5	62.5	3	0	0	100	98.7013	345	0	na	na	GT	AG	156219459	156216471	1	1	2813	ENSG00000198952.7	ENSG00000160781.11	SMG5	PAQR6	protein_coding	protein_coding	D1ELWACXX121213:5:2209:15024:42727/2,D1ELWACXX121213:5:2209:15024:42727/2,C1EBLACXX121222:7:1316:4808:81499/1,D1JNMACXX121226:4:2306:11626:38416/2,D1JRNACXX121222:3:2111:11804:81009/2,C1EBLACXX121222:2:1316:11373:20618/1,D1ELWACXX121213:5:2209:15024:42727/1,D1JNMACXX121226:4:1212:1468:81881/2,	C1EBLACXX121222:8:1314:2366:53663,D1ELHACXX121214:8:2211:18915:6303,D1ELWACXX121213:6:1211:8932:66918,	na
chr12_54379794_+:chr12_54446944_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	54379696	54447008	1	1	67150	ENSG00000273049.1,ENSG00000180818.4	ENSG00000198353.6	RP11-834C11.12,HOXC10	HOXC4	protein_coding,protein_coding	protein_coding	D1ELWACXX121213:7:1102:16702:81263/1,D1JRNACXX121222:7:2309:18766:46679/1,	C1EBLACXX121222:5:1104:20576:11383,	na
