juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	6	5	5	100	1	20	1	2	66.6667	100	100	0	0	na	na	GT	AG	46781662	47046269	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C1EYGACXX121228:7:2305:21215:34029/1,C19U9ACXX121216:5:1209:8236:92407/1,C1EKGACXX121217:2:2304:9118:54080/2,C19MCACXX121216:5:1109:13693:23243/2,C19U9ACXX121216:5:1209:8236:92407/2,	C19U9ACXX121216:1:2109:18467:69939,	C1EKGACXX121217:1:2303:8332:12922,C1EYGACXX121228:5:1212:19027:9955,
chrX_53460669_-:chrX_53459786_-	readthrough	0	na	5	4	4	100	2	50	1	0	0	100	100	0	0	na	na	GT	AG	53460759	53459715	1	1	883	ENSG00000072506.8	ENSG00000233250.1	HSD17B10	RP3-339A18.6	protein_coding	antisense	C19U9ACXX121216:6:2308:19314:34754/1,C19MCACXX121216:1:2210:14007:62424/2,C1EPNACXX121228:5:1212:6855:49733/1,C19U9ACXX121216:8:2114:13809:41800/2,	C1EKGACXX121217:1:1316:5375:99317,	na
chr9_140637980_+:chr9_140507348_+	inverted	0	na	10	6	6	100	0	0	4	0	0	100	100	0	0	na	na	GT	AG	140637904	140507421	1	0	na	ENSG00000181090.13	ENSG00000197070.9	EHMT1	ARRDC1	protein_coding	protein_coding	C19U9ACXX121216:6:1314:13039:20331/1,C1EKGACXX121217:4:2116:15341:63498/1,C19U9ACXX121216:3:1313:17857:12696/1,C1EPNACXX121228:2:1205:19703:94520/2,C19U9ACXX121216:6:1314:13039:20331/2,C1EYGACXX121228:3:2310:17256:71401/2,	C19U9ACXX121216:3:1303:16253:36379,C1EPNACXX121228:7:1203:11815:13537,C19U9ACXX121216:2:2312:4208:95192,C19MCACXX121216:6:2309:9271:41256,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	37	34	22	64.7059	19	55.8824	3	0	0	100	100	0	177	na	na	GT	AG	51387665	51732866	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C1EYGACXX121228:2:1107:19758:78892/2,C19U9ACXX121216:8:1315:19669:98779/1,C1EKGACXX121217:6:2113:18163:5443/2,C1EKGACXX121217:6:2113:18163:5443/2,C19U9ACXX121216:3:1303:9162:95679/1,C19U9ACXX121216:5:2216:18018:19478/2,C1EPNACXX121228:7:2113:20040:58735/1,C1EKGACXX121217:6:1215:15757:36462/1,C19U9ACXX121216:8:1315:19669:98779/2,C1EPNACXX121228:7:2113:20040:58735/2,C1EPNACXX121228:1:1201:12692:69944/1,C19U9ACXX121216:3:1102:19563:9588/2,C1EPNACXX121228:5:1110:5265:83987/2,C19MCACXX121216:4:1108:15252:32613/2,C19MCACXX121216:4:1108:15252:32613/2,C19MCACXX121216:1:1104:6951:98864/2,C1EPNACXX121228:8:2313:13386:80358/1,C19U9ACXX121216:6:1212:9048:59337/2,C1EPNACXX121228:8:2105:15681:14814/1,C1EYGACXX121228:8:2311:2852:56106/2,C1EYGACXX121228:6:2306:10179:34995/2,C1EPNACXX121228:1:1102:8952:49050/2,C19U9ACXX121216:8:1108:16977:58170/2,C19U9ACXX121216:3:1303:9162:95679/2,C19MCACXX121216:7:2110:11844:61875/2,C19U9ACXX121216:7:1206:12574:78001/2,C1EYGACXX121228:6:2306:10179:34995/1,C1EYGACXX121228:5:2307:7265:87212/2,C1EYGACXX121228:5:2307:7265:87212/2,C1EYGACXX121228:5:2307:7265:87212/2,C19MCACXX121216:6:2202:13416:14169/2,C19MCACXX121216:5:1109:19831:48290/2,C1EYGACXX121228:2:1107:19758:78892/1,C1EKGACXX121217:6:2109:16392:59979/1,	C19U9ACXX121216:8:1203:3392:34638,C1EKGACXX121217:6:2305:10763:68547,C19MCACXX121216:4:1211:12568:16097,	na
chr9_35790337_+:chr9_35799615_+	readthrough	0	na	11	8	8	100	0	0	3	0	0	100	100	92	0	na	na	GT	AG	35790277	35799700	1	1	9278	ENSG00000227388.2	ENSG00000159899.10	RP11-112J3.16	NPR2	lincRNA	protein_coding	C19U9ACXX121216:1:1102:7227:73011/1,C1EPNACXX121228:5:1308:1854:50534/1,C1EYGACXX121228:2:1115:6126:39273/2,C1EYGACXX121228:1:1307:20744:80051/2,C19U9ACXX121216:1:1102:7227:73011/2,C1EYGACXX121228:7:2209:17021:36777/2,C1EKGACXX121217:1:1308:14137:63537/2,C19U9ACXX121216:6:1214:4941:34300/2,	C19MCACXX121216:8:1308:3759:23356,C19U9ACXX121216:1:1102:20257:73412,C1EKGACXX121217:2:1109:11311:89930,	na
chr10_97810223_+:chr10_97951848_-	interstrand	0	na	9	6	6	100	4	66.6667	3	3	50	100	100	0	0	na	na	GT	AG	97810144	97951790	0	na	na	ENSG00000107443.11	ENSG00000095585.12	CCNJ	BLNK	protein_coding	protein_coding	C19U9ACXX121216:1:2110:10253:83967/1,C19U9ACXX121216:8:1202:9783:8806/1,C19U9ACXX121216:6:1204:10018:28538/2,C1EYGACXX121228:3:2211:6339:15523/2,C19MCACXX121216:8:1313:9748:40030/2,C1EKGACXX121217:2:2215:14093:26525/2,	C1EYGACXX121228:8:2213:18439:50158,C1EPNACXX121228:3:1213:1536:8584,C19U9ACXX121216:8:1301:14167:9426,	C1EKGACXX121217:5:2102:2721:75145,C19MCACXX121216:8:1302:5156:99776,C19U9ACXX121216:2:2115:6212:5940,
chr19_44156377_-:chr19_44131942_-	readthrough	0	na	14	13	13	100	3	23.0769	1	0	0	100	100	0	0	na	na	GT	AG	44156476	44131854	1	1	24435	ENSG00000011422.7	ENSG00000105767.2	PLAUR	CADM4	protein_coding	protein_coding	C1EKGACXX121217:3:2106:1839:5816/2,C1EKGACXX121217:2:1215:7987:56121/2,C19U9ACXX121216:5:2206:13062:62016/1,C1EPNACXX121228:5:2104:13274:98334/2,C1EKGACXX121217:3:1215:17473:93603/2,C1EYGACXX121228:4:1214:4549:16967/2,C1EKGACXX121217:3:2106:1839:5816/1,C19MCACXX121216:2:2311:11901:82983/2,C1EKGACXX121217:3:1215:17473:93603/1,C1EPNACXX121228:5:1114:6664:99172/2,C1EPNACXX121228:1:1113:8221:47834/2,C1EYGACXX121228:3:2307:12927:94673/2,C1EPNACXX121228:1:1113:8221:47834/1,	C1EPNACXX121228:2:1206:3505:77703,	na
chr1_35220796_+:chr1_35226534_+	readthrough	0	na	27	24	19	79.1667	7	29.1667	3	0	0	100	100	0	0	279	84.59	GT	AG	35220697	35226633	1	1	5738	ENSG00000189280.3	ENSG00000189433.5	GJB5	GJB4	protein_coding	protein_coding	C19MCACXX121216:3:1105:2471:74410/1,C1EKGACXX121217:3:1111:1500:18021/2,C19U9ACXX121216:2:1305:14221:23306/2,C1EKGACXX121217:3:1209:7002:55025/1,C19MCACXX121216:4:2106:7504:88634/1,C19U9ACXX121216:6:1216:11405:90582/2,C1EKGACXX121217:3:1209:7002:55025/2,C19U9ACXX121216:2:1109:13009:75313/1,C1EYGACXX121228:7:2203:2282:97041/2,C1EYGACXX121228:6:2312:6844:56877/2,C19MCACXX121216:4:2106:7504:88634/2,C19MCACXX121216:2:1106:6438:49050/1,C19MCACXX121216:4:1211:16029:77322/1,C1EYGACXX121228:8:2108:13038:23242/1,C1EKGACXX121217:5:1114:5675:95248/1,C1EYGACXX121228:7:2309:13697:92188/2,C19U9ACXX121216:2:2308:6806:33590/1,C19MCACXX121216:1:2312:2863:22883/1,C19MCACXX121216:3:1106:12612:37325/2,C19MCACXX121216:3:1106:12612:37325/2,C19U9ACXX121216:2:2313:19048:80831/2,C19U9ACXX121216:5:2312:16759:4884/2,C1EYGACXX121228:1:1101:7385:64700/1,C19U9ACXX121216:1:2111:3255:38124/1,	C19U9ACXX121216:4:2208:3018:39318,C1EKGACXX121217:1:2212:16030:61673,C1EPNACXX121228:3:2304:11820:17791,	na
chr2_85806290_+:chr2_85818848_+	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	85806192	85818922	1	1	12558	ENSG00000118640.6	ENSG00000168899.4	VAMP8	VAMP5	protein_coding	protein_coding	C1EPNACXX121228:3:2104:12306:65877/2,C1EPNACXX121228:3:2104:12306:65877/1,C1EYGACXX121228:6:1103:21193:92876/2,	C19U9ACXX121216:7:2206:19076:43746,	na
chr9_99607172_-:chr9_99525495_-	readthrough	0	na	4	3	3	100	3	100	1	0	0	100	100	0	0	248	85.48	GT	AG	99607199	99525410	1	1	81677	ENSG00000196597.7	ENSG00000081386.8	ZNF782	ZNF510	protein_coding	protein_coding	C1EPNACXX121228:5:1111:9692:11551/1,C19MCACXX121216:7:2103:7217:35534/1,C1EPNACXX121228:5:1111:9692:11551/2,	C19U9ACXX121216:2:1111:20375:92963,	na
