"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","ENTPD6:VGF","chr20",25194042,"chr7",100808144,Inf,"596",2851,TRUE,TRUE,TRUE,"Locus_1327_Transcript_49/82_Confidence_0.372_Length_3168",783,"HighConfidence","-"
"jaffa-direct","GKN1:KCNG1","chr2",69207192,"chr20",49626901,Inf,"549",2669,FALSE,TRUE,TRUE,"Locus_120_Transcript_23/56_Confidence_0.247_Length_2406",1713,"HighConfidence","-"
"jaffa-direct","POLDIP3:TNFSF14","chr22",42995704,"chr19",6670169,Inf,"530",2606,TRUE,TRUE,TRUE,"Locus_1297_Transcript_12/88_Confidence_0.155_Length_1869",1247,"HighConfidence","-"
"jaffa-direct","RORB:SLC44A3","chr9",77286817,"chr1",95303267,Inf,"507",2588,FALSE,TRUE,TRUE,"Locus_3_Transcript_30878/50392_Confidence_0.000_Length_3023",1248,"HighConfidence","-"
"jaffa-direct","MRPS21:SOS2","chr1",150266869,"chr14",50667802,Inf,"483",2460,FALSE,TRUE,TRUE,"Locus_3_Transcript_28013/50392_Confidence_0.000_Length_2452",1818,"HighConfidence","-"
"jaffa-direct","ZNF317:ATP11A","chr19",9268751,"chr13",113512459,Inf,"449",2408,TRUE,TRUE,TRUE,"Locus_3_Transcript_18446/50392_Confidence_0.000_Length_4577",3839,"HighConfidence","-"
"jaffa-direct","ZCRB1:IGFBP7","chr12",42711142,"chr4",57899477,Inf,"446",2249,TRUE,TRUE,TRUE,"Locus_3_Transcript_7086/50392_Confidence_0.000_Length_957",447,"HighConfidence","-"
"jaffa-direct","C10orf113:THBS3","chr10",21435271,"chr1",155176197,Inf,"323",2340,FALSE,TRUE,TRUE,"Locus_255_Transcript_58/78_Confidence_0.274_Length_3267",223,"HighConfidence","-"
"jaffa-direct","FPGT:NDUFS5","chr1",74664110,"chr1",39500064,35164.044,"426",2104,FALSE,TRUE,TRUE,"Locus_1618_Transcript_8/19_Confidence_0.484_Length_550",276,"HighConfidence","-"
"jaffa-direct","SLC7A10:ZFP36L1","chr19",33701373,"chr14",69257209,Inf,"415",1974,TRUE,TRUE,TRUE,"Locus_3_Transcript_29765/50392_Confidence_0.000_Length_4200",2985,"HighConfidence","-"
"jaffa-direct","EPHB2:DLK2","chr1",23222971,"chr6",43419012,Inf,"399",1982,FALSE,TRUE,TRUE,"Locus_3_Transcript_31893/50392_Confidence_0.000_Length_4099",3100,"HighConfidence","-"
"jaffa-direct","FBL:AL391421.1","chr19",40327196,"chr10",79627681,Inf,"380",2001,FALSE,TRUE,TRUE,"Locus_157_Transcript_52/55_Confidence_0.392_Length_2708",1839,"HighConfidence","-"
"jaffa-direct","ALOX15B:MOGAT2","chr17",7950394,"chr11",75431037,Inf,"401",1877,FALSE,TRUE,TRUE,"Locus_506_Transcript_196/335_Confidence_0.036_Length_3095",1613,"HighConfidence","-"
"jaffa-direct","FAM71E1:FAM110D","chr19",50979387,"chr1",26487703,Inf,"292",1931,FALSE,TRUE,TRUE,"Locus_3_Transcript_39114/50392_Confidence_0.000_Length_3094",823,"HighConfidence","-"
"jaffa-direct","HEATR2:SRF","chr7",781102,"chr6",43144286,Inf,"426",1766,TRUE,TRUE,TRUE,"Locus_3_Transcript_28324/50392_Confidence_0.000_Length_5562",2725,"HighConfidence","-"
"jaffa-direct","ABCC2:NMUR2","chr10",101610553,"chr5",151775145,Inf,"362",1801,FALSE,TRUE,TRUE,"Locus_3_Transcript_29658/50392_Confidence_0.000_Length_5705",4626,"HighConfidence","-"
"jaffa-direct","SLC27A4:GPR158","chr9",131112660,"chr10",25755580,Inf,"320",1747,FALSE,TRUE,TRUE,"Locus_3_Transcript_28859/50392_Confidence_0.000_Length_2598",906,"HighConfidence","-"
"jaffa-direct","HMMR:UBE2J1","chr5",162901211,"chr6",90048262,Inf,"325",1592,TRUE,TRUE,TRUE,"Locus_1189_Transcript_35/47_Confidence_0.338_Length_5138",3765,"HighConfidence","-"
"jaffa-direct","GRM7:LRP1","chr3",7456850,"chr12",57586628,Inf,"140",1747,TRUE,TRUE,TRUE,"Locus_3_Transcript_27364/50392_Confidence_0.000_Length_4157",1500,"HighConfidence","-"
"jaffa-direct","TRGV3:USP16","chr7",38398538,"chr21",30411347,Inf,"211",1633,FALSE,TRUE,TRUE,"Locus_3_Transcript_9975/50392_Confidence_0.000_Length_1874",1651,"HighConfidence","-"
"jaffa-direct","SNX20:AC073610.5","chr16",50709681,"chr12",49332891,Inf,"361",1433,TRUE,TRUE,TRUE,"Locus_3_Transcript_38732/50392_Confidence_0.000_Length_3837",453,"HighConfidence","-"
"jaffa-direct","HOXB5:CELA1","chr17",46670483,"chr12",51739661,Inf,"323",1415,TRUE,TRUE,TRUE,"Locus_3_Transcript_4372/50392_Confidence_0.000_Length_1579",695,"HighConfidence","-"
"jaffa-direct","ZMYM6:PRRT4","chr1",35480589,"chr7",128000117,Inf,"280",1431,TRUE,TRUE,TRUE,"Locus_1252_Transcript_88/118_Confidence_0.060_Length_1321",647,"HighConfidence","-"
"jaffa-direct","SH3GLB1:NUP210L","chr1",87200862,"chr1",153994819,66793.96,"321",1370,TRUE,TRUE,TRUE,"Locus_728_Transcript_46/54_Confidence_0.148_Length_2174",1132,"HighConfidence","-"
"jaffa-direct","WEE2:SPATA31E1","chr7",141423080,"chr9",90499828,Inf,"248",1359,FALSE,TRUE,TRUE,"Locus_3_Transcript_45386/50392_Confidence_0.000_Length_4290",3961,"HighConfidence","-"
"jaffa-direct","NFATC1:CALD1","chr18",77246937,"chr7",134632259,Inf,"227",1376,FALSE,TRUE,TRUE,"Locus_3_Transcript_26679/50392_Confidence_0.000_Length_6000",2775,"HighConfidence","-"
"jaffa-direct","PTGDR:GPRC5B","chr14",52735378,"chr16",19884168,Inf,"289",1312,TRUE,TRUE,TRUE,"Locus_3_Transcript_14477/50392_Confidence_0.000_Length_9611",945,"HighConfidence","-"
"jaffa-direct","ARIH2:RUNX2","chr3",49002415,"chr6",45479983,Inf,"301",1265,FALSE,TRUE,TRUE,"Locus_3_Transcript_38516/50392_Confidence_0.000_Length_5191",4477,"HighConfidence","-"
"jaffa-direct","APOOL:CACNG8","chrX",84322224,"chr19",54483121,Inf,"237",1267,FALSE,TRUE,TRUE,"Locus_3_Transcript_19166/50392_Confidence_0.000_Length_4421",513,"HighConfidence","-"
"jaffa-direct","IGFBPL1:CSNK2A1","chr9",38411388,"chr20",473008,Inf,"298",1150,FALSE,TRUE,TRUE,"Locus_1341_Transcript_36/63_Confidence_0.139_Length_1763",941,"HighConfidence","-"
"jaffa-direct","SPRYD7:PGLS","chr13",50502055,"chr19",17628097,Inf,"284",1115,TRUE,TRUE,TRUE,"Locus_3_Transcript_17503/50392_Confidence_0.000_Length_1059",469,"HighConfidence","-"
"jaffa-direct","VMO1:AC140481.2","chr17",4689232,"chr2",131334246,Inf,"247",1108,FALSE,TRUE,TRUE,"Locus_467_Transcript_13/101_Confidence_0.021_Length_833",444,"HighConfidence","-"
"jaffa-direct","CALR:TLR9","chr19",13051468,"chr3",52265011,Inf,"247",1036,TRUE,TRUE,TRUE,"Locus_809_Transcript_41/49_Confidence_0.324_Length_1905",1027,"HighConfidence","-"
"jaffa-direct","GJD2:FUT7","chr15",35046619,"chr9",139926177,Inf,"214",1032,FALSE,TRUE,TRUE,"Locus_38_Transcript_231/248_Confidence_0.018_Length_2070",1552,"HighConfidence","-"
"jaffa-direct","TPRA1:DBX1","chr3",127295833,"chr11",20180838,Inf,"196",1050,FALSE,TRUE,TRUE,"Locus_3_Transcript_43991/50392_Confidence_0.000_Length_1607",573,"HighConfidence","-"
"jaffa-direct","ETV2:NUTF2","chr19",36135249,"chr16",67904703,Inf,"162",1022,TRUE,TRUE,TRUE,"Locus_3_Transcript_35232/50392_Confidence_0.000_Length_2050",1195,"HighConfidence","-"
"jaffa-direct","NTN1:UBE2E2","chr17",9083273,"chr3",23258753,Inf,"142",1022,FALSE,TRUE,TRUE,"Locus_3_Transcript_49630/50392_Confidence_0.000_Length_3891",1343,"HighConfidence","-"
"jaffa-direct","PPCS:FAM114A2","chr1",42923021,"chr5",153413937,Inf,"229",909,TRUE,TRUE,TRUE,"Locus_1873_Transcript_16/24_Confidence_0.181_Length_1794",227,"HighConfidence","-"
"jaffa-direct","ZNF438:SPESP1","chr10",31165927,"chr15",69237938,Inf,"212",912,TRUE,TRUE,TRUE,"Locus_38_Transcript_206/248_Confidence_0.004_Length_1597",468,"HighConfidence","-"
"jaffa-direct","RBFA:OSGEP","chr18",77798617,"chr14",20916330,Inf,"188",918,FALSE,TRUE,TRUE,"Locus_3_Transcript_46102/50392_Confidence_0.000_Length_1790",1179,"HighConfidence","-"
"jaffa-direct","ACOT12:CAMK2B","chr5",80681576,"chr7",44270653,Inf,"203",894,FALSE,TRUE,TRUE,"Locus_415_Transcript_135/157_Confidence_0.047_Length_941",674,"HighConfidence","-"
"jaffa-direct","PTK2:FADS6","chr8",141745350,"chr17",72875713,Inf,"74",997,FALSE,TRUE,TRUE,"Locus_3_Transcript_48334/50392_Confidence_0.000_Length_4597",2434,"HighConfidence","-"
"jaffa-direct","IL18BP:AOC2","chr11",71711603,"chr17",41001103,Inf,"185",870,TRUE,TRUE,TRUE,"Locus_4557_Transcript_55/58_Confidence_0.016_Length_1866",370,"HighConfidence","-"
"jaffa-direct","TRIM5:PAX9","chr11",5699434,"chr14",37135667,Inf,"208",828,FALSE,TRUE,TRUE,"Locus_3_Transcript_21618/50392_Confidence_0.000_Length_2861",1187,"HighConfidence","-"
"jaffa-direct","LEO1:PTGDS","chr15",52254586,"chr9",139874635,Inf,"182",846,TRUE,TRUE,TRUE,"Locus_3_Transcript_35016/50392_Confidence_0.000_Length_1259",973,"HighConfidence","-"
"jaffa-direct","SLC7A3:C2orf44","chrX",70145920,"chr2",24254032,Inf,"176",845,TRUE,TRUE,TRUE,"Locus_319_Transcript_20/61_Confidence_0.096_Length_3838",2036,"HighConfidence","-"
"jaffa-direct","EPPIN:ARHGEF4","chr20",44166603,"chr2",131671559,Inf,"175",809,TRUE,TRUE,TRUE,"Locus_3_Transcript_13737/50392_Confidence_0.000_Length_4695",563,"HighConfidence","-"
"jaffa-direct","KCNB1:VPS18","chr20",48098451,"chr15",41194814,Inf,"171",802,FALSE,TRUE,TRUE,"Locus_3_Transcript_17115/50392_Confidence_0.000_Length_2083",727,"HighConfidence","-"
"jaffa-direct","EDARADD:EHD3","chr1",236572574,"chr2",31489043,Inf,"154",784,FALSE,TRUE,TRUE,"Locus_3_Transcript_3327/50392_Confidence_0.000_Length_897",256,"HighConfidence","-"
"jaffa-direct","BCL11B:BCKDK","chr14",99737498,"chr16",31122621,Inf,"134",762,FALSE,TRUE,TRUE,"Locus_3_Transcript_44261/50392_Confidence_0.000_Length_1197",987,"HighConfidence","-"
"jaffa-direct","CRHR1:PANX3","chr17",43898806,"chr11",124482876,Inf,"172",722,FALSE,TRUE,TRUE,"Locus_1314_Transcript_39/42_Confidence_0.065_Length_1729",1410,"HighConfidence","-"
"jaffa-direct","GGCT:PPP2R1B","chr7",30540152,"chr11",111626174,Inf,"132",706,FALSE,TRUE,TRUE,"Locus_3_Transcript_5587/50392_Confidence_0.000_Length_3538",2298,"HighConfidence","-"
"jaffa-direct","TAB3:ERCC3","chrX",30877604,"chr2",128046440,Inf,"200",634,TRUE,TRUE,TRUE,"Locus_3773_Transcript_29/39_Confidence_0.130_Length_2097",275,"HighConfidence","-"
"jaffa-direct","OLA1:LRRC17","chr2",174987908,"chr7",102574221,Inf,"133",685,FALSE,TRUE,TRUE,"Locus_3_Transcript_35219/50392_Confidence_0.000_Length_2734",1761,"HighConfidence","-"
"jaffa-direct","RIPK4:CYSTM1","chr21",43164042,"chr5",139622890,Inf,"161",654,TRUE,TRUE,TRUE,"Locus_692_Transcript_58/65_Confidence_0.052_Length_1721",1239,"HighConfidence","-"
"jaffa-direct","MCM2:IGFL3","chr3",127318390,"chr19",46627413,Inf,"161",653,FALSE,TRUE,TRUE,"Locus_120_Transcript_43/56_Confidence_0.048_Length_933",487,"HighConfidence","-"
"jaffa-direct","C14orf166B:TRAV41","chr14",77293077,"chr14",22788840,54504.236,"167",644,TRUE,TRUE,TRUE,"Locus_6057_Transcript_15/35_Confidence_0.078_Length_608",345,"HighConfidence","-"
"jaffa-direct","AGFG1:AGMO","chr2",228398474,"chr7",15430530,Inf,"142",663,TRUE,TRUE,TRUE,"Locus_3_Transcript_41014/50392_Confidence_0.000_Length_2688",1350,"HighConfidence","-"
"jaffa-direct","SAPCD2:KIAA0391","chr9",139960714,"chr14",35739607,Inf,"128",675,FALSE,TRUE,TRUE,"Locus_3_Transcript_49262/50392_Confidence_0.000_Length_2856",807,"HighConfidence","-"
