Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Junc_n	Position_Consist	Junction	Identity	Align_Len	Evalue	BitScore
FBXL20	CDK12	17	17	-1	1	11	24	18	1	PARTIALLY	FBXL20:17:37499433_CDK12:17:37665958,24	100.00	17	0.021	31.9
DHX30	SMARCC1	3	3	1	-1	2	1	1	1	YES	DHX30:3:47882668_SMARCC1:3:47712207,1	100.00	14	0.27	26.5
ITGB6	RBMS1	2	2	-1	-1	2	2	1	1	YES	ITGB6:2:160968591_RBMS1:2:161143595,2	100.00	13	0.71	24.7
MED1	IKZF3	17	17	-1	-1	7	19	16	1	YES	MED1:17:37595418_IKZF3:17:37949186,19	100.00	13	2.0	24.7
FEM1B	KCNG3	15	2	1	-1	3	8	6	1	YES	FEM1B:15:68571003_KCNG3:2:42671719,8	84.62	26	0.28	26.5
EZR	RSPH3	6	6	-1	-1	37	104	32	1	PARTIALLY	EZR:6:159239114_RSPH3:6:159399378,104	88.89	18	0.35	24.7
GSK3B	GPR156	3	3	-1	-1	5	11	6	4	PARTIALLY	GSK3B:3:119812194_GPR156:3:119912271,8|GSK3B:3:119812194_GPR156:3:119904241,1|GSK3B:3:119812194_GPR156:3:119905630,1|GSK3B:3:119812194_GPR156:3:119911896,1	100.00	12	4.3	22.9
CDH1	CDH3	16	16	1	1	10	20	18	1	PARTIALLY	CDH1:16:68772314_CDH3:16:68710288,20	76.80	444	3e-94	334
GRB7	PPP1R1B	17	17	1	1	8	16	11	1	PARTIALLY	GRB7:17:37902455_PPP1R1B:17:37792069,16	100.00	12	0.51	22.9
ACTN4	CDH13	19	16	1	1	2	3	1	2	PARTIALLY	ACTN4:19:39138547_CDH13:16:83065615,2|ACTN4:19:39138547_CDH13:16:83158990,1	100.00	12	1.4	22.9
FAM190A	HERC6	4	4	1	1	4	6	6	2	PARTIALLY	FAM190A:4:91048982_HERC6:4:89345012,5|FAM190A:4:91048982_HERC6:4:89349732,1	100.00	13	0.79	24.7
ZNF710	WDR93	15	15	1	1	3	1	1	1	PARTIALLY	ZNF710:15:90617522_WDR93:15:90270388,1	100.00	15	0.032	28.3
BAIAP2	PSMD12	17	17	1	-1	13	16	15	1	YES	BAIAP2:17:79009108_PSMD12:17:65338379,16	100.00	12	1.8	22.9
RARA	KIAA0195	17	17	1	1	71	128	102	4	PARTIALLY	RARA:17:38487648_KIAA0195:17:73481509,123|RARA:17:38474700_KIAA0195:17:73482371,3|RARA:17:38474700_KIAA0195:17:73485347,1|RARA:17:38474700_KIAA0195:17:73481952,1	88.46	26	0.015	30.1
