"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","PTTG1:WASF1","chr5",159849900,"chr6",110429884,Inf,"439",2203,FALSE,TRUE,TRUE,"Locus_1_Transcript_57890/143769_Confidence_0.000_Length_2467",356,"HighConfidence","-"
"jaffa-direct","PCMT1:PTPLA","chr6",150071092,"chr10",17636382,Inf,"452",2068,FALSE,TRUE,TRUE,"Locus_1_Transcript_49261/143769_Confidence_0.000_Length_1111",574,"HighConfidence","-"
"jaffa-direct","PLD3:TMEM86B","chr19",40872417,"chr19",55738931,14866.515,"388",1985,FALSE,TRUE,TRUE,"Locus_1_Transcript_117833/143769_Confidence_0.000_Length_1292",764,"HighConfidence","-"
"jaffa-direct","UBL3:HYI","chr13",30346249,"chr1",43917990,Inf,"359",2011,FALSE,TRUE,TRUE,"Locus_1_Transcript_53901/143769_Confidence_0.000_Length_18954",11566,"HighConfidence","-"
"jaffa-direct","TMOD2:TJP3","chr15",52098718,"chr19",3750136,Inf,"436",1896,FALSE,TRUE,TRUE,"Locus_1_Transcript_54785/143769_Confidence_0.000_Length_1511",1238,"HighConfidence","-"
"jaffa-direct","KIF14:NFIB","chr1",200559253,"chr9",14307519,Inf,"374",1954,TRUE,TRUE,TRUE,"Locus_1_Transcript_46693/143769_Confidence_0.000_Length_4026",3548,"HighConfidence","-"
"jaffa-direct","KAT6B:MORN4","chr10",76785007,"chr10",99376544,22591.536,"356",1871,FALSE,TRUE,TRUE,"Locus_1_Transcript_95639/143769_Confidence_0.000_Length_4685",3419,"HighConfidence","-"
"jaffa-direct","SPATA2L:PAK7","chr16",89767338,"chr20",9561577,Inf,"348",1841,TRUE,TRUE,TRUE,"Locus_1_Transcript_79067/143769_Confidence_0.000_Length_4566",4051,"HighConfidence","-"
"jaffa-direct","ACE2:PPP2R3A","chrX",15590324,"chr3",135825058,Inf,"392",1787,FALSE,TRUE,TRUE,"Locus_1_Transcript_133540/143769_Confidence_0.000_Length_4178",2533,"HighConfidence","-"
"jaffa-direct","FLII:SCUBE3","chr17",18152114,"chr6",35200627,Inf,"344",1822,FALSE,TRUE,TRUE,"Locus_1_Transcript_81915/143769_Confidence_0.000_Length_20888",14602,"HighConfidence","-"
"jaffa-direct","CD79A:AP1S3","chr19",42383723,"chr2",224640726,Inf,"360",1806,FALSE,TRUE,TRUE,"Locus_1_Transcript_50167/143769_Confidence_0.000_Length_1182",346,"HighConfidence","-"
