"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","RP11-680G10.1:GSE1","chr16",85391249,"chr16",85682158,290.914,7,2,TRUE,TRUE,FALSE,"C0RTFACXX120719:5:2207:1451:18988/1",38,"HighConfidence","-"
"jaffa-direct","CTD-3006G17.2:SLC7A7","chr14",28142235,"chr14",23249260,4892.977,5,3,FALSE,TRUE,FALSE,"C0UNPACXX120727:5:1209:1579:94988/1",54,"HighConfidence","-"
"jaffa-direct","SMURF1:KPNA7","chr7",98741349,"chr7",98782785,41.434,2,2,FALSE,TRUE,TRUE,"C0RTFACXX120719:2:2116:15827:82438/1",45,"HighConfidence","-"
"jaffa-direct","FNDC3B:RP11-298O21.3","chr3",171969331,"chr3",167584675,4384.655,3,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:8:1312:10171:6807/2",65,"HighConfidence","-"
"jaffa-direct","ABR:NXN","chr17",1003877,"chr17",729318,274.562,2,1,TRUE,TRUE,FALSE,"C0RTFACXX120719:3:2213:15357:78806/1",32,"HighConfidence","-"
"jaffa-direct","RPS6KA5:ZBP1","chr14",91444650,"chr20",56190636,Inf,2,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:8:2111:8384:10443/1",46,"HighConfidence","-"
"jaffa-direct","PRICKLE1:PPHLN1","chr12",42983267,"chr12",42835117,148.151,1,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:8:1214:13115:17469/1",63,"HighConfidence","-"
"jaffa-direct","NRIP1:AF127936.7","chr21",16437066,"chr21",16230029,207.039,1,1,FALSE,TRUE,FALSE,"C0VHUACXX120727:7:2101:6714:30600/2",49,"HighConfidence","-"
"jaffa-direct","GOLIM4:NAALADL2","chr3",167812887,"chr3",174814580,7001.688,1,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:8:2304:2194:10571/2",52,"HighConfidence","-"
"jaffa-direct","RBM6:TUSC2","chr3",50107985,"chr3",50363908,255.925,0,2,TRUE,TRUE,TRUE,"C0RTFACXX120719:3:1315:14528:48753/2",50,"MediumConfidence","-"
"jaffa-direct","RP11-123O10.4:GRIP1","chr12",67462830,"chr12",66990707,472.126,0,2,FALSE,TRUE,FALSE,"C0RTFACXX120719:8:1112:20682:31860/2",55,"MediumConfidence","-"
"jaffa-direct","RCC1:SNX5","chr1",28834672,"chr20",17937681,Inf,0,2,FALSE,TRUE,TRUE,"C0RTFACXX120719:2:2307:16195:21153/2",55,"MediumConfidence","-"
"jaffa-direct","MRPL35:PSMA6","chr2",86426656,"chr14",35782087,Inf,0,2,TRUE,TRUE,TRUE,"C0RTFACXX120719:5:1108:18775:32651/1",47,"MediumConfidence","-"
"jaffa-direct","UBE2Z:SNF8","chr17",47000299,"chr17",47021337,21.04,0,1,TRUE,TRUE,TRUE,"C0UNPACXX120727:1:1301:5155:7698/1",42,"MediumConfidence","-"
"jaffa-direct","RP5-1103G7.4:TRIB3","chr20",328744,"chr20",368655,39.907,0,1,FALSE,TRUE,TRUE,"C0RTFACXX120719:8:1201:9423:26479/1",40,"MediumConfidence","-"
"jaffa-direct","CBS:PKNOX1","chr21",44495880,"chr21",44424436,71.448,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:5:1112:6081:69579/1",64,"MediumConfidence","-"
"jaffa-direct","NDFIP2:RBM26","chr13",80055659,"chr13",79953042,102.618,0,1,FALSE,TRUE,TRUE,"C0RTFACXX120719:6:2304:11146:83994/2",33,"MediumConfidence","-"
"jaffa-direct","NDUFA13:LPAR2","chr19",19627141,"chr19",19735378,108.239,0,1,TRUE,TRUE,TRUE,"C0UNPACXX120727:8:2202:16820:52063/1",38,"MediumConfidence","-"
"jaffa-direct","UBE2R2:UBAP2","chr9",33817932,"chr9",33935876,117.946,0,1,TRUE,TRUE,TRUE,"C0UNPACXX120727:4:1111:18216:31684/1",57,"MediumConfidence","-"
"jaffa-direct","NBAS:DDX1","chr2",15613346,"chr2",15737499,124.154,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:6:2206:15339:20062/2",44,"MediumConfidence","-"
"jaffa-direct","MRPL30:TXNDC9","chr2",99797712,"chr2",99949705,151.994,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:5:1312:10320:74204/1",33,"MediumConfidence","-"
"jaffa-direct","EDF1:ABCA2","chr9",139757740,"chr9",139918688,160.945,0,1,TRUE,TRUE,TRUE,"C0UNPACXX120727:6:2216:15246:89356/1",42,"MediumConfidence","-"
"jaffa-direct","CLPTM1L:LPCAT1","chr5",1325866,"chr5",1501718,175.848,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:6:2112:12451:89572/1",51,"MediumConfidence","-"
"jaffa-direct","AC103965.1:UBE2Q2P1","chr15",84898604,"chr15",85085515,186.908,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:8:2209:4309:27017/1",68,"MediumConfidence","-"
"jaffa-direct","BANP:LA16c-444G7.1","chr16",88105818,"chr16",88310080,204.265,0,1,FALSE,TRUE,FALSE,"C0VHUACXX120727:3:2307:17949:48445/2",33,"MediumConfidence","-"
"jaffa-direct","TSC2:RNPS1","chr16",2100487,"chr16",2313288,212.801,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:8:2106:17856:21492/1",37,"MediumConfidence","-"
"jaffa-direct","ALKBH1:AHSA1","chr14",78170712,"chr14",77930941,239.771,0,1,TRUE,TRUE,TRUE,"C0UNPACXX120727:8:2309:11510:80960/1",51,"MediumConfidence","-"
"jaffa-direct","AARS:PDXDC2P","chr16",70298861,"chr16",70058573,240.29,0,1,FALSE,TRUE,FALSE,"C0VHUACXX120727:4:1108:5430:75873/1",41,"MediumConfidence","-"
"jaffa-direct","CHD8:HNRNPC","chr14",21924191,"chr14",21681276,242.92,0,1,FALSE,TRUE,FALSE,"C0UNPACXX120727:5:1105:6318:37214/1",48,"MediumConfidence","-"
"jaffa-direct","GDAP1:RP11-758M4.1","chr8",75275288,"chr8",75525088,249.805,0,1,FALSE,TRUE,FALSE,"C0RTFACXX120719:8:1309:13871:23548/2",40,"MediumConfidence","-"
"jaffa-direct","SOCS5:TTC7A","chr2",46926588,"chr2",47177502,250.919,0,1,FALSE,TRUE,FALSE,"C0VHUACXX120727:6:2311:1137:45688/1",70,"MediumConfidence","-"
"jaffa-direct","CDK6:PEX1","chr7",92404010,"chr7",92151559,252.454,0,1,TRUE,TRUE,FALSE,"C0VHUACXX120727:7:2109:4515:46172/2",64,"MediumConfidence","-"
"jaffa-direct","TRAK1:ULK4","chr3",42128892,"chr3",41860998,267.892,0,1,FALSE,TRUE,TRUE,"C0RTFACXX120719:7:2213:9709:90896/2",60,"MediumConfidence","-"
"jaffa-direct","ABR:GLOD4","chr17",975854,"chr17",681984,293.873,0,1,TRUE,TRUE,FALSE,"C0VHUACXX120727:7:1213:15188:29594/1",58,"MediumConfidence","-"
"jaffa-direct","GAS8:VPS9D1-AS1","chr16",90086176,"chr16",89782879,303.294,0,1,FALSE,TRUE,TRUE,"C0RTFACXX120719:7:1101:15656:38790/2",64,"MediumConfidence","-"
"jaffa-direct","KIF13A:NUP153","chr6",17987285,"chr6",17676001,311.288,0,1,FALSE,TRUE,FALSE,"C0RTFACXX120719:3:1311:1464:19308/1",46,"MediumConfidence","-"
"jaffa-direct","MIPEPP3:LATS2","chr13",21875757,"chr13",21557945,317.813,0,1,FALSE,TRUE,TRUE,"C0RTFACXX120719:5:2315:15926:97454/1",35,"MediumConfidence","-"
"jaffa-direct","RHOA:QRICH1","chr3",49449253,"chr3",49114471,334.784,0,1,FALSE,TRUE,FALSE,"C0UNPACXX120727:5:2206:3401:39771/2",36,"MediumConfidence","-"
"jaffa-direct","ARFGAP3:RRP7A","chr22",43253120,"chr22",42914153,338.97,0,1,FALSE,TRUE,FALSE,"C0VHUACXX120727:3:2214:1370:17034/2",51,"MediumConfidence","-"
"jaffa-direct","WBP11:ATF7IP","chr12",14954254,"chr12",14613429,340.826,0,1,TRUE,TRUE,TRUE,"C0RTFACXX120719:3:1213:17127:49589/2",50,"MediumConfidence","-"
"jaffa-direct","SENP2:RP11-443P15.2","chr3",185307957,"chr3",185689404,381.45,0,1,FALSE,TRUE,FALSE,"C0UNPACXX120727:4:2211:3298:91100/1",46,"MediumConfidence","-"
"jaffa-direct","MSANTD3:ERP44","chr9",103189675,"chr9",102769971,419.703,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:5:2303:2867:21061/2",60,"MediumConfidence","-"
"jaffa-direct","FBL:AKT2","chr19",40336931,"chr19",40771258,434.323,0,1,FALSE,TRUE,TRUE,"C0RTFACXX120719:3:2308:9748:41096/1",39,"MediumConfidence","-"
"jaffa-direct","ATP2A2:PPP1CC","chr12",110734542,"chr12",111169706,435.17,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:7:1303:19877:66703/1",46,"MediumConfidence","-"
"jaffa-direct","PELI2:KTN1","chr14",56645182,"chr14",56142553,502.626,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:5:1314:9858:46876/2",67,"MediumConfidence","-"
"jaffa-direct","RP11-123O10.4:GRIP1","chr12",67462830,"chr12",66935730,527.103,0,1,FALSE,TRUE,FALSE,"C0UNPACXX120727:6:2310:5895:32027/1",48,"MediumConfidence","-"
"jaffa-direct","MCF2L:TFDP1","chr13",113730471,"chr13",114265311,534.842,0,1,TRUE,TRUE,FALSE,"C0RTFACXX120719:5:1304:10991:56934/2",70,"MediumConfidence","-"
"jaffa-direct","NFAT5:RP11-529K1.3","chr16",69728142,"chr16",70348805,620.664,0,1,TRUE,TRUE,FALSE,"C0UNPACXX120727:1:1206:15080:72638/2",66,"MediumConfidence","-"
"jaffa-direct","TRAF3:MARK3","chr14",103244012,"chr14",103871413,627.402,0,1,FALSE,TRUE,FALSE,"C0VHUACXX120727:5:1316:17338:6689/1",39,"MediumConfidence","-"
"jaffa-direct","KNTC1:WDR66","chr12",123065217,"chr12",122437622,627.592,0,1,TRUE,TRUE,TRUE,"C0RTFACXX120719:3:2113:1599:7068/1",39,"MediumConfidence","-"
"jaffa-direct","EIF3J:PDIA3","chr15",44829625,"chr15",44048847,780.773,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:4:2208:9685:53413/2",46,"MediumConfidence","-"
"jaffa-direct","ZNF786:ATP6V0E2-AS1","chr7",148777683,"chr7",149568885,791.199,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:4:2116:14899:42311/1",61,"MediumConfidence","-"
"jaffa-direct","ZNF169:C9orf3","chr9",97055351,"chr9",97848964,793.617,0,1,FALSE,TRUE,FALSE,"C0VHUACXX120727:7:1309:4213:49420/2",63,"MediumConfidence","-"
"jaffa-direct","MAMLD1:TMEM185A","chrX",149531153,"chrX",148693146,838.004,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:6:1315:11068:3915/2",69,"MediumConfidence","-"
"jaffa-direct","PCYOX1:NFU1","chr2",70488518,"chr2",69627670,860.849,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:6:2116:9113:20610/1",50,"MediumConfidence","-"
"jaffa-direct","CAMKMT:SRBD1","chr2",44617444,"chr2",45647033,1029.588,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:1:2313:1717:25776/2",39,"MediumConfidence","-"
"jaffa-direct","ACLY:RPL27","chr17",40075133,"chr17",41150766,1075.631,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:6:1210:4040:81502/1",51,"MediumConfidence","-"
"jaffa-direct","EHBP1:VPS54","chr2",62934430,"chr2",64126715,1192.287,0,1,FALSE,TRUE,TRUE,"C0RTFACXX120719:5:2303:21108:23373/1",44,"MediumConfidence","-"
"jaffa-direct","EIF3G:ECSIT","chr19",10229344,"chr19",11617243,1387.894,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:5:2311:13795:55314/2",28,"MediumConfidence","-"
"jaffa-direct","NDUFA8:FBXW2","chr9",124921906,"chr9",123527125,1394.785,0,1,FALSE,TRUE,FALSE,"C0UNPACXX120727:1:2213:7775:21028/2",47,"MediumConfidence","-"
"jaffa-direct","FRMD6:L2HGDH","chr14",52118714,"chr14",50713971,1404.74,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:2:2305:11313:62310/2",66,"MediumConfidence","-"
"jaffa-direct","ZNF189:STX17","chr9",104162292,"chr9",102677460,1484.83,0,1,FALSE,TRUE,TRUE,"C0VHUACXX120727:7:1112:16073:94751/1",47,"MediumConfidence","-"
"jaffa-direct","SUCO:RABGAP1L","chr1",172502637,"chr1",174188263,1685.629,0,1,FALSE,TRUE,FALSE,"C0UNPACXX120727:7:1116:1983:83637/1",37,"MediumConfidence","-"
"jaffa-direct","ZNF44:SAMD1","chr19",12405507,"chr19",14200174,1794.665,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:6:2111:8262:90453/1",62,"MediumConfidence","-"
"jaffa-direct","LAMTOR4:BAIAP2L1","chr7",99751140,"chr7",97941576,1809.563,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:7:1215:18848:37736/2",64,"MediumConfidence","-"
"jaffa-direct","AUH:FAM120A","chr9",94123910,"chr9",96305504,2181.595,0,1,TRUE,TRUE,TRUE,"C0RTFACXX120719:3:2108:11682:88075/2",39,"MediumConfidence","-"
"jaffa-direct","PCSK6:IGF1R","chr15",101983761,"chr15",99439986,2543.776,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:7:1202:13420:63626/1",60,"MediumConfidence","-"
"jaffa-direct","ETNK1:KRAS","chr12",22778520,"chr12",25380346,2601.829,0,1,TRUE,TRUE,TRUE,"C0VHUACXX120727:3:2311:17289:15812/1",53,"MediumConfidence","-"
"jaffa-direct","DHX9:CEP350","chr1",182829319,"chr1",180044157,2785.161,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:4:1205:6389:47441/2",38,"MediumConfidence","-"
"jaffa-direct","ANKFY1:CRK","chr17",4139067,"chr17",1340449,2798.62,0,1,TRUE,TRUE,FALSE,"C0VHUACXX120727:2:1313:11211:90938/1",38,"MediumConfidence","-"
"jaffa-direct","RP11-495P10.2:SEC22B","chr1",147931724,"chr1",145109524,2822.197,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:4:1103:16168:68126/2",43,"MediumConfidence","-"
"jaffa-direct","RP11-6N13.1:FBXL17","chr5",104222559,"chr5",107356702,3134.137,0,1,FALSE,TRUE,TRUE,"C0UNPACXX120727:5:2306:9470:2366/2",47,"MediumConfidence","-"
