#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
129249	8	125740125	[125740119,125740564]	8	125852504	[125852363,125852511]	58	30	MTSS1	RP11-1082L8.3	intra-chromosomal
97763	7	99001021	[99001016,99001128]	20	13869158	[13869104,13869160]	12	15	PDAP1	SEL1L2	inter-chromosomal
103632	7	158380250	[158380250,158380375]	3	85932441	[85932440,85932593]	24	5	PTPRN2	CADM2	inter-chromosomal
120882	6	128643184	[128643184,128643455]	6	128040972	[128040833,128040972]	20	6	PTPRK	THEMIS	readthrough-intersecting
79760	17	58469243	[58469243,58469401]	17	57676098	[57676096,57676212]	19	3	USP32	DHX40	intra-chromosomal
78553	17	44171926	[44171924,44172067]	17	44648235	[44648127,44648237]	21	1	KANSL1	ARL17A	intra-chromosomal
95754	2	198557940	[198557837,198557938]	7	116364826	[116364823,116364901]	18	1	AC011997.1	MET	inter-chromosomal
34906	11	76479154	[76479150,76479243]	11	76424230	[76424139,76424233]	18	0	RP11-21L23.4	RP11-672A2.1	readthrough-adjacent
88459	2	32235256	[32235256,32235451]	20	47991529	[47991333,47991532]	9	4	MEMO1	KCNB1	inter-chromosomal
67433	16	18852887	[18852887,18853116]	16	21261052	[21261050,21261350]	8	4	SMG1	ANKS4B	intra-chromosomal
5687	1	39934404	[39934287,39934406]	2	55459944	[55459942,55460008]	7	4	MACF1	RPS27A	inter-chromosomal
95750	2	198557936	[198557838,198557938]	20	8608937	[8608937,8609078]	13	1	AC011997.1	PLCB1	inter-chromosomal
118096	5	175626239	[175626239,175626435]	5	177377310	[177377310,177377499]	12	1	RP11-844P9.2	RP11-423H2.1;RP11-423H2.3	intra-chromosomal
98763	20	35854205	[35854091,35854206]	8	23294771	[23294632,23294773]	11	1	RPN2	ENTPD4	inter-chromosomal
101494	22	25566787	[25566787,25566879]	22	25508430	[25508340,25508430]	13	0	KIAA1671	CTA-221G9.11	readthrough-intersecting
19708	1	204183010	[204183010,204183092]	1	204162042	[204161954,204162042]	12	0	GOLT1A	KISS1	readthrough-adjacent
120047	6	74192343	[74192172,74192343]	6	73900296	[73900293,73900427]	6	3	MTO1	KCNQ5	intra-chromosomal
57194	15	40854180	[40854180,40854335]	7	26241365	[26241365,26241446]	2	5	C15orf57	CBX3	inter-chromosomal
100628	22	18656609	[18656560,18656608]	22	20331888	[20331745,20331889]	4	4	USP18	XXbac-B33L19.4	intra-chromosomal
9864	1	108964196	[108964070,108964198]	1	108805412	[108805155,108805411]	8	2	RP11-131J3.1	RP11-483I13.2	intra-chromosomal
53719	14	70826236	[70826236,70826328]	9	27941426	[27941392,27941429]	12	0	COX16	RP11-438B23.2	inter-chromosomal
115974	5	77753774	[77753661,77753771]	6	109575651	[109575648,109575763]	7	2	SCAMP1	C6orf183	inter-chromosomal
19868	1	207300240	[207300151,207300241]	1	207269867	[207269867,207269941]	10	0	C4BPA	C4BPB	readthrough-adjacent
87044	19	50388015	[50387925,50388016]	2	110921534	[110921474,110921534]	10	0	TBC1D17	NPHP1	inter-chromosomal
79762	17	57676844	[57676736,57676845]	17	58040645	[58040438,58040647]	2	4	DHX40	RNFT1	intra-chromosomal
59335	15	68510874	[68510874,68510963]	15	68489966	[68489889,68489967]	9	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
28263	10	118594446	[118594446,118594533]	10	118466801	[118466711,118466801]	7	1	RP11-539I5.1	HSPA12A	intra-chromosomal
34907	11	76479154	[76479153,76479215]	11	76430725	[76430648,76430725]	8	0	RP11-21L23.4	RP11-672A2.1	readthrough-adjacent
41747	12	54388800	[54388712,54388800]	12	54446944	[54446942,54447025]	8	0	HOXC6;HOXC9	HOXC4	readthrough-intersecting
130478	9	37126939	[37126854,37126940]	9	37160059	[37160059,37160150]	8	0	ZCCHC7	Y_RNA	readthrough-intersecting
73073	16	66599889	[66599820,66599889]	16	66655965	[66655964,66656033]	8	0	CKLF	CMTM4	intra-chromosomal
10904	1	120835810	[120835810,120835925]	1	206557369	[206557367,206557414]	5	1	RP11-439A17.7	SRGAP2	intra-chromosomal
74681	17	65445	[65445,65593]	X	123699410	[123699115,123699411]	1	3	RPH3AL	ODZ1	inter-chromosomal
87904	2	8710578	[8710577,8710638]	2	8685366	[8685286,8685367]	6	0	AC011747.4	AC011747.3	readthrough-intersecting
39927	12	23210831	[23210738,23210832]	12	23338408	[23338405,23338476]	6	0	RP11-114G22.1	RP11-153K16.1	readthrough-intersecting
59551	15	73067243	[73067243,73067365]	6	7881866	[7881866,7881981]	2	2	ADPGK	MUTED-TXNDC5;TXNDC5	inter-chromosomal
133538	X	153278645	[153278645,153278864]	9	134353840	[134353840,134353970]	2	2	IRAK1	PRRC2B	inter-chromosomal
30041	11	5367003	[5367003,5367093]	11	5291386	[5291343,5291388]	5	0	AC104389.28;HBG2	HBE1	readthrough-intersecting
97773	20	14066374	[14066313,14066375]	20	14332879	[14332879,14332972]	5	0	MACROD2	U6	readthrough-intersecting
132284	9	71007389	[71007235,71007386]	9	69083967	[69083857,69083970]	3	1	PGM5	RP11-87H9.3	intra-chromosomal
34147	12	57789532	[57789532,57789603]	11	68337216	[68337214,68337294]	5	0	R3HDM2	PPP6R3	inter-chromosomal
18827	1	180953813	[180953813,180953879]	1	180920054	[180919967,180920055]	5	0	STX6	KIAA1614;RP11-46A10.4	readthrough-intersecting
82037	18	28683157	[28683120,28683159]	18	28710521	[28710521,28710605]	4	0	RP11-408H20.2	DSC1	readthrough-intersecting
40287	12	31478770	[31478770,31478804]	12	31451158	[31451082,31451159]	4	0	AC024940.1	FAM60A	readthrough-intersecting
96098	2	208486530	[208486528,208486610]	2	208461839	[208461759,208461839]	4	0	METTL21A	CREB1	readthrough-intersecting
