"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","HUWE1:XAGE1B","chrX",53674311,"chrX",52240458,1433.856,"281",1056,TRUE,TRUE,TRUE,"Locus_1324_Transcript_40/48_Confidence_0.031_Length_1361",793,"HighConfidence","-"
"jaffa-direct","RARA:KIAA0195","chr17",38487648,"chr17",73481509,34993.863,"55",133,FALSE,TRUE,FALSE,"Locus_19_Transcript_1634/1652_Confidence_0.001_Length_1945",813,"HighConfidence","-"
"jaffa-direct","FBXL20:CDK12","chr17",37499433,"chr17",37665958,166.522,"11",126,TRUE,TRUE,TRUE,"Locus_895_Transcript_46/76_Confidence_0.071_Length_5716",5384,"HighConfidence","-"
"jaffa-direct","CCDC6:ANK3","chr10",61665880,"chr10",61802517,136.634,"24",94,TRUE,TRUE,TRUE,"Locus_1382_Transcript_15/22_Confidence_0.132_Length_3357",735,"HighConfidence","Yes"
"jaffa-direct","DOCK5:CDCA2","chr8",25042466,"chr8",25360889,318.425,"12",54,FALSE,TRUE,FALSE,"Locus_1641_Transcript_6/7_Confidence_0.533_Length_1685",231,"HighConfidence","-"
"jaffa-direct","CDH1:CDH3","chr16",68772314,"chr16",68710288,62.022,"8",44,TRUE,TRUE,TRUE,"Locus_1092_Transcript_22/34_Confidence_0.077_Length_3409",3034,"HighConfidence","-"
"jaffa-direct","UBE2K:UGDH-AS1","chr4",39700010,"chr4",39589543,110.461,"2",16,FALSE,TRUE,TRUE,"Locus_2483_Transcript_11/11_Confidence_0.018_Length_625",366,"HighConfidence","-"
"jaffa-direct","CCSER1:HERC6","chr4",91048982,"chr4",89345012,1703.965,"4",13,FALSE,TRUE,TRUE,"Locus_6943_Transcript_2/8_Confidence_0.407_Length_2447",427,"HighConfidence","-"
"jaffa-direct","GSK3B:GPR156","chr3",119812194,"chr3",119912271,100.074,"4",12,FALSE,TRUE,TRUE,"Locus_3287_Transcript_1/47_Confidence_0.055_Length_1817",1491,"HighConfidence","-"
"jaffa-direct","FEM1B:KCNG3","chr15",68571003,"chr2",42671719,Inf,"3",12,TRUE,TRUE,TRUE,"Locus_2190_Transcript_7/8_Confidence_0.154_Length_3474",2549,"HighConfidence","-"
"jaffa-direct","ITGB6:RBMS1","chr2",160968591,"chr2",161143595,175.002,"3",10,TRUE,TRUE,TRUE,"Locus_1895_Transcript_45/59_Confidence_0.143_Length_3199",865,"HighConfidence","-"
