#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
24176	10	26957336	[26957335,26957426]	10	26934825	[26934728,26934825]	77	0	RP13-16H11.2	RP13-16H11.1	readthrough-adjacent
38178	22	29683123	[29682912,29683125]	11	128651853	[128651853,128651918]	51	6	EWSR1	FLI1	inter-chromosomal
24179	10	26957336	[26957333,26957426]	10	26936653	[26936561,26936653]	48	0	RP13-16H11.2	RP13-16H11.1	readthrough-adjacent
71900	8	38854679	[38854481,38854679]	17	4075975	[4075851,4075978]	33	3	ADAM9	ANKFY1	inter-chromosomal
37269	11	110237259	[110237166,110237259]	11	110306558	[110306558,110306649]	22	0	RP11-347E10.1	FDX1	readthrough-adjacent
50587	14	24761402	[24761402,24761491]	14	24740517	[24740428,24740517]	20	0	DHRS1	RABGGTA	readthrough-adjacent
71899	8	38854679	[38854526,38854679]	17	4074159	[4074009,4074159]	9	5	ADAM9	ANKFY1	inter-chromosomal
45111	12	96189304	[96189304,96189386]	12	96131922	[96131857,96131922]	12	0	RP11-536G4.2	NTN4	readthrough-intersecting
70935	16	85205413	[85205255,85205413]	16	85391069	[85391067,85391190]	8	2	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
27194	10	71906289	[71906289,71906376]	10	71883853	[71883767,71883857]	11	0	TYSND1	AIFM2	readthrough-adjacent
36691	11	86665843	[86665840,86665924]	11	86633146	[86633077,86633143]	9	0	FZD4	RP11-736K20.5	readthrough-intersecting
75479	17	43972846	[43972844,43972932]	17	43906729	[43906657,43906729]	8	0	RP11-105N13.2	CRHR1	readthrough-adjacent
37265	11	110226243	[110226168,110226243]	11	110306558	[110306556,110306650]	8	0	RP11-347E10.1	FDX1	readthrough-adjacent
38275	11	132812969	[132812916,132812969]	11	131748002	[131747913,131748002]	7	0	OPCML	AP004372.1	readthrough-adjacent
42570	12	54388800	[54388712,54388800]	12	54446944	[54446941,54447035]	7	0	HOXC6;HOXC9	HOXC4	readthrough-intersecting
85130	2	177019541	[177019505,177019541]	19	50000852	[50000760,50000853]	7	0	HOXD4	RPS11	inter-chromosomal
50308	14	22958531	[22958458,22958531]	14	23016447	[23016447,23016526]	7	0	TRAJ49	TRAC	intra-chromosomal
97602	21	35469582	[35469494,35469582]	21	35497641	[35497641,35497733]	7	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
99589	22	42262835	[42262834,42262919]	22	42230031	[42229951,42230031]	7	0	SREBF2	RP5-821D11.7	readthrough-intersecting
86841	2	30342634	[30342632,30342701]	2	29940563	[29940480,29940563]	7	0	AC016907.3	ALK	readthrough-adjacent
70939	16	85391249	[85391157,85391250]	16	85682158	[85682155,85682233]	6	0	RP11-680G10.1	KIAA0182	intra-chromosomal
78980	18	12344047	[12344047,12344141]	18	12311052	[12311001,12311053]	6	0	AFG3L2	TUBB6	readthrough-adjacent
4248	1	25883758	[25883666,25883758]	1	25916660	[25916659,25916719]	6	0	LDLRAP1	RP11-70P17.1	readthrough-adjacent
8012	1	65532310	[65532311,65532399]	1	65352024	[65351942,65352025]	6	0	RP4-535B20.1	JAK1	intra-chromosomal
78975	18	12308348	[12308256,12308348]	18	12329143	[12329143,12329233]	6	0	TUBB6	AFG3L2	readthrough-adjacent
87201	2	45171865	[45171802,45171867]	2	45194834	[45194834,45194924]	6	0	SIX3	AC012354.6	readthrough-adjacent
112759	5	176761285	[176761285,176761362]	5	176738485	[176738418,176738487]	6	0	LMAN2	MXD3	readthrough-adjacent
30086	10	135269741	[135269740,135269830]	10	135216277	[135216217,135216280]	5	0	RP11-108K14.4	MTG1	readthrough-intersecting
88025	2	71148415	[71148333,71148415]	2	71185172	[71185172,71185248]	5	0	VAX2	ATP6V1B1	readthrough-adjacent
87952	2	69732701	[69732701,69732759]	2	69693684	[69693610,69693684]	5	0	AAK1	AC114772.1	readthrough-intersecting
57590	15	68510874	[68510874,68510949]	15	68489966	[68489901,68489967]	5	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
21821	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356415]	5	0	C1orf95	MUM1	inter-chromosomal
34567	11	66407594	[66407523,66407594]	8	39502857	[39502855,39502914]	4	0	RBM14-RBM4;RBM4	ADAM18	inter-chromosomal
37983	11	122953793	[122953793,122953872]	11	122932037	[122931969,122932037]	4	0	CLMP	HSPA8	readthrough-adjacent
87199	2	45171866	[45171823,45171866]	2	45193557	[45193556,45193629]	4	0	SIX3	AC012354.6	readthrough-adjacent
