"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","EML4:ALK","chr2",42492091,"chr2",29446394,13045.695,"1",6,TRUE,TRUE,TRUE,"Locus_6961_Transcript_16/20_Confidence_0.242_Length_3240",974,"HighConfidence","Yes"
"jaffa-direct","P4HB:RPL37A","chr17",79817263,"chr2",217363573,Inf,"0",21,FALSE,TRUE,TRUE,"Locus_971_Transcript_35/59_Confidence_0.168_Length_3929",2827,"MediumConfidence","-"
"jaffa-direct","KATNAL1:ZC3H13","chr13",30881468,"chr13",46563232,15681.758,"0",16,FALSE,TRUE,TRUE,"Locus_5025_Transcript_3/16_Confidence_0.519_Length_4908",4703,"MediumConfidence","-"
"jaffa-direct","DCBLD2:STXBP5L","chr3",98526925,"chr3",121037322,22510.393,"0",12,FALSE,TRUE,TRUE,"Locus_2669_Transcript_25/32_Confidence_0.193_Length_5532",2015,"MediumConfidence","-"
"jaffa-direct","RPL37A:P4HB","chr2",217363573,"chr17",79817263,Inf,"0",8,FALSE,TRUE,TRUE,"Locus_971_Transcript_14/59_Confidence_0.188_Length_3381",769,"MediumConfidence","-"
"jaffa-direct","IQGAP1:EAPP","chr15",90996524,"chr14",35008916,Inf,"0",6,FALSE,TRUE,TRUE,"Locus_853_Transcript_3/8_Confidence_0.167_Length_2193",1582,"MediumConfidence","-"
"jaffa-direct","PTCH1:C7orf55-LUC7L2","chr9",98268689,"chr7",139060808,Inf,"0",5,TRUE,TRUE,TRUE,"Locus_177_Transcript_9/13_Confidence_0.500_Length_2483",204,"MediumConfidence","-"
"jaffa-direct","RP11-77K12.5:TMEM231","chr16",75550101,"chr16",75579852,29.749,"-",1,FALSE,TRUE,TRUE,"Locus_8261_Transcript_5/5_Confidence_0.321_Length_2375",2304,"MediumConfidence","-"
"jaffa-direct","GFOD2:IST1","chr16",67753066,"chr16",71928624,4175.556,"-",1,FALSE,TRUE,TRUE,"Locus_3137_Transcript_19/27_Confidence_0.510_Length_2984",2804,"MediumConfidence","-"
"jaffa-direct","TTC39A:WDTC1","chr1",51787393,"chr1",27587447,24199.95,"-",1,FALSE,TRUE,TRUE,"Locus_6881_Transcript_1/4_Confidence_0.380_Length_2099",58,"MediumConfidence","-"
"jaffa-direct","SLC43A3:RP11-473J6.1","chr11",57175149,"chr8",35820954,Inf,"54",93,NA,FALSE,TRUE,"Locus_763_Transcript_80/132_Confidence_0.144_Length_2776",2027,"LowConfidence","-"
"jaffa-direct","SUMO3:SRSF6","chr21",46229010,"chr20",42090014,Inf,"17",23,NA,FALSE,TRUE,"Locus_2955_Transcript_6/6_Confidence_0.532_Length_1955",264,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387760,"chr10",51732772,345.012,"1",28,NA,FALSE,FALSE,"Locus_331_Transcript_66/75_Confidence_0.111_Length_1107",628,"LowConfidence","-"
"jaffa-direct","ZNF419:AC004076.9","chr19",58002963,"chr19",57988851,14.112,"2",16,NA,FALSE,TRUE,"Locus_4704_Transcript_31/45_Confidence_0.079_Length_1235",632,"LowConfidence","-"
"jaffa-direct","RBPJ:FBXW2","chr4",26435873,"chr9",123522984,Inf,"9",3,NA,FALSE,TRUE,"Locus_5258_Transcript_5/18_Confidence_0.408_Length_3872",818,"LowConfidence","-"
"jaffa-direct","TMEM2:CEP41","chr9",74299321,"chr7",130038467,Inf,"3",3,NA,FALSE,TRUE,"Locus_3536_Transcript_11/45_Confidence_0.287_Length_6113",5207,"LowConfidence","-"
"jaffa-direct","ZBTB37:FBXW2","chr1",173863951,"chr9",123522963,Inf,"1",2,NA,FALSE,TRUE,"Locus_15101_Transcript_6/10_Confidence_0.290_Length_948",569,"LowConfidence","-"
