#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
67610	14	106330425	[106330425,106330472]	4	1902353	[1902351,1902443]	165	0	IGHJ4	WHSC1	inter-chromosomal
67603	4	1858056	[1857897,1858058]	14	106325054	[106324729,106325055]	87	28	LETM1	AL122127.4	inter-chromosomal
67557	14	106237115	[106237019,106237116]	14	106175002	[106174905,106175002]	32	0	IGHG3	IGHA1	intra-chromosomal
168463	X	45708809	[45708809,45708899]	X	2209644	[2209555,2209647]	21	0	RP5-1158E12.3	DHRSX	intra-chromosomal
157921	7	130630479	[130630477,130630561]	7	130569155	[130569079,130569157]	16	0	AC058791.2	AC058791.1	readthrough-adjacent
168464	X	45710780	[45710780,45710953]	X	2209644	[2209543,2209647]	1	6	RP5-1158E12.3	DHRSX	intra-chromosomal
165479	9	46688114	[46687952,46688115]	9	66525128	[66525008,66525128]	10	1	RP11-111F5.4;RP11-111F5.5	RP11-262H14.3	intra-chromosomal
69426	15	40854971	[40854970,40855226]	7	26241385	[26241386,26241446]	3	4	C15orf57	CBX3	inter-chromosomal
87611	16	70030371	[70030293,70030370]	16	28746905	[28746752,28746905]	9	1	PDXDC2P;RP11-419C5.2	EIF3C	intra-chromosomal
134668	3	186845787	[186845787,186845851]	3	186760561	[186760521,186760561]	4	2	RPL39L	ST6GAL1	readthrough-adjacent
47980	12	8549019	[8549019,8549214]	7	97499125	[97499053,97499125]	2	3	RP11-90D4.2	ASNS	inter-chromosomal
62542	14	35181690	[35181690,35181822]	13	107195675	[107195675,107195898]	1	3	CFL2	ARGLU1	inter-chromosomal
163388	12	53586494	[53586494,53586622]	9	33534368	[33534368,33534373]	1	3	ITGB7	ANKRD18B	inter-chromosomal
104887	19	18277145	[18276966,18277145]	12	53590465	[53590363,53590465]	2	2	PIK3R2	ITGB7	inter-chromosomal
