juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr11_66241396_+:chr11_66249664_+	readthrough	0	na	8	7	4	57.1429	6	85.7143	1	0	0	100	100	0	0	na	na	GT	AG	66241318	66249761	1	1	8268	ENSG00000174516.10	ENSG00000254986.3	PELI3	DPP3	protein_coding	protein_coding	C1LUFACXX130228:2:1304:12440:94694/1,C1NHTACXX130228:5:2211:1602:86424/1,H0976ADXX130311:1:1105:10980:46301/1,C1NHDACXX130227:5:1307:17525:11704/1,C1N6EACXX130227:6:2212:4330:88292/1,C1LUFACXX130228:5:2203:19863:47703/1,C1LUFACXX130228:3:1214:20405:80927/2,	C1LUFACXX130228:6:2112:4479:85369,	na
chr14_22978390_+:chr14_23016447_+	readthrough	0	na	18	17	14	82.3529	1	5.88235	1	0	0	76.7442	100	0	0	na	na	GT	AG	22978305	23016537	1	1	38057	ENSG00000211857.1	ENSG00000229164.5	TRAJ32	TRAC	TR_J_gene	TR_C_gene	C1NHTACXX130228:6:2115:3006:85882/1,C1NHTACXX130228:6:2110:6376:33914/2,C1LUFACXX130228:8:2301:3170:60411/2,C1LUFACXX130228:1:1115:13083:69615/2,C1NHTACXX130228:2:1305:3077:81286/2,C1NHTACXX130228:4:1215:8367:89792/2,C1LUFACXX130228:8:2301:3170:60411/1,C1LUFACXX130228:1:1115:13083:69615/1,C1NHDACXX130227:4:2102:14947:19076/1,C1N6EACXX130227:8:2305:17230:72429/2,C1LUFACXX130228:4:1216:7831:15420/2,C1NHDACXX130227:4:2102:14947:19076/2,C1N6EACXX130227:1:2213:4656:81905/2,C1NHDACXX130227:8:1107:15286:51565/2,C1NHTACXX130228:2:1305:3077:81286/1,C1NHTACXX130228:6:2110:6376:33914/1,C1NHTACXX130228:4:1215:8367:89792/1,	C1LUFACXX130228:3:1106:7995:95968,	na
chr9_540667_+:chr9_549190_+	readthrough	0	na	9	8	4	50	2	25	1	0	0	100	100	0	0	na	na	GT	AG	540598	549256	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	H0976ADXX130311:1:1208:8407:13100/1,C1NHDACXX130227:7:1203:16733:81903/2,C1NHDACXX130227:7:1203:16733:81903/2,C1NHTACXX130228:2:1116:9722:58585/1,C1LUFACXX130228:7:2211:9860:34368/2,C1LUFACXX130228:7:1105:4250:39813/2,C1NHTACXX130228:5:2106:8000:9469/1,C1NHTACXX130228:3:1314:15270:55014/1,	C1N6EACXX130227:2:1304:15623:10873,	na
chr9_540667_+:chr9_549107_+	readthrough	0	na	4	3	2	66.6667	0	0	1	0	0	100	100	0	0	na	na	GT	AG	540608	549193	1	1	8440	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	C1NHTACXX130228:6:2209:12519:57122/2,H064BADXX130311:1:1208:14454:71669/1,C1NHTACXX130228:2:2112:8757:12928/1,	C1N6EACXX130227:2:1304:15623:10873,	na
chr22_50750772_-:chr22_50733207_-	readthrough	0	na	3	1	1	100	0	0	2	1	33.3333	100	92.3077	0	0	na	na	GT	AG	50750807	50733143	1	1	17565	ENSG00000205593.7	ENSG00000196576.10	DENND6B	PLXNB2	protein_coding	protein_coding	C1LUFACXX130228:5:2113:10299:86300/1,	H097HADXX130311:1:2104:17787:7159,C1NHTACXX130228:8:2312:21063:45170,	H0976ADXX130311:1:1201:12212:75014,
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	35	34	18	52.9412	11	32.3529	1	0	0	100	100	0	0	na	na	GT	AG	10269182	10282076	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	C1NHDACXX130227:5:1108:10326:85876/2,C1N6EACXX130227:6:2215:15146:76289/2,C1K43ACXX130219:3:2215:10600:93705/2,C1N6EACXX130227:4:1311:11047:99110/2,C1LUFACXX130228:8:1308:5204:48989/2,C1NHDACXX130227:7:1113:16413:59882/1,C1NHTACXX130228:1:1216:19794:59050/2,H064BADXX130311:1:2216:14536:61976/1,C1K43ACXX130219:3:2216:17921:56339/1,H0976ADXX130311:2:1205:3689:79259/1,H0976ADXX130311:2:1205:3689:79259/1,C1N6EACXX130227:4:1315:11708:46859/2,C1NHTACXX130228:6:2212:21377:12887/2,C1NHDACXX130227:6:2202:6029:30343/2,C1NHDACXX130227:4:2312:19885:43588/2,C1NHDACXX130227:2:2204:1151:5728/1,C1N6EACXX130227:4:2306:20514:96317/1,C1NHTACXX130228:8:2109:11296:17781/1,C1NHTACXX130228:7:2113:21220:36011/1,C1NHTACXX130228:4:1115:17808:49924/1,C1NHDACXX130227:8:2106:19810:86357/2,C1N6EACXX130227:6:1102:13247:30264/1,C1NHTACXX130228:2:2205:17583:39995/1,C1NHTACXX130228:2:2205:17583:39995/1,C1K43ACXX130219:6:1214:8258:2060/2,C1NHTACXX130228:1:2307:9290:30253/2,C1NHDACXX130227:8:2114:9004:84690/1,C1NHTACXX130228:1:1105:7290:80394/1,C1NHDACXX130227:8:1101:7639:13124/1,C1LUFACXX130228:8:1315:18856:62653/1,C1NHDACXX130227:2:2108:5708:11875/1,C1N6EACXX130227:4:2204:10649:79495/1,C1LUFACXX130228:1:1315:13872:11066/2,C1K43ACXX130219:3:2213:18740:56542/2,	H097HADXX130311:1:2215:2351:68749,	na
chr7_27189927_-:chr7_27179805_-	readthrough	0	na	24	22	15	68.1818	8	36.3636	2	1	33.3333	100	100	0	0	136	85.29	GT	AG	27190025	27179707	1	1	10122	ENSG00000106006.6	ENSG00000105997.18,ENSG00000273433.1	HOXA6	HOXA3,RP1-170O19.22	protein_coding	protein_coding,processed_transcript	C1NHTACXX130228:8:2314:16375:36126/1,C1N6EACXX130227:2:2116:18963:29504/1,C1LUFACXX130228:8:2316:11584:18978/1,H097HADXX130311:2:2205:10066:88681/2,C1K43ACXX130219:3:2315:10958:100621/1,C1LUFACXX130228:4:2312:11536:57319/1,C1K43ACXX130219:5:2208:19090:92131/2,C1N6EACXX130227:6:1116:7967:20623/1,C1K43ACXX130219:5:2212:20957:7738/1,C1LUFACXX130228:3:1314:5260:21137/2,H064BADXX130311:1:2114:13434:84239/2,C1NHDACXX130227:2:1105:13935:87858/2,C1LUFACXX130228:7:2214:13112:38311/1,C1LUFACXX130228:4:1206:19872:86964/1,C1LUFACXX130228:6:2302:14026:21496/2,C1NHTACXX130228:8:2314:16375:36126/2,H064BADXX130311:2:2109:16249:24912/2,H0976ADXX130311:1:1205:17664:75836/2,H064BADXX130311:1:2213:11469:20538/1,C1NHTACXX130228:3:1314:8144:4211/1,C1N6EACXX130227:1:2304:7819:73762/1,H0976ADXX130311:2:1104:1484:63024/2,	C1N6EACXX130227:4:2114:8984:85704,C1N6EACXX130227:8:2110:12963:27277,	H0976ADXX130311:1:1113:3560:42564,
chr10_6268328_+:chr10_6368509_+	intrachromosomal	0	na	4	2	1	50	0	0	2	0	0	100	100	0	0	na	na	GT	AG	6268266	6368546	1	1	100181	ENSG00000170525.14	ENSG00000215244.2	PFKFB3	RP11-563J2.2	protein_coding	lincRNA	C1N6EACXX130227:8:1302:13919:26360/2,C1LUFACXX130228:2:2114:10475:82048/2,	C1N6EACXX130227:8:2113:8649:91026,C1LUFACXX130228:6:1109:6833:54099,	na
chr1_145472667_+:chr1_145487304_+	readthrough	0	na	8	6	3	50	5	83.3333	2	0	0	100	100	0	0	na	na	GT	AG	145472637	145487403	1	1	14637	ENSG00000181039.7	ENSG00000152022.7	ANKRD34A	LIX1L	protein_coding	protein_coding	C1NHTACXX130228:3:2204:4721:52583/2,C1NHDACXX130227:1:1109:12768:29992/2,C1NHDACXX130227:3:2109:12406:6888/2,C1N6EACXX130227:2:1202:19200:62996/2,C1N6EACXX130227:1:2211:1514:85797/2,C1NHTACXX130228:8:1115:16761:82199/2,	H097HADXX130311:2:2104:4450:8463,H097HADXX130311:1:1213:4410:96028,	na
chr2_173360103_-:chr2_173329302_-	readthrough	0	na	8	6	3	50	5	83.3333	2	0	0	100	100	0	0	na	na	GT	AG	173360202	173329242	1	1	30801	ENSG00000225205.1	ENSG00000232788.1	AC093818.1	AC078883.3	antisense	antisense	C1N6EACXX130227:4:2211:8969:56521/1,C1K43ACXX130219:3:2314:1731:5037/2,C1NHTACXX130228:6:2211:10659:48606/1,C1NHDACXX130227:3:2115:20937:18574/1,C1N6EACXX130227:8:1106:11815:49884/1,C1LUFACXX130228:8:2210:12340:96558/1,	C1N6EACXX130227:7:1206:11249:72377,C1K43ACXX130219:3:1313:6580:23336,	na
