juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr12_6457893_-:chr12_6443410_-	readthrough	0	na	13	11	7	63.6364	8	72.7273	2	2	50	96.2025	100	0	0	na	na	GT	AG	6457971	6443315	1	1	14483	ENSG00000111319.8	ENSG00000067182.3	SCNN1A	TNFRSF1A	protein_coding	protein_coding	D2B83ACXX130818:6:1209:3501:60377/2,D2B83ACXX130818:6:1209:3501:60377/2,D2FGHACXX130903:8:2314:4199:18247/2,D2BCKACXX130819:1:1208:4109:71841/1,D2FGHACXX130903:5:2113:6166:46318/1,D2FGHACXX130903:6:1113:13833:81678/1,D2FGHACXX130903:4:1106:2386:29072/2,D2FGHACXX130903:4:1106:2386:29072/2,D2FGHACXX130903:4:1106:2386:29072/2,D2FUTACXX130901:5:1316:9303:61059/1,D2B83ACXX130818:6:2213:4175:65291/1,	C29TWACXX130819:4:1112:10312:53265,D2B75ACXX130819:7:1114:17619:75470,	D2B83ACXX130818:7:2212:11641:26414,D2B83ACXX130818:6:1312:18311:36734,
chr16_77246543_+:chr16_77323173_+	readthrough	0	na	3	2	2	100	2	100	1	0	0	100	100	0	0	na	na	GT	AG	77246468	77323197	1	1	76630	ENSG00000205078.5	ENSG00000260922.1	SYCE1L	RP11-538I12.3	protein_coding	antisense	D2B75ACXX130819:3:2103:16014:13537/2,D2B75ACXX130819:3:2103:16014:13537/2,	D2FUTACXX130901:6:2314:4497:4433,	na
chr17_25944454_+:chr17_25965289_+	readthrough	0	na	8	7	6	85.7143	7	100	1	0	0	100	100	0	0	na	na	GT	AG	25944366	25965385	1	1	20835	ENSG00000141068.9	ENSG00000168961.12	KSR1	LGALS9	protein_coding	protein_coding	D2FGHACXX130903:8:2213:15999:96854/2,D2FUTACXX130901:7:2110:19031:92583/1,D2FGHACXX130903:8:2213:15999:96854/1,D2B75ACXX130819:2:1301:7710:75493/1,D2B75ACXX130819:2:1301:7710:75493/1,D2BCKACXX130819:5:1111:10087:5295/1,D2FGHACXX130903:7:2202:17231:85162/1,	D2BCKACXX130819:6:1310:16781:9336,	na
chr19_11478850_-:chr19_11456304_-	readthrough	0	na	45	42	7	16.6667	40	95.2381	3	0	0	100	100	51	0	na	na	GT	AG	11478927	11456205	1	1	22546	ENSG00000267277.1	ENSG00000105518.9	CTD-2342J14.6	TMEM205	antisense	protein_coding	D2B75ACXX130819:4:2111:18121:61079/2,D2B75ACXX130819:3:1211:16395:83143/2,C29TWACXX130819:5:2115:14024:6093/1,D2FGHACXX130903:3:1309:2294:35313/2,D2B83ACXX130818:7:1312:6143:24386/2,D2B83ACXX130818:4:1209:13953:9638/1,D2B75ACXX130819:7:1302:10304:78281/1,D2B75ACXX130819:2:1116:2838:56884/1,C29TWACXX130819:6:2102:12262:44830/1,C29TWACXX130819:2:1102:20960:26637/1,D2FGHACXX130903:3:2210:9046:48142/1,D2B75ACXX130819:2:2106:18737:31257/2,D2FGHACXX130903:3:1204:2647:17466/1,D2BCKACXX130819:8:2209:10140:80230/2,D2BCKACXX130819:7:2212:10739:96127/2,D2BCKACXX130819:4:2109:9339:29453/1,D2BCKACXX130819:4:1215:2875:29114/2,D2BCKACXX130819:3:2111:17058:82083/1,D2BCKACXX130819:3:1205:16275:85722/2,D2B83ACXX130818:7:1110:20864:10931/1,D2B75ACXX130819:4:2301:8192:76780/2,D2B75ACXX130819:4:2213:5466:75274/1,D2B75ACXX130819:3:1103:9391:44893/2,D2B75ACXX130819:1:2211:7488:17382/1,D2B75ACXX130819:1:2202:15704:32560/1,C29TWACXX130819:8:2303:19764:52095/1,C29TWACXX130819:7:1315:2734:68015/2,C29TWACXX130819:7:1105:15017:52166/1,C29TWACXX130819:5:2106:8355:70950/2,C29TWACXX130819:1:2307:21135:72188/1,C29TWACXX130819:1:2215:11456:61512/2,D2B83ACXX130818:8:2104:5662:68046/1,D2FGHACXX130903:4:1110:15793:30715/1,D2FGHACXX130903:1:1205:3491:44470/2,D2BCKACXX130819:6:2211:8055:47046/1,D2BCKACXX130819:1:2206:18367:90553/2,D2B83ACXX130818:6:2215:18976:36941/2,D2B75ACXX130819:8:1112:14558:38056/1,D2B75ACXX130819:2:1213:14531:76531/2,C29TWACXX130819:7:1310:7014:91024/1,C29TWACXX130819:3:1315:11406:44042/2,C29TWACXX130819:1:2203:7143:75682/2,	D2B75ACXX130819:6:1202:15594:95961,H13N7ADXX130815:2:2208:6390:82840,D2FGHACXX130903:8:2212:2666:22394,	na
chr1_46650980_+:chr1_46685371_+	readthrough	0	na	11	9	8	88.8889	3	33.3333	2	0	0	87.5	100	0	0	na	na	GT	AG	46650885	46685460	1	1	34391	ENSG00000117472.5	ENSG00000171357.5	TSPAN1	LURAP1	protein_coding	protein_coding	D2FGHACXX130903:3:2307:14278:80274/1,D2B75ACXX130819:6:1103:19992:80551/2,D2FGHACXX130903:7:2107:2809:64793/2,C29TWACXX130819:2:1113:15171:78390/1,C29TWACXX130819:2:1113:15171:78390/1,D2FGHACXX130903:3:1214:10494:84536/1,D2FGHACXX130903:7:2201:14829:23418/1,D2B83ACXX130818:8:1213:16322:23966/2,D2FGHACXX130903:7:2107:2809:64793/1,	C29TWACXX130819:7:2114:6698:94743,D2FGHACXX130903:4:1102:8956:37626,	na
chr19_17940917_-:chr19_17932384_-	readthrough	0	na	8	4	3	75	3	75	4	0	0	100	98.75	0	1	na	na	GT	AG	17941016	17932305	1	1	8533	ENSG00000105639.14	ENSG00000248099.3	JAK3	INSL3	protein_coding	protein_coding	C29TWACXX130819:7:1211:4562:36860/2,D2FGHACXX130903:8:1115:12032:54796/2,D2FGHACXX130903:8:1115:12032:54796/2,D2BCKACXX130819:6:1109:18083:22280/2,	H13N7ADXX130815:2:2106:3571:66506,D2B75ACXX130819:8:2308:7469:33360,D2FGHACXX130903:1:2104:1315:20718,D2FGHACXX130903:6:1203:10063:45883,	na
chr16_89977775_+:chr16_89978903_+	readthrough	0	na	7	3	3	100	0	0	4	0	0	100	100	11	376	na	na	GT	AG	89977726	89978972	1	1	1128	ENSG00000141002.14	ENSG00000258839.2	TCF25	MC1R	protein_coding	protein_coding	D2FGHACXX130903:8:1116:8202:91006/2,D2FGHACXX130903:7:1203:6906:35515/2,C29TWACXX130819:7:2312:8286:95632/1,	D2B75ACXX130819:7:1202:20788:30711,C29TWACXX130819:1:2205:15122:53239,D2FUTACXX130901:7:2210:11717:31390,D2BCKACXX130819:8:1201:10670:36482,	na
chr7_56170560_-:chr7_56156668_-	readthrough	0	na	11	10	5	50	9	90	1	0	0	100	100	0	0	na	na	GT	AG	56170658	56156652	1	1	13892	ENSG00000106153.12	ENSG00000164776.5	CHCHD2	PHKG1	protein_coding	protein_coding	D2FUTACXX130901:6:2203:18564:11790/1,D2FGHACXX130903:7:2108:10265:87730/1,D2B83ACXX130818:4:2203:8231:64330/1,D2B75ACXX130819:8:1306:12915:7373/1,D2B75ACXX130819:7:2305:17670:33641/2,D2B75ACXX130819:3:2203:18994:49760/1,D2B75ACXX130819:2:1308:4416:38309/1,D2FGHACXX130903:4:1303:20781:97256/1,D2B75ACXX130819:6:2110:2678:74613/1,D2BCKACXX130819:3:1301:15562:19543/1,	D2B75ACXX130819:7:1113:15826:6200,	na
chr2_85808999_+:chr2_85818848_+	readthrough	0	na	25	16	13	81.25	9	56.25	9	0	0	100	100	121	0	na	na	GT	AG	85808904	85818946	1	1	9849	ENSG00000118640.6	ENSG00000168899.4	VAMP8	VAMP5	protein_coding	protein_coding	D2B75ACXX130819:3:2114:6851:97090/2,D2B83ACXX130818:4:2101:14083:55133/2,D2BCKACXX130819:8:1304:17235:50206/2,D2B83ACXX130818:8:1103:9869:86055/2,D2FGHACXX130903:5:1115:16162:92866/2,D2FGHACXX130903:5:1115:16162:92866/2,D2FUTACXX130901:7:2310:8907:81560/1,D2FGHACXX130903:3:1205:7115:32556/1,D2B75ACXX130819:6:1216:10024:70316/1,D2B75ACXX130819:3:2114:6851:97090/1,H13N7ADXX130815:2:1202:13268:69892/2,D2B75ACXX130819:5:1108:8475:47342/2,D2B83ACXX130818:6:2314:14780:29211/2,D2B75ACXX130819:4:1314:4936:68564/1,D2B75ACXX130819:4:1314:4936:68564/1,D2B75ACXX130819:5:2107:11065:83455/2,	D2B75ACXX130819:2:2103:16285:68056,D2BCKACXX130819:3:2314:8370:48977,D2FGHACXX130903:5:2211:8952:72356,D2FGHACXX130903:3:2211:3879:75609,D2B83ACXX130818:4:2116:17953:34969,D2BCKACXX130819:2:1205:3063:94904,H13N7ADXX130815:1:1105:18336:90832,D2FUTACXX130901:5:1212:11390:29762,D2B75ACXX130819:1:2201:7583:81785,	na
chr12_6457237_-:chr12_6443410_-	readthrough	0	na	11	7	6	85.7143	6	85.7143	4	0	0	100	100	387	0	na	na	GT	AG	6457336	6443364	1	1	13827	ENSG00000111319.8	ENSG00000067182.3	SCNN1A	TNFRSF1A	protein_coding	protein_coding	H13N7ADXX130815:1:2111:5572:46091/1,D2FGHACXX130903:7:2304:18141:20137/2,C29TWACXX130819:7:2103:14360:54786/1,C29TWACXX130819:7:2103:14360:54786/1,D2BCKACXX130819:2:1306:20142:47844/1,D2B75ACXX130819:1:2314:16472:64075/1,D2B75ACXX130819:1:1103:12554:65023/1,	C29TWACXX130819:4:1112:10312:53265,D2B75ACXX130819:7:1114:17619:75470,D2B83ACXX130818:7:2212:11641:26414,D2B83ACXX130818:6:1312:18311:36734,	na
