"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","THOC2:MTSS1","chrX",122840708,"chr8",125716432,Inf,"34",144,TRUE,TRUE,TRUE,"Locus_2688_Transcript_20/21_Confidence_0.169_Length_4657",4386,"HighConfidence","-"
"jaffa-direct","RP11-398K22.12:C6orf57","chr6",73973139,"chr6",71289117,2684.019,"-",7,FALSE,TRUE,TRUE,"Locus_9280_Transcript_10/15_Confidence_0.264_Length_681",179,"MediumConfidence","-"
"jaffa-direct","AKT2:UBE2G2","chr19",40761065,"chr21",46193602,Inf,"0",7,FALSE,TRUE,TRUE,"Locus_2727_Transcript_72/78_Confidence_0.028_Length_1566",1015,"MediumConfidence","-"
"jaffa-direct","AP001347.6:ZNF721","chr21",15399918,"chr4",466490,Inf,"-",7,FALSE,TRUE,TRUE,"Locus_6018_Transcript_40/64_Confidence_0.111_Length_1334",1170,"MediumConfidence","-"
"jaffa-direct","DANCR:IMMP1L","chr4",53579126,"chr11",31455117,Inf,"0",7,FALSE,TRUE,TRUE,"Locus_6909_Transcript_8/14_Confidence_0.023_Length_742",490,"MediumConfidence","-"
"jaffa-direct","ATIC:RPE","chr2",216182956,"chr2",210880697,5302.256,"0",6,FALSE,TRUE,TRUE,"Locus_1848_Transcript_10/23_Confidence_0.301_Length_3512",3215,"MediumConfidence","-"
"jaffa-direct","CHMP5:GAPVD1","chr9",33267897,"chr9",128086077,94818.183,"0",5,FALSE,TRUE,FALSE,"Locus_2096_Transcript_5/19_Confidence_0.134_Length_4565",4167,"MediumConfidence","-"
"jaffa-direct","CTD-3131K8.2:IL12RB1","chr19",17622152,"chr19",18197742,575.588,"-",4,FALSE,TRUE,TRUE,"Locus_8647_Transcript_10/11_Confidence_0.639_Length_1306",1165,"MediumConfidence","-"
"jaffa-direct","RAD51-AS1:UBR3","chr15",40986784,"chr2",170885856,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_1485_Transcript_3/10_Confidence_0.093_Length_2015",143,"MediumConfidence","-"
"jaffa-direct","LTBP1:OR13A1","chr2",33488459,"chr10",45799948,Inf,"0",3,FALSE,TRUE,TRUE,"Locus_6997_Transcript_2/19_Confidence_0.059_Length_1078",784,"MediumConfidence","-"
"jaffa-direct","PLK4:SPATA5","chr4",128803081,"chr4",124011734,4791.338,"0",1,FALSE,TRUE,TRUE,"Locus_3146_Transcript_4/9_Confidence_0.175_Length_999",647,"MediumConfidence","-"
"jaffa-direct","RP11-161H23.5:RP11-386G11.10","chr12",49666447,"chr12",49522441,144.006,"16",43,NA,FALSE,TRUE,"Locus_1015_Transcript_30/70_Confidence_0.133_Length_2224",1562,"LowConfidence","-"
"jaffa-direct","POTEI:ACTG1","chr2",131220293,"chr17",79478079,Inf,"40",4,NA,FALSE,TRUE,"Locus_296_Transcript_4/22_Confidence_0.096_Length_1021",785,"LowConfidence","-"
"jaffa-direct","PDK1:ZSCAN4","chr2",173461837,"chr19",58182236,Inf,"20",20,NA,FALSE,TRUE,"Locus_5919_Transcript_14/33_Confidence_0.266_Length_3871",3504,"LowConfidence","-"
"jaffa-direct","GNAL:GNAS","chr18",11825004,"chr20",57478610,Inf,"3",33,NA,FALSE,TRUE,"Locus_8_Transcript_376/514_Confidence_0.003_Length_3804",579,"LowConfidence","-"
"jaffa-direct","LIMD2:CDKN3","chr17",61776299,"chr14",54863724,Inf,"1",28,NA,FALSE,TRUE,"Locus_2431_Transcript_21/26_Confidence_0.202_Length_2955",2245,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387760,"chr10",51732772,345.012,"2",16,NA,FALSE,FALSE,"Locus_1119_Transcript_108/177_Confidence_0.009_Length_1038",643,"LowConfidence","-"
"jaffa-direct","PDIA4:SKIV2L2","chr7",148700731,"chr5",54688335,Inf,"4",7,NA,FALSE,TRUE,"Locus_1939_Transcript_8/17_Confidence_0.269_Length_2962",561,"LowConfidence","-"
"jaffa-direct","CHD1L:PIP5K1A","chr1",146767355,"chr1",151171554,4404.199,"1",7,NA,FALSE,TRUE,"Locus_3898_Transcript_5/31_Confidence_0.342_Length_3429",2907,"LowConfidence","-"
"jaffa-direct","PANK3:SCAND2P","chr5",167976784,"chr15",85185584,Inf,"2",5,NA,FALSE,TRUE,"Locus_813_Transcript_121/138_Confidence_0.040_Length_6913",1275,"LowConfidence","-"
"jaffa-direct","ZKSCAN8:RP11-673C5.2","chr6",28125868,"chr15",71457308,Inf,"1",3,NA,FALSE,TRUE,"Locus_1495_Transcript_29/52_Confidence_0.103_Length_4297",1340,"LowConfidence","-"
