juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr12_89860547_-:chr12_89743338_-	intrachromosomal	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	89860646	89743289	1	1	117209	ENSG00000139323.9	ENSG00000139318.7	POC1B	DUSP6	protein_coding	protein_coding	C1E5MACXX130111:5:2204:18308:43722/1,C1EF5ACXX130117:4:2314:19002:86744/2,	C1EF5ACXX130117:3:2114:13265:92157,	na
chr6_32159486_-:chr6_32156281_-	readthrough	0	na	6	5	4	80	2	40	1	0	0	100	100	0	0	na	na	GT	AG	32159541	32156184	1	1	3205	ENSG00000213654.5	ENSG00000204304.7	GPSM3	PBX2	protein_coding	protein_coding	D1JYHACXX130117:5:1304:13579:61316/2,C1FGVACXX130122:2:2214:8328:4932/1,D1JYHACXX130117:1:1102:17445:51803/1,C1FGVACXX130122:6:1212:6633:85219/1,D1JYHACXX130117:1:2109:9576:39903/1,	C1EF5ACXX130117:7:2203:3131:30828,	na
chr16_75425278_-:chr16_75414032_-	readthrough	0	na	7	3	3	100	0	0	4	0	0	100	100	0	0	na	na	GT	AG	75425342	75413952	1	1	11246	ENSG00000153774.4	ENSG00000261783.1	CFDP1	RP11-252K23.2	protein_coding	sense_intronic	D1JYHACXX130117:1:1111:8082:32687/1,D1JYHACXX130117:7:1116:9933:63658/1,D1JYHACXX130117:7:1116:9933:63658/2,	C1EF5ACXX130117:3:2304:17393:33609,C1E2NACXX130117:1:1105:19812:90086,C1E5MACXX130111:4:2213:18886:2171,C1FGVACXX130122:2:1108:4566:13047,	na
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	11	10	10	100	3	30	1	0	0	100	100	0	0	na	na	GT	AG	85029039	84967557	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C1FGVACXX130122:5:2112:9895:27127/2,C1E5MACXX130111:5:2216:10690:56646/1,C1E2NACXX130117:5:1207:12912:28057/1,C1EF5ACXX130117:7:1107:7823:14046/1,C1EF5ACXX130117:6:1314:7622:80987/2,C1E2NACXX130117:2:1105:19493:37276/1,C1EF5ACXX130117:7:2308:3902:62938/1,C1EF5ACXX130117:6:1201:8200:83824/1,C1E5MACXX130111:5:2216:10690:56646/2,C1EF5ACXX130117:6:1201:8200:83824/2,	C1DVPACXX130111:2:1110:19972:80588,	na
chr11_86534635_+:chr11_86333767_+	inverted	0	na	6	3	3	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	86534573	86333826	1	0	na	ENSG00000150687.7	ENSG00000254733.1	PRSS23	RP11-317J19.1	protein_coding	antisense	C1DVPACXX130111:3:2206:20669:48214/2,C1FGVACXX130122:1:2207:11743:36116/2,C1EF5ACXX130117:5:2105:9913:36911/2,	C1EF5ACXX130117:7:1314:10536:57148,C1FGVACXX130122:1:1101:15898:3913,C1E2NACXX130117:8:2203:2613:6213,	na
chr19_22715141_-:chr19_22704995_-	readthrough	0	na	8	6	6	100	1	16.6667	2	0	0	100	100	0	0	na	na	GT	AG	22715238	22704923	1	1	10146	ENSG00000197360.5	ENSG00000260599.1	ZNF98	CTC-457E21.1	protein_coding	sense_intronic	C1E2NACXX130117:2:2313:18297:65314/1,C1DVPACXX130111:3:1309:3584:80215/1,C1E2NACXX130117:6:2316:4691:70142/1,C1E2NACXX130117:6:2316:4691:70142/2,C1E2NACXX130117:2:2313:18297:65314/2,D1JYHACXX130117:8:2302:5549:64385/2,	D1JYHACXX130117:3:2208:5219:84123,C1DVPACXX130111:4:2203:16917:28404,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	44	41	26	63.4146	24	58.5366	3	0	0	100	100	0	177	na	na	GT	AG	51387666	51732864	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	D1JYHACXX130117:7:1114:9031:7575/2,C1EF5ACXX130117:2:1109:19043:72198/2,D1JYHACXX130117:3:1114:5128:63565/1,D1JYHACXX130117:4:1208:18589:57286/1,D1JYHACXX130117:4:1208:18589:57286/1,D1JYHACXX130117:4:1208:18589:57286/1,D1JYHACXX130117:5:1116:16578:67052/2,C1EF5ACXX130117:3:2212:11751:75285/1,C1FGVACXX130122:8:1112:8455:91186/2,C1EF5ACXX130117:2:2212:8560:91521/2,C1E5MACXX130111:4:2114:14130:67751/2,C1FGVACXX130122:2:1311:3671:84016/2,C1EF5ACXX130117:2:1210:11324:17764/2,C1EF5ACXX130117:1:1103:12724:66740/2,C1EF5ACXX130117:1:1103:12724:66740/2,C1E2NACXX130117:3:1302:17634:60198/2,D1JYHACXX130117:8:1105:19350:62582/1,C1EF5ACXX130117:3:2212:11751:75285/2,C1E2NACXX130117:8:1214:2029:2769/2,C1EF5ACXX130117:2:1313:16006:22132/2,C1FGVACXX130122:2:2201:9562:24813/1,C1DVPACXX130111:4:1207:20462:60991/2,C1FGVACXX130122:8:2215:2186:51937/1,C1FGVACXX130122:8:1112:8455:91186/1,C1FGVACXX130122:7:2312:20712:19987/1,C1EF5ACXX130117:2:1308:15341:91607/1,D1JYHACXX130117:8:2211:2752:63231/1,D1JYHACXX130117:5:2302:1879:7909/1,C1EF5ACXX130117:3:2303:6295:44241/2,C1E2NACXX130117:7:1203:15025:30587/2,C1E2NACXX130117:1:1312:15505:66437/1,C1FGVACXX130122:2:1307:15699:34408/2,D1JYHACXX130117:6:1114:19076:46043/2,C1DVPACXX130111:4:1207:20462:60991/1,D1JYHACXX130117:8:1104:12622:45797/2,D1JYHACXX130117:8:1104:12622:45797/2,D1JYHACXX130117:8:1104:12622:45797/2,C1E2NACXX130117:8:1214:2029:2769/1,C1EF5ACXX130117:1:2112:21333:49735/1,C1E2NACXX130117:8:1301:9282:33563/2,C1EF5ACXX130117:2:2315:2096:71154/1,	C1FGVACXX130122:8:2213:20847:15214,C1E2NACXX130117:1:1104:10899:17909,C1EF5ACXX130117:8:1208:21217:63111,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	15	14	6	42.8571	8	57.1429	1	0	0	100	100	0	0	na	na	GT	AG	10269182	10282067	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	C1EF5ACXX130117:1:2308:3115:61995/1,C1E5MACXX130111:4:1213:9050:63636/1,C1E5MACXX130111:4:1213:9050:63636/2,C1FGVACXX130122:7:1305:19841:74923/1,C1FGVACXX130122:5:2307:6401:16247/2,C1FGVACXX130122:4:1115:16735:78176/1,C1FGVACXX130122:3:2310:11121:32454/1,C1FGVACXX130122:1:2110:5175:37214/1,C1EF5ACXX130117:8:2211:21154:9096/2,C1E5MACXX130111:4:1202:14474:64752/2,C1DVPACXX130111:2:1111:8252:62693/1,D1JYHACXX130117:6:1103:10065:65676/2,C1EF5ACXX130117:6:1111:19975:40609/1,C1E2NACXX130117:6:1102:14150:50205/1,	D1JYHACXX130117:3:2314:5019:9842,	na
chr16_85391249_+:chr16_85682158_+	intrachromosomal	0	na	18	16	15	93.75	1	6.25	2	2	50	100	100	0	0	na	na	GT	AG	85391154	85682244	1	1	290909	ENSG00000261567.1	ENSG00000131149.13	RP11-680G10.1	GSE1	protein_coding	protein_coding	C1E2NACXX130117:2:2201:2212:25538/1,C1EF5ACXX130117:3:2303:10046:75141/2,C1EF5ACXX130117:1:2314:9789:68604/1,C1E2NACXX130117:5:2201:10914:8172/2,D1JYHACXX130117:2:1212:6849:89971/1,C1E5MACXX130111:4:1306:18044:5662/1,C1FGVACXX130122:2:2114:18674:56666/2,C1FGVACXX130122:8:1316:19429:9813/1,C1FGVACXX130122:7:2314:5733:54448/1,C1E2NACXX130117:5:2201:10914:8172/1,C1E5MACXX130111:8:1301:21341:6194/1,C1EF5ACXX130117:5:1113:20880:15106/1,D1JYHACXX130117:5:1213:7572:38141/2,C1EF5ACXX130117:8:1115:4633:23877/1,C1EF5ACXX130117:7:1114:1750:61628/1,C1E5MACXX130111:8:1301:21341:6194/2,	D1JYHACXX130117:4:1316:9990:78498,D1JYHACXX130117:8:1309:2111:67870,	C1FGVACXX130122:3:1113:3527:65037,D1JYHACXX130117:4:2301:17882:79918,
chr16_85391249_+:chr16_85667520_+	intrachromosomal	0	na	25	21	16	76.1905	5	23.8095	4	0	0	100	100	0	0	na	na	GT	AG	85391166	85667604	1	1	276271	ENSG00000261567.1	ENSG00000131149.13	RP11-680G10.1	GSE1	protein_coding	protein_coding	C1E5MACXX130111:7:1212:18606:36958/1,D1JYHACXX130117:7:2201:17072:44850/2,C1E2NACXX130117:7:2309:8197:26964/2,C1E2NACXX130117:5:2307:4897:16591/1,C1E2NACXX130117:3:1210:12427:23570/2,C1FGVACXX130122:7:2206:10877:99300/2,C1FGVACXX130122:6:2208:17848:64880/1,C1E2NACXX130117:7:1312:2320:25199/1,C1FGVACXX130122:3:1114:5927:84203/1,C1EF5ACXX130117:4:2315:3340:20276/2,C1EF5ACXX130117:4:2315:3340:20276/2,C1EF5ACXX130117:4:2315:3340:20276/2,C1EF5ACXX130117:4:2315:3340:20276/2,C1EF5ACXX130117:4:2315:3340:20276/2,D1JYHACXX130117:7:1114:20910:16252/2,D1JYHACXX130117:7:1114:20910:16252/1,C1E2NACXX130117:7:2309:8197:26964/1,C1EF5ACXX130117:3:2205:15618:36291/2,C1DVPACXX130111:3:2102:9754:66306/2,C1E2NACXX130117:7:1312:2320:25199/2,C1FGVACXX130122:8:2316:6234:5605/2,	C1FGVACXX130122:3:1113:3527:65037,D1JYHACXX130117:4:2301:17882:79918,D1JYHACXX130117:4:1316:9990:78498,D1JYHACXX130117:8:1309:2111:67870,	na
