#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
78351	16	30778197	[30778104,30778197]	16	30709252	[30709160,30709253]	162	0	RNF40	RP11-146F11.1	intra-chromosomal
39761	11	62606586	[62606585,62606678]	11	62575100	[62575010,62575101]	125	0	WDR74	STX5	intra-chromosomal
115014	22	17083105	[17082950,17083106]	8	133097886	[133097774,133097887]	58	3	TPTEP1	RP11-240B13.2	inter-chromosomal
93170	19	9695137	[9695137,9695192]	19	16980271	[16980270,16980363]	60	0	ZNF121	SIN3B	intra-chromosomal
131759	5	92005459	[92005453,92005586]	5	91895740	[91895423,91895741]	37	4	CTC-529L17.1	RP11-133F8.2	readthrough-intersecting
58099	14	24761402	[24761402,24761488]	14	24740517	[24740436,24740517]	36	0	DHRS1	RABGGTA	readthrough-adjacent
131773	5	92919484	[92919480,92919578]	5	92899169	[92899081,92899169]	25	0	NR2F1	RP11-65F13.2	readthrough-intersecting
115013	22	17083105	[17082857,17083108]	8	91107752	[91107529,91107753]	13	5	TPTEP1	CALB1	inter-chromosomal
26524	10	34985246	[34985245,34985347]	8	38826110	[38826110,38826188]	16	2	PARD3	PLEKHA2	inter-chromosomal
95386	19	36224773	[36224664,36224774]	19	36004087	[36003952,36004087]	10	5	MLL4	DMKN	intra-chromosomal
64522	15	30435884	[30435875,30435881]	15	32699377	[32698099,32699377]	1	8	RP5-1086D14.3	ULK4P1	intra-chromosomal
42504	8	101730512	[101730417,101730512]	11	94381550	[94381513,94381554]	16	0	PABPC1	RP11-867G2.6	inter-chromosomal
135901	7	64004085	[64004084,64004180]	6	84326758	[84326691,84326760]	5	5	ZNF680	SNAP91	inter-chromosomal
78353	16	30779113	[30779024,30779113]	16	30709727	[30709642,30709727]	15	0	RNF40	RP11-146F11.1;SRCAP	intra-chromosomal
24833	1	243349081	[243349079,243349213]	14	68758594	[68758594,68758697]	4	4	CEP170	RAD51B	inter-chromosomal
49628	12	67462825	[67462822,67463018]	12	66990707	[66990627,66990709]	7	2	RP11-123O10.4	GRIP1	readthrough-adjacent
100621	2	69732701	[69732701,69732774]	2	69693684	[69693600,69693684]	11	0	AAK1	AC114772.1	readthrough-intersecting
46676	12	31478770	[31478770,31478826]	12	31451158	[31451067,31451159]	11	0	AC024940.1	FAM60A	readthrough-intersecting
23757	1	226736664	[226736635,226736668]	19	1356323	[1356322,1356415]	11	0	C1orf95	MUM1	inter-chromosomal
58098	14	24761641	[24761641,24761720]	14	24740517	[24740425,24740517]	9	0	DHRS1	RABGGTA	readthrough-adjacent
26661	10	38092761	[38092759,38092841]	10	38065503	[38065430,38065506]	8	0	ZNF248	RP11-258F22.1	intra-chromosomal
43521	11	124636577	[124636577,124636653]	20	32891162	[32891070,32891162]	7	0	MSANTD2	AHCY	inter-chromosomal
50150	12	77966046	[77965914,77966046]	12	78334099	[78334097,78334216]	3	2	RP1-34H18.1	NAV3	intra-chromosomal
65469	15	40854971	[40854970,40855078]	7	26241385	[26241386,26241446]	2	2	C15orf57	CBX3	inter-chromosomal
81638	16	85391249	[85391191,85391250]	16	85667520	[85667517,85667601]	6	0	RP11-680G10.1	KIAA0182	intra-chromosomal
109088	2	206950475	[206950475,206950547]	2	206927968	[206927893,206927969]	5	0	AC007383.3	INO80D	readthrough-intersecting
50149	12	77966046	[77965961,77966046]	12	78177043	[78177041,78177127]	5	0	RP1-34H18.1	RP11-781A6.1	readthrough-adjacent
