juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr8_106939879_-:chr8_107535061_-	inverted	0	na	6	4	4	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	106939944	107534988	1	0	na	ENSG00000251003.3	ENSG00000253582.1	RP11-152P17.2	RP11-649G15.2	processed_transcript	antisense	D1ELHACXX121214:1:1107:5451:26303/1,D1ELHACXX121214:8:2302:2024:68315/2,D1JNMACXX121226:4:2307:13368:60257/1,D1JRNACXX121222:6:1203:9802:83990/1,	D1JNMACXX121226:8:1110:7204:32109,C1EBLACXX121222:2:2104:20337:22557,	na
chr7_122377009_-:chr7_122342369_-	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	122377091	122342270	1	1	34640	ENSG00000081803.11	ENSG00000235631.1	CADPS2	RNF148	protein_coding	protein_coding	D1JRNACXX121222:7:1313:19006:68723/2,D1JRNACXX121222:7:1313:19006:68723/1,D1ELHACXX121214:2:1305:2185:89146/1,	C1EBLACXX121222:3:1109:9886:21203,	na
chr17_44171926_-:chr17_44648235_-	inverted	0	na	37	32	21	65.625	32	100	5	0	0	100	100	0	0	na	na	GT	AG	44172007	44648151	1	0	na	ENSG00000120071.8	ENSG00000185829.11	KANSL1	ARL17A	protein_coding	protein_coding	C1EBLACXX121222:1:1102:10087:96209/2,D1ELWACXX121213:8:2206:2964:43919/1,D1JNMACXX121226:7:2314:19063:4810/2,D1JNMACXX121226:6:2107:16239:11239/2,D1ELWACXX121213:7:1212:1286:38557/1,D1ELWACXX121213:4:1207:10724:26134/2,D1ELHACXX121214:4:1101:3943:84599/1,C1EBLACXX121222:1:1102:10087:96209/1,D1JRNACXX121222:6:2101:5971:44733/2,D1ELHACXX121214:2:1111:1786:62859/2,D1ELHACXX121214:6:1106:10342:45279/1,D1ELWACXX121213:4:1207:10724:26134/1,D1ELWACXX121213:2:1101:20414:59117/1,D1ELWACXX121213:2:1101:20414:59117/2,D1ELHACXX121214:8:2314:8273:63466/2,D1JRNACXX121222:7:2307:18490:74649/1,D1ELWACXX121213:8:2206:2964:43919/2,D1ELHACXX121214:6:1106:10342:45279/2,D1JRNACXX121222:8:2316:1194:68893/1,D1ELWACXX121213:7:1212:1286:38557/2,D1ELHACXX121214:4:1309:16711:41844/1,D1ELWACXX121213:1:2313:3572:24122/2,D1ELHACXX121214:3:2204:10829:55092/1,D1JRNACXX121222:3:1214:4154:34026/2,D1JRNACXX121222:2:1107:10290:68780/2,D1ELHACXX121214:4:1304:3120:93328/2,D1ELHACXX121214:2:1107:12804:2054/2,D1JNMACXX121226:2:2109:11927:35847/2,D1JNMACXX121226:2:2109:11927:35847/1,D1ELHACXX121214:2:1107:12804:2054/1,D1ELWACXX121213:3:2313:1737:5163/2,D1ELHACXX121214:3:2112:14341:97562/1,	D1ELWACXX121213:8:2115:15129:58445,D1ELWACXX121213:8:2215:3252:47015,C1EBLACXX121222:3:2113:7038:20860,D1ELHACXX121214:3:2308:11286:15386,D1JNMACXX121226:7:2104:17423:66795,	na
chr1_6265266_-:chr1_6260810_-	readthrough	0	na	9	7	5	71.4286	4	57.1429	2	5	71.4286	100	100	0	0	na	na	GT	AG	6265306	6260712	1	1	4456	ENSG00000226944.1	ENSG00000116251.5	RP1-120G22.11	RPL22	antisense	protein_coding	D1ELHACXX121214:3:2212:13872:2310/1,D1JNMACXX121226:3:2213:5951:7253/1,D1ELWACXX121213:2:2116:15218:26242/1,D1JNMACXX121226:3:2213:5951:7253/2,D1ELWACXX121213:5:2112:10892:4651/1,D1ELWACXX121213:7:1314:17181:72041/2,C1EBLACXX121222:5:2313:15564:97489/1,	D1JRNACXX121222:2:2215:12478:57803,C1EBLACXX121222:4:2101:14998:74542,	D1JNMACXX121226:8:2102:10665:43478,D1ELHACXX121214:7:1315:12561:22052,D1ELWACXX121213:7:2106:19948:93789,C1EBLACXX121222:3:1101:13290:99067,D1ELWACXX121213:5:2201:17644:34672,
chr19_15534994_-:chr19_15521405_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	15535038	15521343	1	1	13589	ENSG00000011451.13	ENSG00000011243.13	WIZ	AKAP8L	protein_coding	protein_coding	D1JNMACXX121226:7:1108:20129:32702/2,D1JNMACXX121226:1:1210:1458:59248/1,	C1EBLACXX121222:7:2115:8582:92595,	na
chr8_107072609_-:chr8_107535061_-	inverted	0	na	5	3	3	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	107072656	107534981	1	0	na	ENSG00000251003.3	ENSG00000253582.1	RP11-152P17.2	RP11-649G15.2	processed_transcript	antisense	D1JNMACXX121226:2:2107:13075:77277/2,D1JNMACXX121226:2:2107:13075:77277/1,D1ELHACXX121214:6:1304:11820:23215/1,	D1JNMACXX121226:8:1110:7204:32109,C1EBLACXX121222:2:2104:20337:22557,	na
chr14_73749067_-:chr14_73739616_-	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	73749163	73739556	1	1	9451	ENSG00000133961.15	ENSG00000258944.1	NUMB	RP4-647C14.3	protein_coding	antisense	C1EBLACXX121222:1:1207:6734:30193/2,D1ELWACXX121213:7:1116:3632:69859/2,C1EBLACXX121222:1:1207:6734:30193/1,	D1ELWACXX121213:5:2302:6495:90591,	na
chr15_78839040_+:chr15_78873153_+	readthrough	0	na	4	3	3	100	2	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	78838943	78873231	1	1	34113	ENSG00000041357.11	ENSG00000169684.9	PSMA4	CHRNA5	protein_coding	protein_coding	D1JRNACXX121222:7:1111:21121:26733/1,D1ELHACXX121214:8:1304:3462:9003/2,C1EBLACXX121222:2:2311:13711:78537/1,	D1JRNACXX121222:4:1207:21134:48260,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	34	30	23	76.6667	14	46.6667	4	0	0	100	100	0	177	na	na	GT	AG	51387666	51732855	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	D1JRNACXX121222:8:1211:12054:22049/2,D1JNMACXX121226:6:1111:8314:77359/2,C1EBLACXX121222:7:1202:9269:98164/1,C1EBLACXX121222:1:1302:2203:24749/1,D1JRNACXX121222:8:1103:10753:33201/1,D1ELWACXX121213:4:2305:16468:10916/1,D1JRNACXX121222:4:2302:3377:45768/2,D1ELWACXX121213:4:2314:6059:80891/1,C1EBLACXX121222:2:1108:1677:91004/2,D1ELHACXX121214:5:1305:13274:100194/2,D1JRNACXX121222:8:1215:9631:49729/1,D1JNMACXX121226:4:2311:19755:82421/1,D1ELHACXX121214:5:1305:13274:100194/1,D1JRNACXX121222:8:1103:10753:33201/2,D1JNMACXX121226:7:1208:10489:97241/1,D1JNMACXX121226:8:2110:14762:12868/2,D1JNMACXX121226:8:2110:14762:12868/2,C1EBLACXX121222:4:1101:16479:66318/1,D1JRNACXX121222:8:1214:10816:21097/2,D1ELWACXX121213:4:2309:4864:40644/2,D1ELWACXX121213:7:1313:6067:20810/1,D1JNMACXX121226:6:1315:9739:45180/1,D1JRNACXX121222:7:2111:5153:37467/1,D1JRNACXX121222:2:1316:14082:89575/2,D1JNMACXX121226:2:1102:13946:44506/2,D1JNMACXX121226:5:1310:11858:27094/2,D1JRNACXX121222:4:2302:3377:45768/1,D1ELHACXX121214:8:2101:1955:5404/1,D1ELWACXX121213:6:2107:14588:27561/2,D1JRNACXX121222:2:1316:14082:89575/1,	C1EBLACXX121222:7:2215:12754:83754,D1JNMACXX121226:3:2316:3320:56948,D1ELHACXX121214:6:1302:10875:31800,D1ELWACXX121213:5:2105:10734:64877,	na
chr22_29683123_+:chr11_128675261_+	interchromosomal	0	na	68	44	23	52.2727	13	29.5455	24	1	4	100	100	0	1490	na	na	GT	AG	29683046	128675338	0	na	na	ENSG00000182944.13	ENSG00000151702.12	EWSR1	FLI1	protein_coding	protein_coding	D1JRNACXX121222:2:1109:19394:80207/2,D1ELWACXX121213:2:2207:9953:60411/1,D1ELHACXX121214:1:1107:18591:14148/2,D1JRNACXX121222:8:2203:1515:53638/1,D1ELWACXX121213:2:2209:19730:14373/2,D1ELHACXX121214:6:2110:19153:96225/1,D1ELHACXX121214:1:1107:18591:14148/1,C1EBLACXX121222:2:1207:13299:79564/1,D1ELWACXX121213:6:2104:19785:73075/2,D1ELHACXX121214:4:2201:8600:59281/2,D1JRNACXX121222:5:1301:1882:50920/1,D1JRNACXX121222:7:1316:18933:25372/1,D1ELWACXX121213:4:2311:4967:7825/1,D1JRNACXX121222:4:1106:14243:2322/2,D1JRNACXX121222:4:2106:19516:80473/1,C1EBLACXX121222:2:2309:20592:58281/1,D1ELHACXX121214:7:2116:12175:31891/1,D1JNMACXX121226:1:2311:6743:49171/1,D1ELHACXX121214:3:2311:9144:43966/1,D1ELHACXX121214:6:2106:6674:17374/1,D1JRNACXX121222:5:2203:18024:44890/1,D1JNMACXX121226:3:2309:9888:62639/2,D1ELHACXX121214:7:2308:20646:53252/2,D1ELWACXX121213:6:2215:21200:98085/2,D1JNMACXX121226:2:2313:18983:96111/2,D1ELWACXX121213:4:1213:14599:73479/1,D1JRNACXX121222:2:1307:5117:91169/2,D1ELHACXX121214:2:1316:15419:95965/1,D1ELHACXX121214:3:1116:17086:36249/2,C1EBLACXX121222:4:1214:9133:3946/2,C1EBLACXX121222:1:1310:17290:43584/1,C1EBLACXX121222:1:2210:7133:82562/1,D1ELWACXX121213:1:2315:19801:80790/2,C1EBLACXX121222:7:1214:4742:52289/2,D1ELHACXX121214:3:2203:16818:40529/2,D1ELWACXX121213:5:2102:1677:14134/2,D1JNMACXX121226:6:2116:9108:70130/1,C1EBLACXX121222:7:1202:1586:83573/2,D1ELHACXX121214:5:1309:9029:12410/1,D1ELHACXX121214:2:2205:2223:36007/1,D1ELWACXX121213:8:2301:14946:26400/2,C1EBLACXX121222:7:1308:10640:18031/1,C1EBLACXX121222:8:1101:11718:27632/2,D1JRNACXX121222:5:2107:7459:91816/1,	C1EBLACXX121222:2:1202:6150:72989,D1JRNACXX121222:2:1202:1876:28462,D1ELHACXX121214:7:1215:7889:97101,D1ELWACXX121213:7:2109:12685:61389,D1ELHACXX121214:5:2316:14528:71610,C1EBLACXX121222:7:1316:16926:83029,C1EBLACXX121222:7:2116:9776:22996,C1EBLACXX121222:7:2306:15560:76584,C1EBLACXX121222:3:1308:3350:69629,D1ELWACXX121213:3:1215:9995:6648,C1EBLACXX121222:4:1305:15983:73609,D1ELWACXX121213:5:2303:13234:68058,D1ELWACXX121213:3:1112:13005:75765,D1JRNACXX121222:7:2314:8345:94266,D1ELWACXX121213:6:1306:4250:17129,D1ELHACXX121214:7:1215:19156:98333,D1ELWACXX121213:7:1111:6954:48678,D1ELWACXX121213:4:1308:18519:91761,C1EBLACXX121222:1:2112:11355:41266,D1ELHACXX121214:1:2315:6838:64636,C1EBLACXX121222:5:2312:4093:3795,D1ELWACXX121213:1:2109:7968:16572,D1ELWACXX121213:3:2211:5091:93306,D1JNMACXX121226:8:1201:12155:64506,	C1EBLACXX121222:8:1209:13184:38408,
