#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
85780	17	72786435	[72786339,72786435]	17	37686884	[37686884,37687274]	25	8	TMEM104	CDK12	intra-chromosomal
107844	22	17083105	[17082923,17083105]	5	121814516	[121814348,121814517]	23	1	TPTEP1	CTC-210G5.1	inter-chromosomal
109303	22	25566787	[25566787,25566879]	22	25508430	[25508336,25508430]	25	0	KIAA1671	CTA-221G9.11	readthrough-intersecting
30209	11	5367003	[5367003,5367094]	11	5291386	[5291309,5291388]	23	0	AC104389.28;HBG2	HBE1	readthrough-intersecting
51851	14	24761402	[24761402,24761492]	14	24740517	[24740425,24740517]	21	0	DHRS1	RABGGTA	readthrough-adjacent
84956	17	61086895	[61086895,61086987]	17	61044110	[61044020,61044112]	20	0	TANC2	RP11-180P8.1	intra-chromosomal
84958	17	61176718	[61176580,61176719]	17	65346452	[65346345,65346453]	16	2	TANC2	PSMD12	intra-chromosomal
84548	17	59937157	[59937157,59937247]	17	57895073	[57895072,57895134]	18	0	BRIP1	VMP1	intra-chromosomal
76843	16	87426073	[87425976,87426076]	16	71901940	[71901815,71901941]	11	1	MAP1LC3B	ZNF821	intra-chromosomal
50802	14	19680595	[19680594,19680683]	14	19925240	[19925239,19925321]	12	0	AL589743.1	CTD-2314B22.3	intra-chromosomal
48004	13	28195176	[28195176,28195269]	13	28155940	[28155852,28155942]	11	0	POLR1D	LNX2	readthrough-adjacent
52345	14	38065213	[38065135,38065213]	14	37969113	[37969110,37969190]	10	0	FOXA1;TTC6	MIPOL1	intra-chromosomal
75508	16	52497846	[52497845,52497925]	16	56309843	[56309842,56309929]	10	0	TOX3	GNAO1	intra-chromosomal
85142	17	61877977	[61877775,61877977]	17	65528918	[65528916,65529066]	4	3	DDX42	PITPNC1	intra-chromosomal
84352	17	56424549	[56424547,56424597]	17	63685336	[63685247,63685338]	9	0	SUPT4H1	CEP112	intra-chromosomal
62938	16	2147869	[2147867,2147951]	16	14805475	[14805475,14805565]	9	0	PKD1	RP11-719K4.1	intra-chromosomal
139123	X	37765404	[37765234,37765404]	X	37892778	[37892778,37893024]	3	3	AL121578.2	SYTL5	readthrough-intersecting
97029	2	69732701	[69732701,69732795]	2	69693684	[69693594,69693684]	9	0	AAK1	AC114772.1	readthrough-intersecting
98048	2	112237484	[112237484,112237534]	2	87882777	[87882776,87883001]	1	4	AC068491.1	LINC00152	intra-chromosomal
114600	3	177405376	[177405290,177405376]	3	177469699	[177469697,177469783]	9	0	RP11-114M1.1	LINC00578	readthrough-intersecting
139127	X	37808658	[37808572,37808658]	X	37892787	[37892785,37892863]	9	0	AL121578.2	SYTL5	readthrough-intersecting
43587	12	67462825	[67462825,67463031]	12	66990707	[66990627,66990709]	6	1	RP11-123O10.4	GRIP1	readthrough-adjacent
124436	6	4777042	[4776966,4777041]	6	20955650	[20955648,20955733]	8	0	CDYL	CDKAL1	intra-chromosomal
84780	17	60042367	[60042367,60042552]	17	59886118	[59885938,59886120]	3	2	MED13	BRIP1	intra-chromosomal
118326	4	120222347	[120222070,120222347]	4	166141086	[166141087,166141211]	5	1	C4orf3	KLHL2	intra-chromosomal
29278	10	135269741	[135269740,135269827]	10	135216277	[135216224,135216280]	6	0	RP11-108K14.4	MTG1	readthrough-intersecting
21837	10	5237426	[5237427,5237507]	16	66730243	[66730242,66730334]	6	0	AKR1C4	CMTM4	inter-chromosomal
57167	15	40854971	[40854970,40855226]	7	26241385	[26241386,26241446]	2	2	C15orf57	CBX3	inter-chromosomal
52769	14	38065213	[38065126,38065215]	14	38016110	[38016108,38016187]	6	0	FOXA1;TTC6	MIPOL1	intra-chromosomal
84374	17	61417693	[61417505,61417694]	17	56581849	[56581664,56581851]	2	2	TANC2	MTMR4	intra-chromosomal
110073	22	40762502	[40762436,40762503]	22	40796700	[40796698,40796756]	5	0	ADSL;RP5-1042K10.13	SGSM3	readthrough-intersecting
84297	17	56581411	[56581411,56581497]	17	55948730	[55948668,55948731]	5	0	MTMR4	CUEDC1	intra-chromosomal
20236	1	226736668	[226736634,226736668]	19	1356323	[1356322,1356415]	5	0	C1orf95	MUM1	inter-chromosomal
59216	15	68510874	[68510874,68510955]	15	68489966	[68489922,68489967]	4	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
