juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr15_89448988_-:chr15_89430576_-	readthrough	0	na	6	3	3	100	2	66.6667	3	1	25	100	100	0	0	na	na	GT	AG	89449085	89430481	1	1	18412	ENSG00000140545.10	ENSG00000140511.7	MFGE8	HAPLN3	protein_coding	protein_coding	C17W9ACXX121031:7:2216:15784:46501/2,C183VACXX121031:7:1213:20292:66133/2,C183VACXX121031:7:2211:14138:12135/2,	C183VACXX121031:4:2112:2658:77502,C183VACXX121031:4:2307:10568:71059,C185NACXX121031:4:1114:6320:2338,	C183VACXX121031:1:1301:12058:10914,
chr17_44171926_-:chr17_44648235_-	inverted	0	na	21	18	17	94.4444	18	100	3	0	0	100	100	0	0	na	na	GT	AG	44172010	44648151	1	0	na	ENSG00000120071.8	ENSG00000185829.11	KANSL1	ARL17A	protein_coding	protein_coding	C185NACXX121031:7:2115:15830:39428/2,C185NACXX121031:8:1304:20201:20290/2,C183VACXX121031:1:1104:19668:18448/2,C17W9ACXX121031:4:2305:17464:81573/2,C17W9ACXX121031:7:2203:18429:11076/2,C17W9ACXX121031:4:1110:8006:87679/1,C183VACXX121031:1:2110:12382:45518/1,C17W9ACXX121031:2:1306:4005:13041/1,C183VACXX121031:6:2316:12278:64637/1,C185NACXX121031:7:1204:10210:50438/1,C183VACXX121031:6:1309:11515:29728/1,C17W9ACXX121031:8:2312:16572:16152/1,C183VACXX121031:3:2213:9517:53732/1,C185NACXX121031:8:1316:19751:53938/2,C17W9ACXX121031:5:1309:21249:36033/2,C183VACXX121031:2:2209:16064:64365/2,C17W9ACXX121031:2:2110:18663:7580/1,C183VACXX121031:1:1207:16983:7220/1,	C17W9ACXX121031:3:2309:18895:14113,C17W9ACXX121031:8:1116:11740:52974,C17U8ACXX121101:8:1316:16794:64403,	na
chrX_71571583_-:chrX_71522784_-	readthrough	0	na	4	3	2	66.6667	3	100	1	0	0	100	100	0	0	na	na	GT	AG	71571680	71522742	1	1	48799	ENSG00000147099.15	ENSG00000125931.6	HDAC8	CITED1	protein_coding	protein_coding	C17W9ACXX121031:6:2215:12623:23966/1,C17W9ACXX121031:4:1305:11637:20407/1,C17W9ACXX121031:4:1305:11637:20407/1,	C17W9ACXX121031:5:2206:14971:66024,	na
chr12_120703420_-:chr12_120785317_-	inverted	0	na	4	3	3	100	0	0	1	1	50	100	100	0	0	na	na	GT	AG	120703482	120785276	1	0	na	ENSG00000089159.11	ENSG00000135097.2	PXN	MSI1	protein_coding	protein_coding	C183VACXX121031:2:2209:16341:10545/1,C183VACXX121031:8:1212:2009:45616/2,C17W9ACXX121031:4:2106:15415:36859/2,	C17W9ACXX121031:3:1216:19603:77477,	C17W9ACXX121031:1:1201:13947:51425,
chr19_34925873_+:chr19_34884153_+	inverted	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	34925794	34884197	1	0	na	ENSG00000126261.8	ENSG00000105220.10	UBA2	GPI	protein_coding	protein_coding	C183VACXX121031:8:2214:20749:5851/1,C183VACXX121031:6:2302:1556:27994/2,C17W9ACXX121031:2:2210:3355:51984/1,	C17W9ACXX121031:1:1116:18539:55451,	na
chr21_45053153_-:chr21_42813797_-	intrachromosomal	0	na	6	5	5	100	3	60	1	2	66.6667	100	100	0	0	na	na	GT	AG	45053252	42813777	1	1	2239356	ENSG00000160207.4	ENSG00000228318.1	HSF2BP	AP001610.5	protein_coding	antisense	C17W9ACXX121031:5:1311:14684:61230/2,C17W9ACXX121031:4:2315:13592:84832/2,C17W9ACXX121031:8:2316:14758:16002/1,C185NACXX121031:4:1114:6839:38094/1,C183VACXX121031:7:1116:19613:84655/1,	C183VACXX121031:7:2116:13820:99361,	C17W9ACXX121031:7:2307:17855:32800,C17U8ACXX121101:4:1214:1679:98528,
chr9_13276573_-:chr9_13250371_-	readthrough	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	13276624	13250323	1	1	26202	ENSG00000234740.1	ENSG00000107186.12	RP11-272P10.2	MPDZ	sense_intronic	protein_coding	C17W9ACXX121031:3:1312:5859:22730/1,	C17U8ACXX121101:4:2215:2929:23904,C185NACXX121031:7:1302:20241:65784,	na
chr1_156426145_-:chr1_156399911_-	readthrough	0	na	6	5	5	100	1	20	1	0	0	100	94.7368	0	0	na	na	GT	AG	156426207	156399817	1	1	26234	ENSG00000236947.1	ENSG00000125462.12	RP11-98G7.1	C1orf61	lincRNA	protein_coding	C183VACXX121031:5:1306:9135:8980/2,C17W9ACXX121031:1:2111:21017:41675/1,C17W9ACXX121031:5:2206:12657:19305/1,C183VACXX121031:5:1306:9135:8980/1,C183VACXX121031:5:1102:19822:35964/2,	C17W9ACXX121031:1:1216:14767:76968,	na
chr1_156219360_-:chr1_156216547_-	readthrough	0	na	17	12	11	91.6667	3	25	5	0	0	100	100	345	0	na	na	GT	AG	156219459	156216497	1	1	2813	ENSG00000198952.7	ENSG00000160781.11	SMG5	PAQR6	protein_coding	protein_coding	C183VACXX121031:6:2315:13502:23530/1,C17W9ACXX121031:1:2205:20062:38157/2,C17W9ACXX121031:8:1111:3303:32379/1,C183VACXX121031:2:1305:21311:68586/1,C183VACXX121031:4:2309:10942:29849/2,C17W9ACXX121031:5:2306:9699:56471/2,C17W9ACXX121031:8:2212:8410:52514/1,C17W9ACXX121031:6:2311:4071:94405/2,C185NACXX121031:7:1116:10361:3053/1,C183VACXX121031:8:2115:8982:83027/1,C17W9ACXX121031:2:1304:19179:26511/2,C17W9ACXX121031:3:1202:4501:13422/2,	C183VACXX121031:6:2101:4363:86573,C185NACXX121031:7:2304:2312:26237,C183VACXX121031:8:1101:17961:73196,C17W9ACXX121031:3:1211:4239:87386,C185NACXX121031:7:2107:18580:42527,	na
chr12_54379794_+:chr12_54446944_+	readthrough	0	na	5	4	4	100	2	50	1	0	0	100	100	0	0	na	na	GT	AG	54379697	54447025	1	1	67150	ENSG00000273049.1,ENSG00000180818.4	ENSG00000198353.6	RP11-834C11.12,HOXC10	HOXC4	protein_coding,protein_coding	protein_coding	C185NACXX121031:8:2309:12105:10419/1,C183VACXX121031:3:1314:18059:59184/1,C183VACXX121031:7:1214:19220:21699/2,C183VACXX121031:7:2316:4119:13386/2,	C183VACXX121031:6:2215:5013:99298,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	63	60	35	58.3333	42	70	3	0	0	100	100	0	177	na	na	GT	AG	51387669	51732869	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C17W9ACXX121031:3:2204:11469:70682/1,C17W9ACXX121031:8:1110:17585:98831/2,C183VACXX121031:5:1213:8023:36613/1,C185NACXX121031:8:2213:2221:91530/1,C185NACXX121031:8:1106:12177:71026/2,C185NACXX121031:8:1106:12177:71026/2,C185NACXX121031:8:1106:12177:71026/2,C185NACXX121031:7:1203:4413:17825/2,C183VACXX121031:6:1308:18557:91893/2,C17W9ACXX121031:7:2311:13605:58781/2,C17W9ACXX121031:7:2311:13605:58781/2,C17W9ACXX121031:7:2311:13605:58781/2,C17W9ACXX121031:7:1214:16407:66570/2,C17W9ACXX121031:7:1214:16407:66570/2,C17W9ACXX121031:7:1214:16407:66570/2,C183VACXX121031:4:2108:15590:91353/2,C17W9ACXX121031:7:2101:1611:61629/1,C17W9ACXX121031:7:2101:1611:61629/1,C17W9ACXX121031:7:2101:1611:61629/1,C17W9ACXX121031:6:2309:18785:25591/2,C17W9ACXX121031:8:1110:17585:98831/1,C17W9ACXX121031:6:2311:10767:28052/1,C183VACXX121031:5:2105:8503:38783/2,C17W9ACXX121031:4:2209:9672:9271/2,C183VACXX121031:8:1308:20038:15959/1,C185NACXX121031:4:1308:19542:41183/2,C185NACXX121031:7:1306:10935:58494/2,C185NACXX121031:7:1306:10935:58494/2,C185NACXX121031:7:1306:10935:58494/2,C17W9ACXX121031:4:2309:2643:75850/1,C185NACXX121031:4:1111:2220:81245/1,C17W9ACXX121031:6:1101:14911:37282/2,C17W9ACXX121031:7:1314:15376:89926/1,C17W9ACXX121031:7:1314:15376:89926/1,C183VACXX121031:4:2108:15590:91353/1,C185NACXX121031:8:2216:17284:52533/2,C17W9ACXX121031:5:1104:14988:51673/1,C183VACXX121031:2:1215:12141:32255/1,C183VACXX121031:1:1302:13958:80811/1,C17W9ACXX121031:4:1313:6273:81647/1,C17W9ACXX121031:4:1313:6273:81647/1,C17W9ACXX121031:4:1313:6273:81647/1,C183VACXX121031:3:1105:19507:22317/1,C183VACXX121031:3:1105:19507:22317/1,C183VACXX121031:3:1105:19507:22317/1,C17W9ACXX121031:1:2213:3704:15648/1,C17W9ACXX121031:1:2213:3704:15648/1,C17W9ACXX121031:1:2213:3704:15648/1,C183VACXX121031:8:2212:2537:35264/2,C17W9ACXX121031:7:1309:7373:44289/2,C185NACXX121031:8:1114:7594:63185/1,C183VACXX121031:7:2101:13730:32205/2,C183VACXX121031:6:1209:18382:40838/1,C17W9ACXX121031:2:1309:18298:99861/2,C183VACXX121031:8:1212:9837:42518/2,C183VACXX121031:7:1106:3218:36389/2,C183VACXX121031:2:1301:4665:18510/1,C17W9ACXX121031:2:2213:7201:57485/1,C183VACXX121031:1:1302:13958:80811/2,C17W9ACXX121031:8:1102:20482:65742/1,	C185NACXX121031:4:1213:8760:94910,C183VACXX121031:2:2105:7788:22919,C185NACXX121031:7:2202:10599:10690,	na
chr15_68521840_-:chr15_68497489_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	32.6316	0	0	na	na	GT	AG	68521885	68497395	1	1	24351	ENSG00000128973.7	ENSG00000129007.10	CLN6	CALML4	protein_coding	protein_coding	C17W9ACXX121031:8:2308:7556:84927/1,C17W9ACXX121031:8:2308:7556:84927/2,	C185NACXX121031:7:1305:9767:18598,	na
chr2_96973048_-:chr2_96971282_-	readthrough	0	na	10	7	7	100	0	0	3	0	0	100	100	47	15	na	na	GT	AG	96973144	96971215	1	1	1766	ENSG00000230747.1	ENSG00000144028.10	AC021188.4	SNRNP200	antisense	protein_coding	C183VACXX121031:4:2312:3361:62496/2,C185NACXX121031:7:1115:9974:59975/1,C183VACXX121031:2:2102:12542:32015/2,C183VACXX121031:1:2304:21123:75401/1,C183VACXX121031:2:2102:12542:32015/1,C183VACXX121031:4:2312:3361:62496/1,C17U8ACXX121101:4:2310:10392:49445/2,	C17W9ACXX121031:4:1210:10320:35205,C183VACXX121031:6:2103:6480:2713,C17W9ACXX121031:1:2216:10582:59987,	na
