"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","TKT:C3orf67","chr3",53289852,"chr3",58739590,5449.736,41,17,TRUE,TRUE,TRUE,"C1EHHACXX130117:1:1202:3377:97156/1",54,"HighConfidence","-"
"jaffa-direct","LAMC2:NPL","chr1",183203581,"chr1",182797859,405.719,14,7,FALSE,TRUE,TRUE,"C1EHHACXX130117:1:1210:4305:19409/1",49,"HighConfidence","-"
"jaffa-direct","HIF1A:ICAM3","chr14",62162557,"chr19",10449624,Inf,10,4,FALSE,TRUE,TRUE,"C1EHHACXX130117:1:2308:10633:84158/2",44,"HighConfidence","-"
"jaffa-direct","RFC1:RP11-99J16__A.2","chr4",39310256,"chr1",230912494,Inf,7,7,FALSE,TRUE,TRUE,"C1EHHACXX130117:8:1208:3867:48556/2",34,"HighConfidence","-"
"jaffa-direct","LAMB2:GPR114","chr3",49163180,"chr16",57596296,Inf,3,6,TRUE,TRUE,TRUE,"C1EHHACXX130117:4:1105:6672:66553/1",44,"HighConfidence","-"
"jaffa-direct","ELMSAN1:HNF1B","chr14",74253805,"chr17",36070671,Inf,5,3,FALSE,TRUE,TRUE,"C1FBVACXX130129:2:1106:13447:12656/2",56,"HighConfidence","-"
"jaffa-direct","CEP250:ATG3","chr20",34092833,"chr3",112257027,Inf,4,4,FALSE,TRUE,TRUE,"D1KYPACXX130129:1:2112:13736:22744/1",47,"HighConfidence","-"
"jaffa-direct","LLGL1:DRG2","chr17",18129077,"chr17",18007115,121.958,5,2,FALSE,TRUE,TRUE,"C1EHHACXX130117:1:2303:18819:33244/1",57,"HighConfidence","-"
"jaffa-direct","SYNRG:SLC22A20","chr17",35928893,"chr11",65003880,Inf,5,2,FALSE,TRUE,TRUE,"C1EHHACXX130117:5:2307:17437:95110/1",58,"HighConfidence","-"
"jaffa-direct","LLGL1:DRG2","chr17",18129077,"chr17",18005235,123.841,4,2,TRUE,TRUE,TRUE,"C1EHHACXX130117:6:1312:13975:96242/1",63,"HighConfidence","-"
"jaffa-direct","HIF1A:ICAM3","chr14",62162557,"chr19",10446652,Inf,4,2,FALSE,TRUE,TRUE,"C1FBVACXX130129:2:1204:18209:64866/1",59,"HighConfidence","-"
"jaffa-direct","KTN1:RP13-735L24.1","chr14",56115588,"chr12",9547127,Inf,3,2,FALSE,TRUE,TRUE,"C1EHHACXX130117:7:2314:20321:57774/2",64,"HighConfidence","-"
"jaffa-direct","NRIP1:AF127936.7","chr21",16437066,"chr21",16230029,207.039,1,3,FALSE,TRUE,FALSE,"C1FBVACXX130129:2:1314:17025:6497/1",63,"HighConfidence","-"
"jaffa-direct","DCDC2:GPLD1","chr6",24205230,"chr6",24489725,284.49,2,2,FALSE,TRUE,TRUE,"D1KYPACXX130129:5:2108:14479:34179/1",47,"HighConfidence","-"
"jaffa-direct","TKT:C3orf67","chr3",53289852,"chr3",58728299,5438.445,3,1,FALSE,TRUE,TRUE,"D1KNFACXX130129:4:1203:9242:68527/2",59,"HighConfidence","-"
"jaffa-direct","PUM1:UHRF1","chr1",31538463,"chr19",4929234,Inf,3,1,FALSE,TRUE,TRUE,"D1KNFACXX130129:2:2205:7395:72631/2",62,"HighConfidence","-"
"jaffa-direct","RFC1:AGT","chr4",39313065,"chr1",230846599,Inf,2,2,TRUE,TRUE,TRUE,"C1EHHACXX130117:3:1305:9034:91800/2",36,"HighConfidence","-"
"jaffa-direct","RFC1:RP11-99J16__A.2","chr4",39313065,"chr1",230912494,Inf,2,2,FALSE,TRUE,TRUE,"D1KNFACXX130129:1:1203:12384:60020/2",47,"HighConfidence","-"
"jaffa-direct","TRAK2:ALS2","chr2",202272126,"chr2",202633668,361.541,1,2,FALSE,TRUE,TRUE,"D1KVCACXX130129:4:1208:18909:30415/1",50,"HighConfidence","-"
"jaffa-direct","LAMC2:NPL","chr1",183201992,"chr1",182797859,404.132,2,1,FALSE,TRUE,TRUE,"D1KVCACXX130129:5:1205:10061:74035/2",56,"HighConfidence","-"
"jaffa-direct","HIF1A:ICAM3","chr14",62162557,"chr19",10449921,Inf,2,1,FALSE,TRUE,TRUE,"D1KT4ACXX130122:8:2111:20454:6726/1",51,"HighConfidence","-"
"jaffa-direct","ZNF746:ZNF783","chr7",149191161,"chr7",148975490,215.666,1,1,FALSE,TRUE,TRUE,"C1EHHACXX130117:4:1304:12061:91741/1",46,"HighConfidence","-"
"jaffa-direct","CPQ:SDC2","chr8",97892233,"chr8",97605708,286.522,1,1,TRUE,TRUE,TRUE,"D1KT4ACXX130122:6:2306:8589:52165/1",61,"HighConfidence","-"
"jaffa-direct","KDM4B:NKAIN1","chr19",4969241,"chr1",31661034,Inf,0,12,FALSE,TRUE,TRUE,"C1DVPACXX130111:8:2101:6862:15884/2",36,"MediumConfidence","-"
"jaffa-direct","RP11-123O10.4:GRIP1","chr12",67462830,"chr12",66990707,472.126,0,3,FALSE,TRUE,FALSE,"C1EHHACXX130117:2:2110:16484:55292/1",52,"MediumConfidence","-"
"jaffa-direct","ETNK1:C2CD5","chr12",22778520,"chr12",22688278,90.241,0,2,TRUE,TRUE,TRUE,"D1KT4ACXX130122:7:1114:18353:76743/1",58,"MediumConfidence","-"
"jaffa-direct","NPAT:SYTL2","chr11",108093227,"chr11",85411636,22681.593,0,2,FALSE,TRUE,FALSE,"D1KYPACXX130129:5:1113:14466:10797/1",64,"MediumConfidence","-"
"jaffa-direct","PDE10A:HDAC2","chr6",165989900,"chr6",114281182,51708.724,0,2,TRUE,TRUE,FALSE,"D1KNFACXX130129:8:2103:11760:10169/1",60,"MediumConfidence","-"
"jaffa-direct","CYP1B1:FMNL2","chr2",38302923,"chr2",153417397,115114.475,0,2,FALSE,TRUE,TRUE,"C1EHHACXX130117:2:2205:5038:11553/1",34,"MediumConfidence","-"
"jaffa-direct","RCC1:UBE2D2","chr1",28834672,"chr5",138979957,Inf,0,2,FALSE,TRUE,TRUE,"D1KYPACXX130129:5:1107:7522:98096/1",58,"MediumConfidence","Yes"
"jaffa-direct","EIF5A:PCCA","chr17",7211071,"chr13",101179929,Inf,0,2,FALSE,TRUE,TRUE,"D1KYPACXX130129:4:1206:17451:35807/1",49,"MediumConfidence","-"
"jaffa-direct","P4HA2:KIF15","chr5",131553445,"chr3",44822377,Inf,0,2,TRUE,TRUE,TRUE,"C1FBVACXX130129:5:2301:2805:70637/1",58,"MediumConfidence","-"
"jaffa-direct","ECHDC1:PAPSS2","chr6",127664481,"chr10",89468953,Inf,0,2,FALSE,TRUE,TRUE,"D1KNFACXX130129:2:2112:6287:64898/1",62,"MediumConfidence","-"
"jaffa-direct","HIF1A:RP11-47I22.3","chr14",62162557,"chr14",62117680,44.874,0,1,FALSE,TRUE,TRUE,"D1KNFACXX130129:8:2201:14786:11907/1",36,"MediumConfidence","-"
"jaffa-direct","DYNC1H1:HSP90AA1","chr14",102466736,"chr14",102548781,82.048,0,1,TRUE,TRUE,TRUE,"C1EHHACXX130117:5:2311:18822:69016/2",50,"MediumConfidence","-"
"jaffa-direct","CHID1:AP2A2","chr11",883148,"chr11",1003722,120.572,0,1,TRUE,TRUE,TRUE,"D1KT4ACXX130122:8:1113:5963:68065/2",40,"MediumConfidence","-"
"jaffa-direct","COMMD10:AP3S1","chr5",115428397,"chr5",115202367,226.029,0,1,TRUE,TRUE,TRUE,"D1KNFACXX130129:5:2114:19975:67964/1",61,"MediumConfidence","-"
