#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
47944	14	70233972	[70233875,70233973]	14	70170112	[70170110,70170203]	272	0	SRSF5	KIAA0247	readthrough-adjacent
102880	5	138629494	[138629427,138629496]	5	138699444	[138699444,138699538]	119	0	MATR3	PAIP2	intra-chromosomal
90572	5	43521637	[43521637,43521812]	22	41697776	[41697515,41697778]	34	5	RP11-159F24.6	ZC3H7B	inter-chromosomal
36426	12	26424596	[26424595,26424690]	12	26364604	[26364513,26364606]	38	0	RP11-283G6.5	RP11-283G6.4	readthrough-intersecting
45716	14	24761402	[24761402,24761480]	14	24740517	[24740429,24740517]	20	0	DHRS1	RABGGTA	readthrough-adjacent
74737	19	39873931	[39873848,39873933]	19	39308215	[39308091,39308216]	10	4	SAMD4B	ECH1	intra-chromosomal
88689	21	35469582	[35469490,35469583]	21	35497641	[35497641,35497735]	18	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
24501	10	73515116	[73515115,73515217]	10	73199584	[73199584,73199656]	12	2	C10orf54	CDH23	readthrough-intersecting
23079	10	49199717	[49199716,49199817]	10	47099716	[47099607,47099715]	13	1	FAM25C	RP11-314P12.2	intra-chromosomal
36416	12	26377226	[26377224,26377309]	12	26279408	[26279323,26279408]	13	0	SSPN	RP11-283G6.3	readthrough-intersecting
65779	17	37840850	[37840847,37840982]	17	38062243	[38062100,38062243]	6	3	PGAP3	GSDMB	intra-chromosomal
1878	1	8877219	[8877219,8877309]	1	8934976	[8934887,8934978]	12	0	RERE	ENO1	intra-chromosomal
62484	16	79619777	[79619777,79619838]	16	79246798	[79246574,79246800]	1	5	MAF	RP11-679B19.2	intra-chromosomal
79079	2	69732701	[69732701,69732788]	2	69693684	[69693592,69693684]	9	0	AAK1	AC114772.1	readthrough-intersecting
67579	17	66255567	[66255352,66255568]	17	62894577	[62894480,62894576]	3	3	ARSG	LRRC37A3	intra-chromosomal
102883	5	138629717	[138629652,138629719]	5	138699448	[138699446,138699527]	8	0	MATR3	PAIP2	intra-chromosomal
28039	11	5367003	[5367003,5367082]	11	5291386	[5291300,5291388]	7	0	AC104389.28;HBG2	HBE1	readthrough-intersecting
47477	14	62217603	[62217602,62217692]	14	62187323	[62187233,62187323]	7	0	RP11-618G20.2	HIF1A	readthrough-intersecting
78685	2	62227836	[62227835,62228054]	2	62115719	[62115555,62115719]	3	2	COMMD1	CCT4	readthrough-intersecting
101766	5	92919484	[92919484,92919564]	5	92899169	[92899128,92899170]	6	0	NR2F1	RP11-65F13.2	readthrough-intersecting
112502	7	143057242	[143057176,143057244]	7	143079011	[143079011,143079087]	5	0	FAM131B	ZYX	intra-chromosomal
55419	16	4163751	[4163751,4163871]	16	3434941	[3434821,3434943]	3	1	ADCY9	ZNF434	intra-chromosomal
118328	X	118533641	[118533596,118533642]	X	118604336	[118604336,118604423]	5	0	SLC25A43	SLC25A5	intra-chromosomal
10638	1	120835810	[120835809,120835876]	1	206516200	[206516198,206516255]	4	0	RP11-439A17.7	SRGAP2	intra-chromosomal
73404	19	34957919	[34957838,34957920]	19	34981281	[34981279,34981354]	4	0	UBA2	WTIP	readthrough-adjacent
21414	1	248023919	[248023919,248024002]	1	247803731	[247803641,247803733]	4	0	TRIM58	RP11-634B7.4	intra-chromosomal
2114	1	10003083	[10003017,10003083]	1	10032076	[10032074,10032141]	4	0	RP11-84A14.4	NMNAT1	readthrough-intersecting
