"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","DNAJC25:TMEM74B","chr9",114409539,"chr20",1162231,Inf,"678",2146,FALSE,TRUE,TRUE,"Locus_3520_Transcript_5/8_Confidence_0.120_Length_968",428,"HighConfidence","-"
"jaffa-direct","PLCB2:ANKRD61","chr15",40594158,"chr7",6075075,Inf,"595",2225,FALSE,TRUE,TRUE,"Locus_2463_Transcript_1/2_Confidence_0.750_Length_1663",732,"HighConfidence","-"
"jaffa-direct","CPNE2:RNF165","chr16",57159905,"chr18",44030667,Inf,"529",2094,FALSE,TRUE,TRUE,"Locus_2308_Transcript_1/3_Confidence_0.667_Length_5411",4040,"HighConfidence","-"
"jaffa-direct","GSTO2:PRR20A","chr10",106039229,"chr13",57716512,Inf,"478",1995,FALSE,TRUE,TRUE,"Locus_3324_Transcript_2/3_Confidence_0.500_Length_1988",1552,"HighConfidence","-"
"jaffa-direct","ITGB3:UBASH3A","chr17",45385003,"chr21",43838510,Inf,"910",1383,TRUE,TRUE,TRUE,"ITGB3|ENSG00000259207.3--UBASH3A|ENSG00000160185.9:6493559_1_76897_1600_281/1/1",36,"HighConfidence","-"
"jaffa-direct","ATXN7L1:RP11-574K11.31","chr7",105258239,"chr10",75563774,Inf,"447",1791,FALSE,TRUE,TRUE,"Locus_2497_Transcript_2/9_Confidence_0.125_Length_2143",744,"HighConfidence","-"
"jaffa-direct","YTHDF3:KLHL33","chr8",64100303,"chr14",20897560,Inf,"409",1649,FALSE,TRUE,TRUE,"Locus_2340_Transcript_3/6_Confidence_0.625_Length_2667",583,"HighConfidence","-"
"jaffa-direct","DYRK1B:KIAA1199","chr19",40321304,"chr15",81217965,Inf,"292",1657,FALSE,TRUE,TRUE,"Locus_3274_Transcript_9/9_Confidence_0.133_Length_3593",403,"HighConfidence","-"
"jaffa-direct","C1QTNF9:TCEAL5","chr13",24890307,"chrX",102529518,Inf,"372",1559,FALSE,TRUE,TRUE,"Locus_2528_Transcript_3/5_Confidence_0.412_Length_1297",251,"HighConfidence","-"
"jaffa-direct","SDHC:CGB7","chr1",161293460,"chr19",49557862,Inf,"492",1419,FALSE,TRUE,TRUE,"Locus_4333_Transcript_5/6_Confidence_0.143_Length_552",226,"HighConfidence","-"
"jaffa-direct","ADRA1A:DNALI1","chr8",26627798,"chr1",38023204,Inf,"366",1524,TRUE,TRUE,TRUE,"Locus_2597_Transcript_2/3_Confidence_0.333_Length_7738",4776,"HighConfidence","-"
"jaffa-direct","ESPNL:FAM69A","chr2",239037545,"chr1",93316512,Inf,"317",1422,TRUE,TRUE,TRUE,"Locus_3153_Transcript_2/3_Confidence_0.333_Length_2746",436,"HighConfidence","-"
"jaffa-direct","COG2:OSTF1","chr1",230825899,"chr9",77749262,Inf,"366",1323,FALSE,TRUE,TRUE,"Locus_2377_Transcript_1/4_Confidence_0.533_Length_4824",2272,"HighConfidence","-"
"jaffa-direct","TP53TG3B:EXOSC3","chr16",33262511,"chr9",37780877,Inf,"315",1284,TRUE,TRUE,TRUE,"Locus_2406_Transcript_3/8_Confidence_0.227_Length_2948",1137,"HighConfidence","-"
"jaffa-direct","RTP1:LAMC3","chr3",186915575,"chr9",133960911,Inf,"275",1227,FALSE,TRUE,TRUE,"Locus_2246_Transcript_2/3_Confidence_0.333_Length_2254",299,"HighConfidence","-"
"jaffa-direct","FA2H:SULT2A1","chr16",74752886,"chr19",48374824,Inf,"295",1152,FALSE,TRUE,TRUE,"Locus_2530_Transcript_3/5_Confidence_0.097_Length_930",610,"HighConfidence","-"
"jaffa-direct","PTF1A:AP003068.23","chr10",23482243,"chr11",64948543,Inf,"265",1138,TRUE,TRUE,TRUE,"Locus_3148_Transcript_11/11_Confidence_0.208_Length_4220",3396,"HighConfidence","-"
"jaffa-direct","CLCN2:MED13L","chr3",184075567,"chr12",116675510,Inf,"278",1109,TRUE,TRUE,TRUE,"Locus_2971_Transcript_4/6_Confidence_0.250_Length_10114",9251,"HighConfidence","-"
"jaffa-direct","SCMH1:ART4","chr1",41499655,"chr12",14982396,Inf,"221",1033,TRUE,TRUE,TRUE,"Locus_2457_Transcript_2/6_Confidence_0.250_Length_4086",2272,"HighConfidence","-"
"jaffa-direct","PLA2G3:NDUFC2-KCTD14","chr22",31534262,"chr11",77728316,Inf,"238",994,FALSE,TRUE,TRUE,"Locus_2635_Transcript_4/9_Confidence_0.000_Length_3845",1035,"HighConfidence","-"
"jaffa-direct","MRM1:GSKIP","chr17",34964238,"chr14",96848584,Inf,"236",994,FALSE,TRUE,TRUE,"Locus_2585_Transcript_2/4_Confidence_0.667_Length_2847",831,"HighConfidence","-"
"jaffa-direct","MRC2:DHCR24","chr17",60754847,"chr1",55319907,Inf,"232",949,TRUE,TRUE,TRUE,"Locus_2464_Transcript_2/3_Confidence_0.333_Length_5459",2357,"HighConfidence","-"
"jaffa-direct","FDX1:ELAVL1","chr11",110301029,"chr19",8046070,Inf,"895",232,FALSE,TRUE,TRUE,"FDX1|ENSG00000137714.2--ELAVL1|ENSG00000066044.9:10059707_1_59438_1032_155/2/2",54,"HighConfidence","-"
"jaffa-direct","NOX5:FLJ27365","chr15",69335145,"chr22",46493806,Inf,"136",982,TRUE,TRUE,TRUE,"Locus_2802_Transcript_4/8_Confidence_0.429_Length_2271",467,"HighConfidence","-"
"jaffa-direct","COL6A6:USH2A","chr3",130329555,"chr1",216371926,Inf,"208",881,FALSE,TRUE,TRUE,"Locus_2456_Transcript_2/3_Confidence_0.333_Length_6929",2111,"HighConfidence","-"
"jaffa-direct","ALDH9A1:NANOGNB","chr1",165651344,"chr12",7926396,Inf,"1032",25,FALSE,TRUE,TRUE,"ALDH9A1|ENSG00000143149.8--NANOGNB|ENSG00000205857.1:1250407_1_11849_258_167/1/1",64,"HighConfidence","-"
"jaffa-direct","A1CF:ORAI1","chr10",52595834,"chr12",122078947,Inf,"858",191,FALSE,TRUE,TRUE,"A1CF|ENSG00000148584.10--ORAI1|ENSG00000182500.7:10016939_1_38_1590_153/1/1",47,"HighConfidence","-"
"jaffa-direct","MFF:FLYWCH1","chr2",228197304,"chr16",2980411,Inf,"191",846,FALSE,TRUE,TRUE,"Locus_2884_Transcript_5/10_Confidence_0.312_Length_1805",938,"HighConfidence","-"
"jaffa-direct","KNG1:SIRT6","chr3",186456995,"chr19",4180906,Inf,"221",803,TRUE,TRUE,TRUE,"Locus_2768_Transcript_1/4_Confidence_0.636_Length_2422",1101,"HighConfidence","-"
"jaffa-direct","IRGQ:ZNF326","chr19",44098961,"chr1",90463669,Inf,"206",816,FALSE,TRUE,TRUE,"Locus_2540_Transcript_2/8_Confidence_0.083_Length_2784",706,"HighConfidence","-"
"jaffa-direct","KCND1:CAMK4","chrX",48823168,"chr5",110679722,Inf,"178",801,FALSE,TRUE,TRUE,"Locus_2436_Transcript_2/3_Confidence_0.333_Length_1882",365,"HighConfidence","-"
"jaffa-direct","FCER1A:RFTN2","chr1",159273972,"chr2",198480703,Inf,"789",179,FALSE,TRUE,TRUE,"FCER1A|ENSG00000179639.6--RFTN2|ENSG00000162944.6:10129820_1_59120_397_137/2/2",46,"HighConfidence","-"
"jaffa-direct","SCRT1:STAG1","chr8",145559717,"chr3",136162246,Inf,"731",215,FALSE,TRUE,TRUE,"SCRT1|ENSG00000170616.9--STAG1|ENSG00000118007.8:10152787_0_155072_193_159/1/1",34,"HighConfidence","-"
"jaffa-direct","C20orf201:KIF24","chr20",62714936,"chr9",34286702,Inf,"192",751,FALSE,TRUE,TRUE,"Locus_2908_Transcript_2/3_Confidence_0.333_Length_8217",7558,"HighConfidence","-"
"jaffa-direct","KLC4:MMP21","chr6",43039993,"chr10",127459160,Inf,"802",139,FALSE,TRUE,TRUE,"KLC4|ENSG00000137171.10--MMP21|ENSG00000154485.4:10141605_1_80033_879_125/1/1",61,"HighConfidence","-"
"jaffa-direct","MSRA:CYP11B1","chr8",10102733,"chr8",143956570,133853.838,"759",177,FALSE,TRUE,TRUE,"MSRA|ENSG00000175806.10--CYP11B1|ENSG00000160882.7:10215_0_96388_536_320/1/1",44,"HighConfidence","-"
"jaffa-direct","YLPM1:E2F7","chr14",75249028,"chr12",77444524,Inf,"908",5,FALSE,TRUE,TRUE,"YLPM1|ENSG00000119596.13--E2F7|ENSG00000165891.11:1624415_0_189476_2344_323/1/1",62,"HighConfidence","-"
"jaffa-direct","TM4SF2:UGT3A2","chrX",37285253,"chr5",36038118,Inf,"175",712,FALSE,TRUE,TRUE,"Locus_2954_Transcript_4/5_Confidence_0.125_Length_1164",833,"HighConfidence","-"
