"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","RABGAP1:CTD-2353F22.1","chr9",125719488,"chr5",36668813,Inf,"5",43,FALSE,TRUE,TRUE,"Locus_8280_Transcript_7/11_Confidence_0.179_Length_1063",334,"HighConfidence","-"
"jaffa-direct","PPP1R12A:PSEN1","chr12",80328475,"chr14",73678477,Inf,"4",16,FALSE,TRUE,TRUE,"Locus_2034_Transcript_10/17_Confidence_0.287_Length_4438",535,"HighConfidence","-"
"jaffa-direct","TADA2A:C17orf78","chr17",35771477,"chr17",35736075,35.4,"1",12,TRUE,TRUE,TRUE,"Locus_1263_Transcript_9/11_Confidence_0.151_Length_1364",372,"HighConfidence","-"
"jaffa-direct","FUT8:NUMB","chr14",66200099,"chr14",73783130,7583.031,"5",8,TRUE,TRUE,TRUE,"Locus_2360_Transcript_19/25_Confidence_0.505_Length_4817",1862,"HighConfidence","-"
"jaffa-direct","FUT8:NUMB","chr14",66200099,"chr14",73763993,7563.897,"1",8,TRUE,TRUE,TRUE,"Locus_2360_Transcript_18/25_Confidence_0.468_Length_4784",1862,"HighConfidence","-"
"jaffa-direct","RABGAP1:CTD-2353F22.1","chr9",125719488,"chr5",36666586,Inf,"2",7,FALSE,TRUE,TRUE,"Locus_8280_Transcript_3/11_Confidence_0.205_Length_916",334,"HighConfidence","-"
"jaffa-direct","ZBTB26:AGAP2","chr9",125693716,"chr12",58129210,Inf,"-",13,FALSE,TRUE,TRUE,"Locus_7147_Transcript_1/2_Confidence_0.969_Length_1889",1740,"MediumConfidence","-"
"jaffa-direct","BABAM1:OCEL1","chr19",17379900,"chr19",17338649,41.25,"0",7,FALSE,TRUE,TRUE,"Locus_729_Transcript_16/22_Confidence_0.158_Length_722",221,"MediumConfidence","-"
"jaffa-direct","BABAM1:OCEL1","chr19",17379900,"chr19",17339065,40.832,"-",4,TRUE,TRUE,TRUE,"Locus_729_Transcript_7/22_Confidence_0.173_Length_556",55,"MediumConfidence","-"
"jaffa-direct","EPHB2:RP11-114H23.2","chr1",23037536,"chr12",76088755,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_1566_Transcript_31/40_Confidence_0.192_Length_1988",71,"MediumConfidence","-"
"jaffa-direct","USP15:RP11-351N6.1","chr12",62654284,"chr5",26389792,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_25354_Transcript_3/3_Confidence_0.684_Length_351",218,"MediumConfidence","-"
"jaffa-direct","OSBPL8:GALNT9","chr12",76953177,"chr12",132863016,55909.836,"0",3,FALSE,TRUE,TRUE,"Locus_3639_Transcript_10/12_Confidence_0.029_Length_782",431,"MediumConfidence","-"
"jaffa-direct","COPS7B:LATS2","chr2",232646593,"chr13",21620369,Inf,"-",3,TRUE,TRUE,TRUE,"Locus_4849_Transcript_7/7_Confidence_0.015_Length_1240",1066,"MediumConfidence","-"
"jaffa-direct","EGFLAM:CTD-2116N24.1","chr5",38258953,"chr5",38183806,75.144,"-",2,FALSE,TRUE,TRUE,"Locus_12594_Transcript_2/2_Confidence_0.400_Length_360",76,"MediumConfidence","-"
"jaffa-direct","RP11-178C3.2:VMP1","chr17",58043828,"chr17",57915656,128.171,"-",1,FALSE,TRUE,TRUE,"Locus_4673_Transcript_1/4_Confidence_0.667_Length_234",189,"MediumConfidence","-"
"jaffa-direct","FAM185A:SPDYE2B","chr7",102427916,"chr7",102296695,131.218,"-",1,TRUE,TRUE,TRUE,"Locus_8914_Transcript_3/4_Confidence_0.167_Length_370",232,"MediumConfidence","-"
"jaffa-direct","SPATA2:NCOA5","chr20",48531917,"chr20",44708092,3823.828,"-",1,FALSE,TRUE,FALSE,"Locus_9659_Transcript_1/7_Confidence_0.625_Length_3101",59,"MediumConfidence","-"
"jaffa-direct","ANKRD17:BMP2K","chr4",74123993,"chr4",79747191,5623.2,"0",1,FALSE,TRUE,TRUE,"Locus_1007_Transcript_74/133_Confidence_0.048_Length_2266",159,"MediumConfidence","-"
"jaffa-direct","ATP6V1D:TMEM39B","chr14",67804104,"chr1",32542364,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_6142_Transcript_4/7_Confidence_0.478_Length_1332",1233,"MediumConfidence","-"
"jaffa-direct","AC138035.1:AKR1D1","chr5",180760912,"chr7",137801366,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_12117_Transcript_2/18_Confidence_0.043_Length_302",157,"MediumConfidence","-"
"jaffa-direct","TUBA8:RP11-386G11.10","chr22",18609389,"chr12",49522312,Inf,"12",39,NA,FALSE,TRUE,"Locus_1332_Transcript_11/48_Confidence_0.112_Length_1587",278,"LowConfidence","-"
"jaffa-direct","RP1-34H18.1:NAV3","chr12",77966042,"chr12",78334099,368.057,"1",14,NA,FALSE,FALSE,"Locus_15144_Transcript_2/2_Confidence_0.421_Length_890",646,"LowConfidence","-"
"jaffa-direct","MYO5A:ETS1","chr15",52602101,"chr11",128329966,Inf,"9",6,NA,FALSE,TRUE,"Locus_1450_Transcript_4/23_Confidence_0.273_Length_5261",3961,"LowConfidence","-"
"jaffa-direct","SHPK:HMGA2","chr17",3512443,"chr12",66218551,Inf,"6",2,NA,FALSE,TRUE,"Locus_3687_Transcript_7/24_Confidence_0.234_Length_1427",484,"LowConfidence","-"
