"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","PROP1:FLRT1","chr5",177421107,"chr11",63883691,Inf,"13674",3261,TRUE,TRUE,TRUE,"Locus_1_Transcript_2940/6203_Confidence_0.001_Length_3574",3017,"HighConfidence","-"
"jaffa-direct","CWC22:CAPS","chr2",180835228,"chr19",5914396,Inf,"13176",3170,FALSE,TRUE,TRUE,"Locus_1_Transcript_2016/6203_Confidence_0.001_Length_2769",1357,"HighConfidence","-"
"jaffa-direct","PID1:DAP","chr2",230020534,"chr5",10681281,Inf,"13283",2695,FALSE,TRUE,TRUE,"Locus_1_Transcript_1988/6203_Confidence_0.000_Length_1078",595,"HighConfidence","-"
"jaffa-direct","BCO2:NT5C1A","chr11",112064717,"chr1",40126935,Inf,"12792",2993,FALSE,TRUE,TRUE,"Locus_111_Transcript_11/11_Confidence_0.171_Length_518",316,"HighConfidence","-"
"jaffa-direct","RBL1:RPF1","chr20",35689506,"chr1",84946639,Inf,"11928",2943,FALSE,TRUE,TRUE,"Locus_1_Transcript_2503/6203_Confidence_0.001_Length_1996",1727,"HighConfidence","-"
"jaffa-direct","NTN5:SH3RF1","chr19",49167400,"chr4",170017838,Inf,"11519",2882,FALSE,TRUE,TRUE,"Locus_1_Transcript_2249/6203_Confidence_0.001_Length_3133",557,"HighConfidence","-"
"jaffa-direct","CTSK:AP3M1","chr1",150778337,"chr10",75896561,Inf,"8576",3096,TRUE,TRUE,TRUE,"Locus_156_Transcript_15/33_Confidence_0.398_Length_2301",162,"HighConfidence","-"
"jaffa-direct","LARP1B:PNO1","chr4",129043343,"chr2",68385512,Inf,"8994",2138,TRUE,TRUE,TRUE,"Locus_1_Transcript_4064/6203_Confidence_0.000_Length_1929",358,"HighConfidence","-"
"jaffa-direct","SFMBT1:TMEM174","chr3",52968829,"chr5",72469887,Inf,"7809",1990,FALSE,TRUE,TRUE,"Locus_357_Transcript_3/6_Confidence_0.571_Length_2028",814,"HighConfidence","-"
"jaffa-direct","CASD1:LRIG3","chr7",94147635,"chr12",59268112,Inf,"8089",1532,FALSE,TRUE,TRUE,"Locus_401_Transcript_10/14_Confidence_0.325_Length_956",719,"HighConfidence","-"
"jaffa-direct","WDR88:NR1D2","chr19",33642216,"chr3",23997528,Inf,"7490",1942,FALSE,TRUE,TRUE,"Locus_336_Transcript_28/28_Confidence_0.159_Length_3580",2682,"HighConfidence","-"
"jaffa-direct","DNAJC25:CLEC4G","chr9",114429226,"chr19",7796205,Inf,"6961",1330,FALSE,TRUE,TRUE,"Locus_919_Transcript_29/31_Confidence_0.108_Length_695",150,"HighConfidence","-"
"jaffa-direct","KISS1:HP1BP3","chr1",204161902,"chr1",21097566,183064.341,"7167",1039,FALSE,TRUE,FALSE,"Locus_2940_Transcript_13/18_Confidence_0.294_Length_969",711,"HighConfidence","-"
"jaffa-direct","FGF6:KMT2E","chr12",4554391,"chr7",104719293,Inf,"5770",2074,FALSE,TRUE,TRUE,"Locus_1_Transcript_464/6203_Confidence_0.001_Length_5392",156,"HighConfidence","-"
"jaffa-direct","C4orf27:PPP1R3C","chr4",170663108,"chr10",93390623,Inf,"6286",1486,FALSE,TRUE,TRUE,"Locus_1_Transcript_1223/6203_Confidence_0.000_Length_983",316,"HighConfidence","-"
"jaffa-direct","TSGA13:HMGCL","chr7",130370026,"chr1",24137289,Inf,"6071",971,TRUE,TRUE,TRUE,"Locus_342_Transcript_6/19_Confidence_0.327_Length_1591",486,"HighConfidence","-"
"jaffa-direct","EHD3:TLCD1","chr2",31457714,"chr17",27051911,Inf,"5793",1120,FALSE,TRUE,TRUE,"Locus_1_Transcript_3237/6203_Confidence_0.001_Length_1583",700,"HighConfidence","-"
"jaffa-direct","LRRIQ3:ZBTB16","chr1",74648222,"chr11",113933933,Inf,"5424",1333,TRUE,TRUE,TRUE,"Locus_261_Transcript_16/16_Confidence_0.446_Length_2795",2265,"HighConfidence","-"
"jaffa-direct","XRCC1:MORC2","chr19",44057761,"chr22",31322858,Inf,"5345",1277,TRUE,TRUE,TRUE,"Locus_1028_Transcript_3/3_Confidence_0.000_Length_562",300,"HighConfidence","-"
"jaffa-direct","S100A6:GNPAT","chr1",153507678,"chr1",231401039,77893.36,"5679",820,FALSE,TRUE,TRUE,"Locus_1528_Transcript_9/18_Confidence_0.493_Length_1735",210,"HighConfidence","-"
"jaffa-direct","HSPA8:EHF","chr11",122929340,"chr11",34680080,88249.261,"5217",1273,TRUE,TRUE,TRUE,"Locus_580_Transcript_44/50_Confidence_0.248_Length_1737",1213,"HighConfidence","-"
"jaffa-direct","OTC:MDFI","chrX",38212026,"chr6",41606477,Inf,"5235",861,FALSE,TRUE,TRUE,"Locus_1_Transcript_3453/6203_Confidence_0.000_Length_1432",1203,"HighConfidence","-"
"jaffa-direct","GTF3C1:TMEM79","chr16",27499875,"chr1",156256051,Inf,"4508",1113,TRUE,TRUE,TRUE,"Locus_1_Transcript_5254/6203_Confidence_0.003_Length_4763",3516,"HighConfidence","-"
"jaffa-direct","LYG1:GUCY1B3","chr2",99908999,"chr4",156717529,Inf,"4205",1041,FALSE,TRUE,TRUE,"Locus_2_Transcript_20/24_Confidence_0.373_Length_1649",1303,"HighConfidence","-"
"jaffa-direct","AL356356.1:KAT8","chr1",150522752,"chr16",31141338,Inf,"4039",944,FALSE,TRUE,TRUE,"Locus_634_Transcript_5/28_Confidence_0.161_Length_1031",494,"HighConfidence","-"
"jaffa-direct","TCF20:STIM2","chr22",42605657,"chr4",27010050,Inf,"3990",987,TRUE,TRUE,TRUE,"Locus_1_Transcript_6130/6203_Confidence_0.004_Length_6801",5717,"HighConfidence","-"
"jaffa-direct","ARID3C:GCH1","chr9",34627694,"chr14",55312570,Inf,"3949",960,FALSE,TRUE,TRUE,"Locus_1_Transcript_6187/6203_Confidence_0.001_Length_1654",429,"HighConfidence","-"
"jaffa-direct","LOXHD1:MSH6","chr18",44104671,"chr2",48018066,Inf,"3963",911,FALSE,TRUE,TRUE,"Locus_1_Transcript_5318/6203_Confidence_0.001_Length_2209",388,"HighConfidence","-"
"jaffa-direct","AMY1A:APOA5","chr1",104205397,"chr11",116662608,Inf,"3720",936,FALSE,TRUE,TRUE,"Locus_256_Transcript_14/15_Confidence_0.280_Length_1604",1259,"HighConfidence","-"
"jaffa-direct","METTL2B:RASAL1","chr7",128128215,"chr12",113538485,Inf,"3431",917,FALSE,TRUE,TRUE,"Locus_1_Transcript_5714/6203_Confidence_0.000_Length_1079",559,"HighConfidence","-"
"jaffa-direct","KRT84:PLGRKT","chr12",52778824,"chr9",5431983,Inf,"3329",837,TRUE,TRUE,TRUE,"Locus_74_Transcript_11/23_Confidence_0.349_Length_1300",699,"HighConfidence","-"
"jaffa-direct","ZW10:MPV17L2","chr11",113630931,"chr19",18304674,Inf,"3318",805,TRUE,TRUE,TRUE,"Locus_125_Transcript_11/15_Confidence_0.463_Length_1380",1076,"HighConfidence","-"
"jaffa-direct","EPX:KANK4","chr17",56270283,"chr1",62718881,Inf,"3378",692,TRUE,TRUE,TRUE,"Locus_49_Transcript_20/26_Confidence_0.212_Length_1286",1145,"HighConfidence","-"
"jaffa-direct","AP5M1:UGT1A1","chr14",57747140,"chr2",234676866,Inf,"3282",757,FALSE,TRUE,TRUE,"Locus_838_Transcript_5/14_Confidence_0.333_Length_1104",618,"HighConfidence","-"
"jaffa-direct","IL17RB:PCDHGA1","chr3",53894255,"chr5",140874374,Inf,"3146",890,FALSE,TRUE,TRUE,"Locus_396_Transcript_9/36_Confidence_0.481_Length_2911",2082,"HighConfidence","-"
"jaffa-direct","HEPACAM:THRAP3","chr11",124805818,"chr1",36748134,Inf,"3308",667,FALSE,TRUE,TRUE,"Locus_1_Transcript_5537/6203_Confidence_0.003_Length_4513",4239,"HighConfidence","-"
"jaffa-direct","SLC6A12:BOC","chr12",310928,"chr3",112969402,Inf,"3453",456,FALSE,TRUE,TRUE,"Locus_537_Transcript_19/23_Confidence_0.409_Length_1654",1447,"HighConfidence","-"
