juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr8_144661949_-:chr8_144660113_-	readthrough	0	na	33	27	15	55.5556	16	59.2593	6	0	0	94.5455	100	43	0	na	na	GT	AG	144662003	144660018	1	1	1836	ENSG00000104529.13	ENSG00000147813.11	EEF1D	NAPRT1	protein_coding	protein_coding	D1JYHACXX130117:6:2210:20201:19934/1,C1FGVACXX130122:5:1307:19859:28400/1,C1FGVACXX130122:8:2307:2871:51718/2,C1EF5ACXX130117:8:2101:16317:93990/1,C1E5MACXX130111:8:2105:3745:23346/1,C1DVPACXX130111:4:2109:13329:27232/1,C1DVPACXX130111:2:1110:19141:84551/2,C1E2NACXX130117:6:1210:6927:4377/1,C1E2NACXX130117:2:2210:8320:57292/1,C1FGVACXX130122:7:1109:16564:3409/2,C1FGVACXX130122:3:2107:13672:97463/1,C1FGVACXX130122:3:1110:18499:54774/2,D1JYHACXX130117:2:2104:12451:91996/1,C1E2NACXX130117:6:1210:6927:4377/1,C1FGVACXX130122:8:2114:19582:11625/2,C1E2NACXX130117:3:1201:17747:63100/2,D1JYHACXX130117:6:2210:20201:19934/1,C1FGVACXX130122:5:1307:19859:28400/1,D1JYHACXX130117:7:2101:4338:74350/1,D1JYHACXX130117:7:2101:4338:74350/1,D1JYHACXX130117:7:2101:4338:74350/1,C1EF5ACXX130117:6:1309:5773:19137/2,C1EF5ACXX130117:6:1309:5773:19137/2,C1EF5ACXX130117:6:1309:5773:19137/2,C1E2NACXX130117:7:1216:2289:20444/1,C1E2NACXX130117:7:1216:2289:20444/1,D1JYHACXX130117:3:1216:13419:82440/2,	D1JYHACXX130117:8:1303:11744:67518,D1JYHACXX130117:6:1205:21049:22318,C1DVPACXX130111:4:2115:20557:78018,D1JYHACXX130117:4:2115:8410:9186,D1JYHACXX130117:1:2305:6983:55622,C1DVPACXX130111:2:2211:13174:99230,	na
chr5_95249479_-:chr2_230634041_-	interchromosomal	0	na	10	4	4	100	4	100	6	1	14.2857	100	100	4	0	na	na	GT	AG	95249539	230633965	0	na	na	ENSG00000118985.10	ENSG00000153827.9	ELL2	TRIP12	protein_coding	protein_coding	C1E5MACXX130111:5:2314:2060:35566/2,C1E2NACXX130117:6:1212:20440:33135/2,C1E2NACXX130117:6:1212:20440:33135/1,C1EF5ACXX130117:5:1306:12528:87147/1,	C1FGVACXX130122:1:2201:16869:83372,D1JYHACXX130117:2:2214:9772:74167,C1E5MACXX130111:8:1306:3827:63802,C1DVPACXX130111:3:1316:9355:77654,C1E5MACXX130111:4:1310:13919:84718,C1EF5ACXX130117:7:2205:20038:30056,	C1E2NACXX130117:7:2316:14402:10729,
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	6	5	5	100	1	20	1	0	0	100	100	0	0	na	na	GT	AG	46781656	47046271	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C1E2NACXX130117:3:1115:14126:73235/1,C1E2NACXX130117:3:1115:14126:73235/2,D1JYHACXX130117:2:2211:2742:76253/1,D1JYHACXX130117:2:2211:2742:76253/2,C1FGVACXX130122:2:1303:18796:68667/1,	C1EF5ACXX130117:4:1211:21351:63902,	na
chr9_540667_+:chr9_549190_+	readthrough	0	na	12	10	8	80	5	50	2	0	0	100	100	0	0	na	na	GT	AG	540593	549289	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	C1EF5ACXX130117:5:1316:8709:30510/1,D1JYHACXX130117:4:1213:9084:71857/2,C1EF5ACXX130117:2:2115:15779:77936/2,C1E2NACXX130117:4:2303:12036:94234/1,C1EF5ACXX130117:8:2301:15007:56741/2,C1DVPACXX130111:3:1204:7792:30191/2,C1DVPACXX130111:3:1204:7792:30191/2,C1FGVACXX130122:2:1315:19632:72891/2,C1FGVACXX130122:3:1202:11915:2091/1,C1E2NACXX130117:3:1313:19613:71676/2,	C1FGVACXX130122:5:2315:16666:8035,C1EF5ACXX130117:8:1113:20462:92055,	na
chr12_52639416_+:chr12_52695697_+	readthrough	0	na	7	4	3	75	2	50	3	0	0	100	100	0	0	na	na	GT	AG	52639353	52695785	1	1	56281	ENSG00000135480.10	ENSG00000170442.7	KRT7	KRT86	protein_coding	protein_coding	D1JYHACXX130117:3:1213:18531:54417/2,C1E5MACXX130111:8:2306:15242:78985/1,C1EF5ACXX130117:6:2203:3819:34407/2,C1EF5ACXX130117:6:2203:3819:34407/2,	C1EF5ACXX130117:7:1110:5941:95804,D1JYHACXX130117:4:2101:3883:67682,C1E2NACXX130117:5:2301:16327:20751,	na
chr12_52641995_+:chr12_52669605_+	readthrough	0	na	4	1	1	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	52641978	52669687	1	1	27610	ENSG00000135480.10	ENSG00000170442.7	KRT7	KRT86	protein_coding	protein_coding	C1E5MACXX130111:8:2309:1890:20317/1,	C1EF5ACXX130117:7:1110:5941:95804,D1JYHACXX130117:4:2101:3883:67682,C1E2NACXX130117:5:2301:16327:20751,	na
chr8_119122324_-:chr8_123426794_-	inverted	0	na	3	2	2	100	0	0	1	1	50	100	100	0	0	na	na	GT	AG	119122365	123426735	1	0	na	ENSG00000182197.6	ENSG00000255364.1	EXT1	RP11-94A24.1	protein_coding	lincRNA	C1E2NACXX130117:8:1106:21099:44336/1,C1FGVACXX130122:7:2316:13621:52587/1,	C1FGVACXX130122:8:1311:12572:3543,	C1FGVACXX130122:3:2215:19791:5108,
chr8_145278133_+:chr8_145052249_-	interstrand	0	na	5	3	3	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	145278055	145052171	0	na	na	ENSG00000179832.13	ENSG00000178685.9	MROH1	PARP10	protein_coding	protein_coding	C1DVPACXX130111:4:2202:4000:88448/2,C1FGVACXX130122:7:2102:6394:62368/2,C1E2NACXX130117:5:1213:12004:23339/1,	D1JYHACXX130117:8:1314:7314:47453,D1JYHACXX130117:4:2202:18530:58197,	na
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	17	15	11	73.3333	9	60	2	0	0	100	100	0	0	na	na	GT	AG	85029039	84967555	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	D1JYHACXX130117:7:2315:14520:33924/2,C1E2NACXX130117:1:2104:7886:40541/1,C1E2NACXX130117:1:2104:7886:40541/1,D1JYHACXX130117:6:2210:16292:14774/1,C1FGVACXX130122:8:2108:9981:95801/2,C1EF5ACXX130117:1:2216:15576:47126/2,C1FGVACXX130122:3:2316:16039:70715/2,C1FGVACXX130122:2:2307:13366:30880/2,C1FGVACXX130122:8:1205:9332:37585/2,C1FGVACXX130122:8:1205:9332:37585/2,C1FGVACXX130122:8:1109:11886:27415/2,C1FGVACXX130122:8:2108:9981:95801/1,D1JYHACXX130117:1:1202:10657:28752/1,C1EF5ACXX130117:1:2307:15990:16743/1,C1E2NACXX130117:1:2103:3189:28017/1,	C1E2NACXX130117:8:1308:7328:40416,C1E5MACXX130111:8:1306:13140:13866,	na
chr17_8079518_-:chr17_8065687_-	readthrough	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	8079596	8065666	1	1	13831	ENSG00000179029.10	ENSG00000263620.1,ENSG00000220205.4	TMEM107	RP11-599B13.6,VAMP2	protein_coding	protein_coding,protein_coding	C1FGVACXX130122:2:2316:14135:40752/2,	C1E2NACXX130117:7:1301:10244:69344,D1JYHACXX130117:2:1207:6200:70290,	na
chr6_44200165_+:chr6_44216367_+	readthrough	0	na	12	10	10	100	8	80	2	0	0	100	100	0	0	na	na	GT	AG	44200088	44216466	1	1	16202	ENSG00000112759.12	ENSG00000096384.15	SLC29A1	HSP90AB1	protein_coding	protein_coding	C1EF5ACXX130117:2:1310:15515:23110/2,C1E2NACXX130117:4:1109:1749:74306/2,C1E2NACXX130117:2:2303:9803:8515/2,C1FGVACXX130122:2:1208:9297:90586/2,D1JYHACXX130117:6:2204:21343:60730/2,C1E5MACXX130111:7:2313:6701:22897/2,C1EF5ACXX130117:1:2305:3770:13156/1,C1EF5ACXX130117:8:2316:15198:5647/1,C1EF5ACXX130117:6:2311:10324:87520/2,D1JYHACXX130117:8:2206:4233:31060/1,	C1E5MACXX130111:5:2212:20351:70248,C1DVPACXX130111:2:2109:15300:23333,	na
