juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr5_50265746_-:chr5_50261737_-	readthrough	0	na	11	4	4	100	2	50	7	6	46.1538	82.8125	100	11	229	na	na	GT	AG	50265809	50261638	1	1	4009	ENSG00000251573.2	ENSG00000250360.1	CTD-2089N3.2	CTD-2089N3.1	lincRNA	lincRNA	C19U6ACXX121211:4:2110:3211:77528/2,C19U6ACXX121211:7:2112:13808:52529/1,C19C7ACXX121128:7:1214:17722:86507/1,D1JPNACXX121217:6:2108:14023:15307/1,	D1JPNACXX121217:2:2213:16222:39843,C19KCACXX121210:8:2203:15318:39621,D1JPNACXX121217:5:1308:15998:89294,C19C7ACXX121128:6:1115:9325:34045,D1EDCACXX121128:3:1115:9625:93906,D1EDCACXX121128:6:2205:20804:63901,C19C7ACXX121128:1:2113:17779:94786,	C19C7ACXX121128:1:1309:11583:67985,D1JPNACXX121217:2:1107:5871:97404,D1EDCACXX121128:2:1108:10830:7191,D1EDCACXX121128:4:1208:7830:64981,D1EDCACXX121128:5:1303:1608:91446,D1JPNACXX121217:6:1108:20765:65658,
chr5_50265757_-:chr5_50262847_-	readthrough	0	na	13	3	3	100	1	33.3333	10	3	23.0769	100	91.6667	0	5	na	na	GT	AG	50265856	50262788	1	1	2910	ENSG00000251573.2	ENSG00000250360.1	CTD-2089N3.2	CTD-2089N3.1	lincRNA	lincRNA	D1JPNACXX121217:8:1211:3474:35677/2,D1JPNACXX121217:2:2316:17309:29205/2,D1JPNACXX121217:2:2316:17309:29205/1,	D1EDCACXX121128:4:1208:7830:64981,D1JPNACXX121217:2:2213:16222:39843,C19KCACXX121210:8:2203:15318:39621,D1EDCACXX121128:5:1303:1608:91446,D1JPNACXX121217:5:1308:15998:89294,C19C7ACXX121128:6:1115:9325:34045,D1JPNACXX121217:6:1108:20765:65658,D1EDCACXX121128:3:1115:9625:93906,D1EDCACXX121128:6:2205:20804:63901,C19C7ACXX121128:1:2113:17779:94786,	C19C7ACXX121128:1:1309:11583:67985,D1JPNACXX121217:2:1107:5871:97404,D1EDCACXX121128:2:1108:10830:7191,
chr4_77560795_+:chr4_77631309_+	readthrough	0	na	4	3	3	100	0	0	1	0	0	75.5814	100	0	0	na	na	GT	AG	77560710	77631357	1	1	70514	ENSG00000231335.1	ENSG00000138771.10	AC107072.2	SHROOM3	sense_intronic	protein_coding	C19C7ACXX121128:7:2304:6473:3297/2,C19KCACXX121210:5:2208:16294:83789/1,C19U6ACXX121211:1:2205:3168:6693/2,	D1EDCACXX121128:1:2306:16154:14882,	na
chr17_74959975_-:chr17_74953739_-	readthrough	0	na	4	2	2	100	1	50	2	1	33.3333	100	100	0	0	na	na	GT	AG	74960069	74953655	1	1	6236	ENSG00000267568.2	ENSG00000267521.1	RP11-87G24.3	RP11-87G24.6	processed_transcript	lincRNA	C19C7ACXX121128:6:2301:6038:31754/1,D1JPNACXX121217:3:2304:4971:14062/1,	C19KCACXX121210:5:1304:1505:33400,D1JPNACXX121217:7:1204:10475:93008,	C19U6ACXX121211:3:1203:16487:30053,
chr11_44104861_+:chr11_44129233_+	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	44104762	44129324	1	1	24372	ENSG00000110455.9	ENSG00000151348.9	ACCS	EXT2	protein_coding	protein_coding	D1EDCACXX121128:8:2305:10566:94892/1,C19C7ACXX121128:3:2102:4255:2119/2,C19C7ACXX121128:3:2102:4255:2119/1,	C19C7ACXX121128:8:2307:20434:84964,	na
chr5_50265757_-:chr5_50261737_-	readthrough	0	na	41	34	29	85.2941	3	8.82353	7	6	46.1538	100	100	0	229	na	na	GT	AG	50265856	50261638	1	1	4020	ENSG00000251573.2	ENSG00000250360.1	CTD-2089N3.2	CTD-2089N3.1	lincRNA	lincRNA	D1JPNACXX121217:8:2313:1869:53887/1,D1EDCACXX121128:8:2209:19395:96240/1,D1EDCACXX121128:8:1116:16871:17022/1,C19U6ACXX121211:3:2211:6695:49537/2,D1JPNACXX121217:3:2306:2860:97628/1,D1EDCACXX121128:2:1316:11598:93030/2,C19C7ACXX121128:4:2107:2827:56323/2,D1JPNACXX121217:7:1216:9337:14193/1,D1EDCACXX121128:8:2109:7423:54467/1,C19KCACXX121210:3:1307:14661:77389/2,D1JPNACXX121217:5:2107:9727:9063/2,C19U6ACXX121211:5:2105:12803:96811/2,C19U6ACXX121211:4:2110:3211:77528/2,D1JPNACXX121217:3:1216:17165:21727/2,D1JPNACXX121217:8:1308:16148:47463/1,D1JPNACXX121217:7:1115:20514:51376/1,C19KCACXX121210:7:1312:10132:79516/2,C19KCACXX121210:3:1307:17209:16729/1,C19C7ACXX121128:8:2212:18470:94958/2,C19C7ACXX121128:2:1212:4764:45752/1,C19C7ACXX121128:7:1214:17722:86507/1,D1JPNACXX121217:8:1308:16148:47463/2,C19KCACXX121210:7:2307:2622:100151/1,D1JPNACXX121217:3:2306:2860:97628/2,C19U6ACXX121211:4:2302:12711:82529/2,C19C7ACXX121128:4:2107:2827:56323/1,D1JPNACXX121217:7:2211:14426:72009/2,C19U6ACXX121211:3:1203:20225:89052/1,C19U6ACXX121211:5:1315:10148:21690/2,D1JPNACXX121217:8:1211:3474:35677/2,D1EDCACXX121128:6:2103:10781:79338/2,C19U6ACXX121211:4:1311:9005:52736/1,D1JPNACXX121217:8:1215:20727:89699/1,D1EDCACXX121128:2:1316:11598:93030/1,	D1JPNACXX121217:2:2213:16222:39843,C19KCACXX121210:8:2203:15318:39621,D1JPNACXX121217:5:1308:15998:89294,C19C7ACXX121128:6:1115:9325:34045,D1EDCACXX121128:3:1115:9625:93906,D1EDCACXX121128:6:2205:20804:63901,C19C7ACXX121128:1:2113:17779:94786,	C19C7ACXX121128:1:1309:11583:67985,D1JPNACXX121217:2:1107:5871:97404,D1EDCACXX121128:2:1108:10830:7191,D1EDCACXX121128:4:1208:7830:64981,D1EDCACXX121128:5:1303:1608:91446,D1JPNACXX121217:6:1108:20765:65658,
chr16_67429090_-:chr16_67425020_-	readthrough	0	na	10	8	8	100	3	37.5	2	1	33.3333	98.9474	100	0	0	na	na	GT	AG	67429184	67424922	1	1	4070	ENSG00000159714.6	ENSG00000159713.6	ZDHHC1	TPPP3	protein_coding	protein_coding	D1EDCACXX121128:3:1214:14585:52216/1,C19KCACXX121210:5:1210:5769:64759/1,D1EDCACXX121128:1:1315:20535:14083/1,C19U6ACXX121211:6:1314:3563:91778/2,C19KCACXX121210:3:1308:1827:49424/1,C19C7ACXX121128:4:1212:15534:16632/1,C19C7ACXX121128:1:1306:6133:70664/1,C19U6ACXX121211:1:1204:11560:21556/1,	C19C7ACXX121128:3:1207:15945:5772,C19U6ACXX121211:2:2102:2516:84276,	C19KCACXX121210:4:2107:19779:20677,
chr1_40627308_+:chr1_40309890_-	interstrand	0	na	13	8	8	100	0	0	5	20	80	100	100	0	0	na	na	GT	AG	40627238	40309806	0	na	na	ENSG00000117000.8	ENSG00000043514.11	RLF	TRIT1	protein_coding	protein_coding	C19KCACXX121210:8:1111:13215:86786/2,C19KCACXX121210:3:2107:5510:7889/1,D1JPNACXX121217:2:2203:15796:9375/2,C19U6ACXX121211:6:2112:12660:49138/1,C19U6ACXX121211:1:1308:17518:20141/1,D1JPNACXX121217:7:1204:1122:49818/1,C19C7ACXX121128:2:2210:13051:68696/2,C19C7ACXX121128:7:1309:14354:9880/2,	D1EDCACXX121128:1:2304:6750:24938,C19C7ACXX121128:4:2103:15744:13793,D1JPNACXX121217:5:2212:16719:38533,C19C7ACXX121128:6:2204:14094:8742,C19C7ACXX121128:7:2307:11664:96998,	C19C7ACXX121128:4:2107:19315:83323,C19C7ACXX121128:8:2315:16566:23442,D1EDCACXX121128:1:2113:19990:95850,D1EDCACXX121128:4:1212:5747:68120,C19C7ACXX121128:1:1205:4059:78070,C19C7ACXX121128:6:1307:11411:94168,C19C7ACXX121128:2:2209:5219:16242,C19KCACXX121210:6:2301:5807:45006,C19KCACXX121210:8:2314:16879:72825,C19U6ACXX121211:8:2309:3678:70477,C19KCACXX121210:7:1215:16374:60885,C19C7ACXX121128:5:2202:12529:50458,D1JPNACXX121217:5:1304:2987:73278,D1EDCACXX121128:1:2202:1948:38569,C19KCACXX121210:6:1105:14246:40187,D1JPNACXX121217:7:1313:3621:28565,D1JPNACXX121217:7:2215:14160:11681,C19C7ACXX121128:5:1113:2815:62467,D1EDCACXX121128:1:1204:14546:41922,D1EDCACXX121128:2:1211:6000:21472,
chr9_13276573_-:chr9_13250371_-	readthrough	0	na	5	4	4	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	13276660	13250301	1	1	26202	ENSG00000234740.1	ENSG00000107186.12	RP11-272P10.2	MPDZ	sense_intronic	protein_coding	C19KCACXX121210:3:2305:18183:87353/2,D1EDCACXX121128:7:1105:2001:47749/1,C19KCACXX121210:6:2212:13512:70972/2,C19C7ACXX121128:4:1316:6219:8247/1,	C19U6ACXX121211:4:1215:21119:23566,	na
chr15_32926242_+:chr15_32935787_+	readthrough	0	na	4	3	3	100	1	33.3333	1	1	50	100	100	0	0	na	na	GT	AG	32926146	32935863	1	1	9545	ENSG00000198826.6	ENSG00000166922.4	ARHGAP11A	SCG5	protein_coding	protein_coding	C19U6ACXX121211:1:2309:9739:95611/1,C19U6ACXX121211:1:2309:9739:95611/2,C19C7ACXX121128:6:2213:15608:44131/2,	D1JPNACXX121217:3:2208:1907:79193,	D1JPNACXX121217:6:2313:12809:41507,
