#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
50363	14	106331409	[106331410,106331452]	14	106092403	[106092304,106092405]	1135	0	IGHJ2	IGHG4	intra-chromosomal
124839	X	122840708	[122840703,122840800]	8	125716432	[125716370,125716432]	127	16	THOC2	MTSS1	inter-chromosomal
46066	14	22994685	[22994592,22994685]	14	23016447	[23016446,23016539]	122	0	TRAJ18	TRAC	intra-chromosomal
95540	22	23199218	[23199182,23199219]	22	23243156	[23243153,23243250]	67	0	IGLV2-5	IGLC2	intra-chromosomal
46064	14	22978390	[22978312,22978394]	14	23016447	[23016447,23016530]	21	0	TRAJ32	TRAC	intra-chromosomal
83876	2	47935569	[47935482,47935569]	2	48018066	[48018062,48018155]	19	0	AC006509.6	MSH6	intra-chromosomal
26330	10	135216277	[135216193,135216280]	10	135269741	[135269740,135269831]	18	0	MTG1	RP11-108K14.4	readthrough-intersecting
77906	19	10341880	[10341879,10341970]	19	10292757	[10292717,10292757]	17	0	S1PR2	DNMT1	readthrough-adjacent
124838	X	122837304	[122837303,122837353]	8	125716432	[125716371,125716434]	2	6	THOC2	MTSS1	inter-chromosomal
28155	4	53579126	[53579032,53579128]	11	31455117	[31455059,31455119]	14	0	DANCR	IMMP1L	inter-chromosomal
96766	22	42262835	[42262834,42262919]	22	42230031	[42229940,42230031]	13	0	SREBF2	RP5-821D11.7	readthrough-intersecting
46294	14	24761402	[24761402,24761486]	14	24740517	[24740436,24740517]	11	0	DHRS1	RABGGTA	readthrough-adjacent
83882	2	48018066	[48018065,48018153]	2	47984932	[47984845,47984932]	11	0	MSH6	AC006509.6	intra-chromosomal
108709	5	76173659	[76173564,76173659]	5	76248658	[76248658,76248727]	9	0	S100Z	CRHBP	intra-chromosomal
68428	19	3979779	[3979779,3979954]	17	5336741	[5336626,5336741]	1	4	EEF2	C1QBP	inter-chromosomal
8475	1	110943875	[110943875,110944057]	10	81841537	[81841537,81841700]	1	4	HBXIP	C10orf57	inter-chromosomal
78664	19	16243322	[16243322,16243460]	6	44226769	[44226669,44226769]	1	4	RAB8A	NFKBIE	inter-chromosomal
124260	8	81083660	[81083660,81083735]	8	81039866	[81039775,81039866]	9	0	TPD52	RP11-92K15.1	readthrough-intersecting
13567	1	154947167	[154947167,154947280]	11	63988481	[63988481,63988600]	1	4	CKS1B	FERMT3	inter-chromosomal
36468	3	44816929	[44816871,44816930]	12	27116271	[27116271,27116354]	8	0	KIF15	FGFR1OP2	inter-chromosomal
15607	13	47354076	[47354076,47354135]	1	182571222	[182571131,182571222]	8	0	ESD	RGS16	inter-chromosomal
80413	19	40761065	[40761065,40761150]	21	46193602	[46193555,46193604]	8	0	AKT2	SUMO3;UBE2G2	inter-chromosomal
30938	11	70049679	[70049454,70049679]	5	1330440	[1330440,1330614]	2	3	FADD	CLPTM1L	inter-chromosomal
31956	11	82687635	[82687635,82687716]	11	82571159	[82571100,82571161]	7	0	RAB30	PRCP	readthrough-intersecting
99059	3	52325127	[52325076,52325127]	3	52350468	[52350468,52350561]	7	0	GLYCTK	DNAH1	readthrough-adjacent
43445	13	28014586	[28014478,28014588]	19	14247233	[14247160,14247233]	1	3	MTIF3	ASF1B	inter-chromosomal
29081	11	64051658	[64051658,64051812]	11	60223308	[60223308,60223418]	1	3	BAD;GPR137	MS4A1	intra-chromosomal
53591	15	64668942	[64668940,64669034]	15	64592922	[64592839,64592922]	7	0	KIAA0101	CSNK1G1;CTD-2116N17.1	readthrough-intersecting
27109	12	110475164	[110475161,110475314]	11	6566676	[6566676,6566802]	1	3	ANKRD13A	DNHD1	inter-chromosomal
78440	19	13064456	[13064226,13064456]	5	176409624	[176409470,176409624]	1	3	RAD23A	UIMC1	inter-chromosomal
49323	19	11130267	[11130270,11130377]	14	94528555	[94528443,94528555]	1	3	SMARCA4	DDX24	inter-chromosomal
76864	19	1438806	[1438807,1438891]	4	54231645	[54231479,54231645]	1	3	RPS15	SCFD2	inter-chromosomal
73399	17	57752184	[57752095,57752184]	17	57784732	[57784732,57784788]	6	0	CLTC	PTRH2	readthrough-adjacent
37273	12	49416067	[49416067,49416160]	12	49392473	[49392388,49392474]	6	0	MLL2	DDN;RP11-386G11.5	readthrough-intersecting
47496	14	55738703	[55738627,55738703]	14	55817099	[55817097,55817183]	6	0	RP11-665C16.6	FBXO34	readthrough-intersecting
19633	10	6268328	[6268166,6268328]	10	6368509	[6368509,6368605]	2	2	PFKFB3	AL137145.2	intra-chromosomal
125011	X	71492453	[71492453,71492603]	8	144668305	[144668305,144668460]	2	2	RPS4X	EEF1D	inter-chromosomal
54312	15	72499203	[72499069,72499203]	7	65617335	[65617335,65617554]	2	2	PKM	CRCP	inter-chromosomal
81282	19	49834873	[49834872,49834929]	19	49814668	[49814582,49814668]	6	0	AC011450.1	SLC6A16	readthrough-adjacent
68001	17	1747830	[1747830,1747980]	7	44875297	[44875127,44875297]	2	2	RPA1	H2AFV	inter-chromosomal
80414	19	40827935	[40827935,40828016]	19	40771258	[40771179,40771259]	6	0	C19orf47	AKT2	intra-chromosomal
38939	17	38508175	[38508175,38508314]	12	56676733	[56676641,56676733]	2	2	RARA	CS	inter-chromosomal
37468	Y	2734997	[2734839,2734997]	12	50388136	[50387942,50388136]	2	2	RPS4Y1	RACGAP1	inter-chromosomal
4718	14	39649815	[39649815,39650047]	1	39332671	[39332552,39332669]	2	2	PNN	GJA9;MYCBP	inter-chromosomal
80760	19	44802961	[44802961,44803022]	19	44739027	[44738960,44739027]	5	0	ZNF235	ZNF227	intra-chromosomal
22657	10	72307202	[72307115,72307203]	10	72358641	[72358641,72358705]	5	0	KIAA1274	PRF1	readthrough-adjacent
80099	19	37967336	[37967293,37967337]	19	37999167	[37999165,37999221]	5	0	ZNF570	ZNF793	readthrough-adjacent
38669	12	56393374	[56393182,56393373]	15	80253516	[80253367,80253517]	3	1	SUOX	BCL2A1	inter-chromosomal
103430	4	25870937	[25870937,25871020]	4	25849486	[25849419,25849488]	4	0	RP13-494C23.1	SEL1L3	readthrough-intersecting
80670	19	42659859	[42659856,42659931]	19	42637180	[42637101,42637181]	4	0	CTC-378H22.2	CTC-378H22.1	readthrough-intersecting
13865	1	155917709	[155917656,155917709]	20	44563350	[44563350,44563402]	4	0	ARHGEF2	PCIF1	inter-chromosomal
54102	15	68510874	[68510874,68510953]	15	68489966	[68489915,68489967]	4	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
94474	21	35469582	[35469548,35469582]	21	35497641	[35497641,35497717]	4	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
100413	9	21968090	[21968090,21968131]	3	119582425	[119582366,119582425]	4	0	CDKN2A	GSK3B	inter-chromosomal
39836	12	69979304	[69979253,69979304]	20	17923839	[17923791,17923840]	4	0	CCT2	SNX5	inter-chromosomal
26556	11	810246	[810234,810318]	8	104311035	[104310999,104311040]	4	0	RPLP2	RP11-318M2.2	inter-chromosomal
43516	13	28519435	[28519371,28519435]	12	21790050	[21790015,21790050]	4	0	ATP5EP2	LDHB	inter-chromosomal
