juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr4_1808665_+:chr4_1729708_+	inverted	0	na	137	33	25	75.7576	33	100	104	49	32.0261	95.3488	100	4	273	na	na	GT	AG	1808580	1729788	1	0	na	ENSG00000068078.13	ENSG00000013810.14	FGFR3	TACC3	protein_coding	protein_coding	D2BCKACXX130819:6:1205:7200:68888/2,C29TWACXX130819:7:2307:16426:65693/2,D2B83ACXX130818:7:2108:12547:63788/1,D2B83ACXX130818:7:2109:21326:83957/1,C29TWACXX130819:4:2315:18506:34910/1,D2FGHACXX130903:8:2304:4757:90869/2,D2BCKACXX130819:2:2212:19273:67833/2,C29TWACXX130819:6:2103:7838:16647/2,D2BCKACXX130819:1:1216:8056:86894/2,D2FUTACXX130901:6:2307:11917:33812/1,D2FGHACXX130903:3:2216:12353:72753/1,D2BCKACXX130819:2:1305:19220:3447/2,D2B75ACXX130819:4:1302:20035:97744/1,D2BCKACXX130819:3:1314:11428:80275/2,D2B75ACXX130819:4:2309:14833:43088/1,D2B75ACXX130819:7:1115:13616:65686/2,D2B75ACXX130819:4:1104:11978:84110/1,C29TWACXX130819:3:1204:1958:20944/2,D2FGHACXX130903:6:1203:19780:40859/2,C29TWACXX130819:7:1216:3871:54255/2,C29TWACXX130819:3:1112:17474:42204/2,D2FGHACXX130903:6:2306:16716:75100/1,C29TWACXX130819:4:2315:18506:34910/2,D2FUTACXX130901:7:1315:6256:48406/1,D2FGHACXX130903:2:1213:12468:88588/1,D2FGHACXX130903:2:1208:13766:22703/2,D2BCKACXX130819:8:1213:6515:78139/1,C29TWACXX130819:3:1303:1802:92190/2,C29TWACXX130819:5:2201:3889:13153/2,D2B83ACXX130818:5:1309:9004:96157/1,C29TWACXX130819:1:2212:7214:16753/2,D2BCKACXX130819:5:1208:11988:44949/1,D2B75ACXX130819:2:1316:12785:24651/2,	D2FGHACXX130903:5:1204:8235:65960,C29TWACXX130819:5:2104:18671:64270,C29TWACXX130819:4:2311:17241:94458,D2FGHACXX130903:2:1115:7361:12835,C29TWACXX130819:1:1310:14037:68370,D2FGHACXX130903:6:1312:10374:38493,D2B75ACXX130819:6:2212:5203:10466,C29TWACXX130819:6:2212:11460:76987,D2B83ACXX130818:5:1212:19349:98257,H13N7ADXX130815:2:1209:11748:26860,D2B75ACXX130819:5:1114:14926:35398,D2FGHACXX130903:4:2210:3422:36287,D2BCKACXX130819:2:1302:8508:33932,D2FGHACXX130903:1:2305:16776:47981,D2FUTACXX130901:6:2311:4261:96388,D2FGHACXX130903:1:1109:5577:42166,D2FGHACXX130903:6:2204:19171:17923,D2FGHACXX130903:3:2310:13277:13787,D2B83ACXX130818:8:2106:17134:91537,D2FGHACXX130903:1:2214:19439:75069,D2B75ACXX130819:4:2304:4678:58519,D2FGHACXX130903:6:2202:3615:41820,D2BCKACXX130819:4:1309:6300:10191,D2FGHACXX130903:6:1201:8852:25222,D2B75ACXX130819:5:1103:11626:69484,C29TWACXX130819:7:2110:18466:9873,C29TWACXX130819:7:1308:11719:56325,C29TWACXX130819:8:1203:4643:31796,D2B83ACXX130818:6:1213:10413:26759,D2FGHACXX130903:4:2107:19677:21882,D2FGHACXX130903:3:1306:2293:44802,D2B75ACXX130819:6:1106:16985:2882,D2BCKACXX130819:7:1313:8422:64348,D2FGHACXX130903:2:1111:14396:28915,C29TWACXX130819:6:1308:9872:5798,D2FGHACXX130903:2:2206:11040:11833,D2B83ACXX130818:5:2313:8083:84783,D2B83ACXX130818:8:2313:20713:41856,C29TWACXX130819:7:2208:2283:57100,D2BCKACXX130819:3:1212:7144:90070,D2B83ACXX130818:7:2203:4452:84826,D2FUTACXX130901:6:2210:3939:45491,D2FGHACXX130903:3:1114:3394:79643,C29TWACXX130819:5:2311:10278:70939,D2FGHACXX130903:8:2306:17581:96175,D2B75ACXX130819:3:1308:12342:81837,C29TWACXX130819:8:2108:3708:92941,C29TWACXX130819:8:1108:2702:11981,D2BCKACXX130819:5:2210:1324:74364,D2B83ACXX130818:8:2105:10119:25769,D2FGHACXX130903:8:2112:8961:24088,D2FGHACXX130903:7:1202:3391:88081,H13N7ADXX130815:2:1111:7738:95181,D2FGHACXX130903:1:2107:15081:25558,D2B75ACXX130819:8:2202:14914:99078,D2FGHACXX130903:5:2307:2105:61198,D2FGHACXX130903:8:1210:19160:58834,D2FGHACXX130903:3:1115:16001:61245,D2FUTACXX130901:7:1101:5362:89717,D2FUTACXX130901:5:2212:19907:67162,D2BCKACXX130819:7:2316:8082:17046,D2FGHACXX130903:5:1201:4641:30541,C29TWACXX130819:3:1111:9396:80460,D2FGHACXX130903:4:1102:8903:95490,D2B83ACXX130818:6:2308:3604:11724,D2B75ACXX130819:3:2106:10141:80255,C29TWACXX130819:5:1201:10165:11562,D2FGHACXX130903:8:2203:15505:71900,D2B75ACXX130819:1:2212:9532:11363,D2B75ACXX130819:6:1211:7369:24187,D2B75ACXX130819:5:2303:6573:72268,D2B75ACXX130819:4:1316:10370:15030,D2FGHACXX130903:7:1303:20085:15695,D2FGHACXX130903:2:2107:1855:26768,D2B75ACXX130819:7:1116:2227:66829,D2BCKACXX130819:7:1209:7322:13816,D2B75ACXX130819:4:2309:12671:50448,D2BCKACXX130819:8:2106:5933:5429,D2FGHACXX130903:3:1202:9450:70705,D2FGHACXX130903:8:1214:10245:85384,D2B75ACXX130819:4:2113:9423:74208,D2FGHACXX130903:2:1102:8071:94578,C29TWACXX130819:7:1112:2841:14471,C29TWACXX130819:1:1212:7158:70878,D2FGHACXX130903:1:1216:13573:15110,D2BCKACXX130819:4:1106:15577:63399,D2FUTACXX130901:7:2116:9365:23588,D2B83ACXX130818:5:1316:15703:29316,D2FGHACXX130903:2:1101:7935:57266,D2FUTACXX130901:6:1205:17671:38011,D2FGHACXX130903:6:2313:14190:17726,D2BCKACXX130819:3:1305:21009:47866,D2FGHACXX130903:8:2107:16486:54578,D2BCKACXX130819:5:1313:19236:49333,D2FGHACXX130903:3:1212:18705:16259,D2FGHACXX130903:1:1206:19529:28705,D2B83ACXX130818:5:1303:11380:91387,D2FUTACXX130901:5:1202:1682:47080,D2B83ACXX130818:6:1310:8404:57016,D2FGHACXX130903:4:2215:9033:13820,D2FGHACXX130903:8:1214:19263:10951,D2FGHACXX130903:2:2113:5081:71656,D2B75ACXX130819:3:2106:17859:47106,D2B75ACXX130819:1:2308:8698:55312,	D2B75ACXX130819:8:2316:7317:15661,D2FGHACXX130903:7:1214:14326:4760,D2B83ACXX130818:4:2205:6351:5430,D2BCKACXX130819:5:2208:8402:69103,D2FGHACXX130903:5:1306:2103:92010,D2B75ACXX130819:3:2111:10739:68989,D2BCKACXX130819:6:2301:15294:6314,D2B75ACXX130819:4:2304:2981:100104,D2B75ACXX130819:3:2104:2992:44125,D2B75ACXX130819:8:2109:3303:89203,D2FUTACXX130901:6:1106:15724:23402,D2FGHACXX130903:6:1308:5871:79453,D2BCKACXX130819:2:2110:6765:88028,D2B75ACXX130819:6:2307:1692:72363,D2FGHACXX130903:1:1103:6335:62016,C29TWACXX130819:6:2312:12374:82466,D2FGHACXX130903:3:2111:9628:27637,D2B75ACXX130819:8:1307:11191:15478,D2B83ACXX130818:5:2314:12134:37078,D2FGHACXX130903:1:2114:20812:94771,D2B75ACXX130819:5:2110:16573:94856,C29TWACXX130819:5:2106:18487:12797,D2FGHACXX130903:8:1208:15768:31422,D2FGHACXX130903:2:2114:17375:43696,D2B83ACXX130818:8:1303:8106:41439,D2B75ACXX130819:4:2107:20577:18702,C29TWACXX130819:8:2311:15675:44018,D2B75ACXX130819:2:1204:10812:2233,D2BCKACXX130819:8:2214:1045:6072,C29TWACXX130819:4:1314:9170:56819,D2FGHACXX130903:8:1304:3854:77882,D2FGHACXX130903:8:1316:17223:95955,D2FUTACXX130901:7:1115:1628:60827,D2FGHACXX130903:8:2307:17861:9738,D2FUTACXX130901:5:2313:10142:55730,D2B75ACXX130819:1:2203:5265:80159,D2FGHACXX130903:8:1313:15862:66718,D2FUTACXX130901:6:1112:4249:76086,D2FGHACXX130903:8:1113:6967:25380,D2FGHACXX130903:3:1105:2677:32156,D2BCKACXX130819:1:1207:13652:98148,D2FUTACXX130901:6:2304:18004:41340,D2BCKACXX130819:2:2208:15126:18439,D2FGHACXX130903:3:1102:17459:29151,D2B75ACXX130819:5:1315:8293:48169,C29TWACXX130819:5:1307:5779:16731,D2B75ACXX130819:1:2112:12242:30701,C29TWACXX130819:8:1302:8332:44419,D2B83ACXX130818:5:1304:4259:18610,
chr11_12281444_+:chr11_12297533_+	readthrough	0	na	16	10	5	50	6	60	6	0	0	100	4.08163	0	94	na	na	GT	AG	12281366	12297630	1	1	16089	ENSG00000133816.9	ENSG00000133808.4	MICAL2	MICALCL	protein_coding	protein_coding	D2BCKACXX130819:2:1312:20595:93813/1,D2B83ACXX130818:6:2302:18912:99056/2,D2B83ACXX130818:7:1112:5345:90062/1,D2FUTACXX130901:6:2301:10638:65838/2,D2FUTACXX130901:6:2301:10638:65838/2,D2FUTACXX130901:6:2301:10638:65838/2,D2FUTACXX130901:6:2301:10638:65838/2,D2FUTACXX130901:6:2301:10638:65838/2,D2B75ACXX130819:6:2312:14980:51601/2,C29TWACXX130819:5:1210:17460:87059/2,	D2B83ACXX130818:7:1308:5991:58101,D2FUTACXX130901:7:2306:11799:99025,D2FUTACXX130901:6:2106:19701:75757,D2BCKACXX130819:5:1207:16526:83027,D2B75ACXX130819:4:1213:18897:12008,D2BCKACXX130819:3:2304:19905:19474,	na
chr12_6457893_-:chr12_6443410_-	readthrough	0	na	10	9	6	66.6667	6	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	6457941	6443312	1	1	14483	ENSG00000111319.8	ENSG00000067182.3	SCNN1A	TNFRSF1A	protein_coding	protein_coding	D2B75ACXX130819:6:1214:7835:72451/1,C29TWACXX130819:5:1315:6224:81213/1,C29TWACXX130819:3:1201:14965:81181/1,C29TWACXX130819:3:1201:14965:81181/1,C29TWACXX130819:3:1201:14965:81181/1,C29TWACXX130819:3:1201:14965:81181/1,C29TWACXX130819:4:1305:19337:79738/2,D2FGHACXX130903:6:1301:3002:68255/1,D2B75ACXX130819:4:1304:6508:33083/1,	D2BCKACXX130819:7:2212:2238:94231,	na
chr7_142494579_+:chr7_142498725_+	readthrough	0	na	167	127	64	50.3937	37	29.1339	40	10	20	49.4949	100	0	0	na	na	GT	AG	142494481	142498824	1	1	4146	ENSG00000211767.1	ENSG00000211772.4	TRBJ2-3	TRBC2	TR_J_gene	TR_C_gene	D2FGHACXX130903:5:2209:6531:66177/1,C29TWACXX130819:5:1114:16118:22668/1,D2FGHACXX130903:5:2211:5449:68968/2,D2B83ACXX130818:8:2101:16509:59774/1,D2B75ACXX130819:4:2112:9342:12140/2,C29TWACXX130819:8:2116:9175:63994/2,D2FGHACXX130903:5:2215:9253:8909/1,D2FGHACXX130903:5:1109:9409:4983/2,D2B75ACXX130819:8:1304:17180:61119/1,C29TWACXX130819:8:2304:7094:41392/2,C29TWACXX130819:4:2312:6288:99521/2,C29TWACXX130819:5:2309:16326:95692/2,D2FGHACXX130903:5:1313:18631:18324/2,H13N7ADXX130815:1:1214:3456:27263/1,D2FGHACXX130903:8:2312:4800:9626/2,D2FGHACXX130903:6:2311:17727:33618/2,D2BCKACXX130819:6:1203:5257:30388/1,D2BCKACXX130819:2:2115:9143:29829/1,D2FGHACXX130903:1:2305:12083:35147/2,D2B75ACXX130819:5:1216:2469:66381/1,D2B83ACXX130818:5:2310:4674:57368/2,D2B83ACXX130818:6:2314:17903:92625/1,D2FUTACXX130901:7:1201:4750:67193/2,D2B83ACXX130818:7:1316:16805:49006/2,C29TWACXX130819:7:2314:3037:36760/2,C29TWACXX130819:6:2208:19318:74121/1,D2FGHACXX130903:7:2214:21146:2048/2,D2BCKACXX130819:1:2206:8961:21929/2,D2BCKACXX130819:6:1115:18189:49879/1,D2B83ACXX130818:8:2215:7603:65701/1,D2BCKACXX130819:3:2112:1268:100231/2,D2B83ACXX130818:4:1206:13146:56644/1,C29TWACXX130819:7:1312:19151:29800/2,D2FUTACXX130901:5:1105:5028:25737/2,D2BCKACXX130819:2:1310:19371:87262/2,C29TWACXX130819:1:1214:13733:71150/1,D2BCKACXX130819:3:1203:7530:9340/1,C29TWACXX130819:6:2211:8897:10707/2,D2FUTACXX130901:6:1309:7858:50103/1,D2BCKACXX130819:1:2215:1370:61761/2,D2FUTACXX130901:5:2115:9826:98397/2,D2FGHACXX130903:7:2105:5082:69862/2,D2FGHACXX130903:4:1316:8038:42360/1,D2BCKACXX130819:5:2103:6463:61929/2,D2BCKACXX130819:2:1114:16133:68846/2,D2B75ACXX130819:4:2310:9848:36970/2,D2B75ACXX130819:2:2113:12327:37801/2,D2FGHACXX130903:5:1307:8432:21306/2,C29TWACXX130819:1:1211:6105:22820/2,D2FUTACXX130901:7:2204:7452:18489/2,H13N7ADXX130815:1:1107:7223:64331/1,D2FUTACXX130901:7:2302:20644:35902/2,H13N7ADXX130815:1:2113:13484:41035/2,D2FGHACXX130903:7:1316:20833:57166/1,D2FGHACXX130903:5:1307:8432:21306/1,D2FGHACXX130903:5:1307:8432:21306/1,D2B83ACXX130818:6:1108:18359:86608/2,D2FUTACXX130901:7:2114:20781:36850/1,D2FGHACXX130903:3:2205:13375:97374/2,C29TWACXX130819:7:2316:16166:60179/1,D2BCKACXX130819:7:2216:10956:63548/2,C29TWACXX130819:1:2105:18055:46668/2,D2B83ACXX130818:7:2215:1928:64433/2,D2FGHACXX130903:8:1205:14149:26765/2,H13N7ADXX130815:1:2102:3045:6245/1,H13N7ADXX130815:1:1213:12653:65049/2,D2BCKACXX130819:8:1212:3935:64266/2,D2BCKACXX130819:6:1210:17071:17703/2,D2BCKACXX130819:8:2216:17018:88529/1,D2BCKACXX130819:4:1215:6560:31970/2,D2B83ACXX130818:5:2212:4616:2817/2,C29TWACXX130819:2:2204:12136:15797/1,D2BCKACXX130819:4:1214:12350:24542/1,D2B75ACXX130819:2:1303:13824:33429/1,D2FGHACXX130903:6:2204:2570:19918/1,D2FGHACXX130903:5:2312:13938:64870/1,D2FGHACXX130903:3:1207:17436:59066/1,D2BCKACXX130819:5:1215:17823:4347/1,D2B83ACXX130818:5:1110:6404:56484/1,D2B75ACXX130819:8:2214:4970:66326/1,C29TWACXX130819:3:1302:18933:5586/2,C29TWACXX130819:2:2101:12070:86776/1,D2FGHACXX130903:7:1212:3192:17176/2,D2B83ACXX130818:8:2115:20001:45440/2,D2FUTACXX130901:7:1303:3273:61707/1,D2BCKACXX130819:7:1216:9805:37354/1,D2BCKACXX130819:6:1302:12517:71916/2,D2B75ACXX130819:4:1311:4087:26999/2,D2FUTACXX130901:5:1105:5028:25737/1,D2BCKACXX130819:4:2301:18906:64862/1,D2B75ACXX130819:7:2303:15748:88713/2,D2B75ACXX130819:2:2205:5728:12102/2,C29TWACXX130819:8:2209:7445:65132/2,C29TWACXX130819:4:1206:2844:60796/2,C29TWACXX130819:7:2212:10815:99070/1,D2BCKACXX130819:2:2103:8458:35802/2,C29TWACXX130819:2:1112:16052:61953/1,D2FGHACXX130903:1:1314:8177:97761/2,C29TWACXX130819:5:2206:19463:47442/1,D2FGHACXX130903:5:1111:1236:14763/1,D2FGHACXX130903:1:1303:2721:69809/1,D2FUTACXX130901:5:2204:4862:51917/2,C29TWACXX130819:6:1104:12697:15124/1,D2FGHACXX130903:3:2215:2607:85309/2,D2BCKACXX130819:7:2110:11895:63862/2,D2BCKACXX130819:5:2111:12852:60674/1,D2B83ACXX130818:8:1101:3746:92876/1,D2B83ACXX130818:5:2212:4188:81114/2,D2FGHACXX130903:8:1103:2836:43554/2,H13N7ADXX130815:1:2102:3045:6245/1,C29TWACXX130819:7:2314:3037:36760/2,D2BCKACXX130819:8:2214:2797:28907/2,C29TWACXX130819:6:1104:12697:15124/2,D2B75ACXX130819:8:2206:5128:73470/2,H13N7ADXX130815:1:1207:18279:43353/1,D2FGHACXX130903:8:2115:2827:27592/1,D2FGHACXX130903:4:2116:11135:56266/2,C29TWACXX130819:4:2211:21078:43391/2,D2BCKACXX130819:7:1315:6539:82125/1,D2B75ACXX130819:7:2112:15614:95858/1,C29TWACXX130819:5:1308:1456:72110/1,H13N7ADXX130815:1:1202:14638:65760/1,H13N7ADXX130815:1:1202:14638:65760/1,H13N7ADXX130815:1:1202:14638:65760/1,H13N7ADXX130815:1:1202:14638:65760/1,D2BCKACXX130819:4:1207:8388:34969/2,D2B75ACXX130819:2:2209:15095:87228/2,	D2FGHACXX130903:7:2202:17819:26049,D2FGHACXX130903:6:1214:12266:78551,D2FUTACXX130901:5:2305:13435:5790,D2B83ACXX130818:6:1214:20368:99925,C29TWACXX130819:6:2306:19486:42679,C29TWACXX130819:2:2311:8813:13500,D2FGHACXX130903:4:2104:9331:82071,D2BCKACXX130819:6:2309:15371:19069,D2BCKACXX130819:8:1204:10817:42567,H13N7ADXX130815:1:1202:11952:24723,D2BCKACXX130819:1:1102:2807:69701,D2B75ACXX130819:8:1301:5182:43538,C29TWACXX130819:3:1306:11367:58577,H13N7ADXX130815:2:2108:12193:7727,D2FGHACXX130903:2:2315:7905:53301,D2FUTACXX130901:6:2104:12794:27043,D2FGHACXX130903:6:1107:9286:23357,H13N7ADXX130815:2:2216:2647:11028,D2FGHACXX130903:1:1313:2700:41156,C29TWACXX130819:4:1205:9988:48409,D2B83ACXX130818:5:2205:8815:45133,D2FUTACXX130901:7:2112:18752:79716,D2B83ACXX130818:5:2310:1431:6908,C29TWACXX130819:3:2309:5131:39780,D2FGHACXX130903:5:2201:16040:70633,D2B83ACXX130818:7:2301:18799:73986,D2FUTACXX130901:7:1311:11915:25344,D2FGHACXX130903:7:1106:18587:74339,D2FGHACXX130903:3:2210:13919:69798,D2BCKACXX130819:8:2201:8604:45321,C29TWACXX130819:8:2110:13887:89708,D2BCKACXX130819:5:1201:7570:37367,D2FGHACXX130903:2:1106:2837:74818,D2BCKACXX130819:1:2211:2021:49171,D2BCKACXX130819:1:2206:11263:82760,C29TWACXX130819:6:2208:7579:42156,C29TWACXX130819:5:2202:16713:45456,D2FGHACXX130903:3:1110:16392:60134,D2BCKACXX130819:3:1311:11805:14484,D2BCKACXX130819:1:1107:2026:41743,	D2B83ACXX130818:4:2112:10041:64371,D2BCKACXX130819:1:2110:4605:5265,D2FGHACXX130903:3:2111:15071:84058,H13N7ADXX130815:1:1210:13205:92778,C29TWACXX130819:1:1301:15511:70832,D2B83ACXX130818:4:1107:4655:94082,D2B83ACXX130818:6:2114:8051:48419,D2B83ACXX130818:7:2216:4891:15218,D2B83ACXX130818:7:1216:11200:30860,D2FGHACXX130903:2:2306:7029:76984,
chr1_241803184_-:chr1_241799096_-	readthrough	0	na	7	4	4	100	2	50	3	1	25	100	100	0	136	na	na	GT	AG	241803249	241799015	1	1	4088	ENSG00000054277.8	ENSG00000203668.1	OPN3	CHML	protein_coding	protein_coding	C29TWACXX130819:5:1105:7461:12343/2,C29TWACXX130819:1:1316:13793:61973/2,D2B83ACXX130818:8:2111:2280:85577/2,D2FGHACXX130903:1:1202:20919:28129/2,	C29TWACXX130819:8:2204:16496:24235,C29TWACXX130819:7:2311:15374:20505,D2FGHACXX130903:4:1205:11297:93938,	C29TWACXX130819:6:1104:12559:62449,
chr11_12281444_+:chr11_12297530_+	readthrough	0	na	15	9	9	100	3	33.3333	6	0	0	100	2.0202	0	97	na	na	GT	AG	12281347	12297628	1	1	16086	ENSG00000133816.9	ENSG00000133808.4	MICAL2	MICALCL	protein_coding	protein_coding	D2FUTACXX130901:6:2301:10638:65838/2,D2FGHACXX130903:7:2309:17726:97323/2,D2BCKACXX130819:7:1105:15784:76268/1,D2FGHACXX130903:2:2106:6286:44905/2,D2BCKACXX130819:7:1105:15784:76268/2,D2BCKACXX130819:7:1214:13883:69243/2,D2BCKACXX130819:7:1214:13883:69243/1,D2FGHACXX130903:5:1105:12604:53812/1,D2BCKACXX130819:3:1214:2912:99777/2,	D2B83ACXX130818:7:1308:5991:58101,D2FUTACXX130901:7:2306:11799:99025,D2FUTACXX130901:6:2106:19701:75757,D2BCKACXX130819:5:1207:16526:83027,D2B75ACXX130819:4:1213:18897:12008,D2BCKACXX130819:3:2304:19905:19474,	na
chr7_56170560_-:chr7_56156668_-	readthrough	0	na	19	17	8	47.0588	15	88.2353	2	0	0	100	100	0	0	na	na	GT	AG	56170658	56156569	1	1	13892	ENSG00000106153.12	ENSG00000164776.5	CHCHD2	PHKG1	protein_coding	protein_coding	D2BCKACXX130819:6:2308:5510:2212/2,D2BCKACXX130819:5:2101:20283:88085/2,D2B75ACXX130819:5:2303:11815:72531/1,D2FGHACXX130903:3:2305:18811:65366/2,D2B75ACXX130819:5:2303:11815:72531/2,D2FGHACXX130903:3:2112:6810:17581/1,D2BCKACXX130819:6:1316:5101:93857/2,D2BCKACXX130819:1:1209:17635:18073/2,H13N7ADXX130815:2:1105:18617:49313/2,D2BCKACXX130819:1:1209:7526:68475/1,D2B83ACXX130818:4:2202:17585:75921/1,D2B75ACXX130819:8:1315:7141:59762/2,D2B75ACXX130819:8:1310:19158:41542/2,C29TWACXX130819:6:1214:4757:21532/1,D2FGHACXX130903:2:2213:21045:4308/1,D2B75ACXX130819:8:2216:11398:84344/1,D2B75ACXX130819:5:1113:3844:77679/1,	H13N7ADXX130815:2:1201:18078:29191,D2B83ACXX130818:7:2309:20327:92441,	na
chr7_142494850_+:chr7_142498725_+	readthrough	0	na	22	20	12	60	14	70	2	6	75	92.3077	100	0	0	na	na	GT	AG	142494799	142498824	1	1	3875	ENSG00000211769.1	ENSG00000211772.4	TRBJ2-5	TRBC2	TR_J_gene	TR_C_gene	D2B83ACXX130818:5:2212:10635:41420/2,D2B75ACXX130819:3:2311:1816:44572/1,D2FGHACXX130903:5:2215:9253:8909/1,D2FGHACXX130903:5:1109:9409:4983/2,D2B75ACXX130819:8:1304:17180:61119/1,C29TWACXX130819:8:2304:7094:41392/2,C29TWACXX130819:4:2312:6288:99521/2,C29TWACXX130819:5:1114:16118:22668/1,C29TWACXX130819:7:1103:8370:76548/1,D2FGHACXX130903:8:1103:2836:43554/2,D2FGHACXX130903:5:2103:3389:85597/2,D2FGHACXX130903:1:1314:8177:97761/2,C29TWACXX130819:1:1214:13733:71150/1,D2B75ACXX130819:7:2210:11332:21298/2,D2FGHACXX130903:7:2103:6660:100345/2,D2BCKACXX130819:8:2105:6942:74019/1,D2FUTACXX130901:7:1303:3273:61707/1,D2BCKACXX130819:7:1216:9805:37354/1,D2BCKACXX130819:6:1302:12517:71916/2,D2B75ACXX130819:4:1311:4087:26999/2,	D2BCKACXX130819:5:1204:4925:48853,D2FGHACXX130903:6:2109:11814:79642,	C29TWACXX130819:8:1214:12854:86376,D2FGHACXX130903:4:1208:6891:59587,C29TWACXX130819:5:1115:14235:6718,D2FGHACXX130903:1:1303:16033:7431,C29TWACXX130819:7:1211:11543:5958,D2FGHACXX130903:2:2209:10597:94916,
chr3_113163588_-:chr3_113160501_-	readthrough	0	na	9	6	4	66.6667	3	50	3	0	0	100	36.2319	2023	44	na	na	GT	AG	113163686	113160433	1	1	3087	ENSG00000163611.7	ENSG00000206530.4	SPICE1	WDR52	protein_coding	protein_coding	D2B75ACXX130819:2:1214:17995:53010/1,D2BCKACXX130819:5:1308:2835:74063/1,D2BCKACXX130819:1:1202:1139:98202/2,D2B83ACXX130818:6:2213:10334:55474/2,D2B83ACXX130818:6:2213:10334:55474/2,D2B83ACXX130818:4:1311:8921:13745/2,	D2FGHACXX130903:4:1308:19396:93800,D2FGHACXX130903:1:2314:3480:44409,D2FGHACXX130903:8:1106:4502:76769,	na
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	10	6	4	66.6667	3	50	4	0	0	100	100	0	0	na	na	GT	AG	46781698	47046265	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	D2B75ACXX130819:1:1214:4402:49564/2,D2B75ACXX130819:2:2313:15847:36588/2,D2B83ACXX130818:7:2109:19737:75608/2,D2B75ACXX130819:6:1309:11867:52125/2,D2B75ACXX130819:6:1309:11867:52125/2,D2B75ACXX130819:6:1309:11867:52125/2,	D2FUTACXX130901:6:1108:2487:12067,D2B75ACXX130819:7:2107:16693:97358,D2B83ACXX130818:5:2205:6979:64864,D2FGHACXX130903:1:2213:10678:28741,	na
