"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","EWSR1:FLI1","chr22",29683123,"chr11",128675261,Inf,"25",83,TRUE,TRUE,TRUE,"Locus_17_Transcript_5526/19558_Confidence_0.000_Length_5060",3010,"HighConfidence","Yes"
"jaffa-direct","LINC00355:DNAJC3","chr13",64649375,"chr13",96409898,31760.519,"3",16,FALSE,TRUE,TRUE,"Locus_1434_Transcript_20/23_Confidence_0.231_Length_4705",1104,"HighConfidence","-"
"jaffa-direct","CTD-2020K17.1:MRPL13","chr17",43297635,"chr8",121432178,Inf,"2",16,FALSE,TRUE,TRUE,"Locus_2791_Transcript_4/26_Confidence_0.113_Length_1953",1365,"HighConfidence","-"
"jaffa-direct","LINC00355:DNAJC3","chr13",64608480,"chr13",96409898,31801.416,"4",12,FALSE,TRUE,TRUE,"Locus_1434_Transcript_18/23_Confidence_0.328_Length_4896",1295,"HighConfidence","-"
"jaffa-direct","ACACB:FBXO21","chr12",109694041,"chr12",117603422,7909.38,"1",10,TRUE,TRUE,TRUE,"Locus_3818_Transcript_15/19_Confidence_0.458_Length_9196",3198,"HighConfidence","-"
"jaffa-direct","RP11-152P17.2:RP11-649G15.2","chr8",106939879,"chr8",107535061,595.18,"4",6,FALSE,TRUE,TRUE,"Locus_8213_Transcript_14/16_Confidence_0.016_Length_618",258,"HighConfidence","-"
"jaffa-direct","SMG5:CCT3","chr1",156228796,"chr1",156305679,76.878,"0",86,FALSE,TRUE,TRUE,"Locus_17_Transcript_8187/19558_Confidence_0.000_Length_6388",3794,"MediumConfidence","-"
"jaffa-direct","NUP50:DNAJC25","chr22",45567564,"chr9",114429095,Inf,"-",27,TRUE,TRUE,TRUE,"Locus_5289_Transcript_1/5_Confidence_0.667_Length_1300",1240,"MediumConfidence","-"
"jaffa-direct","GNB1L:ARHGAP5","chr22",19841966,"chr14",32559708,Inf,"-",6,FALSE,TRUE,TRUE,"Locus_6201_Transcript_3/4_Confidence_0.606_Length_8058",7860,"MediumConfidence","-"
"jaffa-direct","YES1:RP11-672L10.3","chr18",812115,"chr18",894696,82.579,"-",5,FALSE,TRUE,TRUE,"Locus_3169_Transcript_9/10_Confidence_0.010_Length_322",174,"MediumConfidence","-"
"jaffa-direct","SLC27A5:THOC7","chr19",59010490,"chr3",63825449,Inf,"-",5,TRUE,TRUE,TRUE,"Locus_8686_Transcript_6/8_Confidence_0.261_Length_1104",138,"MediumConfidence","-"
"jaffa-direct","ZMAT2:USP4","chr5",140081714,"chr3",49373029,Inf,"-",5,TRUE,TRUE,TRUE,"Locus_4605_Transcript_6/17_Confidence_0.110_Length_3553",3404,"MediumConfidence","-"
"jaffa-direct","DPY30:MCM8","chr2",32264348,"chr20",5932657,Inf,"-",3,TRUE,TRUE,TRUE,"Locus_17_Transcript_11486/19558_Confidence_0.000_Length_2724",2665,"MediumConfidence","-"
"jaffa-direct","INTU:ANKRD50","chr4",128565211,"chr4",125600060,2965.152,"0",2,FALSE,TRUE,TRUE,"Locus_2903_Transcript_5/8_Confidence_0.051_Length_885",538,"MediumConfidence","-"
"jaffa-direct","ENSA:AXIN1","chr1",150598284,"chr16",397106,Inf,"0",2,FALSE,TRUE,TRUE,"Locus_1176_Transcript_15/22_Confidence_0.551_Length_5507",2283,"MediumConfidence","-"
"jaffa-direct","PPP1R37:ATXN3","chr19",45596785,"chr14",92563182,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_9178_Transcript_11/17_Confidence_0.370_Length_2090",156,"MediumConfidence","-"
"jaffa-direct","PTMA:NCL","chr2",232577543,"chr2",232326318,251.225,"2",886,NA,FALSE,TRUE,"Locus_511_Transcript_88/302_Confidence_0.021_Length_1587",518,"LowConfidence","-"
"jaffa-direct","MT-ND4:ESPL1","chrM",11583,"chr12",53662605,Inf,"761",104,NA,FALSE,TRUE,"Locus_17_Transcript_3810/19558_Confidence_0.003_Length_11451",5317,"LowConfidence","-"
"jaffa-direct","TMEM27:NCL","chrX",15671507,"chr2",232326317,Inf,"1",584,NA,FALSE,TRUE,"Locus_511_Transcript_36/302_Confidence_0.025_Length_2523",2003,"LowConfidence","-"
"jaffa-direct","CCT6A:CCT6P1","chr7",56120147,"chr7",65216132,9095.985,"10",32,NA,FALSE,FALSE,"Locus_817_Transcript_29/39_Confidence_0.053_Length_535",288,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387760,"chr10",51732772,345.012,"5",32,NA,FALSE,FALSE,"Locus_17_Transcript_12990/19558_Confidence_0.000_Length_1482",662,"LowConfidence","-"
"jaffa-direct","SIGMAR1:MAPKAPK2","chr9",34634771,"chr1",206906618,Inf,"25",3,NA,FALSE,TRUE,"Locus_4990_Transcript_2/10_Confidence_0.613_Length_2467",1020,"LowConfidence","-"
"jaffa-direct","NAP1L2:NAP1L1","chrX",72433295,"chr12",76447612,Inf,"2",16,NA,FALSE,TRUE,"Locus_25_Transcript_3/49_Confidence_0.107_Length_1235",385,"LowConfidence","-"
"jaffa-direct","STT3A:TMBIM6","chr11",125490819,"chr12",50158485,Inf,"3",2,NA,FALSE,TRUE,"Locus_17_Transcript_12713/19558_Confidence_0.001_Length_3153",528,"LowConfidence","-"
"jaffa-direct","SLU7:TRABD2A","chr5",159829534,"chr2",85090731,Inf,"1",2,NA,FALSE,TRUE,"Locus_17_Transcript_10335/19558_Confidence_0.000_Length_1327",340,"LowConfidence","-"
