"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","C16orf70:CBFB","chr16",67159945,"chr16",67132613,27.328,"4",20,FALSE,TRUE,TRUE,"Locus_890_Transcript_5/20_Confidence_0.119_Length_1069",766,"HighConfidence","-"
"jaffa-direct","CDK12:KIF18B","chr17",37682569,"chr17",43006392,5323.827,"1",17,FALSE,TRUE,TRUE,"Locus_1982_Transcript_16/35_Confidence_0.113_Length_5475",1627,"HighConfidence","-"
"jaffa-direct","RP1-234P15.4:EHD4","chr6",75995025,"chr15",42193379,Inf,"0",10,FALSE,TRUE,TRUE,"Locus_5666_Transcript_4/6_Confidence_0.500_Length_2685",2386,"MediumConfidence","-"
"jaffa-direct","THBS2:THBS1","chr6",169628217,"chr15",39881160,Inf,"0",4,TRUE,TRUE,TRUE,"Locus_234_Transcript_28/43_Confidence_0.233_Length_4714",1945,"MediumConfidence","-"
"jaffa-direct","OSBPL10:STT3B","chr3",31743851,"chr3",31617888,125.963,"0",3,FALSE,TRUE,TRUE,"Locus_1411_Transcript_13/18_Confidence_0.408_Length_5179",1452,"MediumConfidence","-"
"jaffa-direct","NRIP1:AF127936.7","chr21",16437066,"chr21",16230029,207.039,"-",3,FALSE,TRUE,FALSE,"Locus_6538_Transcript_4/14_Confidence_0.096_Length_422",293,"MediumConfidence","-"
"jaffa-direct","RP11-245P10.4:NVL","chr1",228595179,"chr1",224438020,4157.157,"-",2,FALSE,TRUE,TRUE,"Locus_1786_Transcript_1/8_Confidence_0.033_Length_349",82,"MediumConfidence","-"
"jaffa-direct","EIF4G3:RAB11FIP4","chr1",21503215,"chr17",29844669,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_9535_Transcript_2/5_Confidence_0.423_Length_3962",3796,"MediumConfidence","-"
"jaffa-direct","CDH2:QSER1","chr18",25756927,"chr11",32948703,Inf,"0",2,FALSE,TRUE,TRUE,"Locus_2364_Transcript_23/76_Confidence_0.139_Length_9261",9178,"MediumConfidence","-"
"jaffa-direct","TATDN1:DEPTOR","chr8",125527987,"chr8",121013764,4514.222,"-",1,FALSE,TRUE,TRUE,"Locus_1798_Transcript_6/7_Confidence_0.029_Length_337",149,"MediumConfidence","-"
"jaffa-direct","STX18-AS1:FGF2","chr4",4546634,"chr4",123797476,119250.845,"-",1,FALSE,TRUE,FALSE,"Locus_14270_Transcript_1/3_Confidence_0.750_Length_406",44,"MediumConfidence","-"
"jaffa-direct","RP11-761B3.1:ANKMY1","chr2",47403580,"chr2",241494472,194090.888,"-",1,FALSE,TRUE,TRUE,"Locus_269_Transcript_16/32_Confidence_0.033_Length_1108",79,"MediumConfidence","-"
"jaffa-direct","CBR3-AS1:RPS9","chr21",37505213,"chr19",54711290,Inf,"209",32,NA,FALSE,TRUE,"Locus_1081_Transcript_15/21_Confidence_0.208_Length_996",681,"LowConfidence","-"
"jaffa-direct","KRT80:VIM","chr12",52565467,"chr10",17277297,Inf,"4",210,NA,FALSE,TRUE,"Locus_365_Transcript_52/57_Confidence_0.045_Length_2194",942,"LowConfidence","-"
"jaffa-direct","AP000350.10:TSPAN13","chr22",24237328,"chr7",16793471,Inf,"1",110,NA,FALSE,TRUE,"Locus_1168_Transcript_16/31_Confidence_0.348_Length_2830",904,"LowConfidence","-"
"jaffa-direct","KRT80:VIM","chr12",52565442,"chr10",17277322,Inf,"21",4,NA,FALSE,TRUE,"Locus_365_Transcript_43/57_Confidence_0.052_Length_2194",917,"LowConfidence","-"
"jaffa-direct","ACTG1:AC006483.1","chr17",79477813,"chr7",5567763,Inf,"3",20,NA,FALSE,TRUE,"Locus_322_Transcript_231/271_Confidence_0.059_Length_2700",2240,"LowConfidence","-"
"jaffa-direct","IRGQ:DNAJC9-AS1","chr19",44092023,"chr10",75008964,Inf,"8",2,NA,FALSE,TRUE,"Locus_569_Transcript_50/73_Confidence_0.064_Length_4855",4181,"LowConfidence","-"
"jaffa-direct","AXL:MOB1A","chr19",41745097,"chr2",74405829,Inf,"1",5,NA,FALSE,TRUE,"Locus_451_Transcript_89/154_Confidence_0.031_Length_4663",3055,"LowConfidence","-"
"jaffa-direct","NME4:ITGB4","chr16",447999,"chr17",73753025,Inf,"2",3,NA,FALSE,TRUE,"Locus_6527_Transcript_4/9_Confidence_0.172_Length_988",364,"LowConfidence","-"
