Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Junc_n	Position_Consist	Junction	Identity	Align_Len	Evalue	BitScore
PSMA3	ACTR10	14	14	1	1	12	4	3	2	YES	PSMA3:14:58711659_ACTR10:14:58669573,2|PSMA3:14:58714550_ACTR10:14:58669573,2	93.75	16	0.75	21.1
METTL2A	METTL2B	17	7	1	1	19	1	1	1	PARTIALLY	METTL2A:17:60505198_METTL2B:7:128138090,1	97.05	2302	0.0	3831
BLVRA	C7orf44	7	7	1	-1	7	3	3	1	YES	BLVRA:7:43832411_C7orf44:7:43680248,3	100.00	12	0.35	22.9
C8orf76	TAF2	8	8	-1	-1	27	10	8	2	PARTIALLY	C8orf76:8:124279513_TAF2:8:120818641,9|C8orf76:8:124279513_TAF2:8:120816259,1	93.75	16	0.24	24.7
KIAA0196	NSMCE2	8	8	-1	1	2	7	3	3	YES	KIAA0196:8:126103857_NSMCE2:8:126369461,4|KIAA0196:8:126103857_NSMCE2:8:126114559,2|KIAA0196:8:126103857_NSMCE2:8:126114256,1	93.33	15	0.62	22.9
FANCC	PTCH1	9	9	-1	-1	3	4	3	3	PARTIALLY	FANCC:9:98079808_PTCH1:9:98241429,2|FANCC:9:98079114_PTCH1:9:98241429,1|FANCC:9:98079808_PTCH1:9:98239139,1	93.75	16	1.3	24.7
CCS	PACS1	11	11	1	1	2	2	1	2	YES	CCS:11:66360771_PACS1:11:65994975,1|CCS:11:66361185_PACS1:11:65994975,1	94.44	18	0.22	24.7
SMCHD1	XPC	18	3	1	-1	2	4	3	1	YES	SMCHD1:18:2796519_XPC:3:14214562,4	94.44	18	0.097	28.3
ZHX1	TAF2	8	8	-1	-1	37	11	8	2	PARTIALLY	ZHX1:8:124279513_TAF2:8:120818641,10|ZHX1:8:124279513_TAF2:8:120816259,1	100.00	13	0.90	24.7
HSD17B4	TNFAIP8	5	5	1	1	4	3	3	1	YES	HSD17B4:5:118862914_TNFAIP8:5:118728511,3	100.00	14	0.10	26.5
EIF3H	RP11-785H20.1	8	8	-1	1	6	9	8	3	PARTIALLY	EIF3H:8:117738255_RP11-785H20.1:8:122901064,5|EIF3H:8:117767905_RP11-785H20.1:8:122901064,3|EIF3H:8:117738255_RP11-785H20.1:8:122915678,1	NA	NA	100	0
ACTG1	ACTB	17	7	-1	-1	19	2	1	2	PARTIALLY	ACTG1:17:79478929_ACTB:7:5568350,1|ACTG1:17:79478214_ACTB:7:5567816,1	91.19	1135	0.0	1597
