juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	46781695	47046188	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	61PKHAAXX_HWUSI-EAS627_0007:4:69:10856:20697/2,61PKHAAXX_HWUSI-EAS627_0007:4:26:3555:16278/1,61PKHAAXX_HWUSI-EAS627_0007:4:40:14674:17994/1,	61PKHAAXX_HWUSI-EAS627_0007:4:63:4092:5757,	na
chr6_31619433_-:chr6_31833561_-	inverted	0	na	34	28	18	64.2857	2	7.14286	6	3	33.3333	100	100	0	0	na	na	GT	AG	31619491	31833503	1	0	na	ENSG00000204463.8	ENSG00000204385.6	BAG6	SLC44A4	protein_coding	protein_coding	61PKHAAXX_HWUSI-EAS627_0007:4:10:8588:6551/2,61PKHAAXX_HWUSI-EAS627_0007:4:34:4274:1484/1,61PKHAAXX_HWUSI-EAS627_0007:4:15:12168:18218/2,61PKHAAXX_HWUSI-EAS627_0007:4:64:13929:10063/1,61PKHAAXX_HWUSI-EAS627_0007:4:32:17118:1896/1,61PKHAAXX_HWUSI-EAS627_0007:4:70:5938:10223/1,61PKHAAXX_HWUSI-EAS627_0007:4:9:13136:19072/1,61PKHAAXX_HWUSI-EAS627_0007:4:118:5166:4951/2,61PKHAAXX_HWUSI-EAS627_0007:4:83:4633:18016/2,61PKHAAXX_HWUSI-EAS627_0007:4:99:6643:12003/2,61PKHAAXX_HWUSI-EAS627_0007:4:99:7116:19901/2,61PKHAAXX_HWUSI-EAS627_0007:4:105:16783:13784/2,61PKHAAXX_HWUSI-EAS627_0007:4:12:12791:18052/1,61PKHAAXX_HWUSI-EAS627_0007:4:64:7750:15757/1,61PKHAAXX_HWUSI-EAS627_0007:4:6:12118:18249/1,61PKHAAXX_HWUSI-EAS627_0007:4:96:13431:1659/2,61PKHAAXX_HWUSI-EAS627_0007:4:14:9314:12140/2,61PKHAAXX_HWUSI-EAS627_0007:4:109:10018:14028/2,61PKHAAXX_HWUSI-EAS627_0007:4:29:5507:15151/2,61PKHAAXX_HWUSI-EAS627_0007:4:35:9177:11520/1,61PKHAAXX_HWUSI-EAS627_0007:4:120:16566:6826/2,61PKHAAXX_HWUSI-EAS627_0007:4:58:17448:5389/1,61PKHAAXX_HWUSI-EAS627_0007:4:74:19623:20494/1,61PKHAAXX_HWUSI-EAS627_0007:4:41:14678:17229/2,61PKHAAXX_HWUSI-EAS627_0007:4:22:9296:1853/1,61PKHAAXX_HWUSI-EAS627_0007:4:43:18260:4509/1,61PKHAAXX_HWUSI-EAS627_0007:4:117:2499:16966/2,61PKHAAXX_HWUSI-EAS627_0007:4:87:11641:13970/2,	61PKHAAXX_HWUSI-EAS627_0007:4:53:13700:19493,61PKHAAXX_HWUSI-EAS627_0007:4:8:14180:11710,61PKHAAXX_HWUSI-EAS627_0007:4:116:2323:20341,61PKHAAXX_HWUSI-EAS627_0007:4:94:9735:9669,61PKHAAXX_HWUSI-EAS627_0007:4:80:18375:11047,61PKHAAXX_HWUSI-EAS627_0007:4:7:17493:3277,	61PKHAAXX_HWUSI-EAS627_0007:4:103:10891:18744,61PKHAAXX_HWUSI-EAS627_0007:4:26:4689:13108,61PKHAAXX_HWUSI-EAS627_0007:4:86:14069:998,
chr10_103799770_-:chr10_103588956_-	intrachromosomal	0	na	20	18	15	83.3333	3	16.6667	2	0	0	100	100	0	0	na	na	GT	AG	103799835	103588884	1	1	210814	ENSG00000120029.8	ENSG00000120049.14	C10orf76	KCNIP2	protein_coding	protein_coding	61PKHAAXX_HWUSI-EAS627_0007:4:67:4943:15845/1,61PKHAAXX_HWUSI-EAS627_0007:4:35:11430:16212/2,61PKHAAXX_HWUSI-EAS627_0007:4:93:16328:8389/2,61PKHAAXX_HWUSI-EAS627_0007:4:9:11933:5144/2,61PKHAAXX_HWUSI-EAS627_0007:4:108:12024:1054/2,61PKHAAXX_HWUSI-EAS627_0007:4:19:13392:12859/1,61PKHAAXX_HWUSI-EAS627_0007:4:51:19351:5505/1,61PKHAAXX_HWUSI-EAS627_0007:4:85:11187:17096/1,61PKHAAXX_HWUSI-EAS627_0007:4:87:4677:9689/2,61PKHAAXX_HWUSI-EAS627_0007:4:87:5156:16470/2,61PKHAAXX_HWUSI-EAS627_0007:4:1:18027:1439/1,61PKHAAXX_HWUSI-EAS627_0007:4:84:12202:5133/2,61PKHAAXX_HWUSI-EAS627_0007:4:14:14451:21123/2,61PKHAAXX_HWUSI-EAS627_0007:4:95:18728:14292/2,61PKHAAXX_HWUSI-EAS627_0007:4:48:11925:12090/2,61PKHAAXX_HWUSI-EAS627_0007:4:35:15476:18426/2,61PKHAAXX_HWUSI-EAS627_0007:4:114:10914:12909/2,61PKHAAXX_HWUSI-EAS627_0007:4:114:10914:12909/2,	61PKHAAXX_HWUSI-EAS627_0007:4:59:18251:1358,61PKHAAXX_HWUSI-EAS627_0007:4:108:6136:21018,	na
chr1_65891061_+:chr1_65959550_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	65890987	65959599	1	1	68489	ENSG00000116678.14,ENSG00000213625.4	ENSG00000237852.1	LEPR,LEPROT	RP4-630A11.3	protein_coding,protein_coding	sense_intronic	61PKHAAXX_HWUSI-EAS627_0007:4:111:1190:8106/2,61PKHAAXX_HWUSI-EAS627_0007:4:24:12648:21207/1,	61PKHAAXX_HWUSI-EAS627_0007:4:11:15043:1923,	na
chr4_48487159_+:chr4_48494783_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	48487105	48494853	1	1	7624	ENSG00000145248.6	ENSG00000182223.7	SLC10A4	ZAR1	protein_coding	protein_coding	61PKHAAXX_HWUSI-EAS627_0007:4:47:18550:3953/2,61PKHAAXX_HWUSI-EAS627_0007:4:118:10311:18736/1,	61PKHAAXX_HWUSI-EAS627_0007:4:51:7637:9237,	na
chr8_2532238_-:chr8_2462021_-	readthrough	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	2532252	2461961	1	1	70217	ENSG00000254319.1	ENSG00000249694.2	RP11-134O21.1	RP11-378A12.1	lincRNA	lincRNA	61PKHAAXX_HWUSI-EAS627_0007:4:45:8379:10442/1,	61PKHAAXX_HWUSI-EAS627_0007:4:30:13445:2868,61PKHAAXX_HWUSI-EAS627_0007:4:97:5551:1246,	na
chr3_44481289_-:chr3_44463305_-	readthrough	0	na	41	33	23	69.697	4	12.1212	8	0	0	100	100	27	0	na	na	GT	AG	44481363	44463231	1	1	17984	ENSG00000185219.11	ENSG00000225873.1	ZNF445	LINC00694	protein_coding	lincRNA	61PKHAAXX_HWUSI-EAS627_0007:4:68:5571:11052/1,61PKHAAXX_HWUSI-EAS627_0007:4:50:11188:8099/1,61PKHAAXX_HWUSI-EAS627_0007:4:68:4420:3313/2,61PKHAAXX_HWUSI-EAS627_0007:4:75:18110:14273/1,61PKHAAXX_HWUSI-EAS627_0007:4:100:14479:12180/2,61PKHAAXX_HWUSI-EAS627_0007:4:49:16719:11961/2,61PKHAAXX_HWUSI-EAS627_0007:4:78:5569:16798/2,61PKHAAXX_HWUSI-EAS627_0007:4:54:2865:15246/2,61PKHAAXX_HWUSI-EAS627_0007:4:6:11175:14519/1,61PKHAAXX_HWUSI-EAS627_0007:4:38:16835:10795/1,61PKHAAXX_HWUSI-EAS627_0007:4:83:10782:11135/2,61PKHAAXX_HWUSI-EAS627_0007:4:2:5745:2815/1,61PKHAAXX_HWUSI-EAS627_0007:4:57:9274:8885/1,61PKHAAXX_HWUSI-EAS627_0007:4:76:5550:8565/2,61PKHAAXX_HWUSI-EAS627_0007:4:45:16934:2849/1,61PKHAAXX_HWUSI-EAS627_0007:4:113:9589:8798/2,61PKHAAXX_HWUSI-EAS627_0007:4:50:3676:13431/1,61PKHAAXX_HWUSI-EAS627_0007:4:17:10128:16756/1,61PKHAAXX_HWUSI-EAS627_0007:4:36:2709:3163/1,61PKHAAXX_HWUSI-EAS627_0007:4:120:6821:3492/2,61PKHAAXX_HWUSI-EAS627_0007:4:38:1170:17256/2,61PKHAAXX_HWUSI-EAS627_0007:4:99:14531:6952/2,61PKHAAXX_HWUSI-EAS627_0007:4:109:12400:18070/1,61PKHAAXX_HWUSI-EAS627_0007:4:68:8087:13686/2,61PKHAAXX_HWUSI-EAS627_0007:4:53:5675:11691/2,61PKHAAXX_HWUSI-EAS627_0007:4:100:11284:17002/2,61PKHAAXX_HWUSI-EAS627_0007:4:19:17905:16996/1,61PKHAAXX_HWUSI-EAS627_0007:4:54:10489:12498/1,61PKHAAXX_HWUSI-EAS627_0007:4:54:10489:12498/1,61PKHAAXX_HWUSI-EAS627_0007:4:100:4983:11539/2,61PKHAAXX_HWUSI-EAS627_0007:4:9:6291:2434/2,61PKHAAXX_HWUSI-EAS627_0007:4:42:15843:1910/2,61PKHAAXX_HWUSI-EAS627_0007:4:32:5266:15427/1,	61PKHAAXX_HWUSI-EAS627_0007:4:105:9685:2148,61PKHAAXX_HWUSI-EAS627_0007:4:33:3646:16223,61PKHAAXX_HWUSI-EAS627_0007:4:25:1819:9710,61PKHAAXX_HWUSI-EAS627_0007:4:13:18031:14627,61PKHAAXX_HWUSI-EAS627_0007:4:71:15811:7629,61PKHAAXX_HWUSI-EAS627_0007:4:70:18284:6660,61PKHAAXX_HWUSI-EAS627_0007:4:114:12408:11581,61PKHAAXX_HWUSI-EAS627_0007:4:111:11441:15077,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	21	20	13	65	9	45	1	0	0	100	100	0	0	na	na	GT	AG	10269207	10282048	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	61PKHAAXX_HWUSI-EAS627_0007:4:88:10890:11825/1,61PKHAAXX_HWUSI-EAS627_0007:4:95:15599:1059/2,61PKHAAXX_HWUSI-EAS627_0007:4:1:4395:19504/2,61PKHAAXX_HWUSI-EAS627_0007:4:92:13938:4421/2,61PKHAAXX_HWUSI-EAS627_0007:4:10:4562:5637/2,61PKHAAXX_HWUSI-EAS627_0007:4:69:5725:2425/2,61PKHAAXX_HWUSI-EAS627_0007:4:14:17289:1738/2,61PKHAAXX_HWUSI-EAS627_0007:4:5:10397:19015/1,61PKHAAXX_HWUSI-EAS627_0007:4:43:18902:18104/2,61PKHAAXX_HWUSI-EAS627_0007:4:52:12542:1333/2,61PKHAAXX_HWUSI-EAS627_0007:4:28:16744:13757/2,61PKHAAXX_HWUSI-EAS627_0007:4:59:18811:1640/1,61PKHAAXX_HWUSI-EAS627_0007:4:49:3388:14915/1,61PKHAAXX_HWUSI-EAS627_0007:4:26:2886:5518/2,61PKHAAXX_HWUSI-EAS627_0007:4:89:1691:14706/2,61PKHAAXX_HWUSI-EAS627_0007:4:13:1536:3067/2,61PKHAAXX_HWUSI-EAS627_0007:4:16:1681:19665/1,61PKHAAXX_HWUSI-EAS627_0007:4:38:15063:15826/2,61PKHAAXX_HWUSI-EAS627_0007:4:94:10076:3983/2,61PKHAAXX_HWUSI-EAS627_0007:4:94:10076:3983/2,	61PKHAAXX_HWUSI-EAS627_0007:4:64:12339:21141,	na
chr19_917746_+:chr19_929262_+	readthrough	0	na	7	6	5	83.3333	1	16.6667	1	0	0	100	100	0	0	na	na	GT	AG	917687	929333	1	1	11516	ENSG00000116014.5	ENSG00000116017.6	KISS1R	ARID3A	protein_coding	protein_coding	61PKHAAXX_HWUSI-EAS627_0007:4:36:10592:7310/1,61PKHAAXX_HWUSI-EAS627_0007:4:18:14807:1299/2,61PKHAAXX_HWUSI-EAS627_0007:4:36:14026:15260/1,61PKHAAXX_HWUSI-EAS627_0007:4:112:6736:17839/2,61PKHAAXX_HWUSI-EAS627_0007:4:5:14861:4583/1,61PKHAAXX_HWUSI-EAS627_0007:4:112:14361:16826/2,	61PKHAAXX_HWUSI-EAS627_0007:4:54:11367:21133,	na
chr15_66956790_+:chr15_67004006_+	readthrough	0	na	7	6	5	83.3333	0	0	1	1	50	100	100	0	0	na	na	GT	AG	66956740	67004040	1	1	47216	ENSG00000259471.1	ENSG00000137834.10	RP11-321F6.1	SMAD6	protein_coding	protein_coding	61PKHAAXX_HWUSI-EAS627_0007:4:111:18798:20368/1,61PKHAAXX_HWUSI-EAS627_0007:4:120:2390:8194/1,61PKHAAXX_HWUSI-EAS627_0007:4:60:9311:6558/1,61PKHAAXX_HWUSI-EAS627_0007:4:44:4895:14053/1,61PKHAAXX_HWUSI-EAS627_0007:4:93:13526:12869/1,61PKHAAXX_HWUSI-EAS627_0007:4:54:15997:4021/1,	61PKHAAXX_HWUSI-EAS627_0007:4:25:18483:16446,	61PKHAAXX_HWUSI-EAS627_0007:4:38:11661:8320,
