"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","ANKLE1:SPATA31A3","chr19",17395075,"chr9",40701710,Inf,"12302",3169,FALSE,TRUE,TRUE,"Locus_356_Transcript_9/52_Confidence_0.083_Length_1927",229,"HighConfidence","-"
"jaffa-direct","C12orf40:FAM110A","chr12",40110640,"chr20",825351,Inf,"10963",2871,TRUE,TRUE,TRUE,"Locus_345_Transcript_30/32_Confidence_0.100_Length_1884",1521,"HighConfidence","-"
"jaffa-direct","HUS1:KLRG1","chr7",48015210,"chr12",9147715,Inf,"11408",1730,FALSE,TRUE,TRUE,"Locus_6_Transcript_498/864_Confidence_0.002_Length_1732",1271,"HighConfidence","-"
"jaffa-direct","RAPH1:ANAPC15","chr2",204324630,"chr11",71822327,Inf,"9955",2567,TRUE,TRUE,TRUE,"Locus_431_Transcript_6/7_Confidence_0.214_Length_2080",1691,"HighConfidence","-"
"jaffa-direct","CR1L:C1orf174","chr1",207871024,"chr1",3806637,204064.384,"9346",2559,FALSE,TRUE,TRUE,"Locus_57_Transcript_20/25_Confidence_0.225_Length_1616",1195,"HighConfidence","-"
"jaffa-direct","CD164:SHC4","chr6",109703407,"chr15",49148321,Inf,"9470",2356,FALSE,TRUE,TRUE,"Locus_107_Transcript_4/13_Confidence_0.413_Length_3583",232,"HighConfidence","-"
"jaffa-direct","EPB41L5:FAH","chr2",120831754,"chr15",80452098,Inf,"9258",2435,FALSE,TRUE,TRUE,"Locus_425_Transcript_45/45_Confidence_0.141_Length_2852",579,"HighConfidence","-"
"jaffa-direct","PLEKHG7:ZNF714","chr12",93134724,"chr19",21299635,Inf,"8313",2573,FALSE,TRUE,TRUE,"Locus_163_Transcript_1/5_Confidence_0.500_Length_570",315,"HighConfidence","-"
"jaffa-direct","RPL27A:RBM45","chr11",8706439,"chr2",178982782,Inf,"7886",2038,TRUE,TRUE,TRUE,"Locus_519_Transcript_11/14_Confidence_0.556_Length_2061",1246,"HighConfidence","-"
"jaffa-direct","ASB10:CALHM3","chr7",150878026,"chr10",105233461,Inf,"7168",2001,TRUE,TRUE,TRUE,"Locus_383_Transcript_5/14_Confidence_0.243_Length_1529",1175,"HighConfidence","-"
"jaffa-direct","UPK1B:CLCA1","chr3",118909166,"chr1",86954679,Inf,"7036",1924,TRUE,TRUE,TRUE,"Locus_384_Transcript_3/5_Confidence_0.608_Length_2161",411,"HighConfidence","-"
"jaffa-direct","MLYCD:NACC1","chr16",83945972,"chr19",13248961,Inf,"6826",1783,FALSE,TRUE,TRUE,"Locus_42_Transcript_7/7_Confidence_0.316_Length_3888",2947,"HighConfidence","-"
"jaffa-direct","DCAKD:ZNF638","chr17",43111555,"chr2",71575883,Inf,"5890",1493,FALSE,TRUE,TRUE,"Locus_890_Transcript_3/5_Confidence_0.548_Length_897",658,"HighConfidence","-"
"jaffa-direct","UBXN7:PWWP2B","chr3",196088715,"chr10",134218130,Inf,"5174",1332,FALSE,TRUE,TRUE,"Locus_85_Transcript_27/27_Confidence_0.111_Length_3747",2417,"HighConfidence","-"
"jaffa-direct","PCYT2:INHBC","chr17",79864636,"chr12",57843060,Inf,"4640",1241,TRUE,TRUE,TRUE,"Locus_2_Transcript_22/30_Confidence_0.050_Length_1797",253,"HighConfidence","-"
"jaffa-direct","C7orf72:IGSF1","chr7",50144007,"chrX",130408180,Inf,"4357",1140,FALSE,TRUE,TRUE,"Locus_472_Transcript_10/15_Confidence_0.131_Length_1088",493,"HighConfidence","-"
"jaffa-direct","RTP1:KPNA1","chr3",186915575,"chr3",122180165,64735.405,"4281",1033,FALSE,TRUE,TRUE,"Locus_52_Transcript_10/15_Confidence_0.427_Length_1625",1381,"HighConfidence","-"
