juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr1_204183010_-:chr1_204162042_-	readthrough	0	na	25	24	18	75	8	33.3333	1	1	50	100	100	0	0	na	na	GT	AG	204183103	204161948	1	1	20968	ENSG00000174567.7	ENSG00000170498.7	GOLT1A	KISS1	protein_coding	protein_coding	C1E2NACXX130117:2:2213:9810:99528/1,C1DVPACXX130111:4:1310:10552:14552/2,D1JYHACXX130117:6:2306:6503:54574/2,D1JYHACXX130117:6:2306:6503:54574/2,D1JYHACXX130117:6:2306:6503:54574/2,C1EF5ACXX130117:5:2110:9105:75462/2,D1JYHACXX130117:4:2211:17056:79983/2,C1FGVACXX130122:5:1116:19647:2237/2,C1E5MACXX130111:7:1210:20202:44481/1,D1JYHACXX130117:4:2307:1235:39042/1,C1EF5ACXX130117:4:2301:16158:64694/1,C1EF5ACXX130117:4:2301:16158:64694/2,C1EF5ACXX130117:5:2110:9105:75462/1,C1E2NACXX130117:1:1210:20678:47764/2,C1DVPACXX130111:3:1104:17334:77358/1,C1E2NACXX130117:2:2106:20227:12730/1,D1JYHACXX130117:3:1114:17443:20678/1,D1JYHACXX130117:6:2308:17710:3469/1,D1JYHACXX130117:3:2110:8345:75708/1,C1FGVACXX130122:3:1303:19328:88999/1,C1EF5ACXX130117:6:1304:17494:76927/1,C1EF5ACXX130117:6:1304:17494:76927/1,C1FGVACXX130122:5:1212:9645:37800/1,C1EF5ACXX130117:7:2310:7669:90406/2,	C1E2NACXX130117:6:2315:5459:24412,	C1E2NACXX130117:7:2305:3011:60381,
chr12_6457893_-:chr12_6443410_-	readthrough	0	na	30	25	20	80	5	20	5	9	64.2857	91.5663	100	0	0	na	na	GT	AG	6457975	6443311	1	1	14483	ENSG00000111319.8	ENSG00000067182.3	SCNN1A	TNFRSF1A	protein_coding	protein_coding	C1EF5ACXX130117:3:2115:15467:8777/1,C1EF5ACXX130117:2:2110:18642:93757/2,C1EF5ACXX130117:6:2114:3403:29519/2,C1FGVACXX130122:3:2305:8707:32554/1,C1FGVACXX130122:4:2214:15539:56086/1,C1FGVACXX130122:3:1103:16527:22070/1,C1EF5ACXX130117:6:1112:18496:78710/1,D1JYHACXX130117:2:2215:13045:43859/2,C1FGVACXX130122:8:2316:19235:26778/1,C1EF5ACXX130117:7:2103:6909:51641/1,C1EF5ACXX130117:2:1315:15681:32053/1,C1EF5ACXX130117:1:1202:8574:54662/2,C1EF5ACXX130117:1:1202:8574:54662/2,C1EF5ACXX130117:1:1202:8574:54662/2,C1FGVACXX130122:3:2305:8707:32554/2,C1FGVACXX130122:1:2110:12417:94762/1,D1JYHACXX130117:4:2201:17842:31220/2,C1FGVACXX130122:8:2314:3529:64380/2,C1EF5ACXX130117:7:1209:14535:25926/1,C1EF5ACXX130117:6:1112:18496:78710/2,C1FGVACXX130122:4:2315:18449:63672/1,C1EF5ACXX130117:3:2115:15467:8777/2,C1FGVACXX130122:8:2314:3529:64380/1,C1E2NACXX130117:5:2102:11253:97049/1,C1FGVACXX130122:4:2315:18449:63672/2,	C1FGVACXX130122:4:2214:14353:29750,D1JYHACXX130117:1:2111:11936:21776,C1DVPACXX130111:3:1315:20767:55682,C1EF5ACXX130117:6:2213:4214:15618,C1EF5ACXX130117:7:2102:6718:81429,	C1FGVACXX130122:6:1214:5616:4901,C1EF5ACXX130117:5:2309:17730:33226,C1FGVACXX130122:2:1311:20650:88552,C1E5MACXX130111:5:1108:14784:26418,C1E2NACXX130117:2:2115:14153:7241,C1E2NACXX130117:2:1309:11684:29009,C1EF5ACXX130117:7:1215:9524:88906,C1EF5ACXX130117:5:2312:16585:32835,C1FGVACXX130122:2:2216:18036:57945,
chr2_85808999_+:chr2_85818848_+	readthrough	0	na	11	6	6	100	3	50	5	0	0	100	100	121	0	na	na	GT	AG	85808903	85818947	1	1	9849	ENSG00000118640.6	ENSG00000168899.4	VAMP8	VAMP5	protein_coding	protein_coding	C1FGVACXX130122:4:2308:14561:79508/1,C1E5MACXX130111:8:1114:3155:36784/1,D1JYHACXX130117:7:2207:16147:50863/2,C1E2NACXX130117:6:2304:6519:17517/2,D1JYHACXX130117:7:1108:11454:97182/1,D1JYHACXX130117:2:1108:17142:3514/2,	C1FGVACXX130122:2:1209:14229:11866,C1EF5ACXX130117:4:1304:7235:55399,C1DVPACXX130111:2:1206:4033:17019,C1EF5ACXX130117:8:1210:14234:40945,C1FGVACXX130122:3:1315:8210:84469,	na
chr12_6457237_-:chr12_6443410_-	readthrough	0	na	94	81	52	64.1975	22	27.1605	13	1	7.14286	100	100	387	0	na	na	GT	AG	6457336	6443311	1	1	13827	ENSG00000111319.8	ENSG00000067182.3	SCNN1A	TNFRSF1A	protein_coding	protein_coding	C1DVPACXX130111:2:1205:19472:44584/2,C1FGVACXX130122:6:2209:3961:47590/2,D1JYHACXX130117:3:1214:14705:90941/1,C1E5MACXX130111:8:2215:11049:92968/1,D1JYHACXX130117:5:1306:15174:18848/2,D1JYHACXX130117:5:1216:9695:12067/2,C1FGVACXX130122:8:1307:13809:74566/1,C1FGVACXX130122:3:2305:1543:58573/1,C1FGVACXX130122:3:2305:1543:58573/1,C1FGVACXX130122:3:2305:1543:58573/1,C1DVPACXX130111:2:1111:18050:93660/2,D1JYHACXX130117:5:2308:7748:54486/1,D1JYHACXX130117:2:2306:4603:24610/1,C1EF5ACXX130117:5:2105:8175:46659/2,C1DVPACXX130111:2:2310:13537:28635/2,C1E2NACXX130117:4:2113:7460:42234/1,C1FGVACXX130122:1:2312:14750:50236/2,C1E2NACXX130117:5:2206:9935:69657/2,C1E2NACXX130117:8:1107:20604:85661/1,C1DVPACXX130111:4:2202:18430:71588/2,C1E2NACXX130117:6:1306:11222:95444/2,D1JYHACXX130117:3:1111:14347:100498/1,C1EF5ACXX130117:8:1114:19526:46292/1,C1EF5ACXX130117:8:1114:19526:46292/1,C1EF5ACXX130117:8:1114:19526:46292/1,D1JYHACXX130117:7:1101:1586:22635/2,C1E5MACXX130111:7:2305:14613:33748/1,D1JYHACXX130117:4:1207:15999:82326/2,D1JYHACXX130117:4:1207:15999:82326/2,C1EF5ACXX130117:3:1201:8518:68888/2,C1EF5ACXX130117:3:1201:8518:68888/2,D1JYHACXX130117:5:1106:7721:79978/1,C1E5MACXX130111:4:2301:17518:15903/1,C1E2NACXX130117:1:1303:8028:48322/2,D1JYHACXX130117:1:1215:19828:52370/1,C1FGVACXX130122:7:1205:15927:79681/2,C1EF5ACXX130117:8:1203:7073:96532/2,C1E5MACXX130111:7:1208:12978:7705/2,D1JYHACXX130117:8:1315:12219:8351/2,C1FGVACXX130122:6:2209:3961:47590/1,D1JYHACXX130117:2:1102:20080:49338/2,C1EF5ACXX130117:1:1203:11454:34609/2,C1E5MACXX130111:8:2108:10505:15985/1,C1EF5ACXX130117:2:1214:4166:44889/2,C1EF5ACXX130117:7:2103:6909:51641/1,C1EF5ACXX130117:5:2104:3058:22496/2,C1FGVACXX130122:5:1202:12564:25615/2,D1JYHACXX130117:6:1206:14580:89570/2,C1FGVACXX130122:7:2206:15285:56455/2,C1E5MACXX130111:8:2215:11049:92968/2,C1E2NACXX130117:1:1205:20626:90732/1,C1E2NACXX130117:4:1214:13155:2048/1,D1JYHACXX130117:7:2116:15721:11651/2,C1EF5ACXX130117:8:1315:19573:59008/1,C1DVPACXX130111:3:1309:17988:43715/1,C1EF5ACXX130117:5:1114:3563:7175/2,C1EF5ACXX130117:1:2108:1886:54399/2,C1E5MACXX130111:7:2305:14613:33748/2,C1FGVACXX130122:6:1201:19209:74430/2,C1E2NACXX130117:4:1116:17886:19651/2,D1JYHACXX130117:6:2105:6283:27879/2,C1E2NACXX130117:5:1110:16892:22688/2,C1DVPACXX130111:2:1111:18050:93660/1,C1FGVACXX130122:6:1310:6666:69474/2,C1EF5ACXX130117:8:2109:5205:95265/1,C1EF5ACXX130117:1:1202:8574:54662/2,C1EF5ACXX130117:1:1202:8574:54662/2,C1EF5ACXX130117:1:1202:8574:54662/2,C1E2NACXX130117:6:1306:11222:95444/1,C1EF5ACXX130117:3:2110:1601:50507/1,C1E2NACXX130117:3:2201:3564:40099/1,C1EF5ACXX130117:5:2311:7107:29347/1,C1E2NACXX130117:6:1114:20349:36699/1,C1E2NACXX130117:4:2113:7460:42234/2,D1JYHACXX130117:3:1214:14705:90941/2,C1FGVACXX130122:1:1113:6050:86006/1,D1JYHACXX130117:5:1306:15174:18848/1,D1JYHACXX130117:4:1112:16511:72648/1,C1EF5ACXX130117:8:2109:5205:95265/2,C1EF5ACXX130117:5:2113:19731:75700/1,C1EF5ACXX130117:1:1210:21069:8282/2,	C1FGVACXX130122:4:2214:14353:29750,C1FGVACXX130122:6:1214:5616:4901,C1FGVACXX130122:2:1311:20650:88552,C1E5MACXX130111:5:1108:14784:26418,D1JYHACXX130117:1:2111:11936:21776,C1DVPACXX130111:3:1315:20767:55682,C1EF5ACXX130117:6:2213:4214:15618,C1EF5ACXX130117:7:2102:6718:81429,C1E2NACXX130117:2:2115:14153:7241,C1E2NACXX130117:2:1309:11684:29009,C1EF5ACXX130117:7:1215:9524:88906,C1EF5ACXX130117:5:2312:16585:32835,C1FGVACXX130122:2:2216:18036:57945,	C1EF5ACXX130117:5:2309:17730:33226,
chr12_54388800_+:chr12_54446944_+	readthrough	0	na	16	15	11	73.3333	6	40	1	0	0	100	100	0	0	na	na	GT	AG	54388703	54447043	1	1	58144	ENSG00000180806.4	ENSG00000198353.6	HOXC9	HOXC4	protein_coding	protein_coding	C1FGVACXX130122:5:2214:10229:64866/2,D1JYHACXX130117:6:1216:8521:41700/2,D1JYHACXX130117:2:2205:16963:84315/1,C1FGVACXX130122:5:2214:10229:64866/1,C1EF5ACXX130117:6:1308:4052:29029/1,D1JYHACXX130117:6:1216:8521:41700/1,D1JYHACXX130117:6:1216:8521:41700/1,D1JYHACXX130117:6:1216:8521:41700/1,D1JYHACXX130117:6:1216:8521:41700/1,C1FGVACXX130122:4:2209:20288:43527/1,C1E5MACXX130111:7:2108:12717:61698/2,C1FGVACXX130122:7:2105:1926:78340/2,C1FGVACXX130122:5:1307:13631:15547/1,C1FGVACXX130122:7:2203:3858:28499/2,C1FGVACXX130122:5:1307:13631:15547/2,	C1E5MACXX130111:4:1212:4025:42643,	na
chr3_3182332_+:chr3_2861170_+	inverted	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	3182286	2861251	1	0	na	ENSG00000072756.12	ENSG00000144619.10	TRNT1	CNTN4	protein_coding	protein_coding	D1JYHACXX130117:5:1201:4803:74449/2,C1FGVACXX130122:7:1313:6961:29407/1,	D1JYHACXX130117:3:1203:20545:92845,	na
chr12_46848924_+:chr12_47046173_+	intrachromosomal	0	na	5	4	3	75	3	75	1	1	50	100	100	0	0	na	na	GT	AG	46848847	47046270	1	1	197249	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C1E2NACXX130117:5:2316:8668:19004/2,C1EF5ACXX130117:1:2214:7496:55178/1,C1EF5ACXX130117:2:1104:14150:89314/2,C1EF5ACXX130117:2:1104:14150:89314/2,	C1EF5ACXX130117:2:2112:21396:99584,	C1EF5ACXX130117:7:1311:19029:31029,
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	24	21	16	76.1905	11	52.381	3	0	0	100	100	0	177	na	na	GT	AG	51387668	51732845	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	D1JYHACXX130117:1:1107:4727:79135/1,C1E2NACXX130117:2:1209:12819:5157/2,D1JYHACXX130117:4:1205:14387:36845/2,D1JYHACXX130117:3:1314:17718:76716/2,C1FGVACXX130122:8:1105:14371:15123/2,C1FGVACXX130122:5:2205:5805:61690/1,D1JYHACXX130117:1:2209:1978:52210/1,C1FGVACXX130122:7:1304:10071:5951/1,C1E2NACXX130117:5:2110:18917:46837/2,C1EF5ACXX130117:6:1211:16031:6986/1,C1E2NACXX130117:6:2301:5851:16529/1,D1JYHACXX130117:1:1107:4727:79135/2,C1E2NACXX130117:1:1106:18802:17504/1,C1FGVACXX130122:5:2205:5805:61690/2,C1EF5ACXX130117:4:2312:7690:60000/1,C1EF5ACXX130117:5:1307:2095:28825/1,C1FGVACXX130122:6:2212:14426:35844/2,C1E2NACXX130117:7:1303:9729:66754/1,C1DVPACXX130111:3:2302:7809:87953/1,C1FGVACXX130122:5:1304:2253:51848/2,D1JYHACXX130117:8:1109:3521:56187/2,	C1EF5ACXX130117:7:2103:15671:65186,C1E2NACXX130117:3:2310:2718:82506,C1FGVACXX130122:8:1111:17423:55538,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	12	10	6	60	7	70	2	0	0	100	100	0	0	na	na	GT	AG	10269182	10282070	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	C1E2NACXX130117:2:2103:8749:44430/2,C1FGVACXX130122:6:1215:14604:19501/2,C1DVPACXX130111:3:2204:18229:46006/2,D1JYHACXX130117:6:1206:4586:13959/1,C1FGVACXX130122:7:1203:15494:5997/2,C1FGVACXX130122:6:1313:11728:67447/1,C1FGVACXX130122:6:1313:11728:67447/1,C1E2NACXX130117:1:1110:14937:2769/2,C1E5MACXX130111:5:1214:21129:97612/2,D1JYHACXX130117:2:2316:7817:96210/1,	D1JYHACXX130117:2:2309:14169:43247,C1EF5ACXX130117:1:1110:7953:16318,	na
chr7_99569369_-:chr7_99521226_-	readthrough	0	na	14	12	11	91.6667	1	8.33333	2	0	0	100	100	0	0	na	na	GT	AG	99569465	99521149	1	1	48143	ENSG00000160862.8	ENSG00000176402.5	AZGP1	GJC3	protein_coding	protein_coding	C1E2NACXX130117:5:1215:18269:30967/1,C1DVPACXX130111:4:1307:20817:73789/1,C1FGVACXX130122:5:1313:19336:54273/2,C1E2NACXX130117:6:2115:8737:6300/2,D1JYHACXX130117:1:1116:14493:39139/1,C1E2NACXX130117:5:1215:18269:30967/2,D1JYHACXX130117:4:1206:8716:30509/2,D1JYHACXX130117:2:1307:5111:95802/2,D1JYHACXX130117:4:1206:8716:30509/1,C1EF5ACXX130117:7:1201:13152:82861/2,D1JYHACXX130117:1:1116:14493:39139/2,C1E2NACXX130117:4:1102:7910:42799/1,	C1EF5ACXX130117:5:2110:10835:100195,C1E2NACXX130117:5:2115:11568:34073,	na
