juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr7_47546505_-:chr7_1522343_-	intrachromosomal	0	na	15	13	13	100	5	38.4615	2	0	0	86.3636	100	0	0	110	89.09	GT	AG	47546548	1522246	1	1	46024162	ENSG00000136205.12	ENSG00000164880.11	TNS3	INTS1	protein_coding	protein_coding	C1E2NACXX130117:7:2312:20783:2037/1,D1JYHACXX130117:8:1202:14625:20875/1,C1FGVACXX130122:4:1303:14064:21356/2,D1JYHACXX130117:3:1112:12600:13319/2,C1E2NACXX130117:7:2111:6391:37402/2,C1E2NACXX130117:7:2111:6391:37402/1,C1E2NACXX130117:3:2311:12431:57995/1,C1E2NACXX130117:6:1307:8193:43253/1,D1JYHACXX130117:8:2312:16798:99619/1,C1E2NACXX130117:3:2311:12431:57995/2,C1E5MACXX130111:4:2209:12376:56620/1,C1EF5ACXX130117:2:1104:11581:31192/1,D1JYHACXX130117:3:1304:7918:58265/1,	D1JYHACXX130117:8:1201:20551:27483,C1E5MACXX130111:5:2104:14969:38915,	na
chr20_3802940_+:chr20_3835205_+	readthrough	0	na	15	14	6	42.8571	13	92.8571	1	0	0	100	100	0	0	na	na	GT	AG	3802842	3835304	1	1	32265	ENSG00000125843.6	ENSG00000088888.13	AP5S1	MAVS	protein_coding	protein_coding	D1JYHACXX130117:3:2310:15479:36511/1,C1EF5ACXX130117:4:1216:12003:66934/1,C1EF5ACXX130117:2:2302:1636:98969/2,C1EF5ACXX130117:1:1104:5460:54404/1,C1FGVACXX130122:8:1113:5425:74239/1,C1EF5ACXX130117:6:2109:16588:91786/2,D1JYHACXX130117:2:1201:1665:63946/2,C1FGVACXX130122:1:2306:17619:37694/2,C1EF5ACXX130117:7:2115:5296:31346/1,C1EF5ACXX130117:7:1307:11098:81236/1,C1EF5ACXX130117:5:2211:20154:90123/2,C1EF5ACXX130117:4:2308:18660:57205/2,D1JYHACXX130117:1:2306:15066:21994/1,C1FGVACXX130122:3:1208:17962:91265/2,	C1DVPACXX130111:3:1311:10796:40603,	na
chr7_56120178_+:chr7_56110954_-	interstrand	0	na	38	26	16	61.5385	1	3.84615	12	1	7.69231	100	100	0	0	na	na	GT	AG	56120118	56110870	0	na	na	ENSG00000146731.6	ENSG00000146733.9	CCT6A	PSPH	protein_coding	protein_coding	C1EF5ACXX130117:3:1204:16078:55798/1,C1E2NACXX130117:6:2213:14330:95157/1,C1DVPACXX130111:4:1115:14587:31486/1,D1JYHACXX130117:1:2213:1794:51163/2,C1FGVACXX130122:7:2312:14972:34060/2,C1FGVACXX130122:7:1314:19039:97745/1,C1E2NACXX130117:5:2312:16490:69268/2,C1FGVACXX130122:4:2109:6674:39889/1,D1JYHACXX130117:2:2205:17369:86052/1,C1EF5ACXX130117:3:1301:16603:20434/2,D1JYHACXX130117:1:2108:4304:67470/2,C1E2NACXX130117:3:2316:13598:7717/1,C1FGVACXX130122:1:1308:1812:88288/2,C1DVPACXX130111:2:2305:17804:17224/1,C1FGVACXX130122:4:2108:19530:67947/1,C1E5MACXX130111:8:1108:19754:65425/2,C1E2NACXX130117:4:1302:9258:52771/1,C1EF5ACXX130117:2:2314:5599:9976/2,C1EF5ACXX130117:2:1313:17976:83451/2,C1E2NACXX130117:3:1115:7676:19621/1,C1DVPACXX130111:3:2113:20472:23943/2,D1JYHACXX130117:2:1310:14790:45950/1,C1EF5ACXX130117:5:1212:6920:48208/1,C1FGVACXX130122:3:1211:10186:70618/1,C1E2NACXX130117:1:2213:9657:43941/1,C1FGVACXX130122:8:2203:15436:18739/1,	D1JYHACXX130117:8:1207:10450:83868,D1JYHACXX130117:5:1108:17458:30196,D1JYHACXX130117:5:2108:3588:52685,C1E2NACXX130117:2:2216:2173:43798,C1FGVACXX130122:3:2310:17241:35812,C1EF5ACXX130117:6:2208:6707:71983,C1E5MACXX130111:7:2301:5880:36348,C1DVPACXX130111:3:2110:18979:40612,C1EF5ACXX130117:1:1310:17883:32079,C1EF5ACXX130117:8:1315:6664:48271,C1FGVACXX130122:2:1202:18773:77182,C1FGVACXX130122:3:2304:4357:2843,	C1E5MACXX130111:4:2110:3797:37408,
chr1_156219360_-:chr1_156216041_-	readthrough	0	na	9	6	5	83.3333	5	83.3333	3	1	25	100	100	345	0	na	na	GT	AG	156219459	156215946	1	1	3319	ENSG00000198952.7	ENSG00000160781.11	SMG5	PAQR6	protein_coding	protein_coding	C1EF5ACXX130117:2:1113:14142:93600/2,C1FGVACXX130122:6:2112:16393:29870/2,C1E5MACXX130111:4:1303:18621:37594/1,C1FGVACXX130122:1:2304:15992:29679/1,C1E2NACXX130117:4:1311:19823:6036/2,C1E2NACXX130117:5:2203:15447:81943/2,	C1E2NACXX130117:7:1313:7608:23173,C1E2NACXX130117:4:2205:10369:19127,D1JYHACXX130117:2:2103:4987:3584,	C1FGVACXX130122:1:2110:19769:25189,
chr20_60718945_+:chr3_108195362_-	interchromosomal	0	na	18	12	10	83.3333	1	8.33333	6	2	25	100	100	0	0	na	na	GT	AG	60718880	108195279	0	na	na	ENSG00000184402.10	ENSG00000144821.5	SS18L1	MYH15	protein_coding	protein_coding	C1EF5ACXX130117:5:1311:3067:24114/2,C1EF5ACXX130117:5:1311:3067:24114/1,D1JYHACXX130117:1:2115:20788:46705/1,C1E2NACXX130117:1:2208:9389:81728/1,C1E2NACXX130117:6:2213:18416:95326/2,C1DVPACXX130111:4:2314:16144:42462/1,C1FGVACXX130122:5:2301:10342:33998/2,C1EF5ACXX130117:8:2212:5344:86899/1,C1EF5ACXX130117:8:2212:5344:86899/2,C1EF5ACXX130117:2:2302:9798:33033/2,C1E5MACXX130111:7:2312:7986:20163/2,C1EF5ACXX130117:7:2111:21013:41499/1,	C1EF5ACXX130117:3:2311:12832:73458,C1EF5ACXX130117:3:1113:13635:56108,D1JYHACXX130117:7:2106:6384:8211,D1JYHACXX130117:5:1107:13252:15432,C1E2NACXX130117:5:2209:16781:64205,C1EF5ACXX130117:2:2314:1805:10165,	D1JYHACXX130117:8:1214:12421:26588,C1FGVACXX130122:7:2116:6242:3115,
chr19_41198856_-:chr19_41192900_-	readthrough	0	na	6	5	5	100	0	0	1	1	50	100	100	0	0	na	na	GT	AG	41198910	41192821	1	1	5956	ENSG00000123815.7	ENSG00000105245.5	ADCK4	NUMBL	protein_coding	protein_coding	C1DVPACXX130111:4:1310:2620:62054/1,C1FGVACXX130122:6:1101:9081:85097/1,C1E2NACXX130117:3:1303:1067:38387/2,C1EF5ACXX130117:6:1114:21418:6244/2,D1JYHACXX130117:8:2105:4751:61679/1,	C1EF5ACXX130117:1:2214:19520:76171,	D1JYHACXX130117:5:1207:5015:82948,
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	11	10	9	90	4	40	1	0	0	100	100	0	0	na	na	GT	AG	85029039	84967554	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	D1JYHACXX130117:8:2209:20932:4525/2,C1EF5ACXX130117:1:1309:13152:40264/1,C1FGVACXX130122:3:2113:18324:45729/1,C1FGVACXX130122:6:1305:18444:78038/1,C1EF5ACXX130117:4:2109:7683:33988/2,C1E2NACXX130117:5:2314:17027:64673/1,C1E2NACXX130117:1:1102:6774:80219/1,C1DVPACXX130111:2:1112:17392:60998/2,C1FGVACXX130122:5:1211:13270:82531/1,C1E2NACXX130117:1:1102:6774:80219/2,	C1E2NACXX130117:1:1306:12916:98280,	na
chr1_225965714_+:chr1_226026355_+	readthrough	0	na	11	10	7	70	9	90	1	0	0	100	100	0	0	na	na	GT	AG	225965615	226026454	1	1	60641	ENSG00000143742.8	ENSG00000143819.8	SRP9	EPHX1	protein_coding	protein_coding	D1JYHACXX130117:7:2307:6148:77949/1,C1EF5ACXX130117:7:1105:6655:4703/1,C1EF5ACXX130117:4:2110:4745:18431/1,C1E2NACXX130117:4:2309:7571:25929/1,C1FGVACXX130122:8:2115:15513:15332/2,C1E2NACXX130117:5:1303:19339:6213/1,D1JYHACXX130117:6:2112:14288:53054/2,D1JYHACXX130117:2:2213:7093:88466/2,D1JYHACXX130117:3:1102:8529:60226/2,C1DVPACXX130111:4:2316:2723:38857/1,	C1FGVACXX130122:7:2311:9149:54198,	na
chr1_156219360_-:chr1_156216547_-	readthrough	0	na	16	12	10	83.3333	2	16.6667	4	0	0	100	100	345	0	na	na	GT	AG	156219459	156216485	1	1	2813	ENSG00000198952.7	ENSG00000160781.11	SMG5	PAQR6	protein_coding	protein_coding	D1JYHACXX130117:3:2213:13988:79192/1,D1JYHACXX130117:8:1314:3906:52976/1,C1EF5ACXX130117:1:1214:3088:42109/1,C1E2NACXX130117:7:2305:3767:79942/1,D1JYHACXX130117:6:1307:17750:70186/1,C1EF5ACXX130117:4:1315:15250:29394/2,C1FGVACXX130122:8:2115:4318:43129/1,C1FGVACXX130122:6:2112:16393:29870/2,C1E5MACXX130111:4:1303:18621:37594/1,C1DVPACXX130111:3:1312:10417:94693/2,C1EF5ACXX130117:4:1315:15250:29394/1,D1JYHACXX130117:6:2113:5911:57718/1,	C1FGVACXX130122:1:2110:19769:25189,C1E2NACXX130117:7:1313:7608:23173,C1E2NACXX130117:4:2205:10369:19127,D1JYHACXX130117:2:2103:4987:3584,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	11	10	8	80	5	50	1	0	0	100	100	0	0	na	na	GT	AG	10269184	10282079	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	C1DVPACXX130111:4:2312:12696:94994/1,C1DVPACXX130111:4:2312:12696:94994/1,C1E5MACXX130111:5:2111:16259:90511/2,C1FGVACXX130122:2:1311:10791:88189/1,C1E5MACXX130111:5:2111:16259:90511/1,C1FGVACXX130122:2:2305:4652:12620/2,C1EF5ACXX130117:4:2211:20435:95537/2,C1FGVACXX130122:6:2111:7510:26637/2,D1JYHACXX130117:5:1103:12290:13318/2,C1DVPACXX130111:4:2312:12696:94994/2,	C1DVPACXX130111:3:2212:19616:51382,	na
