"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","RLF:MYCL","chr1",40627308,"chr1",40367115,260.191,"111",428,TRUE,TRUE,TRUE,"Locus_6_Transcript_539/3610_Confidence_0.002_Length_3972",3658,"HighConfidence","-"
"jaffa-direct","RLF:MYCL","chr1",40627308,"chr1",40363642,263.665,"86",283,FALSE,TRUE,TRUE,"Locus_6_Transcript_3401/3610_Confidence_0.018_Length_14461",14165,"HighConfidence","-"
"jaffa-direct","RP11-123O10.4:GRIP1","chr12",67462830,"chr12",66990707,472.126,"2",19,FALSE,TRUE,FALSE,"Locus_9148_Transcript_4/11_Confidence_0.333_Length_5092",4866,"HighConfidence","-"
"jaffa-direct","TYMS:FAM171A2","chr18",662320,"chr17",42437500,Inf,"-",11,TRUE,TRUE,TRUE,"Locus_1404_Transcript_52/69_Confidence_0.031_Length_1389",189,"MediumConfidence","-"
"jaffa-direct","NFIX:NOL12","chr19",13192669,"chr22",38083917,Inf,"0",5,FALSE,TRUE,TRUE,"Locus_1647_Transcript_62/71_Confidence_0.032_Length_1999",767,"MediumConfidence","-"
"jaffa-direct","ZFP69B:RP5-864K19.4","chr1",40923111,"chr1",39379212,1543.896,"-",3,FALSE,TRUE,TRUE,"Locus_6_Transcript_2002/3610_Confidence_0.001_Length_931",842,"MediumConfidence","-"
"jaffa-direct","PDE4DIP:RP11-353N4.1","chr1",144952201,"chr1",149590973,4638.769,"-",3,FALSE,TRUE,TRUE,"Locus_404_Transcript_43/202_Confidence_0.001_Length_319",97,"MediumConfidence","-"
"jaffa-direct","UBE2E3:GULP1","chr2",181848820,"chr2",189342386,7493.572,"0",1,FALSE,TRUE,FALSE,"Locus_1883_Transcript_13/14_Confidence_0.056_Length_754",490,"MediumConfidence","-"
"jaffa-direct","EEF1G:WDR81","chr11",62339103,"chr17",1631852,Inf,"210",63,NA,FALSE,TRUE,"Locus_684_Transcript_14/40_Confidence_0.143_Length_3159",1773,"LowConfidence","-"
"jaffa-direct","TMEM70:RPS20","chr8",74894534,"chr8",56986711,17907.823,"19",246,NA,FALSE,TRUE,"Locus_1132_Transcript_6/37_Confidence_0.309_Length_3047",1245,"LowConfidence","-"
"jaffa-direct","PRMT1:PRMT8","chr19",50188065,"chr12",3677931,Inf,"1",109,NA,FALSE,TRUE,"Locus_806_Transcript_58/63_Confidence_0.130_Length_2012",727,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387760,"chr10",51732772,345.012,"7",32,NA,FALSE,FALSE,"Locus_2935_Transcript_49/70_Confidence_0.130_Length_992",614,"LowConfidence","-"
"jaffa-direct","RP11-626H12.1:QSOX2","chr11",69847910,"chr9",139099247,Inf,"20",8,NA,FALSE,TRUE,"Locus_5806_Transcript_9/16_Confidence_0.360_Length_2035",1059,"LowConfidence","-"
"jaffa-direct","RBPJ:SLC29A2","chr4",26432826,"chr11",66130487,Inf,"19",5,NA,FALSE,TRUE,"Locus_9347_Transcript_19/26_Confidence_0.652_Length_3217",749,"LowConfidence","-"
"jaffa-direct","ATP9A:SIK1","chr20",50217370,"chr21",44836335,Inf,"9",3,NA,FALSE,TRUE,"Locus_3639_Transcript_14/24_Confidence_0.304_Length_7801",3564,"LowConfidence","-"
"jaffa-direct","METTL2B:TCF4","chr7",128116850,"chr18",52896310,Inf,"1",11,NA,FALSE,TRUE,"Locus_1488_Transcript_103/131_Confidence_0.120_Length_7046",989,"LowConfidence","-"
"jaffa-direct","MBNL1:MBOAT2","chr3",152067576,"chr2",8996465,Inf,"4",5,NA,FALSE,TRUE,"Locus_12433_Transcript_2/6_Confidence_0.460_Length_3923",3654,"LowConfidence","-"
"jaffa-direct","SAYSD1:HNRNPC","chr6",39082763,"chr14",21698526,Inf,"1",4,NA,FALSE,TRUE,"Locus_2139_Transcript_206/215_Confidence_0.042_Length_7224",4280,"LowConfidence","-"
"jaffa-direct","WDR3:MBOAT2","chr1",118502777,"chr2",8996465,Inf,"2",2,NA,FALSE,TRUE,"Locus_12433_Transcript_5/6_Confidence_0.393_Length_3975",3654,"LowConfidence","-"
