juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr14_45433670_+:chr14_45628299_+	intrachromosomal	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	45433606	45628398	1	1	194629	ENSG00000198718.8	ENSG00000187790.6	FAM179B	FANCM	protein_coding	protein_coding	C1E2NACXX130117:4:1210:18517:21722/1,C1E5MACXX130111:7:1312:18054:23566/1,	C1EF5ACXX130117:3:1314:11223:7852,	na
chr17_44171926_-:chr17_44648235_-	inverted	0	na	11	10	9	90	10	100	1	0	0	100	100	0	0	na	na	GT	AG	44172007	44648160	1	0	na	ENSG00000120071.8	ENSG00000185829.11	KANSL1	ARL17A	protein_coding	protein_coding	D1JYHACXX130117:3:2306:16957:37589/1,D1JYHACXX130117:4:2112:10493:36225/1,C1EF5ACXX130117:2:1303:6561:84676/1,C1FGVACXX130122:1:2106:6176:91708/2,C1DVPACXX130111:2:1211:1902:24259/1,C1FGVACXX130122:6:2104:6073:54678/1,C1EF5ACXX130117:7:2216:11872:75438/1,C1EF5ACXX130117:5:1108:3057:78671/1,C1EF5ACXX130117:7:2216:11872:75438/2,C1EF5ACXX130117:1:1108:19535:26057/2,	C1E2NACXX130117:1:1315:16091:87790,	na
chr7_33020165_+:chr7_33185854_+	intrachromosomal	0	na	7	4	4	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	33020090	33185906	1	1	165689	ENSG00000122642.6	ENSG00000122507.16	FKBP9	BBS9	protein_coding	protein_coding	C1DVPACXX130111:4:1114:17164:69703/2,C1DVPACXX130111:3:2114:11588:27947/2,C1DVPACXX130111:4:1114:17164:69703/1,C1E5MACXX130111:5:2102:19389:16772/1,	C1E5MACXX130111:7:1302:21043:76159,C1EF5ACXX130117:3:2202:19064:46476,C1FGVACXX130122:3:2202:10620:23916,	na
chr11_47574544_-:chr11_47616107_-	inverted	0	na	38	35	27	77.1429	0	0	3	6	66.6667	100	100	0	104	na	na	GT	AG	47574622	47616032	1	0	na	ENSG00000149187.13	ENSG00000172247.3	CELF1	C1QTNF4	protein_coding	protein_coding	D1JYHACXX130117:4:2107:9679:49651/2,C1EF5ACXX130117:1:2114:19412:39652/2,C1E2NACXX130117:5:1304:16648:28112/1,C1EF5ACXX130117:8:1302:18695:49670/2,C1EF5ACXX130117:4:1214:7391:43675/1,D1JYHACXX130117:2:2115:7808:22951/1,C1DVPACXX130111:4:2302:7274:80276/2,C1EF5ACXX130117:4:1214:7391:43675/2,C1EF5ACXX130117:5:2305:17063:43695/1,C1E2NACXX130117:7:2206:17875:79932/1,C1E2NACXX130117:3:2110:9933:18838/2,C1DVPACXX130111:3:1214:19372:14003/2,C1E2NACXX130117:7:1106:17386:81230/2,D1JYHACXX130117:8:2110:19274:6476/1,C1FGVACXX130122:5:2315:19977:25674/1,C1E2NACXX130117:4:1306:8051:95301/2,D1JYHACXX130117:6:2315:3490:5674/2,C1E2NACXX130117:2:1212:19410:47554/2,C1EF5ACXX130117:1:2112:17035:32095/1,C1FGVACXX130122:8:2116:5301:64992/2,C1EF5ACXX130117:6:2114:12879:45954/2,C1E2NACXX130117:8:1203:2329:86879/2,C1FGVACXX130122:8:2302:3233:97509/1,C1EF5ACXX130117:4:1205:4064:45707/1,C1E2NACXX130117:4:1201:16157:76326/2,C1E2NACXX130117:6:2113:16177:92576/2,C1EF5ACXX130117:8:2301:13057:46749/1,C1FGVACXX130122:6:1202:7187:51078/2,C1E2NACXX130117:3:2204:1325:41168/2,C1E2NACXX130117:7:1106:17386:81230/1,C1E5MACXX130111:7:1212:3461:61656/1,C1FGVACXX130122:5:2312:7187:79107/1,C1EF5ACXX130117:6:2306:12958:91600/1,C1EF5ACXX130117:6:2114:12879:45954/1,D1JYHACXX130117:3:2116:20128:54448/2,	C1E2NACXX130117:4:2115:1558:5289,C1E2NACXX130117:6:1205:7245:66960,C1DVPACXX130111:3:1312:9720:83626,	C1E2NACXX130117:4:2312:19224:20621,C1E5MACXX130111:7:1111:16244:21801,C1FGVACXX130122:1:1312:11823:78932,D1JYHACXX130117:6:2201:2686:16387,C1E2NACXX130117:5:2101:5860:100473,C1EF5ACXX130117:4:2112:20733:96306,
chr5_118604602_+:chr5_118573017_+	inverted	0	na	4	2	2	100	0	0	2	2	50	100	100	0	0	na	na	GT	AG	118604538	118573094	1	0	na	ENSG00000145779.7	ENSG00000172869.10	TNFAIP8	DMXL1	protein_coding	protein_coding	D1JYHACXX130117:7:1105:7567:18979/1,C1EF5ACXX130117:2:2216:5138:59861/2,	C1DVPACXX130111:3:1101:6345:3802,C1EF5ACXX130117:2:2308:12350:36285,	C1E2NACXX130117:1:2109:17809:37946,C1E2NACXX130117:3:1204:18474:39377,
chr22_24953768_+:chr22_24921679_+	inverted	0	na	5	3	3	100	3	100	2	3	60	100	100	0	0	na	na	GT	AG	24953717	24921753	1	0	na	ENSG00000100028.7	ENSG00000100024.10	SNRPD3	UPB1	protein_coding	protein_coding	C1FGVACXX130122:8:1207:11930:36193/1,C1E5MACXX130111:8:1316:1355:52621/2,C1E5MACXX130111:8:1316:1355:52621/1,	D1JYHACXX130117:4:1315:10642:17348,D1JYHACXX130117:1:2305:3496:32974,	C1E2NACXX130117:7:1107:11696:24458,C1E2NACXX130117:4:2304:15179:43040,C1EF5ACXX130117:1:2109:9202:84576,
chr9_131329256_+:chr9_131295792_+	inverted	0	na	15	6	6	100	0	0	9	1	10	100	100	0	0	na	na	GT	AG	131329185	131295844	1	0	na	ENSG00000197694.9	ENSG00000119392.10	SPTAN1	GLE1	protein_coding	protein_coding	C1EF5ACXX130117:2:1115:7940:42894/2,D1JYHACXX130117:4:1101:7179:27127/1,D1JYHACXX130117:6:1102:1770:96580/2,C1DVPACXX130111:4:2102:18385:94319/2,C1E5MACXX130111:8:2116:14304:79091/1,C1DVPACXX130111:2:2113:7508:20843/1,	C1EF5ACXX130117:6:1203:6618:89655,D1JYHACXX130117:4:1204:4648:54417,C1EF5ACXX130117:5:1202:4479:78867,C1FGVACXX130122:8:1209:19308:37502,D1JYHACXX130117:8:1213:8827:83686,C1E2NACXX130117:6:1309:19485:16891,C1DVPACXX130111:2:1114:16464:62351,C1EF5ACXX130117:2:2312:2606:83188,C1EF5ACXX130117:2:2315:5906:41040,	C1FGVACXX130122:1:2109:20801:32428,
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	9	8	4	50	6	75	1	0	0	100	100	0	0	na	na	GT	AG	85029023	84967556	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C1FGVACXX130122:1:2109:10830:98810/2,D1JYHACXX130117:2:1209:2808:60496/2,C1FGVACXX130122:7:1214:21074:63962/1,C1FGVACXX130122:6:2203:6137:21103/1,C1FGVACXX130122:4:1302:2719:80765/2,C1DVPACXX130111:2:1205:9797:38264/2,C1FGVACXX130122:5:2107:2604:70313/2,C1E2NACXX130117:4:1103:18239:19464/2,	D1JYHACXX130117:5:2302:19948:75350,	na
chr1_225971070_+:chr1_226016426_+	readthrough	0	na	5	4	3	75	3	75	1	0	0	100	100	0	0	na	na	GT	AG	225971045	226016525	1	1	45356	ENSG00000143742.8	ENSG00000143819.8	SRP9	EPHX1	protein_coding	protein_coding	D1JYHACXX130117:4:2302:17567:15664/1,D1JYHACXX130117:8:1301:9559:60420/2,C1FGVACXX130122:8:1204:7975:3437/2,C1E2NACXX130117:4:1210:16809:31083/2,	C1EF5ACXX130117:5:2115:10591:53255,	na
chr17_8079518_-:chr17_8065687_-	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	8079617	8065602	1	1	13831	ENSG00000179029.10	ENSG00000263620.1,ENSG00000220205.4	TMEM107	RP11-599B13.6,VAMP2	protein_coding	protein_coding,protein_coding	D1JYHACXX130117:3:1203:18436:11309/2,C1FGVACXX130122:7:1206:5515:7687/1,	D1JYHACXX130117:4:1303:15243:91103,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	82	74	45	60.8108	31	41.8919	8	0	0	100	100	0	177	na	na	GT	AG	51387667	51732871	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C1FGVACXX130122:5:1213:11276:20034/2,D1JYHACXX130117:4:2315:13902:94908/1,C1FGVACXX130122:3:1108:13720:64298/2,C1EF5ACXX130117:3:1212:13581:75050/2,C1E2NACXX130117:4:1101:10123:98294/1,C1EF5ACXX130117:3:2311:10605:10440/2,D1JYHACXX130117:4:2315:13902:94908/2,C1FGVACXX130122:3:2109:15292:32022/2,C1EF5ACXX130117:6:2210:6871:25303/1,D1JYHACXX130117:3:2112:12570:35120/2,D1JYHACXX130117:6:2208:9492:61306/1,D1JYHACXX130117:4:1315:16472:93350/2,C1FGVACXX130122:6:1215:21137:6468/1,C1FGVACXX130122:4:2201:3726:82491/2,C1EF5ACXX130117:2:2214:11292:62515/2,D1JYHACXX130117:7:1302:10499:17303/1,C1FGVACXX130122:8:1203:2624:11815/2,C1EF5ACXX130117:7:2308:14365:34189/1,C1EF5ACXX130117:3:1212:13581:75050/1,D1JYHACXX130117:6:2207:18730:20073/2,D1JYHACXX130117:4:1315:16472:93350/1,C1E2NACXX130117:1:1308:16124:83911/1,C1EF5ACXX130117:6:1108:8842:20013/2,C1EF5ACXX130117:3:2105:5459:46248/1,C1EF5ACXX130117:8:1307:6194:10358/2,D1JYHACXX130117:3:2115:9019:65541/1,C1EF5ACXX130117:5:1115:7781:58100/1,C1FGVACXX130122:4:2108:13927:37671/1,C1FGVACXX130122:2:2101:12416:71732/1,C1E2NACXX130117:7:1315:20137:27909/1,D1JYHACXX130117:3:1216:11987:46871/2,C1EF5ACXX130117:4:1215:4645:90834/1,C1EF5ACXX130117:1:1201:10891:77337/2,C1FGVACXX130122:8:1203:2624:11815/1,C1FGVACXX130122:1:1207:18405:34713/1,C1EF5ACXX130117:4:1113:11837:29228/2,D1JYHACXX130117:3:1109:10675:53587/2,C1EF5ACXX130117:7:2308:14365:34189/2,C1DVPACXX130111:3:1103:19322:66682/1,C1DVPACXX130111:3:1103:19322:66682/1,C1DVPACXX130111:3:1103:19322:66682/1,C1FGVACXX130122:2:2204:19827:40738/2,C1E5MACXX130111:8:2106:10110:50274/1,C1E2NACXX130117:6:1306:1487:87460/2,C1FGVACXX130122:3:2109:15292:32022/1,C1EF5ACXX130117:8:1213:17041:32334/2,C1EF5ACXX130117:6:2210:6871:25303/2,D1JYHACXX130117:6:2208:9492:61306/2,C1E5MACXX130111:8:2106:10110:50274/2,C1DVPACXX130111:2:1314:14810:47800/1,C1FGVACXX130122:1:2313:4153:78413/1,D1JYHACXX130117:7:2208:16455:61069/1,C1E2NACXX130117:3:1116:13699:31560/2,C1DVPACXX130111:4:1114:17781:34697/2,C1E5MACXX130111:5:1301:8536:38959/1,C1E2NACXX130117:7:1205:2411:87461/1,C1DVPACXX130111:4:2116:19319:23695/2,C1E2NACXX130117:4:2204:12941:32643/1,C1FGVACXX130122:1:2203:18801:84903/2,C1FGVACXX130122:4:2201:3726:82491/1,D1JYHACXX130117:4:2110:18945:96832/1,C1FGVACXX130122:6:1307:12079:82855/2,C1FGVACXX130122:5:1106:6209:18194/2,C1EF5ACXX130117:3:1202:12057:82416/1,C1E2NACXX130117:3:2215:11794:55326/1,C1E2NACXX130117:1:2215:8574:30942/2,C1EF5ACXX130117:7:2103:16019:59007/2,D1JYHACXX130117:3:2112:12570:35120/1,D1JYHACXX130117:5:2213:10575:35767/1,C1DVPACXX130111:2:1204:3190:96242/2,C1E5MACXX130111:4:1312:19338:8002/2,C1E5MACXX130111:8:2305:2096:98302/2,C1E5MACXX130111:8:2305:2096:98302/2,C1E5MACXX130111:8:2305:2096:98302/2,	C1EF5ACXX130117:8:1114:14309:91658,C1FGVACXX130122:1:1212:19325:14774,C1FGVACXX130122:2:1106:13151:81471,C1EF5ACXX130117:3:2316:2632:42541,C1FGVACXX130122:4:2112:7643:51556,C1EF5ACXX130117:1:1209:10128:95368,C1EF5ACXX130117:6:2309:7056:87801,D1JYHACXX130117:1:1101:2322:16980,	na
