#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
102266	6	41703088	[41703087,41703247]	6	42196407	[42196223,42196410]	2744	145	TFEB	TRERF1	intra-chromosomal
102273	6	41703884	[41703884,41704004]	6	42196407	[42196077,42196408]	851	8	TFEB	TRERF1	intra-chromosomal
109150	7	116593745	[116593550,116593746]	7	138456009	[138455876,138456011]	396	54	ST7;ST7-AS1	ATP6V0A4	intra-chromosomal
102260	6	41700387	[41700387,41700783]	6	42196407	[42195951,42196412]	216	50	TFEB	TRERF1	intra-chromosomal
109151	7	116593745	[116593551,116593745]	7	138471005	[138470903,138471007]	85	4	ST7;ST7-AS1	ATP6V0A4	intra-chromosomal
54195	16	15200849	[15200849,15201004]	16	30251532	[30251527,30251532]	1	24	RP11-72I8.1	RP11-347C12.1	intra-chromosomal
116686	9	71736642	[71736564,71736642]	9	71766566	[71766565,71766657]	34	0	RP11-265B8.4	TJP2	readthrough-intersecting
87563	22	25566787	[25566787,25566879]	22	25508429	[25508346,25508430]	24	0	KIAA1671	CTA-221G9.11	readthrough-intersecting
109158	7	138490784	[138490442,138490792]	7	116595207	[116595065,116595207]	12	4	TMEM213	ST7-OT4	intra-chromosomal
75071	2	19203592	[19203590,19203712]	7	138281275	[138281188,138281277]	17	1	AC092594.1	SVOPL	inter-chromosomal
84250	20	19780391	[19780301,19780392]	20	19870210	[19870209,19870301]	19	0	RP1-122P22.2	RIN2	intra-chromosomal
102406	6	41874752	[41874752,41874840]	6	41839375	[41839311,41839377]	17	0	MED20	USP49	readthrough-adjacent
102405	6	41874511	[41874511,41874600]	6	41839375	[41839303,41839377]	10	0	MED20	USP49	readthrough-adjacent
102410	7	116254649	[116254649,116254720]	6	41839375	[41839307,41839378]	9	0	AC006159.3	USP49	inter-chromosomal
112754	9	35756859	[35756776,35756859]	9	35786644	[35786642,35786723]	9	0	RGP1;RP11-112J3.15	RP11-112J3.16	readthrough-adjacent
68181	18	74534618	[74534525,74534625]	18	10979658	[10979533,10979659]	7	1	ZNF236	PIEZO2	intra-chromosomal
102557	6	42176596	[42176595,42176676]	6	42156469	[42156379,42156471]	8	0	MRPS10	GUCA1B	readthrough-adjacent
68258	18	14124475	[14124420,14124475]	4	124555	[124462,124556]	8	0	ZNF519	Z95704.5;ZNF718	inter-chromosomal
15396	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356415]	7	0	C1orf95	MUM1	inter-chromosomal
64774	17	40828805	[40828805,40828864]	6	41755428	[41755426,41755524]	7	0	PLEKHH3	PRICKLE4;TOMM6	inter-chromosomal
112791	9	37126939	[37126851,37126940]	9	37160059	[37160059,37160146]	6	0	ZCCHC7	Y_RNA	readthrough-intersecting
58769	16	29818898	[29818895,29818957]	19	50000852	[50000760,50000853]	5	0	AC009133.15;MAZ	RPS11	inter-chromosomal
43053	14	55817099	[55817097,55817175]	14	55738703	[55738629,55738703]	5	0	FBXO34	RP11-665C16.6	readthrough-intersecting
88373	22	42262835	[42262834,42262926]	22	42230030	[42229964,42230031]	4	0	SREBF2	RP5-821D11.7	readthrough-intersecting
