juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr12_6457893_-:chr12_6443410_-	readthrough	0	na	61	58	42	72.4138	22	37.931	3	6	66.6667	96.2025	100	0	0	na	na	GT	AG	6457971	6443313	1	1	14483	ENSG00000111319.8	ENSG00000067182.3	SCNN1A	TNFRSF1A	protein_coding	protein_coding	DGTKZQN1:313:C1DGWACXX:7:1207:19894:97315/2,DGTKZQN1:313:C1DGWACXX:7:2105:15183:89244/1,DGTKZQN1:313:C1DGWACXX:7:2316:9769:93700/1,DGTKZQN1:313:C1DGWACXX:7:1309:12970:25069/1,DGTKZQN1:313:C1DGWACXX:7:1309:12970:25069/1,DGTKZQN1:313:C1DGWACXX:7:1309:12970:25069/1,DGTKZQN1:313:C1DGWACXX:7:2106:17513:55977/1,DGTKZQN1:313:C1DGWACXX:7:1308:11458:92471/2,DGTKZQN1:313:C1DGWACXX:7:1312:13869:79745/1,DGTKZQN1:313:C1DGWACXX:7:1202:12365:34148/1,DGTKZQN1:313:C1DGWACXX:7:1315:7427:85014/2,DGTKZQN1:313:C1DGWACXX:7:1315:7427:85014/2,DGTKZQN1:313:C1DGWACXX:7:2214:19630:82216/1,DGTKZQN1:313:C1DGWACXX:7:2108:19177:25901/2,DGTKZQN1:313:C1DGWACXX:7:1206:6662:100432/1,DGTKZQN1:313:C1DGWACXX:7:1208:13305:24705/1,DGTKZQN1:313:C1DGWACXX:7:2303:4684:71397/2,DGTKZQN1:313:C1DGWACXX:7:2313:7775:48759/1,DGTKZQN1:313:C1DGWACXX:7:2115:8022:48925/1,DGTKZQN1:313:C1DGWACXX:7:2107:17311:61654/2,DGTKZQN1:313:C1DGWACXX:7:1214:16401:10538/1,DGTKZQN1:313:C1DGWACXX:7:2113:4991:61653/2,DGTKZQN1:313:C1DGWACXX:7:2306:15587:48272/1,DGTKZQN1:313:C1DGWACXX:7:1115:1917:50610/2,DGTKZQN1:313:C1DGWACXX:7:1108:19620:29341/1,DGTKZQN1:313:C1DGWACXX:7:2205:16682:51104/2,DGTKZQN1:313:C1DGWACXX:7:2204:11329:84915/1,DGTKZQN1:313:C1DGWACXX:7:2204:14188:9069/2,DGTKZQN1:313:C1DGWACXX:7:1310:14427:91520/2,DGTKZQN1:313:C1DGWACXX:7:2316:3812:58745/2,DGTKZQN1:313:C1DGWACXX:7:2316:3812:58745/2,DGTKZQN1:313:C1DGWACXX:7:1102:13572:73271/1,DGTKZQN1:313:C1DGWACXX:7:2306:18476:23414/1,DGTKZQN1:313:C1DGWACXX:7:2313:10205:60815/2,DGTKZQN1:313:C1DGWACXX:7:1202:4673:14508/2,DGTKZQN1:313:C1DGWACXX:7:2308:13779:25539/2,DGTKZQN1:313:C1DGWACXX:7:2212:16759:61890/2,DGTKZQN1:313:C1DGWACXX:7:2212:16759:61890/2,DGTKZQN1:313:C1DGWACXX:7:1116:15822:50001/1,DGTKZQN1:313:C1DGWACXX:7:2301:11453:77121/1,DGTKZQN1:313:C1DGWACXX:7:2301:11453:77121/1,DGTKZQN1:313:C1DGWACXX:7:2301:11453:77121/1,DGTKZQN1:313:C1DGWACXX:7:2301:11453:77121/1,DGTKZQN1:313:C1DGWACXX:7:1102:13572:73271/2,DGTKZQN1:313:C1DGWACXX:7:1102:13572:73271/2,DGTKZQN1:313:C1DGWACXX:7:1207:12749:75486/1,DGTKZQN1:313:C1DGWACXX:7:2310:8865:17409/1,DGTKZQN1:313:C1DGWACXX:7:2214:9096:80453/2,DGTKZQN1:313:C1DGWACXX:7:1208:13305:24705/2,DGTKZQN1:313:C1DGWACXX:7:2102:10706:100328/1,DGTKZQN1:313:C1DGWACXX:7:1116:3409:44561/1,DGTKZQN1:313:C1DGWACXX:7:1106:11823:26502/2,DGTKZQN1:313:C1DGWACXX:7:2216:7023:85782/1,DGTKZQN1:313:C1DGWACXX:7:1204:19181:46294/1,DGTKZQN1:313:C1DGWACXX:7:2113:4991:61653/1,DGTKZQN1:313:C1DGWACXX:7:2107:12932:27994/2,DGTKZQN1:313:C1DGWACXX:7:1213:20428:73764/1,DGTKZQN1:313:C1DGWACXX:7:1109:14509:31344/1,	DGTKZQN1:313:C1DGWACXX:7:1314:10342:74579,DGTKZQN1:313:C1DGWACXX:7:1108:20557:48564,DGTKZQN1:313:C1DGWACXX:7:1301:6798:22373,	DGTKZQN1:313:C1DGWACXX:7:1205:12591:35040,DGTKZQN1:313:C1DGWACXX:7:2214:18830:90399,DGTKZQN1:313:C1DGWACXX:7:2214:18769:20428,DGTKZQN1:313:C1DGWACXX:7:1315:6959:32794,DGTKZQN1:313:C1DGWACXX:7:1208:1244:97483,DGTKZQN1:313:C1DGWACXX:7:1203:8728:19013,
chr12_6457237_-:chr12_6443410_-	readthrough	0	na	43	34	26	76.4706	11	32.3529	9	0	0	100	100	387	0	na	na	GT	AG	6457319	6443313	1	1	13827	ENSG00000111319.8	ENSG00000067182.3	SCNN1A	TNFRSF1A	protein_coding	protein_coding	DGTKZQN1:313:C1DGWACXX:7:1214:8036:88943/2,DGTKZQN1:313:C1DGWACXX:7:1214:8036:88943/2,DGTKZQN1:313:C1DGWACXX:7:2303:10347:31333/2,DGTKZQN1:313:C1DGWACXX:7:2202:5479:87202/2,DGTKZQN1:313:C1DGWACXX:7:2115:12304:94815/2,DGTKZQN1:313:C1DGWACXX:7:2115:12304:94815/2,DGTKZQN1:313:C1DGWACXX:7:2308:11561:39413/1,DGTKZQN1:313:C1DGWACXX:7:1104:9405:55251/1,DGTKZQN1:313:C1DGWACXX:7:1315:10939:55255/2,DGTKZQN1:313:C1DGWACXX:7:1315:10939:55255/2,DGTKZQN1:313:C1DGWACXX:7:1212:7416:15468/2,DGTKZQN1:313:C1DGWACXX:7:1108:19620:29341/1,DGTKZQN1:313:C1DGWACXX:7:1110:19769:2027/2,DGTKZQN1:313:C1DGWACXX:7:1111:20103:71971/1,DGTKZQN1:313:C1DGWACXX:7:2302:15327:20221/2,DGTKZQN1:313:C1DGWACXX:7:2208:13327:29477/2,DGTKZQN1:313:C1DGWACXX:7:2116:18547:61973/2,DGTKZQN1:313:C1DGWACXX:7:2313:9698:15565/2,DGTKZQN1:313:C1DGWACXX:7:2208:13327:29477/1,DGTKZQN1:313:C1DGWACXX:7:2105:18657:42763/1,DGTKZQN1:313:C1DGWACXX:7:1311:7207:52364/1,DGTKZQN1:313:C1DGWACXX:7:1212:10301:93755/2,DGTKZQN1:313:C1DGWACXX:7:1204:10083:38625/1,DGTKZQN1:313:C1DGWACXX:7:1307:8761:18271/1,DGTKZQN1:313:C1DGWACXX:7:2312:18857:40045/2,DGTKZQN1:313:C1DGWACXX:7:2313:9794:43376/2,DGTKZQN1:313:C1DGWACXX:7:1207:15297:97469/1,DGTKZQN1:313:C1DGWACXX:7:2307:14645:73680/2,DGTKZQN1:313:C1DGWACXX:7:2303:10347:31333/1,DGTKZQN1:313:C1DGWACXX:7:2206:3724:63522/1,DGTKZQN1:313:C1DGWACXX:7:1204:10083:38625/2,DGTKZQN1:313:C1DGWACXX:7:2201:7210:62391/1,DGTKZQN1:313:C1DGWACXX:7:1307:8761:18271/2,DGTKZQN1:313:C1DGWACXX:7:2207:1292:55480/1,	DGTKZQN1:313:C1DGWACXX:7:1314:10342:74579,DGTKZQN1:313:C1DGWACXX:7:1205:12591:35040,DGTKZQN1:313:C1DGWACXX:7:2214:18830:90399,DGTKZQN1:313:C1DGWACXX:7:1108:20557:48564,DGTKZQN1:313:C1DGWACXX:7:2214:18769:20428,DGTKZQN1:313:C1DGWACXX:7:1301:6798:22373,DGTKZQN1:313:C1DGWACXX:7:1315:6959:32794,DGTKZQN1:313:C1DGWACXX:7:1208:1244:97483,DGTKZQN1:313:C1DGWACXX:7:1203:8728:19013,	na
chr19_58499575_-:chr19_58485571_-	readthrough	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	58499654	58485489	1	1	14004	ENSG00000166704.7	ENSG00000177025.3	ZNF606	C19orf18	protein_coding	protein_coding	DGTKZQN1:313:C1DGWACXX:7:2311:20863:41286/2,DGTKZQN1:313:C1DGWACXX:7:1203:6472:66917/2,DGTKZQN1:313:C1DGWACXX:7:2311:20863:41286/1,	DGTKZQN1:313:C1DGWACXX:7:2315:8460:50777,	na
chr6_42176596_-:chr6_42156469_-	readthrough	0	na	19	17	15	88.2353	4	23.5294	2	0	0	92.7835	100	0	0	na	na	GT	AG	42176692	42156392	1	1	20127	ENSG00000048544.5	ENSG00000112599.8	MRPS10	GUCA1B	protein_coding	protein_coding	DGTKZQN1:313:C1DGWACXX:7:1313:12567:9226/1,DGTKZQN1:313:C1DGWACXX:7:2316:19317:48187/2,DGTKZQN1:313:C1DGWACXX:7:2112:6430:87258/2,DGTKZQN1:313:C1DGWACXX:7:1114:17976:3107/1,DGTKZQN1:313:C1DGWACXX:7:1114:17976:3107/2,DGTKZQN1:313:C1DGWACXX:7:1114:17976:3107/2,DGTKZQN1:313:C1DGWACXX:7:1114:17976:3107/2,DGTKZQN1:313:C1DGWACXX:7:2201:15858:73917/2,DGTKZQN1:313:C1DGWACXX:7:1313:12567:9226/2,DGTKZQN1:313:C1DGWACXX:7:1115:19980:60746/2,DGTKZQN1:313:C1DGWACXX:7:2110:10819:78786/2,DGTKZQN1:313:C1DGWACXX:7:1313:7676:48411/2,DGTKZQN1:313:C1DGWACXX:7:2110:10819:78786/1,DGTKZQN1:313:C1DGWACXX:7:2315:12663:8725/1,DGTKZQN1:313:C1DGWACXX:7:1310:17681:83872/1,DGTKZQN1:313:C1DGWACXX:7:2314:17501:78125/2,DGTKZQN1:313:C1DGWACXX:7:2112:6430:87258/1,	DGTKZQN1:313:C1DGWACXX:7:2101:2616:69989,DGTKZQN1:313:C1DGWACXX:7:2207:11922:100145,	na
chr10_61665880_-:chr10_43612032_+	interstrand	0	na	51	44	27	61.3636	6	13.6364	7	4	36.3636	100	100	0	0	na	na	GT	AG	61665963	43612109	0	na	na	ENSG00000108091.10	ENSG00000165731.13	CCDC6	RET	protein_coding	protein_coding	DGTKZQN1:313:C1DGWACXX:7:1113:15094:73715/1,DGTKZQN1:313:C1DGWACXX:7:1116:8618:70254/1,DGTKZQN1:313:C1DGWACXX:7:2114:9559:43698/2,DGTKZQN1:313:C1DGWACXX:7:2203:9346:29140/1,DGTKZQN1:313:C1DGWACXX:7:1307:9967:94894/2,DGTKZQN1:313:C1DGWACXX:7:1206:4489:27781/1,DGTKZQN1:313:C1DGWACXX:7:1107:13322:66282/1,DGTKZQN1:313:C1DGWACXX:7:2307:9137:92797/2,DGTKZQN1:313:C1DGWACXX:7:2101:19940:74789/2,DGTKZQN1:313:C1DGWACXX:7:1113:7260:70036/1,DGTKZQN1:313:C1DGWACXX:7:2107:10618:77038/1,DGTKZQN1:313:C1DGWACXX:7:1116:8616:52317/1,DGTKZQN1:313:C1DGWACXX:7:1215:18033:75960/1,DGTKZQN1:313:C1DGWACXX:7:1211:19106:25130/2,DGTKZQN1:313:C1DGWACXX:7:2115:4934:37299/2,DGTKZQN1:313:C1DGWACXX:7:1116:19501:36597/1,DGTKZQN1:313:C1DGWACXX:7:1206:4489:27781/2,DGTKZQN1:313:C1DGWACXX:7:1116:3684:10493/2,DGTKZQN1:313:C1DGWACXX:7:1116:9711:77739/2,DGTKZQN1:313:C1DGWACXX:7:1209:10200:51172/2,DGTKZQN1:313:C1DGWACXX:7:2205:14474:93951/1,DGTKZQN1:313:C1DGWACXX:7:2103:9784:41270/1,DGTKZQN1:313:C1DGWACXX:7:1309:18626:91061/1,DGTKZQN1:313:C1DGWACXX:7:1305:8359:86382/1,DGTKZQN1:313:C1DGWACXX:7:1201:17716:83819/1,DGTKZQN1:313:C1DGWACXX:7:1214:12304:5853/1,DGTKZQN1:313:C1DGWACXX:7:1107:13322:66282/2,DGTKZQN1:313:C1DGWACXX:7:2111:14036:13433/2,DGTKZQN1:313:C1DGWACXX:7:1113:8621:61104/1,DGTKZQN1:313:C1DGWACXX:7:2112:7341:65736/1,DGTKZQN1:313:C1DGWACXX:7:1107:16509:78991/2,DGTKZQN1:313:C1DGWACXX:7:2104:13970:25654/1,DGTKZQN1:313:C1DGWACXX:7:2215:13212:81623/1,DGTKZQN1:313:C1DGWACXX:7:2203:12387:78884/1,DGTKZQN1:313:C1DGWACXX:7:1102:4051:97031/1,DGTKZQN1:313:C1DGWACXX:7:1112:13806:16798/1,DGTKZQN1:313:C1DGWACXX:7:1205:2468:82732/1,DGTKZQN1:313:C1DGWACXX:7:1116:3684:10493/1,DGTKZQN1:313:C1DGWACXX:7:2111:8151:20299/2,DGTKZQN1:313:C1DGWACXX:7:2206:15749:97950/2,DGTKZQN1:313:C1DGWACXX:7:1111:13588:42727/2,DGTKZQN1:313:C1DGWACXX:7:1313:11057:50240/2,DGTKZQN1:313:C1DGWACXX:7:2315:20694:28682/1,DGTKZQN1:313:C1DGWACXX:7:2216:7191:58085/1,	DGTKZQN1:313:C1DGWACXX:7:2109:2276:42948,DGTKZQN1:313:C1DGWACXX:7:2310:17210:49829,DGTKZQN1:313:C1DGWACXX:7:2216:5660:90014,DGTKZQN1:313:C1DGWACXX:7:2302:11994:22728,DGTKZQN1:313:C1DGWACXX:7:1116:5555:91742,DGTKZQN1:313:C1DGWACXX:7:1110:12093:77766,DGTKZQN1:313:C1DGWACXX:7:2209:15255:37314,	DGTKZQN1:313:C1DGWACXX:7:2211:20536:79065,DGTKZQN1:313:C1DGWACXX:7:2204:15309:14167,DGTKZQN1:313:C1DGWACXX:7:1309:13937:44525,DGTKZQN1:313:C1DGWACXX:7:2104:11882:90172,
chr3_145788829_-:chr3_145784472_-	readthrough	0	na	10	9	8	88.8889	3	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	145788926	145784380	1	1	4357	ENSG00000152952.7	ENSG00000240032.1	PLOD2	RP11-274H2.3	protein_coding	antisense	DGTKZQN1:313:C1DGWACXX:7:1315:18584:48873/2,DGTKZQN1:313:C1DGWACXX:7:2215:2681:38165/1,DGTKZQN1:313:C1DGWACXX:7:2215:2681:38165/1,DGTKZQN1:313:C1DGWACXX:7:2312:20917:20959/1,DGTKZQN1:313:C1DGWACXX:7:2113:9657:93952/2,DGTKZQN1:313:C1DGWACXX:7:2312:20917:20959/2,DGTKZQN1:313:C1DGWACXX:7:2113:9657:93952/1,DGTKZQN1:313:C1DGWACXX:7:2107:10600:96622/1,DGTKZQN1:313:C1DGWACXX:7:1105:3776:79650/1,	DGTKZQN1:313:C1DGWACXX:7:2114:3592:61137,	na
chr12_46781755_+:chr12_46965039_+	intrachromosomal	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	46781723	46965105	1	1	183284	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	DGTKZQN1:313:C1DGWACXX:7:1215:11111:31791/1,	DGTKZQN1:313:C1DGWACXX:7:1113:3435:30082,DGTKZQN1:313:C1DGWACXX:7:2201:12990:98917,	na
chr21_41002417_+:chr21_41018319_+	readthrough	0	na	8	7	6	85.7143	0	0	1	0	0	100	100	0	0	na	na	GT	AG	41002346	41018406	1	1	15902	ENSG00000225330.1	ENSG00000183778.13	AF064860.5	B3GALT5	sense_overlapping	protein_coding	DGTKZQN1:313:C1DGWACXX:7:1111:10950:61572/1,DGTKZQN1:313:C1DGWACXX:7:2310:3716:46038/2,DGTKZQN1:313:C1DGWACXX:7:2310:5669:85673/2,DGTKZQN1:313:C1DGWACXX:7:1215:19489:51749/2,DGTKZQN1:313:C1DGWACXX:7:1202:1103:21692/2,DGTKZQN1:313:C1DGWACXX:7:2106:2750:25211/2,DGTKZQN1:313:C1DGWACXX:7:1306:2091:66493/2,	DGTKZQN1:313:C1DGWACXX:7:2216:16572:25929,	na
chr8_95962587_+:chr8_95970223_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	95962520	95970318	1	1	7636	ENSG00000253878.1	ENSG00000156170.8	RP11-347C18.3	NDUFAF6	sense_intronic	protein_coding	DGTKZQN1:313:C1DGWACXX:7:1215:6641:46957/2,DGTKZQN1:313:C1DGWACXX:7:2311:5767:27607/1,	DGTKZQN1:313:C1DGWACXX:7:1103:20189:94183,	na
chr10_135108691_-:chr10_135107273_-	readthrough	0	na	6	5	3	60	5	100	1	1	50	98.9691	100	0	0	na	na	GT	AG	135108787	135107177	1	1	1418	ENSG00000235245.1	ENSG00000130640.9	RP11-122K13.12	TUBGCP2	antisense	protein_coding	DGTKZQN1:313:C1DGWACXX:7:2216:11683:17043/2,DGTKZQN1:313:C1DGWACXX:7:1202:9103:2437/2,DGTKZQN1:313:C1DGWACXX:7:2216:11683:17043/1,DGTKZQN1:313:C1DGWACXX:7:2216:11683:17043/1,DGTKZQN1:313:C1DGWACXX:7:2216:11683:17043/1,	DGTKZQN1:313:C1DGWACXX:7:2307:12509:81045,	DGTKZQN1:313:C1DGWACXX:7:1314:19828:72695,
