juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr7_142494579_+:chr7_142498725_+	readthrough	0	na	97	87	47	54.023	36	41.3793	10	2	16.6667	49.4949	100	0	0	na	na	GT	AG	142494481	142498824	1	1	4146	ENSG00000211767.1	ENSG00000211772.4	TRBJ2-3	TRBC2	TR_J_gene	TR_C_gene	D1JNMACXX121226:4:2216:12042:63185/2,D1ELWACXX121213:6:1315:8670:14605/2,D1ELHACXX121214:6:1113:12342:76161/2,C1EBLACXX121222:2:2306:9524:54262/2,D1JRNACXX121222:6:2204:15545:21800/1,D1JNMACXX121226:1:1211:6428:32335/1,D1ELWACXX121213:6:1205:3222:66867/1,D1ELHACXX121214:3:1116:16725:43989/2,D1ELWACXX121213:1:2316:14944:69766/2,D1ELWACXX121213:6:2216:16477:34798/2,D1ELHACXX121214:6:1204:19027:39778/1,D1JRNACXX121222:4:2112:21095:76181/1,D1ELWACXX121213:3:1114:15496:63206/2,D1JNMACXX121226:8:1308:12386:25609/2,C1EBLACXX121222:7:2314:17560:62850/1,D1JRNACXX121222:7:1104:14521:65558/1,D1ELHACXX121214:8:2316:8477:7993/2,D1ELHACXX121214:6:2307:11032:67099/2,D1ELHACXX121214:1:1306:16032:80646/2,C1EBLACXX121222:7:1310:16894:31727/1,D1JRNACXX121222:7:1312:10468:36001/2,D1ELWACXX121213:8:1210:2378:32451/2,D1ELHACXX121214:1:1212:3866:16905/1,D1ELHACXX121214:3:1112:12674:16325/2,D1JRNACXX121222:6:1307:8362:62683/1,D1JNMACXX121226:3:1304:15156:79305/2,D1ELWACXX121213:8:1213:6776:43327/1,D1ELWACXX121213:8:1213:6776:43327/1,D1ELWACXX121213:8:1213:6776:43327/1,D1ELWACXX121213:8:1213:6776:43327/1,D1ELHACXX121214:1:1105:21241:85009/2,D1JRNACXX121222:4:1316:6773:62045/1,D1JRNACXX121222:3:1214:7197:33068/2,D1ELHACXX121214:7:2316:17059:50597/2,D1ELHACXX121214:3:2216:14949:100499/2,D1ELWACXX121213:6:2110:11272:39332/2,D1JRNACXX121222:2:1216:10189:46934/1,C1EBLACXX121222:7:1105:19759:27086/2,D1JRNACXX121222:7:2204:10938:8080/1,D1ELWACXX121213:4:2111:2995:29600/2,C1EBLACXX121222:2:1316:15894:80721/1,D1JRNACXX121222:7:1209:9546:86922/2,D1JRNACXX121222:1:1104:3809:73693/2,D1ELHACXX121214:1:1113:13897:66206/2,D1ELHACXX121214:1:1113:13897:66206/2,D1JRNACXX121222:8:1310:11000:64605/1,D1JRNACXX121222:7:1312:10468:36001/1,D1JRNACXX121222:7:1312:10468:36001/1,D1JNMACXX121226:1:1316:11486:51902/1,D1ELHACXX121214:1:1306:16032:80646/1,D1ELWACXX121213:6:2104:2917:8872/1,D1JRNACXX121222:7:2115:8315:78701/2,D1ELWACXX121213:7:2303:19008:53049/2,D1ELWACXX121213:6:2105:16184:45795/1,D1JRNACXX121222:2:1205:2141:18291/1,D1JNMACXX121226:7:1304:1906:34254/2,D1ELWACXX121213:2:1203:2804:15350/1,D1ELHACXX121214:7:1105:6859:99286/2,D1JNMACXX121226:4:1206:18584:17372/1,D1JRNACXX121222:3:2306:7039:55566/2,D1JRNACXX121222:3:2306:7039:55566/2,D1ELHACXX121214:5:2113:14053:29785/1,C1EBLACXX121222:4:2105:18265:19363/1,D1JRNACXX121222:3:2306:7039:55566/1,D1ELHACXX121214:1:1113:13897:66206/1,C1EBLACXX121222:4:2309:20523:99608/2,D1JRNACXX121222:2:1310:8381:74829/2,D1ELWACXX121213:8:1213:6776:43327/2,D1ELWACXX121213:5:1106:20221:18592/2,D1ELHACXX121214:7:1304:10260:98042/2,D1ELWACXX121213:7:2210:3094:71846/1,D1ELWACXX121213:2:1113:7702:73934/1,D1JNMACXX121226:3:2311:7975:69242/1,D1ELWACXX121213:1:2110:7694:91697/1,D1ELHACXX121214:6:1209:2918:63086/1,C1EBLACXX121222:2:1207:13291:24671/1,C1EBLACXX121222:1:2204:2311:33411/2,D1JNMACXX121226:8:1208:4178:91345/1,D1ELWACXX121213:5:2310:3349:41365/1,C1EBLACXX121222:2:1215:10980:68242/2,D1JNMACXX121226:6:2105:13519:87343/1,D1ELHACXX121214:8:2108:10004:67885/1,D1JRNACXX121222:6:1304:9007:70667/1,D1JRNACXX121222:3:1306:9489:6024/2,D1JNMACXX121226:2:2204:7578:26532/1,D1ELWACXX121213:2:1203:13585:39416/1,D1ELHACXX121214:7:1306:18635:83467/2,	D1ELHACXX121214:8:1207:13959:61379,D1ELHACXX121214:4:1202:14848:7443,D1JRNACXX121222:1:1112:16997:30227,D1ELWACXX121213:8:2107:9924:87910,D1JRNACXX121222:3:1306:3705:22359,C1EBLACXX121222:8:1116:4610:41701,D1JRNACXX121222:3:1308:6260:64596,D1ELHACXX121214:4:1307:12081:95819,D1ELHACXX121214:6:2114:9866:45924,D1JRNACXX121222:7:2312:14417:18267,	D1JRNACXX121222:8:2109:17462:52661,D1ELHACXX121214:4:2316:1745:96594,
chr10_76871480_+:chr10_76285014_+	inverted	0	na	41	37	23	62.1622	0	0	4	14	77.7778	100	100	0	0	na	na	GT	AG	76871401	76285097	1	0	na	ENSG00000156671.8	ENSG00000156110.9	SAMD8	ADK	protein_coding	protein_coding	D1JNMACXX121226:6:1309:3926:9013/2,D1JRNACXX121222:8:1215:19788:47289/1,D1JNMACXX121226:4:2301:10977:14209/1,D1ELWACXX121213:4:2202:2738:61853/1,D1ELWACXX121213:7:1214:15776:5417/1,D1JRNACXX121222:2:1107:6237:15692/2,D1JRNACXX121222:3:2307:14489:2047/2,D1JNMACXX121226:6:2213:18068:89854/1,D1JNMACXX121226:2:1103:6536:30653/1,C1EBLACXX121222:4:1212:9140:75386/1,D1JNMACXX121226:6:2211:16871:97964/2,D1ELHACXX121214:5:2301:18957:83251/1,D1ELHACXX121214:3:1201:2132:96458/2,D1JNMACXX121226:6:1209:4399:31522/1,D1JRNACXX121222:6:2315:17193:97862/1,D1JRNACXX121222:6:2107:20234:38463/1,C1EBLACXX121222:8:1213:2782:32484/1,D1JRNACXX121222:2:2111:12278:4882/2,C1EBLACXX121222:4:2316:15731:24058/2,D1ELHACXX121214:5:1112:4941:51834/1,D1ELHACXX121214:4:2113:7147:82374/1,D1JRNACXX121222:5:2207:13335:95881/2,D1ELWACXX121213:6:1214:13602:64379/1,C1EBLACXX121222:3:1207:2877:100148/2,C1EBLACXX121222:2:2109:3463:39534/2,D1JRNACXX121222:8:1303:2441:39605/1,C1EBLACXX121222:6:1211:8866:17108/2,D1JRNACXX121222:5:2113:6026:90018/2,D1ELWACXX121213:1:1210:11442:100687/1,D1JRNACXX121222:4:1112:4493:63299/1,C1EBLACXX121222:5:2301:9166:19037/1,D1ELHACXX121214:8:1103:8456:66765/1,D1ELHACXX121214:4:2113:7147:82374/2,D1JRNACXX121222:2:1107:6237:15692/1,D1JRNACXX121222:4:1110:15144:100086/1,C1EBLACXX121222:7:2316:6106:9497/2,D1JRNACXX121222:8:2212:15620:4003/2,	D1JRNACXX121222:3:1306:9077:72380,D1JRNACXX121222:6:2104:16928:11773,D1ELWACXX121213:2:1115:7089:92812,C1EBLACXX121222:3:1115:10864:20738,	D1JNMACXX121226:2:1315:11081:45000,C1EBLACXX121222:3:1109:8488:53087,D1JNMACXX121226:3:1110:16416:18947,D1JNMACXX121226:6:1104:13837:34044,D1ELWACXX121213:4:1204:1934:56434,D1ELWACXX121213:2:1113:4279:45236,C1EBLACXX121222:7:2201:6928:53731,D1JNMACXX121226:7:2113:20084:25939,D1JNMACXX121226:4:1102:21149:71559,D1JNMACXX121226:8:1212:14514:11946,D1ELWACXX121213:5:1314:1978:63246,C1EBLACXX121222:2:2212:19837:10907,D1ELWACXX121213:6:1306:8755:3989,D1JRNACXX121222:4:1303:5550:42217,
chr12_51663029_-:chr12_51493525_-	intrachromosomal	0	na	19	5	5	100	1	20	14	15	51.7241	100	100	0	37	na	na	GT	AG	51663125	51493445	1	1	169504	ENSG00000170545.12	ENSG00000135457.5	SMAGP	TFCP2	protein_coding	protein_coding	D1ELWACXX121213:3:1106:11122:62267/2,D1ELHACXX121214:5:2305:7357:18798/1,D1ELWACXX121213:2:1305:17203:71194/1,C1EBLACXX121222:5:2305:14293:89003/2,D1ELWACXX121213:6:1106:17500:9209/2,	C1EBLACXX121222:8:2116:4972:6682,D1ELHACXX121214:8:2308:17219:2874,D1ELWACXX121213:1:1315:11729:4477,D1ELWACXX121213:8:1211:20705:4980,D1JRNACXX121222:7:2304:11434:54000,D1ELHACXX121214:6:2205:14081:88752,D1JNMACXX121226:2:1109:2279:79914,C1EBLACXX121222:7:2305:1061:38303,D1ELHACXX121214:6:1110:20323:71329,C1EBLACXX121222:7:1313:16542:84293,D1ELHACXX121214:4:1216:19220:85691,C1EBLACXX121222:5:1312:8329:63639,C1EBLACXX121222:2:2313:5688:23935,D1JNMACXX121226:2:1312:17683:34229,	D1JRNACXX121222:7:1111:4715:73280,C1EBLACXX121222:4:1316:12615:82820,D1JNMACXX121226:2:2302:10184:71479,D1ELHACXX121214:8:2106:10044:68654,D1JNMACXX121226:5:1110:18813:76171,D1ELWACXX121213:8:2204:19613:84273,C1EBLACXX121222:1:1205:15352:9166,D1JRNACXX121222:5:1203:20395:70920,D1JRNACXX121222:5:2111:16162:93575,D1JRNACXX121222:5:2207:7261:56886,D1JRNACXX121222:2:1205:7697:73146,C1EBLACXX121222:4:1103:4870:81819,D1ELWACXX121213:7:2313:17733:56035,D1JRNACXX121222:3:2215:4680:28071,D1ELHACXX121214:1:1105:19098:90206,
chr9_540667_+:chr9_549190_+	readthrough	0	na	14	12	7	58.3333	6	50	2	0	0	100	100	0	0	na	na	GT	AG	540587	549263	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	D1JNMACXX121226:7:2101:5494:59456/2,D1JNMACXX121226:8:1104:11658:62344/1,D1JNMACXX121226:8:1104:11658:62344/2,D1ELHACXX121214:2:2216:6543:45789/2,D1ELHACXX121214:2:2216:6543:45789/2,D1ELHACXX121214:2:2216:6543:45789/2,D1JRNACXX121222:2:2309:9236:95883/1,D1ELWACXX121213:5:2202:8443:23821/2,D1ELWACXX121213:5:2202:8443:23821/2,D1ELWACXX121213:5:2202:8443:23821/2,D1JNMACXX121226:5:1111:10255:23265/2,C1EBLACXX121222:8:1214:4151:69718/2,	D1ELHACXX121214:6:1211:18254:26184,C1EBLACXX121222:7:2301:13868:26822,	na
chr10_76871480_+:chr10_76349040_+	inverted	0	na	16	13	9	69.2308	0	0	3	15	83.3333	100	90	0	0	na	na	GT	AG	76871400	76349079	1	0	na	ENSG00000156671.8	ENSG00000156110.9	SAMD8	ADK	protein_coding	protein_coding	D1ELHACXX121214:5:1310:14471:4483/1,D1ELHACXX121214:4:2113:4693:44424/1,D1JRNACXX121222:4:2304:11721:99002/1,D1ELWACXX121213:6:1306:1693:38348/1,D1JNMACXX121226:2:2107:17569:2153/2,C1EBLACXX121222:6:2116:17472:91417/2,D1ELHACXX121214:3:1308:9949:99330/2,D1JRNACXX121222:4:2311:17921:28566/2,D1JNMACXX121226:8:2307:19750:89232/1,D1JNMACXX121226:4:1104:16696:58997/2,D1ELHACXX121214:4:1311:19676:64574/2,D1ELWACXX121213:4:2105:19040:97306/2,D1ELWACXX121213:6:2109:9524:88238/2,	D1JRNACXX121222:3:1306:9077:72380,D1JRNACXX121222:6:2104:16928:11773,D1ELWACXX121213:2:1115:7089:92812,	D1JNMACXX121226:2:1315:11081:45000,C1EBLACXX121222:3:1109:8488:53087,D1JNMACXX121226:3:1110:16416:18947,D1JNMACXX121226:6:1104:13837:34044,D1ELWACXX121213:4:1204:1934:56434,D1ELWACXX121213:2:1113:4279:45236,C1EBLACXX121222:7:2201:6928:53731,D1JNMACXX121226:7:2113:20084:25939,D1JNMACXX121226:4:1102:21149:71559,C1EBLACXX121222:3:1115:10864:20738,D1JNMACXX121226:8:1212:14514:11946,D1ELWACXX121213:5:1314:1978:63246,C1EBLACXX121222:2:2212:19837:10907,D1ELWACXX121213:6:1306:8755:3989,D1JRNACXX121222:4:1303:5550:42217,
chr1_202714986_-:chr1_190449475_+	interstrand	0	na	50	26	19	73.0769	0	0	24	2	7.69231	100	100	0	0	na	na	GT	AG	202715061	190449551	0	na	na	ENSG00000117139.12	ENSG00000237457.2	KDM5B	RP11-547I7.2	protein_coding	lincRNA	D1ELWACXX121213:3:1303:18768:95066/2,C1EBLACXX121222:7:2306:17039:48173/1,D1ELWACXX121213:3:2306:13944:13724/2,D1ELHACXX121214:1:2203:10154:88858/1,D1JRNACXX121222:2:2114:12874:61366/2,D1ELWACXX121213:4:2109:20675:74867/2,C1EBLACXX121222:5:2113:5992:19828/2,D1JRNACXX121222:7:2202:6987:59531/2,D1JRNACXX121222:6:1215:13005:12110/1,C1EBLACXX121222:1:1101:8164:100377/1,D1JNMACXX121226:4:2301:16861:61343/1,D1ELWACXX121213:4:2109:20675:74867/1,D1ELWACXX121213:5:1207:3874:47559/1,D1JRNACXX121222:4:2215:16288:70348/1,D1JNMACXX121226:6:1315:12595:57702/1,D1ELWACXX121213:1:1310:11666:87435/2,D1ELWACXX121213:3:2312:16411:54980/1,C1EBLACXX121222:5:2113:5992:19828/1,D1ELWACXX121213:2:1209:9338:71244/1,C1EBLACXX121222:6:1301:9451:73322/1,D1ELHACXX121214:1:2308:6051:70604/2,D1ELWACXX121213:5:2210:4819:58062/1,D1ELHACXX121214:3:1109:10172:27452/2,D1ELHACXX121214:1:2203:10154:88858/2,D1ELWACXX121213:1:2213:2984:6247/1,D1JRNACXX121222:2:2212:12782:78279/2,	D1ELHACXX121214:7:2202:17291:44534,D1JRNACXX121222:5:2104:13762:20229,D1ELHACXX121214:1:2105:11843:20283,D1ELHACXX121214:3:1215:3242:22692,C1EBLACXX121222:7:1109:18681:6259,D1ELWACXX121213:1:2205:1883:29302,D1JRNACXX121222:4:1107:16968:45162,D1ELWACXX121213:1:2115:10917:12976,D1JNMACXX121226:4:1215:20680:88089,D1ELHACXX121214:5:2114:11668:76813,C1EBLACXX121222:5:1211:5845:16052,C1EBLACXX121222:1:1215:1412:72610,D1JRNACXX121222:3:2314:19634:22840,C1EBLACXX121222:5:1209:10907:63837,D1ELWACXX121213:2:2211:7059:36454,D1JNMACXX121226:2:2210:19815:55491,D1ELWACXX121213:7:2208:8180:68552,C1EBLACXX121222:2:1107:19154:43958,D1JRNACXX121222:2:2103:15917:22223,D1ELHACXX121214:2:1315:1480:89055,D1ELWACXX121213:6:2111:10200:22800,D1ELHACXX121214:4:2304:4288:89440,D1JNMACXX121226:4:2210:19159:90790,D1ELHACXX121214:4:2212:8783:6770,	D1JNMACXX121226:3:2215:19527:29736,D1JRNACXX121222:2:1209:9107:48617,
chr9_540667_+:chr9_549107_+	readthrough	0	na	4	2	2	100	1	50	2	0	0	100	100	0	0	na	na	GT	AG	540636	549202	1	1	8440	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	D1JRNACXX121222:3:2215:6696:22656/1,D1ELHACXX121214:4:1206:19684:6565/1,	D1ELHACXX121214:6:1211:18254:26184,C1EBLACXX121222:7:2301:13868:26822,	na
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	6	5	4	80	4	80	1	0	0	100	100	0	0	na	na	GT	AG	85029035	84967554	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C1EBLACXX121222:2:2203:7602:8162/1,D1JNMACXX121226:8:1209:3487:70558/2,D1JRNACXX121222:2:2213:5153:37009/1,D1JRNACXX121222:8:2105:15124:47952/2,D1ELHACXX121214:1:2107:4707:36121/1,	D1JRNACXX121222:2:2303:15667:66857,	na
chr10_76871540_+:chr10_76349044_+	inverted	0	na	13	4	4	100	4	100	9	9	50	81.3953	100	4	4	na	na	GT	AG	76871455	76349073	1	0	na	ENSG00000156671.8	ENSG00000156110.9	SAMD8	ADK	protein_coding	protein_coding	D1JRNACXX121222:8:2210:3532:78146/2,C1EBLACXX121222:1:2101:8650:5447/2,D1ELHACXX121214:5:2102:11040:13416/1,D1JNMACXX121226:8:1114:11820:27337/2,	C1EBLACXX121222:3:1109:8488:53087,D1JNMACXX121226:6:1104:13837:34044,D1ELWACXX121213:2:1113:4279:45236,D1JRNACXX121222:3:1306:9077:72380,C1EBLACXX121222:7:2201:6928:53731,D1JNMACXX121226:7:2113:20084:25939,D1JRNACXX121222:6:2104:16928:11773,D1ELWACXX121213:2:1115:7089:92812,D1JNMACXX121226:8:1212:14514:11946,	D1JNMACXX121226:2:1315:11081:45000,D1JNMACXX121226:3:1110:16416:18947,D1ELWACXX121213:4:1204:1934:56434,D1JNMACXX121226:4:1102:21149:71559,C1EBLACXX121222:3:1115:10864:20738,D1ELWACXX121213:5:1314:1978:63246,C1EBLACXX121222:2:2212:19837:10907,D1ELWACXX121213:6:1306:8755:3989,D1JRNACXX121222:4:1303:5550:42217,
chr7_142494347_+:chr7_142498725_+	readthrough	0	na	16	13	9	69.2308	8	61.5385	3	0	0	7.01754	100	53	0	na	na	GT	AG	142494291	142498824	1	1	4378	ENSG00000211765.1	ENSG00000211772.4	TRBJ2-2	TRBC2	TR_J_gene	TR_C_gene	D1ELHACXX121214:6:1113:12342:76161/2,D1JRNACXX121222:6:2204:15545:21800/1,D1JNMACXX121226:1:1211:6428:32335/1,D1ELWACXX121213:6:1205:3222:66867/1,D1ELHACXX121214:3:1116:16725:43989/2,D1ELWACXX121213:5:1205:10994:94081/1,D1JNMACXX121226:1:2207:19810:10591/1,D1ELWACXX121213:5:1106:20221:18592/2,D1ELWACXX121213:4:2211:4292:52896/2,D1JRNACXX121222:6:2314:19492:53602/1,D1JNMACXX121226:5:1114:2933:31511/1,D1JNMACXX121226:4:2214:3114:3593/2,D1JRNACXX121222:6:2313:3944:93287/2,	D1ELHACXX121214:8:1201:6053:56876,D1ELHACXX121214:4:1315:12489:37022,D1JNMACXX121226:3:2311:2152:78297,	na
