juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr1_180945254_-:chr1_180920054_-	readthrough	0	na	4	1	1	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	180945271	180919972	1	1	25200	ENSG00000243155.1	ENSG00000232586.1	RP11-46A10.5	RP11-46A10.4	antisense	antisense	C0UNPACXX120727:5:2102:14043:62515/1,	C0RTFACXX120719:5:1105:14735:39609,C0VHUACXX120727:6:1206:1751:9129,C0UNPACXX120727:7:1210:18895:57792,	na
chr1_204183010_-:chr1_204162042_-	readthrough	0	na	18	16	14	87.5	1	6.25	2	7	77.7778	100	100	0	0	na	na	GT	AG	204183104	204161947	1	1	20968	ENSG00000174567.7	ENSG00000170498.7	GOLT1A	KISS1	protein_coding	protein_coding	C0VHUACXX120727:5:1108:4075:41921/2,C0UNPACXX120727:5:1215:12860:24830/2,C0RTFACXX120719:8:2308:8209:10069/2,C0UNPACXX120727:8:1104:4262:68965/2,C0VHUACXX120727:5:1316:13458:82225/1,C0UNPACXX120727:4:1107:8516:91249/2,C0UNPACXX120727:3:1108:15958:70696/2,C0UNPACXX120727:2:2116:8632:84872/2,C0RTFACXX120719:5:1313:14426:73466/1,C0RTFACXX120719:6:1213:16558:13815/2,C0UNPACXX120727:2:1206:15621:34318/1,C0UNPACXX120727:5:1201:17216:4138/2,C0VHUACXX120727:5:2315:21193:66206/1,C0UNPACXX120727:1:1209:16902:42549/1,C0UNPACXX120727:3:2307:5595:74415/1,C0UNPACXX120727:5:2308:6404:83282/1,	C0VHUACXX120727:4:1114:13461:7511,C0VHUACXX120727:4:1104:7989:38708,	C0RTFACXX120719:2:1102:20575:23897,C0UNPACXX120727:6:2213:14798:97374,C0UNPACXX120727:6:1116:13640:37699,C0UNPACXX120727:5:2111:16504:56333,C0VHUACXX120727:5:1102:13923:53506,C0VHUACXX120727:3:2313:7379:59758,C0RTFACXX120719:8:2211:14788:43195,
chr10_118594446_-:chr10_118466796_-	intrachromosomal	0	na	9	5	5	100	0	0	4	0	0	100	100	0	0	na	na	GT	AG	118594520	118466732	1	1	127650	ENSG00000225302.1	ENSG00000165868.8	RP11-539I5.1	HSPA12A	antisense	protein_coding	C0VHUACXX120727:7:2111:16698:35192/2,C0VHUACXX120727:2:1213:18279:53722/1,C0RTFACXX120719:7:1301:15174:25734/1,C0VHUACXX120727:5:1102:17782:27594/2,C0VHUACXX120727:2:2306:8985:31826/2,	C0UNPACXX120727:1:2307:12661:24423,C0UNPACXX120727:3:2112:5151:12551,C0UNPACXX120727:5:1305:2640:98418,C0VHUACXX120727:2:1305:5085:7020,	na
chr7_158380250_-:chr3_85932441_+	interchromosomal	0	na	18	13	10	76.9231	0	0	5	0	0	100	100	0	0	na	na	GT	AG	158380313	85932522	0	na	na	ENSG00000155093.13	ENSG00000175161.9	PTPRN2	CADM2	protein_coding	protein_coding	C0RTFACXX120719:3:2302:14590:39900/2,C0VHUACXX120727:6:2213:7976:29487/2,C0VHUACXX120727:4:2207:1592:48584/2,C0UNPACXX120727:3:1303:16335:83556/2,C0VHUACXX120727:6:2101:19432:56868/2,C0UNPACXX120727:7:2303:9213:38245/1,C0UNPACXX120727:5:2215:9562:11700/1,C0VHUACXX120727:4:1308:16686:12421/1,C0UNPACXX120727:2:2115:3340:2390/1,C0UNPACXX120727:1:2212:19936:29094/2,C0VHUACXX120727:2:1114:5766:97802/1,C0UNPACXX120727:7:2211:6027:10849/2,C0VHUACXX120727:2:1310:18991:94497/1,	C0UNPACXX120727:8:2115:6724:55526,C0UNPACXX120727:2:2116:15851:57229,C0RTFACXX120719:8:1107:18227:59297,C0RTFACXX120719:5:2115:9436:54103,C0VHUACXX120727:8:1203:19157:17203,	na
chr1_241803184_-:chr1_241799096_-	readthrough	0	na	6	3	3	100	1	33.3333	3	5	62.5	100	100	0	136	na	na	GT	AG	241803277	241799032	1	1	4088	ENSG00000054277.8	ENSG00000203668.1	OPN3	CHML	protein_coding	protein_coding	C0VHUACXX120727:3:1213:7686:6840/2,C0RTFACXX120719:2:1202:11227:6949/1,C0UNPACXX120727:3:1106:7167:29147/2,	C0UNPACXX120727:8:2303:8719:98929,C0RTFACXX120719:2:1307:1273:80984,C0VHUACXX120727:2:2312:2054:62532,	C0VHUACXX120727:5:2108:9156:44235,C0UNPACXX120727:3:1105:8938:49679,C0VHUACXX120727:3:2105:12178:15640,C0VHUACXX120727:3:2214:14992:65132,C0RTFACXX120719:8:2213:19729:48396,
chr15_68521840_-:chr15_68492019_-	readthrough	0	na	3	2	2	100	1	50	1	3	75	100	100	0	0	na	na	GT	AG	68521882	68491926	1	1	29821	ENSG00000128973.7	ENSG00000129007.10	CLN6	CALML4	protein_coding	protein_coding	C0VHUACXX120727:6:2202:6225:16026/1,C0UNPACXX120727:2:1214:18214:16846/2,	C0UNPACXX120727:2:2104:11449:32788,	C0RTFACXX120719:2:1302:2186:44926,C0UNPACXX120727:4:2307:1375:69308,C0UNPACXX120727:1:2101:11998:7905,
chr16_18852887_-:chr16_21261052_+	interstrand	0	na	10	7	6	85.7143	1	14.2857	3	1	25	100	100	0	0	112	86.61	GT	AG	18852955	21261134	0	na	na	ENSG00000157106.12	ENSG00000175311.5	SMG1	ANKS4B	protein_coding	protein_coding	C0RTFACXX120719:7:2106:13326:87399/1,C0VHUACXX120727:4:2209:21065:38514/1,C0UNPACXX120727:5:2106:15345:65520/1,C0UNPACXX120727:3:2208:12326:26579/2,C0RTFACXX120719:3:2109:17173:75875/2,C0VHUACXX120727:7:2305:9244:49930/1,C0VHUACXX120727:5:2211:17418:36036/1,	C0UNPACXX120727:6:1115:3187:16196,C0UNPACXX120727:5:2306:3280:25850,C0VHUACXX120727:8:1312:19604:52785,	C0UNPACXX120727:1:1305:18779:75435,
chr2_176974086_+:chr2_176996045_+	readthrough	0	na	5	4	3	75	3	75	1	0	0	100	100	0	0	na	na	GT	AG	176974048	176996144	1	1	21959	ENSG00000128710.5	ENSG00000175879.7	HOXD10	HOXD8	protein_coding	protein_coding	C0VHUACXX120727:4:1307:10204:75386/1,C0UNPACXX120727:8:1112:14883:40902/1,C0UNPACXX120727:6:1115:6010:40032/1,C0VHUACXX120727:4:1205:6351:76768/2,	C0RTFACXX120719:5:2113:14802:96552,	na
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	4	2	2	100	0	0	2	2	50	100	100	0	0	na	na	GT	AG	46781666	47046218	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C0VHUACXX120727:5:2215:2913:44112/2,C0UNPACXX120727:1:2216:16204:23553/1,	C0RTFACXX120719:8:1304:12807:45671,C0UNPACXX120727:5:1112:4249:20523,	C0RTFACXX120719:8:1306:15553:46948,C0VHUACXX120727:3:1310:1388:67312,
chr9_540667_+:chr9_549190_+	readthrough	0	na	5	3	3	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	540575	549240	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	C0UNPACXX120727:1:1201:4789:4778/2,C0RTFACXX120719:8:1302:5874:33908/2,C0UNPACXX120727:3:2107:14672:83341/1,	C0VHUACXX120727:4:2102:7646:10503,C0VHUACXX120727:4:1216:18367:47371,	na
chr12_54388800_+:chr12_54446944_+	readthrough	0	na	11	10	10	100	2	20	1	0	0	100	100	0	0	na	na	GT	AG	54388707	54447041	1	1	58144	ENSG00000180806.4	ENSG00000198353.6	HOXC9	HOXC4	protein_coding	protein_coding	C0UNPACXX120727:4:2314:3550:98827/2,C0RTFACXX120719:3:2209:11323:20245/1,C0VHUACXX120727:4:2216:10022:3049/2,C0VHUACXX120727:4:2308:8802:80460/2,C0RTFACXX120719:5:2213:6901:80686/1,C0UNPACXX120727:7:1214:12333:6104/1,C0UNPACXX120727:5:1110:6134:25821/1,C0RTFACXX120719:7:1114:16704:76583/1,C0VHUACXX120727:5:1314:3554:88395/2,C0VHUACXX120727:3:1208:7091:11121/2,	C0UNPACXX120727:4:2315:8256:75607,	na
chr1_43133111_+:chr1_43146865_+	readthrough	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	43133077	43146930	1	1	13754	ENSG00000171960.6	ENSG00000234917.1	PPIH	RP5-994D16.3	protein_coding	lincRNA	C0UNPACXX120727:3:2210:1594:72786/1,	C0RTFACXX120719:8:1208:19320:4204,C0UNPACXX120727:4:1209:10944:73344,	na
chr7_116340338_+:chr7_116166579_+	inverted	0	na	4	2	2	100	1	50	2	0	0	100	100	0	0	na	na	GT	AG	116340262	116166648	1	0	na	ENSG00000105976.10	ENSG00000105974.7	MET	CAV1	protein_coding	protein_coding	C0RTFACXX120719:7:2111:5058:36664/1,C0UNPACXX120727:2:2103:9853:10656/2,	C0VHUACXX120727:5:1315:8381:53907,C0UNPACXX120727:2:2109:10753:91948,	na
chr6_42905945_+:chr6_42911536_+	readthrough	0	na	6	5	4	80	4	80	1	0	0	100	100	0	0	na	na	GT	AG	42905849	42911582	1	1	5591	ENSG00000137161.12	ENSG00000231113.2	CNPY3	RP3-475N16.1	protein_coding	antisense	C0RTFACXX120719:5:2113:11988:52048/1,C0UNPACXX120727:6:1201:13212:97371/1,C0VHUACXX120727:5:1115:4723:8312/1,C0RTFACXX120719:8:1207:13192:46356/1,C0UNPACXX120727:5:1202:4983:100512/1,	C0VHUACXX120727:8:2211:21234:86541,	na
chr2_236403493_+:chr2_236415597_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	236403449	236415656	1	1	12104	ENSG00000157985.13	ENSG00000235529.1	AGAP1	AGAP1-IT1	protein_coding	sense_intronic	C0UNPACXX120727:4:2204:9307:9880/1,C0RTFACXX120719:8:2212:15042:45744/2,	C0VHUACXX120727:7:1103:2952:46166,	na
chr20_35854205_+:chr8_23294771_-	interchromosomal	0	na	11	8	6	75	0	0	3	2	40	100	100	0	0	na	na	GT	AG	35854159	23294687	0	na	na	ENSG00000118705.12	ENSG00000197217.8	RPN2	ENTPD4	protein_coding	protein_coding	C0UNPACXX120727:6:1310:15058:55392/1,C0RTFACXX120719:6:1115:8672:57625/2,C0RTFACXX120719:6:2109:13433:18688/2,C0VHUACXX120727:2:2216:14267:34234/1,C0UNPACXX120727:7:1210:11600:49653/1,C0UNPACXX120727:8:1305:16713:41480/2,C0UNPACXX120727:2:1308:3063:79585/2,C0VHUACXX120727:4:1106:3786:36413/1,	C0VHUACXX120727:8:2111:20182:94170,C0VHUACXX120727:5:1211:19488:56448,C0RTFACXX120719:3:1107:13362:75514,	C0VHUACXX120727:7:2108:5888:11074,C0UNPACXX120727:2:1316:6741:29650,
chr3_178137163_+:chr3_178525131_+	intrachromosomal	0	na	8	6	6	100	3	50	2	1	33.3333	100	100	0	0	na	na	GT	AG	178137064	178525175	1	1	387968	ENSG00000223941.1	ENSG00000197584.7	LINC01014	KCNMB2	sense_intronic	protein_coding	C0RTFACXX120719:5:2111:20518:91001/2,C0RTFACXX120719:7:2113:11036:51302/1,C0RTFACXX120719:5:2208:15867:71626/2,C0VHUACXX120727:6:1210:14420:19659/1,C0VHUACXX120727:7:1113:14491:19692/1,C0UNPACXX120727:5:1312:19529:43199/2,	C0VHUACXX120727:5:2110:19402:77809,C0VHUACXX120727:3:2105:16840:46131,	C0VHUACXX120727:8:2216:16189:75370,
chr14_91947920_-:chr14_91239286_-	intrachromosomal	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	91948010	91239269	1	1	708634	ENSG00000100796.13	ENSG00000165914.10	SMEK1	TTC7B	protein_coding	protein_coding	C0VHUACXX120727:2:2316:4458:86295/2,C0VHUACXX120727:3:1110:20636:18034/2,	C0UNPACXX120727:4:1302:21086:87250,	na
chr12_46848924_+:chr12_47046173_+	intrachromosomal	0	na	3	1	1	100	0	0	2	2	50	100	100	0	0	na	na	GT	AG	46848842	47046190	1	1	197249	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C0UNPACXX120727:7:2105:8296:24628/1,	C0RTFACXX120719:8:1304:12807:45671,C0UNPACXX120727:5:1112:4249:20523,	C0RTFACXX120719:8:1306:15553:46948,C0VHUACXX120727:3:1310:1388:67312,
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	9	7	5	71.4286	4	57.1429	2	1	33.3333	100	100	0	0	na	na	GT	AG	85029034	84967557	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C0UNPACXX120727:1:2210:16850:74612/2,C0VHUACXX120727:5:1110:3028:3821/2,C0RTFACXX120719:5:1114:9647:11268/2,C0VHUACXX120727:5:1208:20350:81628/1,C0VHUACXX120727:5:1103:12643:39559/1,C0UNPACXX120727:1:1314:19980:27111/1,C0RTFACXX120719:8:1110:20981:26213/1,	C0UNPACXX120727:1:1115:13214:24256,C0UNPACXX120727:5:2207:5226:3275,	C0UNPACXX120727:4:1210:18186:92255,
chr15_78839040_+:chr15_78873153_+	readthrough	0	na	7	6	3	50	6	100	1	0	0	100	100	0	0	na	na	GT	AG	78838941	78873216	1	1	34113	ENSG00000041357.11	ENSG00000169684.9	PSMA4	CHRNA5	protein_coding	protein_coding	C0UNPACXX120727:7:1307:3476:2362/2,C0UNPACXX120727:2:1214:14299:84821/1,C0UNPACXX120727:4:1215:7728:72319/1,C0UNPACXX120727:4:2201:6313:3071/2,C0UNPACXX120727:4:2201:6313:3071/2,C0UNPACXX120727:4:2201:6313:3071/2,	C0VHUACXX120727:6:2312:6016:43097,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	36	32	21	65.625	22	68.75	4	0	0	100	100	0	177	na	na	GT	AG	51387669	51732871	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C0UNPACXX120727:5:2214:4639:38071/2,C0VHUACXX120727:8:2304:7191:42883/1,C0UNPACXX120727:7:2210:21111:4624/2,C0UNPACXX120727:5:1307:10393:16310/2,C0UNPACXX120727:2:1105:17406:13486/1,C0RTFACXX120719:8:1112:8374:14993/1,C0VHUACXX120727:8:1312:6563:4109/1,C0UNPACXX120727:2:2201:10600:21675/2,C0UNPACXX120727:6:1211:17262:20027/1,C0UNPACXX120727:6:1211:17262:20027/1,C0UNPACXX120727:6:1211:17262:20027/1,C0VHUACXX120727:8:2208:16303:85403/2,C0RTFACXX120719:8:1111:15916:18371/2,C0VHUACXX120727:6:2212:2007:76173/1,C0VHUACXX120727:8:2313:18052:58849/2,C0VHUACXX120727:8:2313:18052:58849/2,C0VHUACXX120727:8:2313:18052:58849/2,C0RTFACXX120719:6:2107:1958:6459/1,C0RTFACXX120719:2:1206:18177:34623/2,C0VHUACXX120727:7:2115:10962:33162/1,C0RTFACXX120719:5:1209:5686:67897/2,C0VHUACXX120727:3:1306:14269:31961/1,C0UNPACXX120727:1:2214:14302:20586/2,C0UNPACXX120727:1:2214:14302:20586/2,C0UNPACXX120727:8:1305:15883:91132/2,C0UNPACXX120727:6:2105:19660:46805/2,C0RTFACXX120719:2:1307:20927:63332/1,C0VHUACXX120727:4:2204:14959:88959/1,C0VHUACXX120727:3:2110:3686:80331/1,C0UNPACXX120727:6:2101:11338:2550/1,C0UNPACXX120727:2:1216:8755:75249/1,C0RTFACXX120719:5:2311:12953:34461/2,	C0UNPACXX120727:7:1113:10103:3801,C0RTFACXX120719:7:1314:5740:44612,C0VHUACXX120727:7:2103:2931:89077,C0UNPACXX120727:7:1110:15431:80061,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	23	22	14	63.6364	9	40.9091	1	0	0	100	100	0	0	na	na	GT	AG	10269182	10282066	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	C0UNPACXX120727:1:1313:3491:49342/1,C0VHUACXX120727:8:1212:10896:2071/1,C0VHUACXX120727:5:2109:15337:56296/2,C0VHUACXX120727:5:2206:20286:14071/1,C0VHUACXX120727:5:2206:20286:14071/1,C0VHUACXX120727:4:2205:8260:15691/1,C0UNPACXX120727:2:2204:20642:10648/2,C0RTFACXX120719:2:2312:9106:77481/1,C0RTFACXX120719:8:2203:5361:89062/1,C0RTFACXX120719:8:2203:5361:89062/1,C0VHUACXX120727:6:2211:11830:5532/1,C0VHUACXX120727:2:2216:18892:15124/2,C0VHUACXX120727:8:1213:7140:70212/1,C0RTFACXX120719:7:1209:14735:38347/1,C0RTFACXX120719:2:2102:7296:41693/2,C0UNPACXX120727:2:1314:13783:47609/1,C0UNPACXX120727:3:2308:20158:87578/1,C0VHUACXX120727:8:2212:5529:32953/1,C0VHUACXX120727:8:1108:20283:18056/1,C0VHUACXX120727:4:1314:19188:32371/2,C0UNPACXX120727:6:2113:11828:91023/2,C0RTFACXX120719:2:2302:6204:57004/2,	C0RTFACXX120719:7:1211:15748:35216,	na
