juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr2_42492091_+:chr2_29446394_-	interstrand	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	42492060	29446313	0	na	na	ENSG00000143924.14	ENSG00000171094.11	EML4	ALK	protein_coding	protein_coding	DGTKZQN1:354:C2B0UACXX:7:2215:13863:88460/1,DGTKZQN1:354:C2B0UACXX:7:1302:6034:95815/2,	DGTKZQN1:354:C2B0UACXX:7:2106:14030:3257,	na
chr19_41197497_-:chr19_41192900_-	readthrough	0	na	8	5	5	100	0	0	3	0	0	100	100	62	0	na	na	GT	AG	41197589	41192819	1	1	4597	ENSG00000123815.7	ENSG00000105245.5	ADCK4	NUMBL	protein_coding	protein_coding	DGTKZQN1:354:C2B0UACXX:7:2211:12030:8236/1,DGTKZQN1:354:C2B0UACXX:7:1116:18192:75323/2,DGTKZQN1:354:C2B0UACXX:7:2302:18526:16021/2,DGTKZQN1:354:C2B0UACXX:7:2304:1730:92835/1,DGTKZQN1:354:C2B0UACXX:7:1214:18035:93379/1,	DGTKZQN1:354:C2B0UACXX:7:1106:14308:47968,DGTKZQN1:354:C2B0UACXX:7:1112:18538:4551,DGTKZQN1:354:C2B0UACXX:7:2111:12340:60817,	na
chr11_122026259_-:chr11_121962427_-	readthrough	0	na	29	26	20	76.9231	5	19.2308	3	0	0	100	100	0	0	na	na	GT	AG	122026338	121962328	1	1	63832	ENSG00000255090.1	ENSG00000255248.2	RP11-820L6.1	RP11-166D19.1	processed_transcript	sense_overlapping	DGTKZQN1:354:C2B0UACXX:7:1307:18710:34684/2,DGTKZQN1:354:C2B0UACXX:7:1307:5380:68654/2,DGTKZQN1:354:C2B0UACXX:7:2305:6024:22980/1,DGTKZQN1:354:C2B0UACXX:7:1304:3944:3796/1,DGTKZQN1:354:C2B0UACXX:7:1201:1578:44209/1,DGTKZQN1:354:C2B0UACXX:7:2116:11241:6620/2,DGTKZQN1:354:C2B0UACXX:7:1111:8111:88971/1,DGTKZQN1:354:C2B0UACXX:7:2115:7575:36574/2,DGTKZQN1:354:C2B0UACXX:7:2108:3245:1933/1,DGTKZQN1:354:C2B0UACXX:7:2207:3159:33930/2,DGTKZQN1:354:C2B0UACXX:7:2213:9172:51927/1,DGTKZQN1:354:C2B0UACXX:7:1304:3944:3796/2,DGTKZQN1:354:C2B0UACXX:7:1110:2777:76795/2,DGTKZQN1:354:C2B0UACXX:7:2206:13064:10590/1,DGTKZQN1:354:C2B0UACXX:7:2206:18227:88591/2,DGTKZQN1:354:C2B0UACXX:7:2110:4693:37647/2,DGTKZQN1:354:C2B0UACXX:7:1316:3745:20498/1,DGTKZQN1:354:C2B0UACXX:7:1307:5380:68654/1,DGTKZQN1:354:C2B0UACXX:7:1213:16795:25575/2,DGTKZQN1:354:C2B0UACXX:7:2306:14228:51998/1,DGTKZQN1:354:C2B0UACXX:7:2316:14909:89627/1,DGTKZQN1:354:C2B0UACXX:7:2306:14228:51998/2,DGTKZQN1:354:C2B0UACXX:7:2316:14909:89627/2,DGTKZQN1:354:C2B0UACXX:7:1202:16441:10547/2,DGTKZQN1:354:C2B0UACXX:7:1216:7313:59211/1,DGTKZQN1:354:C2B0UACXX:7:2102:12698:88530/2,	DGTKZQN1:354:C2B0UACXX:7:2104:10666:20686,DGTKZQN1:354:C2B0UACXX:7:2307:1992:18172,DGTKZQN1:354:C2B0UACXX:7:1311:15658:4795,	na
chr11_65063461_+:chr11_65088015_+	readthrough	0	na	11	10	8	80	3	30	1	0	0	100	100	0	0	na	na	GT	AG	65063380	65088113	1	1	24554	ENSG00000014138.4	ENSG00000149798.3	POLA2	CDC42EP2	protein_coding	protein_coding	DGTKZQN1:354:C2B0UACXX:7:1202:9155:62805/2,DGTKZQN1:354:C2B0UACXX:7:1214:10638:85079/1,DGTKZQN1:354:C2B0UACXX:7:1214:10638:85079/1,DGTKZQN1:354:C2B0UACXX:7:2311:17454:10531/2,DGTKZQN1:354:C2B0UACXX:7:1111:12141:43711/1,DGTKZQN1:354:C2B0UACXX:7:2209:19012:32483/2,DGTKZQN1:354:C2B0UACXX:7:1111:12141:43711/2,DGTKZQN1:354:C2B0UACXX:7:2311:18368:43751/2,DGTKZQN1:354:C2B0UACXX:7:2304:17155:27722/1,DGTKZQN1:354:C2B0UACXX:7:1214:9280:88656/1,	DGTKZQN1:354:C2B0UACXX:7:1312:16468:76688,	na
chr16_29982899_+:chr16_29989059_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	29982829	29989138	1	1	6160	ENSG00000149932.12	ENSG00000149930.13	TMEM219	TAOK2	protein_coding	protein_coding	DGTKZQN1:354:C2B0UACXX:7:2109:7094:18404/1,DGTKZQN1:354:C2B0UACXX:7:2111:16443:16341/2,	DGTKZQN1:354:C2B0UACXX:7:2109:7580:33519,	na
chr1_222087104_-:chr1_222013795_-	readthrough	0	na	11	10	9	90	1	10	1	0	0	100	100	0	0	na	na	GT	AG	222087198	222013698	1	1	73309	ENSG00000238042.1	ENSG00000227925.1	RP11-815M8.1	RP11-191N8.2	lincRNA	lincRNA	DGTKZQN1:354:C2B0UACXX:7:2313:18025:76287/1,DGTKZQN1:354:C2B0UACXX:7:2116:6257:72571/2,DGTKZQN1:354:C2B0UACXX:7:1314:6275:61763/1,DGTKZQN1:354:C2B0UACXX:7:2108:17035:90607/1,DGTKZQN1:354:C2B0UACXX:7:1306:11406:30251/2,DGTKZQN1:354:C2B0UACXX:7:2309:2425:78922/1,DGTKZQN1:354:C2B0UACXX:7:2105:11208:84394/2,DGTKZQN1:354:C2B0UACXX:7:1312:18041:60955/2,DGTKZQN1:354:C2B0UACXX:7:2306:5884:95283/1,DGTKZQN1:354:C2B0UACXX:7:2116:6257:72571/1,	DGTKZQN1:354:C2B0UACXX:7:1112:3261:97539,	na
chr11_122026259_-:chr11_121987031_-	readthrough	0	na	8	5	4	80	1	20	3	0	0	94.2529	100	0	0	na	na	GT	AG	122026345	121986959	1	1	39228	ENSG00000255090.1	ENSG00000255248.2	RP11-820L6.1	RP11-166D19.1	processed_transcript	sense_overlapping	DGTKZQN1:354:C2B0UACXX:7:2311:12075:70954/1,DGTKZQN1:354:C2B0UACXX:7:2202:4728:95854/2,DGTKZQN1:354:C2B0UACXX:7:2304:13994:4829/2,DGTKZQN1:354:C2B0UACXX:7:1206:14375:81238/1,DGTKZQN1:354:C2B0UACXX:7:2111:15916:2204/1,	DGTKZQN1:354:C2B0UACXX:7:2104:10666:20686,DGTKZQN1:354:C2B0UACXX:7:2307:1992:18172,DGTKZQN1:354:C2B0UACXX:7:1311:15658:4795,	na
chr11_122026259_-:chr11_121962448_-	readthrough	0	na	63	60	42	70	9	15	3	0	0	98.7952	100	0	0	na	na	GT	AG	122026341	121962353	1	1	63811	ENSG00000255090.1	ENSG00000255248.2	RP11-820L6.1	RP11-166D19.1	processed_transcript	sense_overlapping	DGTKZQN1:354:C2B0UACXX:7:2313:21184:75791/2,DGTKZQN1:354:C2B0UACXX:7:2206:5904:26070/1,DGTKZQN1:354:C2B0UACXX:7:2109:13053:53741/2,DGTKZQN1:354:C2B0UACXX:7:2113:5572:73495/2,DGTKZQN1:354:C2B0UACXX:7:1207:8074:53483/2,DGTKZQN1:354:C2B0UACXX:7:1104:12869:18535/1,DGTKZQN1:354:C2B0UACXX:7:1206:4217:61358/1,DGTKZQN1:354:C2B0UACXX:7:1212:11087:28619/2,DGTKZQN1:354:C2B0UACXX:7:1313:16518:68620/1,DGTKZQN1:354:C2B0UACXX:7:1214:6336:94847/2,DGTKZQN1:354:C2B0UACXX:7:2306:16966:80335/2,DGTKZQN1:354:C2B0UACXX:7:1214:6336:94847/1,DGTKZQN1:354:C2B0UACXX:7:1214:6336:94847/1,DGTKZQN1:354:C2B0UACXX:7:1214:6336:94847/1,DGTKZQN1:354:C2B0UACXX:7:1214:6336:94847/1,DGTKZQN1:354:C2B0UACXX:7:2113:5572:73495/1,DGTKZQN1:354:C2B0UACXX:7:1314:19837:31173/2,DGTKZQN1:354:C2B0UACXX:7:2102:15548:82740/1,DGTKZQN1:354:C2B0UACXX:7:1209:10875:18975/1,DGTKZQN1:354:C2B0UACXX:7:2314:7438:69520/2,DGTKZQN1:354:C2B0UACXX:7:1111:20146:53446/2,DGTKZQN1:354:C2B0UACXX:7:2314:3616:19123/2,DGTKZQN1:354:C2B0UACXX:7:2312:3822:2997/1,DGTKZQN1:354:C2B0UACXX:7:1101:1415:25448/2,DGTKZQN1:354:C2B0UACXX:7:2105:13813:30073/1,DGTKZQN1:354:C2B0UACXX:7:2206:2786:16129/1,DGTKZQN1:354:C2B0UACXX:7:2110:3002:11273/1,DGTKZQN1:354:C2B0UACXX:7:2102:20270:11587/1,DGTKZQN1:354:C2B0UACXX:7:1208:8078:79218/1,DGTKZQN1:354:C2B0UACXX:7:2314:10450:83367/1,DGTKZQN1:354:C2B0UACXX:7:1307:2324:29278/2,DGTKZQN1:354:C2B0UACXX:7:2314:7438:69520/1,DGTKZQN1:354:C2B0UACXX:7:1208:1611:73656/2,DGTKZQN1:354:C2B0UACXX:7:2306:3313:52932/1,DGTKZQN1:354:C2B0UACXX:7:1101:1415:25448/1,DGTKZQN1:354:C2B0UACXX:7:1209:19593:52541/2,DGTKZQN1:354:C2B0UACXX:7:2206:19410:33733/1,DGTKZQN1:354:C2B0UACXX:7:1208:8078:79218/2,DGTKZQN1:354:C2B0UACXX:7:2313:20052:61533/2,DGTKZQN1:354:C2B0UACXX:7:2314:10450:83367/2,DGTKZQN1:354:C2B0UACXX:7:1208:2454:69871/2,DGTKZQN1:354:C2B0UACXX:7:2109:8367:8042/2,DGTKZQN1:354:C2B0UACXX:7:1209:10875:18975/2,DGTKZQN1:354:C2B0UACXX:7:1311:5028:73413/1,DGTKZQN1:354:C2B0UACXX:7:1212:15096:46808/2,DGTKZQN1:354:C2B0UACXX:7:1209:4296:48344/2,DGTKZQN1:354:C2B0UACXX:7:2306:3313:52932/2,DGTKZQN1:354:C2B0UACXX:7:1114:17126:28673/2,DGTKZQN1:354:C2B0UACXX:7:2204:18412:17869/1,DGTKZQN1:354:C2B0UACXX:7:2204:14797:91306/1,DGTKZQN1:354:C2B0UACXX:7:1113:13545:42064/2,DGTKZQN1:354:C2B0UACXX:7:1112:17699:94556/2,DGTKZQN1:354:C2B0UACXX:7:2301:13274:23153/2,DGTKZQN1:354:C2B0UACXX:7:2204:18412:17869/2,DGTKZQN1:354:C2B0UACXX:7:1208:1611:73656/1,DGTKZQN1:354:C2B0UACXX:7:2215:13016:90381/2,DGTKZQN1:354:C2B0UACXX:7:1212:11087:28619/1,DGTKZQN1:354:C2B0UACXX:7:1204:12873:61810/1,DGTKZQN1:354:C2B0UACXX:7:2204:7384:18578/2,DGTKZQN1:354:C2B0UACXX:7:1115:4050:19703/2,	DGTKZQN1:354:C2B0UACXX:7:2104:10666:20686,DGTKZQN1:354:C2B0UACXX:7:2307:1992:18172,DGTKZQN1:354:C2B0UACXX:7:1311:15658:4795,	na
chr1_119543892_-:chr1_119474455_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	119543968	119474426	1	1	69437	ENSG00000239216.1	ENSG00000092607.9	RP4-712E4.2	TBX15	lincRNA	protein_coding	DGTKZQN1:354:C2B0UACXX:7:1113:9208:29765/1,DGTKZQN1:354:C2B0UACXX:7:1301:9656:24796/1,	DGTKZQN1:354:C2B0UACXX:7:2101:9909:95627,	na
chr19_1274439_+:chr19_1277182_+	readthrough	0	na	25	24	19	79.1667	7	29.1667	1	0	0	100	100	0	0	na	na	GT	AG	1274345	1277272	1	1	2743	ENSG00000099622.9	ENSG00000228300.9	CIRBP	C19orf24	protein_coding	protein_coding	DGTKZQN1:354:C2B0UACXX:7:2216:2589:19055/1,DGTKZQN1:354:C2B0UACXX:7:2303:4138:97675/1,DGTKZQN1:354:C2B0UACXX:7:2111:18932:29865/1,DGTKZQN1:354:C2B0UACXX:7:1208:7206:27894/2,DGTKZQN1:354:C2B0UACXX:7:2114:19038:67940/2,DGTKZQN1:354:C2B0UACXX:7:1212:14453:34797/2,DGTKZQN1:354:C2B0UACXX:7:2104:15093:97030/1,DGTKZQN1:354:C2B0UACXX:7:2209:19442:62265/2,DGTKZQN1:354:C2B0UACXX:7:2209:19442:62265/2,DGTKZQN1:354:C2B0UACXX:7:1207:5019:49755/1,DGTKZQN1:354:C2B0UACXX:7:2303:4138:97675/2,DGTKZQN1:354:C2B0UACXX:7:2303:4138:97675/2,DGTKZQN1:354:C2B0UACXX:7:1208:7206:27894/1,DGTKZQN1:354:C2B0UACXX:7:2110:19095:14317/1,DGTKZQN1:354:C2B0UACXX:7:2115:15004:96578/2,DGTKZQN1:354:C2B0UACXX:7:2211:4312:66177/1,DGTKZQN1:354:C2B0UACXX:7:1313:6871:97080/2,DGTKZQN1:354:C2B0UACXX:7:1207:4443:98427/2,DGTKZQN1:354:C2B0UACXX:7:1207:4443:98427/2,DGTKZQN1:354:C2B0UACXX:7:1311:4504:44107/2,DGTKZQN1:354:C2B0UACXX:7:1313:12155:72172/2,DGTKZQN1:354:C2B0UACXX:7:1207:5019:49755/2,DGTKZQN1:354:C2B0UACXX:7:2115:15004:96578/1,DGTKZQN1:354:C2B0UACXX:7:2216:16275:47577/1,	DGTKZQN1:354:C2B0UACXX:7:1303:1727:35892,	na
