juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr21_26942233_+:chr5_119954137_+	interchromosomal	0	na	9	2	2	100	0	0	7	2	22.2222	100	100	0	0	na	na	GT	AG	26942169	119954176	0	na	na	ENSG00000234883.2	ENSG00000184838.10	MIR155HG	PRR16	lincRNA	protein_coding	C1EPNACXX121228:6:2208:1645:94858/1,C1EPNACXX121228:6:2208:1645:94858/2,	C19U9ACXX121216:1:1315:6501:17192,C19MCACXX121216:3:1111:12889:52208,C1EKGACXX121217:1:1305:15810:47117,C19U9ACXX121216:2:1314:17652:14171,C1EPNACXX121228:7:1210:17998:10662,C19U9ACXX121216:5:1309:17746:73127,C1EPNACXX121228:7:2314:4135:57919,	C1EYGACXX121228:6:1305:1369:54479,C1EKGACXX121217:5:2312:10973:93124,
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	46781696	47046247	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C19MCACXX121216:2:1311:20622:66877/1,C19MCACXX121216:2:1311:20622:66877/2,C19U9ACXX121216:5:1203:14910:2778/1,	C1EYGACXX121228:3:2305:20483:95142,	na
chr9_540667_+:chr9_549190_+	readthrough	0	na	4	3	3	100	2	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	540648	549284	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	C19MCACXX121216:5:1208:21262:43790/1,C1EPNACXX121228:8:2312:19144:28915/1,C1EKGACXX121217:6:1213:18718:6011/1,	C19MCACXX121216:4:2104:12155:46883,	na
chr5_137664173_-:chr5_127359990_-	intrachromosomal	0	na	5	3	3	100	1	33.3333	2	0	0	100	100	0	0	na	na	GT	AG	137664221	127359897	1	1	10304183	ENSG00000158402.14	ENSG00000245937.3	CDC25C	CTC-228N24.3	protein_coding	lincRNA	C19MCACXX121216:2:2115:18799:51840/1,C1EYGACXX121228:7:2302:20777:54531/1,C1EYGACXX121228:5:2206:20201:91601/1,	C1EYGACXX121228:5:2207:21231:42902,C19MCACXX121216:2:1112:17323:76842,	na
chr16_85391249_+:chr16_85667520_+	intrachromosomal	0	na	8	7	7	100	1	14.2857	1	0	0	100	100	0	0	na	na	GT	AG	85391156	85667591	1	1	276271	ENSG00000261567.1	ENSG00000131149.13	RP11-680G10.1	GSE1	protein_coding	protein_coding	C1EKGACXX121217:4:2112:10657:5833/2,C1EKGACXX121217:4:1207:8082:46029/2,C19U9ACXX121216:7:2112:19859:31119/2,C1EPNACXX121228:2:1102:15654:73549/1,C1EKGACXX121217:4:2316:10919:12706/2,C19U9ACXX121216:7:2110:13596:67146/2,C19U9ACXX121216:7:2112:19859:31119/1,	C1EPNACXX121228:4:2215:4218:31408,	na
chr5_137661504_-:chr5_127359990_-	intrachromosomal	0	na	10	8	7	87.5	0	0	2	0	0	100	100	0	0	na	na	GT	AG	137661549	127359901	1	1	10301514	ENSG00000158402.14	ENSG00000245937.3	CDC25C	CTC-228N24.3	protein_coding	lincRNA	C1EKGACXX121217:4:1311:21126:53443/1,C1EPNACXX121228:4:2308:15268:41861/1,C19U9ACXX121216:1:1112:6109:21346/2,C1EPNACXX121228:7:1103:10717:62173/1,C1EKGACXX121217:4:1311:21126:53443/2,C19U9ACXX121216:2:1302:6191:4536/2,C1EPNACXX121228:7:1103:10717:62173/2,C19U9ACXX121216:5:1316:11465:7333/1,	C1EYGACXX121228:5:2207:21231:42902,C19MCACXX121216:2:1112:17323:76842,	na
chr12_11324021_-:chr12_11323978_-	readthrough	0	na	16	7	5	71.4286	6	85.7143	9	8	47.0588	100	73.4694	0	26	na	na	GT	AG	11324120	11323881	1	1	43	ENSG00000212127.5,ENSG00000111215.7	ENSG00000256712.1	TAS2R14,PRR4	RP11-785H5.2	protein_coding,protein_coding	sense_intronic	C19MCACXX121216:5:2209:11741:74250/2,C1EYGACXX121228:8:1108:5367:28853/2,C1EPNACXX121228:4:1112:5948:90295/2,C1EKGACXX121217:5:2306:17082:41316/2,C19U9ACXX121216:6:2208:5960:22013/2,C19MCACXX121216:7:1111:7828:19536/1,C19MCACXX121216:7:1208:3681:22350/1,	C1EPNACXX121228:5:2114:19282:49635,C19U9ACXX121216:7:2208:7112:14231,C1EPNACXX121228:4:2201:18454:17456,C19U9ACXX121216:1:2315:17550:30576,C19U9ACXX121216:1:2316:8519:26635,C19U9ACXX121216:6:1216:5577:47616,C1EKGACXX121217:7:1316:18104:90548,C1EPNACXX121228:7:1105:9953:99342,C19U9ACXX121216:8:1215:13582:22723,	C1EKGACXX121217:3:2206:6129:52406,C19MCACXX121216:1:2116:18719:85068,C1EYGACXX121228:2:2206:2606:70683,C1EPNACXX121228:2:2314:12099:70434,C1EPNACXX121228:6:1214:5424:64681,C1EKGACXX121217:5:2211:13556:85441,C19MCACXX121216:4:1205:20996:92286,C1EPNACXX121228:5:1203:8990:75656,
chr11_122026259_-:chr11_121962427_-	readthrough	0	na	7	5	4	80	1	20	2	0	0	100	100	0	0	na	na	GT	AG	122026318	121962332	1	1	63832	ENSG00000255090.1	ENSG00000255248.2	RP11-820L6.1	RP11-166D19.1	processed_transcript	sense_overlapping	C1EPNACXX121228:7:1202:18177:9830/1,C1EKGACXX121217:3:2107:10072:39235/2,C19U9ACXX121216:8:2307:10338:100870/2,C19U9ACXX121216:1:1111:5136:23076/2,C1EKGACXX121217:3:2107:10072:39235/1,	C1EKGACXX121217:2:1205:5660:29123,C1EYGACXX121228:7:1313:13223:95247,	na
chr17_16285497_+:chr12_125397813_-	interchromosomal	0	na	16	13	6	46.1538	13	100	3	2	40	100	100	3	0	272	88.24	GT	AG	16285412	125397773	0	na	na	ENSG00000170315.9	ENSG00000150991.10	UBB	UBC	protein_coding	protein_coding	C1EYGACXX121228:7:1107:1352:54250/1,C1EYGACXX121228:3:2113:15740:43483/1,C1EPNACXX121228:3:2106:18292:78601/1,C1EYGACXX121228:8:2314:13783:39403/1,C1EYGACXX121228:3:1109:13755:15524/1,C1EPNACXX121228:3:1205:7780:35201/1,C1EKGACXX121217:5:2302:10723:39502/1,C19U9ACXX121216:1:1105:3293:79280/1,C1EPNACXX121228:6:1207:13012:51876/1,C19MCACXX121216:4:1205:9647:48175/1,C1EYGACXX121228:6:2212:10193:78787/2,C1EYGACXX121228:3:1106:9511:37444/1,C1EYGACXX121228:3:1101:9998:11016/1,	C19U9ACXX121216:6:2211:13520:21887,C19U9ACXX121216:7:2312:2523:80544,C1EPNACXX121228:4:2205:18256:16940,	C19U9ACXX121216:8:2209:7915:2458,C1EPNACXX121228:8:1311:3254:59169,
chr21_26942233_+:chr5_119952790_+	interchromosomal	0	na	17	8	8	100	0	0	9	0	0	100	100	0	0	na	na	GT	AG	26942169	119952867	0	na	na	ENSG00000234883.2	ENSG00000184838.10	MIR155HG	PRR16	lincRNA	protein_coding	C1EPNACXX121228:1:1308:3311:38425/2,C1EKGACXX121217:8:1308:2901:54760/1,C1EYGACXX121228:2:2104:12809:81780/2,C1EYGACXX121228:1:2311:4170:55077/2,C19U9ACXX121216:6:1215:17681:20188/1,C1EKGACXX121217:4:2214:6954:24391/2,C1EKGACXX121217:3:2312:6079:16843/1,C19U9ACXX121216:8:2307:15455:34610/2,	C19U9ACXX121216:1:1315:6501:17192,C1EYGACXX121228:6:1305:1369:54479,C19MCACXX121216:3:1111:12889:52208,C1EKGACXX121217:1:1305:15810:47117,C1EKGACXX121217:5:2312:10973:93124,C19U9ACXX121216:2:1314:17652:14171,C1EPNACXX121228:7:1210:17998:10662,C19U9ACXX121216:5:1309:17746:73127,C1EPNACXX121228:7:2314:4135:57919,	na
chr17_16285725_+:chr12_125397813_-	interchromosomal	0	na	15	12	5	41.6667	12	100	3	2	40	100	100	115	0	272	88.24	GT	AG	16285640	125397773	0	na	na	ENSG00000170315.9	ENSG00000150991.10	UBB	UBC	protein_coding	protein_coding	C19U9ACXX121216:1:1105:3293:79280/1,C19MCACXX121216:4:1205:9647:48175/1,C1EYGACXX121228:6:2212:10193:78787/2,C1EYGACXX121228:3:1106:9511:37444/1,C1EYGACXX121228:3:1101:9998:11016/1,C1EYGACXX121228:8:2314:13783:39403/1,C1EYGACXX121228:3:1109:13755:15524/1,C1EPNACXX121228:3:1205:7780:35201/1,C1EKGACXX121217:5:2302:10723:39502/1,C1EYGACXX121228:7:1107:1352:54250/1,C1EYGACXX121228:3:2113:15740:43483/1,C1EPNACXX121228:3:2106:18292:78601/1,	C19U9ACXX121216:6:2211:13520:21887,C19U9ACXX121216:7:2312:2523:80544,C1EPNACXX121228:4:2205:18256:16940,	C19U9ACXX121216:8:2209:7915:2458,C1EPNACXX121228:8:1311:3254:59169,
chr21_26942233_+:chr5_120021649_+	interchromosomal	0	na	10	5	5	100	0	0	5	4	44.4444	100	100	0	0	na	na	GT	AG	26942157	120021721	0	na	na	ENSG00000234883.2	ENSG00000184838.10	MIR155HG	PRR16	lincRNA	protein_coding	C1EPNACXX121228:3:2114:9204:21486/2,C19MCACXX121216:6:2301:9968:79755/2,C1EKGACXX121217:3:2210:17801:7166/2,C19MCACXX121216:1:2115:12644:36973/2,C19U9ACXX121216:7:2110:16229:96253/2,	C19MCACXX121216:3:1111:12889:52208,C19U9ACXX121216:2:1314:17652:14171,C1EPNACXX121228:7:1210:17998:10662,C19U9ACXX121216:5:1309:17746:73127,C1EPNACXX121228:7:2314:4135:57919,	C19U9ACXX121216:1:1315:6501:17192,C1EYGACXX121228:6:1305:1369:54479,C1EKGACXX121217:1:1305:15810:47117,C1EKGACXX121217:5:2312:10973:93124,
chr9_130698832_-:chr9_130692164_-	readthrough	0	na	6	5	3	60	4	80	1	0	0	100	100	0	0	na	na	GT	AG	130698931	130692089	1	1	6668	ENSG00000136908.13	ENSG00000167103.7	DPM2	PIP5KL1	protein_coding	protein_coding	C1EPNACXX121228:8:1214:9031:7007/2,C19MCACXX121216:1:1313:18952:51443/1,C1EPNACXX121228:1:1205:4503:7163/2,C19U9ACXX121216:1:1202:18325:44246/1,C1EYGACXX121228:1:2303:13756:80004/2,	C1EPNACXX121228:2:2216:10713:97963,	na
chr12_125396446_-:chr17_16285270_+	interchromosomal	0	na	13	10	5	50	10	100	3	2	40	100	100	252	54	272	88.24	GT	AG	125396531	16285336	0	na	na	ENSG00000150991.10	ENSG00000170315.9	UBC	UBB	protein_coding	protein_coding	C1EYGACXX121228:5:2109:2778:64135/1,C19MCACXX121216:5:1201:17095:48410/1,C1EKGACXX121217:7:2201:3906:45339/2,C19U9ACXX121216:5:2213:11496:41300/1,C19MCACXX121216:8:2101:12924:34606/1,C19MCACXX121216:3:1104:13206:70491/2,C1EPNACXX121228:6:1215:18363:59874/1,C1EPNACXX121228:1:1203:6103:18126/1,C1EPNACXX121228:2:2313:21025:13583/1,C1EKGACXX121217:7:1204:3109:63176/2,	C19U9ACXX121216:6:2211:13520:21887,C19U9ACXX121216:8:2209:7915:2458,C1EPNACXX121228:4:2205:18256:16940,	C19U9ACXX121216:7:2312:2523:80544,C1EPNACXX121228:8:1311:3254:59169,
chr11_71821134_-:chr11_71810302_-	readthrough	0	na	29	28	15	53.5714	21	75	1	0	0	100	100	0	0	na	na	GT	AG	71821233	71810205	1	1	10832	ENSG00000110200.4	ENSG00000149357.5	ANAPC15	LAMTOR1	protein_coding	protein_coding	C19MCACXX121216:8:1305:14279:86556/2,C19MCACXX121216:7:2105:15835:10370/1,C19MCACXX121216:6:1101:8298:18699/2,C1EKGACXX121217:3:2211:10848:7381/2,C1EYGACXX121228:3:1216:12140:32398/2,C19MCACXX121216:7:1211:11227:93196/2,C1EYGACXX121228:8:1316:3425:43423/1,C1EYGACXX121228:5:1206:3162:67949/1,C19U9ACXX121216:8:1204:7057:42589/1,C19U9ACXX121216:6:2311:4136:65630/1,C1EYGACXX121228:3:1216:12140:32398/1,C1EPNACXX121228:5:1309:18673:73185/1,C19MCACXX121216:4:1302:4840:3899/2,C19U9ACXX121216:4:2214:17942:20271/2,C1EPNACXX121228:4:2113:17290:66388/2,C1EKGACXX121217:8:2201:4441:62460/2,C1EKGACXX121217:6:2112:17362:12716/2,C1EKGACXX121217:1:1209:6269:94016/2,C19U9ACXX121216:6:2203:19356:39977/1,C1EPNACXX121228:4:2309:4458:41934/1,C1EKGACXX121217:5:2107:17768:61075/2,C1EKGACXX121217:2:1204:11912:12895/2,C19U9ACXX121216:1:1310:4706:99141/2,C19MCACXX121216:2:1106:3277:40669/2,C19MCACXX121216:7:1211:11227:93196/1,C1EYGACXX121228:5:2213:13942:90239/1,C1EYGACXX121228:5:2213:13942:90239/1,C1EKGACXX121217:2:2208:17976:8405/2,	C1EKGACXX121217:1:1101:9987:30518,	na
chr12_125396674_-:chr17_16285270_+	interchromosomal	0	na	11	8	5	62.5	8	100	3	2	40	100	100	480	54	272	88.24	GT	AG	125396759	16285353	0	na	na	ENSG00000150991.10	ENSG00000170315.9	UBC	UBB	protein_coding	protein_coding	C1EPNACXX121228:1:1203:6103:18126/2,C1EPNACXX121228:2:2313:21025:13583/1,C1EKGACXX121217:7:1204:3109:63176/2,C19MCACXX121216:3:1105:1530:26594/1,C1EPNACXX121228:1:1203:6103:18126/1,C1EKGACXX121217:7:2201:3906:45339/2,C19MCACXX121216:8:2101:12924:34606/1,C19MCACXX121216:3:1104:13206:70491/2,	C19U9ACXX121216:6:2211:13520:21887,C19U9ACXX121216:8:2209:7915:2458,C1EPNACXX121228:4:2205:18256:16940,	C19U9ACXX121216:7:2312:2523:80544,C1EPNACXX121228:8:1311:3254:59169,
chr7_94054510_+:chr17_48271762_-	interchromosomal	0	na	9	6	5	83.3333	2	33.3333	3	1	25	100	100	26	46	103	85.44	GT	AG	94054429	48271741	0	na	na	ENSG00000164692.13	ENSG00000108821.9	COL1A2	COL1A1	protein_coding	protein_coding	C1EKGACXX121217:2:1306:11835:78985/2,C1EYGACXX121228:1:2102:20241:39459/1,C1EYGACXX121228:7:2112:6183:75333/1,C19U9ACXX121216:5:1216:7397:50244/1,C19U9ACXX121216:2:1303:11953:30178/2,C1EPNACXX121228:6:1312:5743:15209/1,	C1EKGACXX121217:7:1210:2127:35133,C19U9ACXX121216:6:2212:4730:88880,C1EYGACXX121228:1:2104:14694:26451,	C1EKGACXX121217:2:1316:3808:32261,
