juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr19_17379900_+:chr19_17338649_+	inverted	0	na	6	4	4	100	2	50	2	1	33.3333	100	100	0	0	na	na	GT	AG	17379828	17338690	1	0	na	ENSG00000105393.11	ENSG00000099330.4	BABAM1	OCEL1	protein_coding	protein_coding	C19U9ACXX121216:1:2102:10473:81928/1,C1EPNACXX121228:3:1303:19051:93563/2,C1EPNACXX121228:5:2313:19116:15679/2,C1EPNACXX121228:5:2313:19116:15679/1,	C1EKGACXX121217:2:1215:6068:81108,C1EPNACXX121228:7:1308:5979:33388,	C1EPNACXX121228:2:1201:10469:23315,
chr6_125766168_-:chr6_125695467_-	readthrough	0	na	11	8	8	100	0	0	3	0	0	100	100	0	3	na	na	GT	AG	125766263	125695393	1	1	70701	ENSG00000228704.1	ENSG00000226409.1	RP11-138M12.1	RP11-735G4.1	lincRNA	antisense	C1EPNACXX121228:4:2211:10371:16766/2,C1EYGACXX121228:5:2211:18588:60067/2,C1EPNACXX121228:8:1212:15356:59183/2,C1EPNACXX121228:8:1212:15356:59183/1,C1EPNACXX121228:5:1112:4497:26997/1,C19MCACXX121216:8:2111:6729:29417/1,C1EYGACXX121228:2:2204:17782:80815/2,C1EPNACXX121228:5:1112:4497:26997/2,	C1EKGACXX121217:6:2209:18104:58937,C1EYGACXX121228:7:2216:4868:47097,C1EPNACXX121228:4:1304:4442:60125,	na
chr11_63918711_-:chr11_63886249_-	readthrough	0	na	6	5	2	40	4	80	1	0	0	100	100	0	0	na	na	GT	AG	63918810	63886211	1	1	32462	ENSG00000133315.6	ENSG00000256341.1	MACROD1	RP11-21A7A.3	protein_coding	antisense	C1EYGACXX121228:1:2309:16759:22620/1,C1EYGACXX121228:1:2205:2969:51169/2,C1EPNACXX121228:4:1101:17753:65271/1,C1EPNACXX121228:3:2114:19627:32973/2,C1EPNACXX121228:2:2310:8811:74214/2,	C1EKGACXX121217:6:2116:12858:61846,	na
chr14_66200099_+:chr14_73783130_-	interstrand	0	na	7	3	2	66.6667	0	0	4	2	33.3333	100	100	0	0	na	na	GT	AG	66200018	73783112	0	na	na	ENSG00000033170.12	ENSG00000133961.15	FUT8	NUMB	protein_coding	protein_coding	C1EPNACXX121228:8:2309:19228:54469/1,C19U9ACXX121216:8:2114:19740:68330/1,C19MCACXX121216:6:1201:13594:11538/1,	C19MCACXX121216:2:2212:8627:77248,C1EPNACXX121228:6:1207:2165:13664,C19MCACXX121216:5:2316:5717:57211,C19U9ACXX121216:1:1212:6122:93917,	C1EYGACXX121228:6:2101:12926:35653,C1EKGACXX121217:4:2106:10164:38773,
chr16_21636436_+:chr16_21638268_+	readthrough	0	na	71	68	18	26.4706	67	98.5294	3	2	40	100	100	0	205	na	na	GT	AG	21636337	21638367	1	1	1832	ENSG00000197006.9	ENSG00000261596.1	METTL9	CTB-31N19.3	protein_coding	sense_intronic	C1EYGACXX121228:8:2315:4968:17272/2,C1EYGACXX121228:5:2314:5549:98598/2,C19MCACXX121216:4:2102:2106:70189/2,C19MCACXX121216:7:2315:7029:80251/1,C1EKGACXX121217:2:2114:11749:59902/1,C1EPNACXX121228:6:2102:5586:91921/2,C19U9ACXX121216:2:1106:16697:44440/2,C19U9ACXX121216:7:2109:9069:36631/2,C1EPNACXX121228:4:2102:14497:8671/2,C1EYGACXX121228:3:2211:11457:53072/2,C1EKGACXX121217:6:2306:9497:44930/1,C1EPNACXX121228:4:1215:3080:31070/2,C1EYGACXX121228:8:1116:8342:25050/2,C1EYGACXX121228:7:2314:20126:49212/1,C1EYGACXX121228:7:1308:8293:78989/2,C1EYGACXX121228:6:1309:12172:47496/1,C1EYGACXX121228:4:2315:15132:61824/2,C1EYGACXX121228:3:2309:6098:94020/2,C1EYGACXX121228:2:1103:5577:70139/1,C1EYGACXX121228:1:1201:8391:2987/1,C1EPNACXX121228:7:2205:4389:60224/1,C1EPNACXX121228:7:1316:14630:74967/2,C1EPNACXX121228:6:2205:20094:84654/2,C1EPNACXX121228:6:1116:3579:92084/1,C1EPNACXX121228:5:2316:4985:45920/1,C1EPNACXX121228:5:1202:3938:33156/2,C1EPNACXX121228:5:1104:12717:82317/2,C1EPNACXX121228:4:1216:6688:77929/1,C1EPNACXX121228:4:1210:3717:49393/1,C1EPNACXX121228:4:1106:6808:6769/2,C1EKGACXX121217:8:2106:20875:52233/2,C1EKGACXX121217:8:1303:18033:20186/2,C1EKGACXX121217:7:2308:14200:1675/1,C1EKGACXX121217:4:1314:15751:11091/1,C1EKGACXX121217:3:1312:10438:49663/2,C19U9ACXX121216:8:2314:6548:34784/2,C19U9ACXX121216:7:1307:8929:85236/1,C19U9ACXX121216:6:1304:14087:56442/1,C19U9ACXX121216:5:2302:11874:19748/1,C19U9ACXX121216:4:1208:9930:30070/1,C19U9ACXX121216:2:2112:4100:97749/1,C19U9ACXX121216:1:2116:20325:66670/1,C19U9ACXX121216:1:2116:12866:62920/2,C19MCACXX121216:8:2316:2869:21827/1,C19MCACXX121216:8:2208:1790:51831/2,C19MCACXX121216:8:1213:17505:7575/2,C19MCACXX121216:7:2213:5952:17588/2,C19MCACXX121216:6:2101:13507:100207/1,C19MCACXX121216:6:1113:20995:44536/1,C19MCACXX121216:6:1111:17470:19370/1,C1EYGACXX121228:8:2107:20391:83833/2,C1EYGACXX121228:6:1202:16082:21976/2,C1EKGACXX121217:4:1207:14371:92985/1,C1EKGACXX121217:8:2302:4970:63595/1,C1EYGACXX121228:6:2213:12312:8322/2,C1EPNACXX121228:5:2215:10669:29393/2,C1EKGACXX121217:2:2210:7144:69374/1,C19U9ACXX121216:8:1108:10281:97408/2,C19U9ACXX121216:7:2105:10852:65623/2,C19U9ACXX121216:4:1209:8497:23846/1,C19MCACXX121216:2:2310:13719:93826/1,C19MCACXX121216:2:2210:3746:99806/1,C19MCACXX121216:2:1310:19816:69846/1,C1EPNACXX121228:5:1204:8865:57795/2,C1EKGACXX121217:6:2113:12043:58257/1,C19U9ACXX121216:5:2316:9193:47852/1,C19U9ACXX121216:2:1310:3135:20459/1,C19MCACXX121216:1:2203:21093:22661/1,	C19U9ACXX121216:7:1115:21343:6056,C1EKGACXX121217:7:1109:12428:30066,C1EPNACXX121228:5:2315:16629:39076,	C19U9ACXX121216:1:2211:18598:15757,C1EKGACXX121217:5:2103:3241:11355,
chr9_125719488_+:chr5_36666586_-	interchromosomal	0	na	8	3	3	100	2	66.6667	5	7	58.3333	100	100	0	0	na	na	GT	AG	125719416	36666538	0	na	na	ENSG00000011454.12	ENSG00000250155.1	RABGAP1	CTD-2353F22.1	protein_coding	antisense	C1EKGACXX121217:1:1216:11684:4217/1,C1EYGACXX121228:2:2215:11331:84173/1,C1EYGACXX121228:8:1305:5999:59836/1,	C19U9ACXX121216:1:2309:14213:45214,C1EPNACXX121228:6:1316:17022:11151,C19MCACXX121216:8:1310:13085:5193,C1EYGACXX121228:7:2203:15599:18773,C19U9ACXX121216:5:2102:14358:87171,	C1EPNACXX121228:2:2214:7794:100160,C19MCACXX121216:6:2313:9055:15342,C1EYGACXX121228:4:2104:2945:24923,C1EPNACXX121228:3:2306:4147:79613,C1EPNACXX121228:3:1102:4341:30443,C1EYGACXX121228:6:1114:1361:55798,C1EYGACXX121228:4:1105:10345:2102,
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	6	5	3	60	4	80	1	0	0	100	100	0	0	na	na	GT	AG	85028969	84967556	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C1EPNACXX121228:8:2304:14463:29614/1,C19U9ACXX121216:2:1202:5360:17686/2,C19U9ACXX121216:2:1202:5360:17686/2,C1EYGACXX121228:5:1103:5093:31687/1,C19U9ACXX121216:1:1105:3687:5335/2,	C1EPNACXX121228:5:2312:4554:16667,	na
chr16_21698969_+:chr16_21623966_+	inverted	0	na	42	29	21	72.4138	1	3.44828	13	2	13.3333	100	100	0	0	na	na	GT	AG	21698884	21624048	1	0	na	ENSG00000155719.12	ENSG00000197006.9	OTOA	METTL9	protein_coding	protein_coding	C1EPNACXX121228:3:1105:2426:42897/1,C1EKGACXX121217:6:2213:16365:43789/2,C19U9ACXX121216:8:2203:5697:60667/1,C1EPNACXX121228:6:1216:9189:38830/1,C19U9ACXX121216:6:2105:14100:86968/1,C19U9ACXX121216:5:1107:4630:51667/1,C1EPNACXX121228:5:1204:18445:36000/2,C19U9ACXX121216:3:2114:2194:92645/2,C19U9ACXX121216:6:2115:5084:11422/1,C1EYGACXX121228:2:1116:19950:15547/1,C1EYGACXX121228:3:1214:17127:35612/1,C1EKGACXX121217:2:2315:5835:21063/2,C19U9ACXX121216:1:2214:10503:88254/1,C1EKGACXX121217:2:1105:13497:2656/1,C1EKGACXX121217:7:1215:3406:77409/1,C1EYGACXX121228:2:2109:12461:90111/2,C19U9ACXX121216:6:2114:20669:93528/2,C19MCACXX121216:2:1114:17365:91858/1,C1EPNACXX121228:7:2301:4483:13933/2,C1EKGACXX121217:5:2103:16541:91510/2,C19MCACXX121216:7:2108:19555:29631/1,C1EYGACXX121228:2:1116:19950:15547/2,C1EPNACXX121228:5:1206:3116:87657/2,C19MCACXX121216:7:2108:19555:29631/2,C19MCACXX121216:1:1113:4702:30615/1,C1EYGACXX121228:6:2207:7408:81943/1,C19U9ACXX121216:1:1209:10826:73353/2,C19MCACXX121216:8:1315:7771:91338/2,C19U9ACXX121216:4:1109:16651:14098/1,	C19U9ACXX121216:5:1211:2604:77118,C19U9ACXX121216:7:2304:17667:100391,C1EKGACXX121217:2:2205:6110:96861,C1EYGACXX121228:1:2213:2778:80652,C19U9ACXX121216:3:2308:2232:3180,C1EPNACXX121228:8:1201:9440:25749,C19MCACXX121216:8:2310:14045:64970,C19MCACXX121216:7:2216:7665:78994,C1EKGACXX121217:8:1101:18281:17776,C1EYGACXX121228:4:2210:4182:55239,C1EPNACXX121228:7:2208:15057:68476,C19MCACXX121216:8:2304:14185:53758,C19MCACXX121216:5:2114:4511:39623,	C1EKGACXX121217:2:1204:16017:8692,C19U9ACXX121216:7:1116:8600:53208,
chr2_166702463_-:chr2_166689725_-	readthrough	0	na	42	33	27	81.8182	7	21.2121	9	7	43.75	100	100	0	0	na	na	GT	AG	166702562	166689626	1	1	12738	ENSG00000229195.1	ENSG00000232411.1	AC009495.4	AC009495.3	lincRNA	lincRNA	C1EPNACXX121228:4:1213:9309:45612/2,C1EYGACXX121228:4:2305:14289:51166/2,C19U9ACXX121216:4:1107:12840:99546/2,C1EKGACXX121217:6:2311:12412:22283/1,C1EKGACXX121217:2:2101:4175:6598/1,C19U9ACXX121216:4:2310:2686:41318/2,C1EKGACXX121217:3:1210:19498:41367/2,C1EPNACXX121228:2:2211:16103:47111/2,C19U9ACXX121216:1:2112:5118:16276/1,C1EKGACXX121217:5:1311:10986:49077/1,C19MCACXX121216:8:1212:4740:69698/2,C1EYGACXX121228:8:2204:18178:49164/1,C1EYGACXX121228:3:1201:4286:48256/2,C19MCACXX121216:3:1304:12030:76737/2,C1EYGACXX121228:8:2204:18178:49164/2,C19MCACXX121216:1:1107:16080:66621/2,C19U9ACXX121216:4:1107:12840:99546/1,C1EYGACXX121228:6:2308:21147:51443/1,C19U9ACXX121216:6:2112:9542:33152/2,C19U9ACXX121216:3:1210:8060:40872/2,C1EYGACXX121228:5:1205:4836:82803/1,C19U9ACXX121216:5:1214:4429:6125/1,C1EKGACXX121217:8:1309:20510:63741/2,C1EKGACXX121217:3:2116:1337:82000/2,C1EKGACXX121217:4:2301:12724:84714/1,C19U9ACXX121216:5:2313:2310:5027/1,C19MCACXX121216:8:2312:3214:17782/2,C1EPNACXX121228:7:2113:19742:35643/1,C1EYGACXX121228:7:2316:10306:72751/1,C1EKGACXX121217:3:2116:1337:82000/1,C19U9ACXX121216:6:1205:21068:94690/1,C19U9ACXX121216:3:2203:5270:29729/2,C1EKGACXX121217:3:1210:19498:41367/1,	C1EKGACXX121217:5:2305:5905:86363,C1EPNACXX121228:8:1212:8033:77933,C19U9ACXX121216:8:1209:1992:72469,C19U9ACXX121216:4:2210:12374:95160,C19MCACXX121216:4:1307:3400:94108,C1EKGACXX121217:8:1208:10684:72951,C1EYGACXX121228:4:2203:13203:20342,C1EPNACXX121228:8:1107:12323:87625,C1EPNACXX121228:6:1108:2544:2170,	C1EKGACXX121217:6:2213:19938:83768,C1EKGACXX121217:1:2209:11510:33489,C1EKGACXX121217:6:2312:5381:54418,C1EKGACXX121217:8:1113:8170:76366,C1EYGACXX121228:6:2206:12438:70187,C19MCACXX121216:3:2201:18445:12411,C1EKGACXX121217:5:2313:16677:51749,
chr14_66200099_+:chr14_73763993_-	interstrand	0	na	11	8	7	87.5	0	0	3	3	50	100	100	0	0	na	na	GT	AG	66200029	73763923	0	na	na	ENSG00000033170.12	ENSG00000133961.15	FUT8	NUMB	protein_coding	protein_coding	C1EPNACXX121228:6:2308:12465:60538/1,C19MCACXX121216:6:2207:9770:45397/1,C19MCACXX121216:3:1205:17069:62049/1,C1EYGACXX121228:6:1316:7900:71416/2,C1EKGACXX121217:2:2204:21193:81409/1,C1EKGACXX121217:4:1216:11612:61534/1,C19MCACXX121216:6:1216:11716:95498/1,C19MCACXX121216:2:1205:7812:39453/1,	C19MCACXX121216:2:2212:8627:77248,C19MCACXX121216:5:2316:5717:57211,C19U9ACXX121216:1:1212:6122:93917,	C1EPNACXX121228:6:1207:2165:13664,C1EYGACXX121228:6:2101:12926:35653,C1EKGACXX121217:4:2106:10164:38773,
