#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
59331	21	36421139	[36421137,36421602]	14	106312010	[106311708,106312018]	1665	445	RUNX1	IGHD	inter-chromosomal
110989	22	19363154	[19363153,19363315]	22	30421619	[30421616,30421959]	38	15	C22orf39;HIRA	MTMR3	intra-chromosomal
110227	8	128806980	[128806790,128806980]	21	36437369	[36437211,36437369]	37	12	PVT1	RUNX1	inter-chromosomal
133058	7	29720310	[29720306,29720405]	7	29690955	[29690862,29690955]	39	0	MIR550A3	AC007255.7	readthrough-intersecting
110624	22	17083105	[17082962,17083105]	5	121814516	[121814349,121814517]	31	1	TPTEP1	CTC-210G5.1	inter-chromosomal
59344	14	106329408	[106329408,106329690]	8	128698922	[128698918,128699136]	20	6	IGHJ3P;IGHJ6	RP11-1136L8.1	inter-chromosomal
58317	14	81362062	[81362062,81362134]	14	81682858	[81682757,81682859]	18	4	CEP128	GTF2A1	intra-chromosomal
15619	1	145611341	[145611050,145611341]	1	145747042	[145747041,145747253]	20	2	RNF115	PDZK1	intra-chromosomal
5809	1	51906019	[51906018,51906106]	1	51787497	[51787393,51787499]	15	3	EPS15	TTC39A	readthrough-adjacent
111666	22	23438605	[23438360,23438607]	22	22673254	[22673254,22673517]	15	2	GNAZ	IGLV5-52;LL22NC03-80A10.6	intra-chromosomal
76968	16	28746905	[28746752,28746905]	16	70030371	[70030293,70030370]	15	2	EIF3C	PDXDC2P;RP11-419C5.2	intra-chromosomal
46132	12	53873467	[53873375,53873469]	7	138853333	[138853306,138853338]	19	0	PCBP2	TTC26	inter-chromosomal
54755	6	35028030	[35027924,35028031]	14	23635749	[23635656,23635756]	15	1	ANKS1A	SLC7A8	inter-chromosomal
110496	21	47656240	[47656140,47656245]	21	47858077	[47858074,47858179]	13	2	MCM3AP-AS1	PCNT	intra-chromosomal
77830	16	89973730	[89973650,89973730]	16	89334454	[89334346,89334454]	15	1	TCF25	ANKRD11	intra-chromosomal
39536	16	89556653	[89556653,89556763]	11	73441868	[73441809,73441869]	11	2	ANKRD11	RAB6A	inter-chromosomal
5808	1	51906019	[51906019,51906105]	1	51778615	[51778484,51778617]	2	6	EPS15	TTC39A	readthrough-adjacent
110987	22	30418686	[30418598,30418688]	22	19349459	[19349250,19349459]	7	3	MTMR3	C22orf39;HIRA	intra-chromosomal
139587	8	21861541	[21861465,21861542]	8	21882947	[21882944,21883031]	13	0	XPO7	NPM2	readthrough-adjacent
56956	14	61189834	[61189778,61189836]	14	61262935	[61262933,61263028]	13	0	SIX4	MNAT1	readthrough-adjacent
25360	1	243589860	[243589729,243589860]	14	102550831	[102550831,102550903]	6	3	SDCCAG8	HSP90AA1	inter-chromosomal
35773	11	31392406	[31392263,31392406]	11	31648657	[31648656,31648715]	8	2	DNAJC24	ELP4	intra-chromosomal
61925	15	41991357	[41991262,41991357]	15	42126938	[42126936,42127091]	6	3	MGA	JMJD7;JMJD7-PLA2G4B	intra-chromosomal
91630	19	34957919	[34957830,34957920]	19	34981281	[34981279,34981355]	9	0	UBA2	WTIP	readthrough-adjacent
145275	9	71714978	[71714889,71714978]	9	71766566	[71766566,71766644]	9	0	FXN	TJP2	intra-chromosomal
44875	12	31478770	[31478770,31478839]	12	31451158	[31451078,31451159]	8	0	AC024940.1	FAM60A	readthrough-intersecting
33142	10	125852985	[125852982,125853075]	10	125639827	[125639752,125639827]	7	0	CHST15	CPXM2	intra-chromosomal
123866	5	39021141	[39021140,39021238]	5	38530768	[38530608,38530770]	3	2	RICTOR	LIFR	intra-chromosomal
122207	4	140291558	[140291473,140291558]	4	140393840	[140393838,140393981]	5	1	NAA15	RAB33B	intra-chromosomal
110991	22	30421619	[30421618,30421871]	22	19371143	[19371142,19371228]	1	3	MTMR3	C22orf39;HIRA	intra-chromosomal
57830	20	52120656	[52120654,52120757]	14	72374874	[72374874,72375128]	3	2	RP5-823G15.5	RP6-114E22.1	inter-chromosomal
77832	16	89334524	[89334524,89334747]	16	89976999	[89976999,89977071]	2	2	ANKRD11	TCF25	intra-chromosomal
97048	2	69732701	[69732701,69732762]	2	69693684	[69693592,69693684]	6	0	AAK1	AC114772.1	readthrough-intersecting
32427	10	105727653	[105727460,105727654]	5	13701545	[13701401,13701544]	2	2	SLK	DNAH5	inter-chromosomal
129624	6	27861759	[27861667,27861759]	6	27925775	[27925775,27925859]	5	0	HIST1H2BO	OR2B6	intra-chromosomal
149635	X	138870351	[138870351,138870465]	X	138733947	[138733892,138733949]	3	1	ATP11C	MCF2	readthrough-adjacent
146854	X	46772154	[46772094,46772155]	X	46949175	[46949173,46949249]	4	0	PHF16	RGN	readthrough-adjacent
146853	X	46771775	[46771700,46771776]	X	46949175	[46949174,46949268]	4	0	PHF16	RGN	readthrough-adjacent
120574	4	71555308	[71555307,71555372]	4	71532231	[71532144,71532232]	4	0	UTP3	IGJ	readthrough-adjacent
