juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr17_37793484_+:chr20_53259997_+	interchromosomal	0	na	12	4	4	100	0	0	8	0	0	100	100	0	0	na	na	GT	AG	37793451	53260024	0	na	na	ENSG00000131748.11	ENSG00000101134.7	STARD3	DOK5	protein_coding	protein_coding	HWI-EAS418:5:17:1677:699/2,HWI-EAS418:5:98:1488:474/1,HWI-EAS418:5:98:1488:474/2,HWI-EAS418:3:63:975:384/2,	HWI-EAS418:3:72:1071:381,HWI-EAS418:3:55:344:598,HWI-EAS418:3:80:1314:1684,HWI-EAS418:5:6:597:785,HWI-EAS418:6:83:899:364,HWI-EAS418:3:76:672:152,HWI-EAS418:5:74:1667:1554,HWI-EAS418:6:22:262:461,	na
chr20_45852970_-:chr20_34078463_+	interstrand	0	na	37	5	3	60	0	0	32	7	17.9487	100	100	0	0	na	na	GT	AG	45853002	34078495	0	na	na	ENSG00000101040.15	ENSG00000126001.11	ZMYND8	CEP250	protein_coding	protein_coding	HWI-EAS418:5:71:459:1320/1,HWI-EAS418:5:33:1184:1858/2,HWI-EAS418:6:82:1388:359/2,HWI-EAS418:6:34:1387:939/2,HWI-EAS418:5:22:892:1349/1,	HWI-EAS418:3:43:1736:926,HWI-EAS418:3:84:741:255,HWI-EAS418:3:45:286:1632,HWI-EAS418:3:63:889:1520,HWI-EAS418:3:30:1739:1296,HWI-EAS418:3:59:673:1804,HWI-EAS418:3:71:1780:231,HWI-EAS418:3:84:1336:71,HWI-EAS418:3:84:1566:797,HWI-EAS418:3:69:1592:1727,HWI-EAS418:3:27:399:586,HWI-EAS418:3:25:1251:63,HWI-EAS418:3:1:389:452,HWI-EAS418:3:85:1331:401,HWI-EAS418:3:24:93:1446,HWI-EAS418:5:39:1149:1100,HWI-EAS418:3:81:508:372,HWI-EAS418:3:79:1590:800,HWI-EAS418:3:91:1443:392,HWI-EAS418:3:1:1524:345,HWI-EAS418:3:46:273:1927,HWI-EAS418:5:83:860:671,HWI-EAS418:3:59:260:65,HWI-EAS418:5:51:1315:928,HWI-EAS418:5:20:1647:1501,HWI-EAS418:6:6:1410:515,HWI-EAS418:5:31:1488:334,HWI-EAS418:6:91:1008:1942,HWI-EAS418:6:58:1470:96,HWI-EAS418:5:6:1252:687,HWI-EAS418:5:29:570:915,HWI-EAS418:3:25:1307:1339,	HWI-EAS418:5:80:1678:205,HWI-EAS418:6:2:921:1645,HWI-EAS418:6:80:904:473,HWI-EAS418:3:79:1563:1848,HWI-EAS418:3:63:1452:190,HWI-EAS418:3:8:904:1786,HWI-EAS418:3:34:1661:496,
chr20_33665849_-:chr17_36478009_+	interchromosomal	0	na	4	2	2	100	1	50	2	5	71.4286	100	100	0	0	na	na	GT	AG	33665879	36478041	0	na	na	ENSG00000100991.7	ENSG00000174100.5	TRPC4AP	MRPL45	protein_coding	protein_coding	HWI-EAS418:5:97:1356:1637/1,HWI-EAS418:6:98:664:2038/1,	HWI-EAS418:3:50:738:240,HWI-EAS418:6:62:547:150,	HWI-EAS418:6:53:1603:575,HWI-EAS418:6:72:96:1542,HWI-EAS418:5:42:1230:512,HWI-EAS418:6:83:241:1374,HWI-EAS418:3:95:898:191,
chr17_57161363_-:chr17_34863763_-	intrachromosomal	0	na	10	9	5	55.5556	7	77.7778	1	0	0	100	100	0	0	na	na	GT	AG	57161409	34863718	1	1	22297600	ENSG00000108395.9	ENSG00000141140.12	TRIM37	MYO19	protein_coding	protein_coding	HWI-EAS418:6:85:1228:1056/1,HWI-EAS418:6:85:1228:1056/1,HWI-EAS418:6:2:1243:1560/2,HWI-EAS418:3:18:1101:1051/2,HWI-EAS418:6:21:1070:1329/1,HWI-EAS418:6:21:1070:1329/1,HWI-EAS418:5:90:1200:1518/2,HWI-EAS418:5:90:1200:1518/2,HWI-EAS418:5:90:1200:1518/2,	HWI-EAS418:3:83:910:1531,	na
chr20_61569148_-:chr20_36634799_-	intrachromosomal	0	na	10	6	5	83.3333	6	100	4	2	33.3333	100	100	0	0	na	na	GT	AG	61569196	36634751	1	1	24934349	ENSG00000101191.12	ENSG00000101407.8	DIDO1	TTI1	protein_coding	protein_coding	HWI-EAS418:3:99:210:1419/1,HWI-EAS418:5:90:248:1676/2,HWI-EAS418:5:90:248:1676/2,HWI-EAS418:3:79:761:508/1,HWI-EAS418:5:69:1161:117/2,HWI-EAS418:5:85:282:296/2,	HWI-EAS418:5:48:212:127,HWI-EAS418:3:84:1064:722,HWI-EAS418:6:20:94:678,HWI-EAS418:3:71:1267:73,	HWI-EAS418:3:40:1545:189,HWI-EAS418:3:2:602:300,
chr2_74213833_+:chr2_74230237_+	readthrough	0	na	23	14	13	92.8571	5	35.7143	9	0	0	100	100	0	0	na	na	GT	AG	74213788	74230283	1	1	16404	ENSG00000255989.1	ENSG00000187605.11	RP11-711M9.1	TET3	lincRNA	protein_coding	HWI-EAS418:6:74:1635:886/2,HWI-EAS418:5:87:480:295/1,HWI-EAS418:3:37:462:802/2,HWI-EAS418:5:66:429:1641/2,HWI-EAS418:6:5:381:1917/1,HWI-EAS418:3:24:727:56/2,HWI-EAS418:6:75:465:1991/1,HWI-EAS418:3:88:1144:1090/2,HWI-EAS418:3:1:1149:1842/2,HWI-EAS418:6:56:1455:822/1,HWI-EAS418:6:59:846:1630/2,HWI-EAS418:5:62:309:1313/2,HWI-EAS418:6:35:790:578/2,HWI-EAS418:5:85:575:1426/1,	HWI-EAS418:3:2:274:2026,HWI-EAS418:3:28:1098:311,HWI-EAS418:3:55:1578:1089,HWI-EAS418:3:2:919:1120,HWI-EAS418:6:44:1561:1293,HWI-EAS418:3:31:1575:1195,HWI-EAS418:3:32:1215:707,HWI-EAS418:3:23:605:352,HWI-EAS418:3:57:489:1030,	na
chr20_56964573_+:chr17_37922746_-	interchromosomal	0	na	13	4	4	100	0	0	9	36	80	100	100	0	0	na	na	GT	AG	56964546	37922715	0	na	na	ENSG00000124164.11	ENSG00000161405.12	VAPB	IKZF3	protein_coding	protein_coding	HWI-EAS418:3:9:135:1517/1,HWI-EAS418:3:96:1138:1476/1,HWI-EAS418:3:36:203:573/1,HWI-EAS418:3:68:1282:805/1,	HWI-EAS418:3:92:506:453,HWI-EAS418:3:79:1504:1550,HWI-EAS418:3:35:1622:104,HWI-EAS418:3:4:913:1078,HWI-EAS418:3:27:1369:1276,HWI-EAS418:3:38:1318:1047,HWI-EAS418:3:25:905:834,HWI-EAS418:3:68:676:1742,HWI-EAS418:3:47:1687:1115,	HWI-EAS418:3:37:1200:754,HWI-EAS418:3:88:1660:1478,HWI-EAS418:3:30:563:86,HWI-EAS418:3:15:977:462,HWI-EAS418:3:51:845:46,HWI-EAS418:3:94:1505:491,HWI-EAS418:5:82:539:1816,HWI-EAS418:3:8:288:845,HWI-EAS418:6:5:262:168,HWI-EAS418:6:10:693:1135,HWI-EAS418:3:94:883:564,HWI-EAS418:3:50:811:756,HWI-EAS418:5:57:83:1747,HWI-EAS418:3:70:1456:2024,HWI-EAS418:6:76:1235:323,HWI-EAS418:6:75:1605:331,HWI-EAS418:5:48:829:308,HWI-EAS418:3:55:1037:1437,HWI-EAS418:3:80:106:232,HWI-EAS418:6:3:489:1603,HWI-EAS418:6:76:369:1697,HWI-EAS418:6:21:1685:113,HWI-EAS418:3:92:1603:1716,HWI-EAS418:3:9:603:352,HWI-EAS418:3:91:1530:1161,HWI-EAS418:3:27:958:1964,HWI-EAS418:3:20:617:294,HWI-EAS418:3:86:1382:191,HWI-EAS418:6:53:343:2035,HWI-EAS418:5:92:38:1714,HWI-EAS418:3:80:641:1300,HWI-EAS418:3:21:1266:1374,HWI-EAS418:5:4:633:1904,HWI-EAS418:6:90:313:679,HWI-EAS418:6:4:1491:1281,HWI-EAS418:3:13:1215:1029,
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	9	5	4	80	1	20	4	2	33.3333	100	100	0	0	na	na	GT	AG	46781707	47046213	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	HWI-EAS418:6:78:1280:33/1,HWI-EAS418:6:83:1704:1940/1,HWI-EAS418:6:83:1703:1938/1,HWI-EAS418:3:5:67:1077/2,HWI-EAS418:5:92:1170:1512/1,	HWI-EAS418:6:11:573:1867,HWI-EAS418:6:88:1371:876,HWI-EAS418:5:40:652:283,HWI-EAS418:3:18:859:42,	HWI-EAS418:3:92:1660:1070,HWI-EAS418:3:5:1099:1173,
chr20_34243124_-:chr20_43804502_+	interstrand	0	na	5	1	1	100	0	0	4	1	20	100	100	0	0	na	na	GT	AG	34243143	43804531	0	na	na	ENSG00000214078.7,ENSG00000272897.1	ENSG00000124102.4	CPNE1,RP1-309K20.6	PI3	protein_coding,protein_coding	protein_coding	HWI-EAS418:6:32:1421:1443/2,	HWI-EAS418:3:100:1341:1764,HWI-EAS418:5:91:762:1205,HWI-EAS418:3:88:1309:53,HWI-EAS418:3:96:1016:92,	HWI-EAS418:3:84:644:1073,
chr17_57232492_-:chr17_34863763_-	intrachromosomal	0	na	18	14	9	64.2857	10	71.4286	4	1	20	100	100	0	0	na	na	GT	AG	57232536	34863722	1	1	22368729	ENSG00000182628.8	ENSG00000141140.12	SKA2	MYO19	protein_coding	protein_coding	HWI-EAS418:3:27:935:416/2,HWI-EAS418:3:27:935:416/2,HWI-EAS418:3:81:1777:438/1,HWI-EAS418:3:22:536:1282/1,HWI-EAS418:6:54:478:1993/2,HWI-EAS418:6:54:478:1993/2,HWI-EAS418:5:60:387:1535/1,HWI-EAS418:5:60:387:1535/1,HWI-EAS418:6:8:809:1140/1,HWI-EAS418:6:8:809:1140/1,HWI-EAS418:6:79:1066:281/1,HWI-EAS418:6:79:1066:281/1,HWI-EAS418:5:14:835:1484/1,HWI-EAS418:3:29:840:1176/2,	HWI-EAS418:3:26:1262:1087,HWI-EAS418:3:40:1263:1924,HWI-EAS418:3:84:1697:706,HWI-EAS418:5:52:776:370,	HWI-EAS418:5:46:639:303,
