juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr8_128231055_-:chr8_128215465_-	readthrough	0	na	26	21	16	76.1905	3	14.2857	5	0	0	100	74.359	0	2	na	na	GT	AG	128231152	128215388	1	1	15590	ENSG00000247844.1	ENSG00000254166.1	CCAT1	RP11-255B23.4	lincRNA	lincRNA	C0UNPACXX120727:6:2116:8440:95041/1,C0RTFACXX120719:8:2216:18290:91892/1,C0UNPACXX120727:8:2116:6557:79517/2,C0UNPACXX120727:6:1210:3398:32049/2,C0RTFACXX120719:3:1304:16474:22703/1,C0VHUACXX120727:6:2101:7721:41395/1,C0VHUACXX120727:3:1208:21257:5978/2,C0UNPACXX120727:7:1316:13567:20012/2,C0UNPACXX120727:1:2306:2722:72125/1,C0VHUACXX120727:4:1205:9317:95532/1,C0UNPACXX120727:2:2109:10561:43567/2,C0UNPACXX120727:3:1207:13644:89906/1,C0RTFACXX120719:6:1212:1529:37363/1,C0VHUACXX120727:6:1209:3373:54423/2,C0VHUACXX120727:4:2305:19961:11019/2,C0UNPACXX120727:7:2213:8588:51946/1,C0UNPACXX120727:2:2204:5987:28495/2,C0UNPACXX120727:4:2310:10882:16793/2,C0UNPACXX120727:7:1314:9417:24203/2,C0UNPACXX120727:7:2101:19416:67171/1,C0VHUACXX120727:8:2216:21299:7124/2,	C0RTFACXX120719:5:2112:14922:27555,C0RTFACXX120719:5:2215:2508:98868,C0UNPACXX120727:3:1208:9883:50025,C0VHUACXX120727:2:2215:14274:96610,C0RTFACXX120719:8:1106:14659:93164,	na
chr3_50655215_+:chr3_50708123_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	50655116	50708163	1	1	52908	ENSG00000114738.6	ENSG00000273356.1	MAPKAPK3	RP11-804H8.6	protein_coding	lincRNA	C0UNPACXX120727:2:1301:5832:2760/1,C0RTFACXX120719:8:2304:13361:4755/2,	C0RTFACXX120719:6:1305:11782:4350,	na
chr9_138830068_-:chr9_138774924_-	readthrough	0	na	6	5	5	100	4	80	1	0	0	100	100	0	0	na	na	GT	AG	138830167	138774827	1	1	55144	ENSG00000130560.4	ENSG00000130559.14	UBAC1	CAMSAP1	protein_coding	protein_coding	C0VHUACXX120727:5:2314:13420:68400/2,C0VHUACXX120727:2:2103:4869:65735/2,C0UNPACXX120727:2:1103:12105:92968/2,C0VHUACXX120727:8:1116:19214:27765/1,C0UNPACXX120727:3:2310:6255:81152/2,	C0VHUACXX120727:3:1109:1399:45878,	na
chr3_178577277_-:chr3_178525131_+	interstrand	0	na	3	1	1	100	0	0	2	2	50	100	100	0	0	na	na	GT	AG	178577313	178525194	0	na	na	ENSG00000237978.1	ENSG00000197584.7	RP11-385J1.2	KCNMB2	antisense	protein_coding	C0VHUACXX120727:2:1314:14741:84663/1,	C0UNPACXX120727:8:2109:3731:95418,C0UNPACXX120727:5:2210:15218:21229,	C0UNPACXX120727:2:2104:11300:29204,C0VHUACXX120727:2:2306:5742:89905,
chr16_67429090_-:chr16_67425020_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	67429131	67424951	1	1	4070	ENSG00000159714.6	ENSG00000159713.6	ZDHHC1	TPPP3	protein_coding	protein_coding	C0UNPACXX120727:5:2308:14270:11649/1,C0UNPACXX120727:1:2211:12798:90584/2,	C0VHUACXX120727:5:2310:17280:36253,	na
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	7	6	3	50	4	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	85028963	84967556	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C0VHUACXX120727:7:2109:2830:50955/1,C0RTFACXX120719:2:2205:6602:15993/2,C0RTFACXX120719:5:1111:19811:4633/1,C0RTFACXX120719:5:1111:19811:4633/1,C0VHUACXX120727:3:2110:7292:21886/2,C0UNPACXX120727:3:2111:6918:48312/1,	C0RTFACXX120719:5:2215:1069:19373,	na
chr5_118604602_+:chr5_118809603_+	intrachromosomal	0	na	8	5	5	100	1	20	3	0	0	100	100	0	0	178	87.64	GT	AG	118604505	118809697	1	1	205001	ENSG00000145779.7	ENSG00000133835.10	TNFAIP8	HSD17B4	protein_coding	protein_coding	C0VHUACXX120727:3:2304:4303:10712/1,C0RTFACXX120719:6:2102:7864:39766/2,C0VHUACXX120727:3:2304:4303:10712/2,C0UNPACXX120727:4:1108:8912:17225/2,C0RTFACXX120719:5:1308:8137:13163/2,	C0UNPACXX120727:4:1312:6728:62883,C0VHUACXX120727:6:2103:3663:87312,C0VHUACXX120727:4:2308:17059:70445,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	18	14	11	78.5714	3	21.4286	4	0	0	100	100	0	0	na	na	GT	AG	10269182	10282063	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	C0VHUACXX120727:5:1209:17939:3858/2,C0VHUACXX120727:8:2116:1695:62943/1,C0VHUACXX120727:4:2304:12949:78253/2,C0VHUACXX120727:7:1202:12122:23924/2,C0VHUACXX120727:4:2109:19126:81329/1,C0VHUACXX120727:3:2213:17750:10112/2,C0VHUACXX120727:2:2303:20081:7891/2,C0RTFACXX120719:8:1101:17769:4510/2,C0UNPACXX120727:4:1108:5142:57164/1,C0UNPACXX120727:3:2201:4584:3529/1,C0VHUACXX120727:6:1210:9417:79701/2,C0VHUACXX120727:2:1104:20215:93949/2,C0UNPACXX120727:4:2210:8868:49741/2,C0UNPACXX120727:4:2210:8868:49741/2,	C0VHUACXX120727:7:1106:4260:46180,C0UNPACXX120727:5:2113:3141:13468,C0RTFACXX120719:3:1313:11342:69328,C0UNPACXX120727:8:1308:5308:49264,	na
chr6_44200165_+:chr6_44216367_+	readthrough	0	na	24	23	10	43.4783	18	78.2609	1	0	0	96.6292	100	0	0	na	na	GT	AG	44200077	44216466	1	1	16202	ENSG00000112759.12	ENSG00000096384.15	SLC29A1	HSP90AB1	protein_coding	protein_coding	C0RTFACXX120719:6:2106:5673:37656/1,C0RTFACXX120719:6:2106:5673:37656/1,C0RTFACXX120719:8:2115:11142:88398/2,C0RTFACXX120719:3:2202:7241:75521/2,C0UNPACXX120727:1:1308:21386:39067/2,C0VHUACXX120727:4:2113:18187:47932/2,C0VHUACXX120727:4:2113:18187:47932/2,C0VHUACXX120727:5:1209:8787:61627/2,C0VHUACXX120727:3:1115:9513:83119/2,C0UNPACXX120727:7:2315:14927:76975/2,C0UNPACXX120727:7:2307:5544:71475/2,C0UNPACXX120727:6:2205:7040:13770/1,C0UNPACXX120727:5:2202:15444:62463/1,C0UNPACXX120727:3:1303:7640:10190/2,C0RTFACXX120719:5:2316:13786:42070/1,C0UNPACXX120727:6:2302:10934:70325/1,C0RTFACXX120719:7:1203:19340:73199/1,C0VHUACXX120727:4:1202:10300:84775/2,C0VHUACXX120727:4:1202:10300:84775/2,C0VHUACXX120727:4:1202:10300:84775/2,C0RTFACXX120719:6:2114:3687:79149/2,C0UNPACXX120727:1:2302:19332:72666/2,C0UNPACXX120727:1:1302:2082:15685/2,	C0VHUACXX120727:2:1207:19472:46278,	na
chr16_85391249_+:chr16_85682158_+	intrachromosomal	0	na	14	10	8	80	1	10	4	0	0	100	100	0	0	na	na	GT	AG	85391165	85682239	1	1	290909	ENSG00000261567.1	ENSG00000131149.13	RP11-680G10.1	GSE1	protein_coding	protein_coding	C0RTFACXX120719:2:1313:12642:86620/1,C0VHUACXX120727:4:2202:19269:40178/2,C0VHUACXX120727:4:1211:17091:5125/1,C0VHUACXX120727:7:2309:12819:7646/1,C0UNPACXX120727:1:1215:14603:47870/2,C0RTFACXX120719:3:2102:12098:60740/1,C0RTFACXX120719:5:2315:2570:8424/1,C0RTFACXX120719:5:2207:1451:18988/1,C0VHUACXX120727:2:2304:14313:39216/1,C0UNPACXX120727:1:2109:21042:86839/2,	C0RTFACXX120719:6:1104:19804:63293,C0RTFACXX120719:6:2314:5163:23369,C0UNPACXX120727:1:2312:12831:82812,C0RTFACXX120719:2:2107:3270:60688,	na
