#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
168016	7	137686350	[137686349,137686760]	7	136939715	[136939606,136939715]	49	21	CREB3L2	PTN	intra-chromosomal
94805	16	85205413	[85205203,85205413]	16	85391069	[85391067,85391216]	12	3	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
94811	16	85391249	[85391094,85391250]	16	85667520	[85667517,85667715]	12	2	RP11-680G10.1	KIAA0182	intra-chromosomal
97485	17	15603863	[15603200,15603863]	17	18602512	[18602467,18602512]	1	7	AC005324.8-001;ZNF286A	TRIM16L	intra-chromosomal
93024	16	54073254	[54073254,54073346]	16	53968021	[53967897,53968021]	8	2	FTO-IT1	FTO	readthrough-intersecting
152318	5	92919484	[92919480,92919576]	5	92899169	[92899096,92899169]	11	0	NR2F1	RP11-65F13.2	readthrough-intersecting
174256	9	71736642	[71736578,71736642]	9	71766566	[71766565,71766658]	11	0	RP11-265B8.4	TJP2	readthrough-intersecting
32838	3	11684911	[11684911,11685172]	10	53227483	[53227481,53227596]	7	1	VGLL4	PRKG1	inter-chromosomal
122247	2	107160448	[107160446,107160539]	2	107138642	[107138574,107138642]	9	0	AC108868.6	AC108868.5	readthrough-adjacent
58395	12	109551220	[109551126,109551220]	12	109577202	[109577199,109577282]	7	0	RP11-443D10.3	ACACB	readthrough-intersecting
132432	21	35469582	[35469506,35469582]	21	35497641	[35497641,35497733]	7	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
87375	16	20907630	[20907628,20907694]	16	20873965	[20873873,20873966]	6	0	ERI2	DCUN1D3	readthrough-intersecting
114929	19	49477470	[49477470,49477596]	2	10161866	[10161866,10162108]	2	2	GYS1	RP11-254F7.1	inter-chromosomal
10624	1	85028940	[85028938,85029019]	1	84967653	[84967571,84967653]	6	0	CTBS	GNG5	readthrough-intersecting
140089	3	123304648	[123304576,123304649]	3	123330081	[123330080,123330165]	6	0	MYLK-AS1	MYLK	readthrough-intersecting
74935	15	49090087	[49090087,49090248]	20	62704537	[62704534,62704782]	2	2	CEP152	RGS19	inter-chromosomal
