"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","DDX10:KIAA1377","chr11",108788745,"chr11",101863509,6925.235,"-",89,FALSE,TRUE,TRUE,"Locus_209_Transcript_8/28_Confidence_0.119_Length_2732",2666,"MediumConfidence","-"
"jaffa-direct","BTBD7:RP11-371E8.4","chr14",93799166,"chr14",93676170,122.996,"0",13,FALSE,TRUE,TRUE,"Locus_1029_Transcript_6/8_Confidence_0.633_Length_3563",3299,"MediumConfidence","-"
"jaffa-direct","TPM1:SUMO3","chr15",63336351,"chr21",46234019,Inf,"0",11,TRUE,TRUE,TRUE,"Locus_505_Transcript_39/134_Confidence_0.021_Length_2000",1649,"MediumConfidence","-"
"jaffa-direct","RP11-495P10.2:SEC22B","chr1",147931724,"chr1",145103908,2827.818,"-",9,FALSE,TRUE,TRUE,"Locus_3276_Transcript_14/18_Confidence_0.422_Length_2047",2008,"MediumConfidence","-"
"jaffa-direct","RP11-31F15.1:RP3-522D1.1","chr1",113499578,"chr1",113420352,79.224,"-",7,FALSE,TRUE,TRUE,"Locus_12738_Transcript_5/6_Confidence_0.375_Length_636",561,"MediumConfidence","-"
"jaffa-direct","PPP4R1:ANKRD20A19P","chr18",9614224,"chr13",24515879,Inf,"-",7,FALSE,TRUE,TRUE,"Locus_1938_Transcript_20/37_Confidence_0.046_Length_604",136,"MediumConfidence","-"
"jaffa-direct","TEAD1:ABCC8","chr11",12923660,"chr11",17474830,4551.17,"0",5,TRUE,TRUE,TRUE,"Locus_1608_Transcript_36/39_Confidence_0.005_Length_415",367,"MediumConfidence","-"
"jaffa-direct","CAPZA2:EEA1","chr7",116502704,"chr12",93258763,Inf,"-",5,TRUE,TRUE,TRUE,"Locus_5048_Transcript_14/16_Confidence_0.183_Length_5918",132,"MediumConfidence","-"
"jaffa-direct","MIR181A2HG:MAPKAP1","chr9",127421020,"chr9",128246862,825.844,"0",2,FALSE,TRUE,TRUE,"Locus_2708_Transcript_5/20_Confidence_0.222_Length_2601",288,"MediumConfidence","-"
"jaffa-direct","USP12:LINC01058","chr13",27745729,"chr13",30994082,3248.349,"-",2,FALSE,TRUE,TRUE,"Locus_20339_Transcript_4/4_Confidence_0.000_Length_762",150,"MediumConfidence","-"
"jaffa-direct","PSRC1:NCOR1","chr1",109825737,"chr17",15935797,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_2517_Transcript_27/39_Confidence_0.167_Length_2100",2011,"MediumConfidence","-"
"jaffa-direct","PAN3:VIM","chr13",28752072,"chr10",17275586,Inf,"-",1,TRUE,TRUE,TRUE,"Locus_15856_Transcript_7/8_Confidence_0.320_Length_666",47,"MediumConfidence","-"
"jaffa-direct","TUBB6:TUBB","chr18",12325473,"chr6",30691265,Inf,"267",58,NA,FALSE,TRUE,"Locus_429_Transcript_82/130_Confidence_0.042_Length_3500",825,"LowConfidence","-"
"jaffa-direct","HMGB2:ABHD2","chr4",174253371,"chr15",89678822,Inf,"150",89,NA,FALSE,TRUE,"Locus_279_Transcript_62/213_Confidence_0.006_Length_1844",528,"LowConfidence","-"
"jaffa-direct","IRAK1:RP11-162A12.2","chrX",153276555,"chr18",74534017,Inf,"90",49,NA,FALSE,TRUE,"Locus_158_Transcript_25/41_Confidence_0.077_Length_2033",616,"LowConfidence","-"
"jaffa-direct","TUBB6:TUBB","chr18",12325474,"chr6",30691266,Inf,"22",29,NA,FALSE,TRUE,"Locus_429_Transcript_55/130_Confidence_0.042_Length_1998",1052,"LowConfidence","-"
"jaffa-direct","RPL13P5:RPL13","chr12",6993573,"chr16",89627990,Inf,"19",22,NA,FALSE,TRUE,"Locus_1165_Transcript_29/52_Confidence_0.238_Length_2688",1819,"LowConfidence","-"
"jaffa-direct","ARHGEF12:ALKBH8","chr11",120298954,"chr11",107434286,12864.668,"3",23,NA,FALSE,TRUE,"Locus_1158_Transcript_23/24_Confidence_0.117_Length_1686",1396,"LowConfidence","-"
"jaffa-direct","GPX8:AAK1","chr5",54460171,"chr2",69690575,Inf,"23",2,NA,FALSE,TRUE,"Locus_229_Transcript_6/10_Confidence_0.399_Length_3257",2487,"LowConfidence","-"
"jaffa-direct","LINC00847:YWHAB","chr5",180261594,"chr20",43535976,Inf,"15",8,NA,FALSE,TRUE,"Locus_633_Transcript_47/71_Confidence_0.259_Length_3687",1434,"LowConfidence","-"
"jaffa-direct","FUT8:LEPREL1","chr14",65900529,"chr3",189675485,Inf,"8",6,NA,FALSE,TRUE,"Locus_1785_Transcript_5/7_Confidence_0.485_Length_3000",2117,"LowConfidence","-"
"jaffa-direct","THY1:POLR2L","chr11",119293972,"chr11",842520,118451.452,"1",10,NA,FALSE,TRUE,"Locus_13_Transcript_260/369_Confidence_0.059_Length_12213",7899,"LowConfidence","-"
"jaffa-direct","NME4:SAMD4B","chr16",450359,"chr19",39833155,Inf,"1",7,NA,FALSE,TRUE,"Locus_13_Transcript_187/369_Confidence_0.010_Length_5456",592,"LowConfidence","-"
