#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
35804	10	123243212	[123243203,123243317]	8	121301847	[121301844,121302005]	9763	3129	FGFR2	COL14A1	inter-chromosomal
165830	8	125551266	[125551266,125551323]	8	121013764	[121013762,121013856]	303	0	TATDN1	DEPTOR	intra-chromosomal
93691	16	85205413	[85205172,85205413]	16	85391069	[85391067,85391249]	23	6	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
22749	1	205696828	[205696820,205696933]	1	205801894	[205801726,205801896]	20	7	NUCKS1	PM20D1	intra-chromosomal
170865	X	37798942	[37798852,37798942]	X	37892787	[37892785,37892873]	28	0	AL121578.2	SYTL5	readthrough-intersecting
63153	14	24761402	[24761402,24761488]	14	24740517	[24740427,24740517]	22	0	DHRS1	RABGGTA	readthrough-adjacent
170872	X	37765393	[37765213,37765404]	X	37892778	[37892778,37893005]	15	3	AL121578.2	SYTL5	readthrough-intersecting
135933	3	178525131	[178525129,178525253]	3	178137163	[178137064,178137165]	19	1	KCNMB2	KCNMB2-IT1	readthrough-intersecting
141387	7	39773643	[39773311,39773646]	4	119526739	[119526742,119526908]	7	6	LINC00265	RP11-384K6.6	inter-chromosomal
170868	X	37808658	[37808563,37808658]	X	37892787	[37892785,37892868]	13	0	AL121578.2	SYTL5	readthrough-intersecting
170863	X	37765862	[37765690,37765862]	X	37892787	[37892785,37893006]	9	2	AL121578.2	SYTL5	readthrough-intersecting
71117	15	25683636	[25683633,25683931]	15	25981288	[25981203,25981290]	8	2	UBE3A	ATP10A	intra-chromosomal
114116	2	69732701	[69732701,69732792]	2	69693684	[69693603,69693684]	12	0	AAK1	AC114772.1	readthrough-intersecting
148994	5	92919484	[92919484,92919561]	5	92899169	[92899081,92899169]	12	0	NR2F1	RP11-65F13.2	readthrough-intersecting
166927	8	128231055	[128231055,128231142]	8	128200360	[128200289,128200361]	12	0	RP11-255B23.3	RP11-255B23.4	readthrough-adjacent
158414	7	102233813	[102233813,102234279]	7	44080778	[44080772,44080778]	1	5	RASA4;UPK3BL	AC017116.8	intra-chromosomal
60088	13	50601542	[50601365,50601547]	1	64014965	[64014651,64014965]	5	3	DLEU2	DLEU2L	inter-chromosomal
22748	1	205696828	[205696828,205696906]	1	205799507	[205799437,205799510]	10	0	NUCKS1	PM20D1	intra-chromosomal
152836	6	27861759	[27861666,27861759]	6	27925775	[27925775,27925836]	10	0	HIST1H2BO	OR2B6	intra-chromosomal
120165	20	29632721	[29632618,29632722]	2	170361515	[170361515,170361744]	7	1	FRG1B	BBS5	inter-chromosomal
49545	12	40258564	[40258564,40258656]	12	40224282	[40224198,40224285]	7	0	SLC2A13	AC121336.2	readthrough-intersecting
55822	12	110939916	[110939854,110939913]	8	125575233	[125575097,125575234]	1	3	VPS29	MTSS1	inter-chromosomal
155632	6	143267078	[143267078,143267207]	6	143158184	[143158072,143158186]	2	2	RP11-439L18.2	HIVEP2	readthrough-adjacent
90815	2	171627937	[171627721,171627937]	16	30749970	[30749970,30750171]	2	2	AC007405.6	SRCAP	inter-chromosomal
51202	12	54388800	[54388710,54388800]	12	54446944	[54446942,54447021]	5	0	HOXC6;HOXC9	HOXC4	readthrough-intersecting
172424	X	148571845	[148571843,148571922]	X	148615709	[148615706,148615775]	5	0	AF011889.5;IDS	AF011889.4	readthrough-intersecting
87078	16	20907630	[20907628,20907685]	16	20873965	[20873880,20873966]	5	0	ERI2	DCUN1D3	readthrough-intersecting
108379	19	42797385	[42797345,42797385]	2	219134771	[219134702,219134771]	4	0	CIC	AAMP	inter-chromosomal
