juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr13_88462739_-:chr13_88268010_-	intrachromosomal	0	na	8	4	4	100	0	0	4	0	0	100	100	2850	0	na	na	GT	AG	88462825	88267925	1	1	194729	ENSG00000272046.1	ENSG00000228824.2	RP11-471M2.3	MIR4500HG	lincRNA	lincRNA	D1JNMACXX121226:3:2216:17175:72507/1,D1ELHACXX121214:3:1214:11142:45878/2,D1ELWACXX121213:6:2214:5629:44365/2,D1JRNACXX121222:2:2205:10103:12993/1,	D1ELHACXX121214:2:2316:11319:65030,D1JRNACXX121222:7:1107:2970:95115,D1JRNACXX121222:8:2103:16767:100012,D1JNMACXX121226:1:2113:6679:38824,	na
chr10_118594446_-:chr10_118466796_-	intrachromosomal	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	118594460	118466711	1	1	127650	ENSG00000225302.1	ENSG00000165868.8	RP11-539I5.1	HSPA12A	antisense	protein_coding	D1ELWACXX121213:7:1104:16822:4125/2,	D1JRNACXX121222:5:2204:17620:55226,C1EBLACXX121222:4:2202:6174:70073,	na
chr11_44104861_+:chr11_44129233_+	readthrough	0	na	10	8	5	62.5	6	75	2	0	0	100	100	0	0	na	na	GT	AG	44104766	44129332	1	1	24372	ENSG00000110455.9	ENSG00000151348.9	ACCS	EXT2	protein_coding	protein_coding	D1JRNACXX121222:6:1202:7228:15553/2,D1JNMACXX121226:6:2101:13695:45909/2,D1ELWACXX121213:8:2316:3959:55289/2,D1ELWACXX121213:6:1303:3153:71087/1,D1JRNACXX121222:5:1105:2003:5751/1,D1JRNACXX121222:5:1105:2003:5751/2,C1EBLACXX121222:6:1303:17210:32682/1,C1EBLACXX121222:5:2203:9277:22381/1,	D1ELHACXX121214:4:1109:8271:20368,D1ELWACXX121213:2:1205:11830:34291,	na
chr11_63918711_-:chr11_63886249_-	readthrough	0	na	4	3	2	66.6667	2	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	63918810	63886228	1	1	32462	ENSG00000133315.6	ENSG00000256341.1	MACROD1	RP11-21A7A.3	protein_coding	antisense	D1JNMACXX121226:8:2105:19333:32925/1,D1ELWACXX121213:5:2209:13867:63794/2,D1JNMACXX121226:5:1108:15278:81487/1,	C1EBLACXX121222:4:2114:1515:21488,	na
chr3_196678692_-:chr3_196666303_-	readthrough	0	na	5	4	4	100	3	75	1	0	0	100	100	0	0	na	na	GT	AG	196678752	196666204	1	1	12389	ENSG00000119227.3	ENSG00000114503.6	PIGZ	NCBP2	protein_coding	protein_coding	C1EBLACXX121222:8:2108:12345:71747/2,D1ELHACXX121214:7:2105:11791:65853/2,D1JNMACXX121226:3:1301:15669:60032/1,D1ELWACXX121213:2:1309:9584:58358/2,	D1JRNACXX121222:7:1201:10837:65222,	na
chrX_153581140_-:chr7_128493769_+	interchromosomal	0	na	3	2	2	100	2	100	1	0	0	100	100	0	0	729	86.28	GT	AG	153581174	128493836	0	na	na	ENSG00000196924.10	ENSG00000128591.11	FLNA	FLNC	protein_coding	protein_coding	D1JRNACXX121222:7:1105:4412:90865/1,D1ELWACXX121213:2:1308:11836:35455/1,	D1ELWACXX121213:4:2214:7213:6900,	na
chr16_3998697_-:chr16_3993376_-	readthrough	0	na	9	6	6	100	2	33.3333	3	0	0	100	100	1087	0	na	na	GT	AG	3998771	3993277	1	1	5321	ENSG00000262185.1	ENSG00000262888.1	RP11-462G12.1	RP11-462G12.2	sense_overlapping	sense_overlapping	D1ELHACXX121214:8:1101:9691:36635/2,D1ELWACXX121213:6:2208:18033:43823/1,D1ELHACXX121214:8:1101:9691:36635/1,D1JRNACXX121222:5:1204:1255:48912/1,D1JRNACXX121222:5:1204:1255:48912/2,D1JNMACXX121226:8:1202:13506:56643/1,	D1ELHACXX121214:5:1105:6697:69624,C1EBLACXX121222:1:1212:10960:94823,D1JRNACXX121222:3:2312:17475:12731,	na
chr10_5141641_+:chr10_5254579_+	intrachromosomal	0	na	306	305	38	12.459	305	100	1	0	0	100	100	0	0	824	89.93	GT	AG	5141542	5254655	1	1	112938	ENSG00000196139.7	ENSG00000198610.6	AKR1C3	AKR1C4	protein_coding	protein_coding	D1JRNACXX121222:8:2105:14854:75286/2,D1JRNACXX121222:8:2105:14854:75286/2,D1JRNACXX121222:1:2103:15823:78958/2,D1JNMACXX121226:6:1106:1335:62145/1,D1JNMACXX121226:3:1107:20455:15276/1,D1JNMACXX121226:1:1109:19131:45498/1,D1ELWACXX121213:6:2106:9353:99792/1,D1ELWACXX121213:6:1315:15350:28023/1,D1ELWACXX121213:1:2313:1939:90174/1,D1ELHACXX121214:6:2104:9193:65943/1,D1JRNACXX121222:8:1306:15405:27056/2,D1JRNACXX121222:5:1209:9229:71319/2,D1JRNACXX121222:5:1209:9229:71319/2,D1JRNACXX121222:5:1209:9229:71319/2,D1JRNACXX121222:2:1101:17224:18156/2,D1JRNACXX121222:2:1101:17224:18156/2,D1JNMACXX121226:6:2105:8750:86533/1,D1JNMACXX121226:5:1310:3054:41774/1,D1JNMACXX121226:5:1213:18601:84707/2,D1JNMACXX121226:2:2103:14874:28976/2,D1ELWACXX121213:8:1112:6391:45074/1,D1ELWACXX121213:5:2215:16267:37035/1,D1ELWACXX121213:4:2204:16373:59963/1,D1ELWACXX121213:3:1307:16713:27708/1,D1ELWACXX121213:3:1307:16713:27708/1,D1ELHACXX121214:8:1206:10000:97092/2,D1ELHACXX121214:8:1206:10000:97092/2,D1ELHACXX121214:8:1112:3047:62547/1,D1ELHACXX121214:7:1213:16072:48844/1,D1ELHACXX121214:1:2315:21252:97977/1,D1ELHACXX121214:1:2302:12120:97667/2,D1ELHACXX121214:1:1305:10520:68139/1,D1ELHACXX121214:1:1201:5252:36540/1,C1EBLACXX121222:7:1105:5514:30663/2,C1EBLACXX121222:4:2307:9841:50236/2,C1EBLACXX121222:4:2106:10280:51769/2,C1EBLACXX121222:4:2106:10280:51769/2,C1EBLACXX121222:1:2215:16093:17973/2,C1EBLACXX121222:3:1207:8432:50068/2,D1JRNACXX121222:6:1102:2026:47940/1,D1JNMACXX121226:3:2214:4713:12347/1,D1ELWACXX121213:5:2116:14295:21107/1,D1ELWACXX121213:5:1216:13574:77378/1,D1ELWACXX121213:3:1215:19523:69955/1,D1ELWACXX121213:3:1113:16575:92284/1,D1ELWACXX121213:2:1201:9066:44697/1,D1ELWACXX121213:1:2112:6867:88294/1,D1JRNACXX121222:5:2216:11046:73193/2,D1JNMACXX121226:3:2108:18891:46830/2,D1ELWACXX121213:3:2212:15369:17758/1,C1EBLACXX121222:7:1116:3946:16864/1,D1JRNACXX121222:2:2115:7847:41456/2,D1JNMACXX121226:7:2310:8216:60623/2,D1JNMACXX121226:7:2310:8216:60623/2,D1JNMACXX121226:7:2310:8216:60623/2,D1JNMACXX121226:6:1210:17351:26170/1,D1ELWACXX121213:6:2108:1824:11837/1,D1ELWACXX121213:1:1307:7355:85219/1,D1ELHACXX121214:8:2302:15631:46130/2,D1ELHACXX121214:6:2313:14901:4746/2,C1EBLACXX121222:5:2211:4607:86669/2,C1EBLACXX121222:5:2211:4607:86669/2,D1ELWACXX121213:5:1312:13333:49735/1,D1JRNACXX121222:8:2215:3809:94501/2,D1JNMACXX121226:5:2212:17010:88154/2,D1ELWACXX121213:2:1309:12740:49717/1,D1ELHACXX121214:4:1312:10384:6785/1,C1EBLACXX121222:8:2210:9490:19009/2,D1JNMACXX121226:4:2207:9543:96662/1,D1JNMACXX121226:2:2108:9106:53590/1,D1ELWACXX121213:8:1206:16224:7050/1,D1ELWACXX121213:4:1315:14741:85408/1,D1ELHACXX121214:7:2305:4618:32738/1,D1ELHACXX121214:7:2207:21306:65242/1,D1ELHACXX121214:7:1108:4780:14111/1,D1ELHACXX121214:1:2108:7784:63829/1,C1EBLACXX121222:6:2303:1141:85898/1,C1EBLACXX121222:3:1116:12855:77245/1,D1JNMACXX121226:6:1316:16540:13787/1,D1ELWACXX121213:7:2204:14894:53832/1,D1ELWACXX121213:4:1314:6642:27944/1,D1ELHACXX121214:1:1106:4325:47701/1,C1EBLACXX121222:7:2211:8300:50058/1,D1ELWACXX121213:4:2212:9180:34051/2,D1JNMACXX121226:8:2306:8140:2381/2,D1JNMACXX121226:8:1105:3795:48851/1,D1JNMACXX121226:8:1105:3795:48851/1,D1JNMACXX121226:6:2107:17388:64169/1,D1ELWACXX121213:7:2201:17433:33469/1,D1ELHACXX121214:6:2309:14725:5920/1,D1ELWACXX121213:4:1312:12502:94208/1,D1JRNACXX121222:3:2215:18472:38082/1,D1JNMACXX121226:5:2306:7319:98539/1,D1JNMACXX121226:5:2306:7319:98539/1,D1JNMACXX121226:5:2306:7319:98539/1,D1JNMACXX121226:3:1309:16562:33416/1,D1ELWACXX121213:8:1206:7221:69190/1,D1ELWACXX121213:2:1309:12740:49717/2,D1ELHACXX121214:3:1104:9213:83509/1,D1ELHACXX121214:1:1111:17819:3410/1,C1EBLACXX121222:4:1311:7491:63917/1,C1EBLACXX121222:4:1311:7491:63917/1,D1JRNACXX121222:4:1103:6244:6901/1,D1JRNACXX121222:8:1315:13694:19765/1,D1JRNACXX121222:1:2103:15823:78958/1,D1JNMACXX121226:6:2202:9112:78191/1,D1JNMACXX121226:1:1110:19129:92877/1,D1ELWACXX121213:3:1316:6132:18066/1,D1ELWACXX121213:2:2304:10838:63162/1,D1ELHACXX121214:6:1111:14124:38439/1,C1EBLACXX121222:8:2112:14576:63480/1,D1ELHACXX121214:4:1106:11993:6815/2,D1JRNACXX121222:6:2301:18873:69896/1,D1JRNACXX121222:5:1110:3106:80436/1,D1JRNACXX121222:1:1105:7341:78160/1,D1JNMACXX121226:8:2215:19692:45960/1,D1JNMACXX121226:7:2208:16339:92925/1,D1JNMACXX121226:7:2208:16339:92925/1,D1JNMACXX121226:5:2109:7319:79776/1,D1JNMACXX121226:5:1212:20693:34453/1,D1JNMACXX121226:3:1312:18408:37649/1,D1JNMACXX121226:2:2103:14874:28976/1,D1ELWACXX121213:7:2310:15579:8997/1,D1ELWACXX121213:5:1307:3678:73737/1,D1ELWACXX121213:5:1112:10920:60604/2,D1ELWACXX121213:4:2311:8598:49222/1,D1ELWACXX121213:3:2109:18430:28004/1,D1ELWACXX121213:1:2210:13270:44818/1,D1ELHACXX121214:6:2215:7189:69056/1,D1ELHACXX121214:6:2202:15505:36045/1,D1ELHACXX121214:4:2206:9872:67832/1,D1ELHACXX121214:4:2206:9872:67832/1,D1ELHACXX121214:4:2206:9872:67832/1,D1ELHACXX121214:4:1316:19551:37527/1,D1ELHACXX121214:3:1116:7262:16686/1,D1ELHACXX121214:3:1111:21191:69952/1,D1ELHACXX121214:2:2215:8902:98968/1,D1JRNACXX121222:7:2101:5565:57580/1,D1JRNACXX121222:7:1204:10746:78866/2,D1JRNACXX121222:6:2113:3254:2066/2,D1JRNACXX121222:6:1311:15364:13544/2,D1JRNACXX121222:6:1112:9940:80237/1,D1JRNACXX121222:6:1104:7674:41993/2,D1JRNACXX121222:5:2112:17046:62075/2,D1JRNACXX121222:5:1314:17299:38068/2,D1JRNACXX121222:4:2110:8176:15232/2,D1JRNACXX121222:4:2110:8176:15232/2,D1JRNACXX121222:4:1109:3277:92077/2,D1JRNACXX121222:2:1316:20170:14790/2,D1JNMACXX121226:8:2215:19692:45960/2,D1JNMACXX121226:8:2212:8221:51504/1,D1JNMACXX121226:7:1312:8249:45094/2,D1JNMACXX121226:7:1304:16532:95718/1,D1JNMACXX121226:7:1105:14689:15418/2,D1JNMACXX121226:6:1308:10051:35490/1,D1JNMACXX121226:3:2116:10210:14725/1,D1JNMACXX121226:3:1312:7667:51761/1,D1JNMACXX121226:3:1301:12897:88959/1,D1JNMACXX121226:2:2305:14169:14782/2,D1JNMACXX121226:1:2311:9040:25519/2,D1JNMACXX121226:1:2311:9040:25519/2,D1JNMACXX121226:1:2210:13009:44124/2,D1JNMACXX121226:1:2210:13009:44124/2,D1JNMACXX121226:1:2210:13009:44124/2,D1JNMACXX121226:1:2108:16759:52916/2,D1JNMACXX121226:1:2108:16759:52916/2,D1ELWACXX121213:8:2305:10809:13296/1,D1ELWACXX121213:8:2211:2667:74308/1,D1ELWACXX121213:6:1105:13285:17251/1,D1ELWACXX121213:5:1213:16089:58290/1,D1ELWACXX121213:5:1213:16089:58290/1,D1ELWACXX121213:5:1112:10920:60604/1,D1ELWACXX121213:4:2303:16107:77877/1,D1ELWACXX121213:4:2116:5209:27191/2,D1ELWACXX121213:4:2116:5209:27191/2,D1ELWACXX121213:4:1111:2036:18459/1,D1ELWACXX121213:4:1111:2036:18459/1,D1ELWACXX121213:3:2214:6951:78434/1,D1ELWACXX121213:2:2212:16531:31973/2,D1ELWACXX121213:2:2210:5448:64089/1,D1ELWACXX121213:2:1109:2444:85378/1,D1ELWACXX121213:1:2111:13992:5458/1,D1ELHACXX121214:7:1212:19722:66288/1,D1ELHACXX121214:6:2301:9709:48725/2,D1ELHACXX121214:6:2113:10449:25281/1,D1ELHACXX121214:6:1316:16381:8402/1,D1ELHACXX121214:6:1114:9806:54852/1,D1ELHACXX121214:6:1106:16258:20479/2,D1ELHACXX121214:5:2303:1612:28373/1,D1ELHACXX121214:5:2213:10407:4775/2,D1ELHACXX121214:5:2108:5107:31096/1,D1ELHACXX121214:4:2212:9519:10561/2,D1ELHACXX121214:3:2307:4903:54191/1,D1ELHACXX121214:3:2210:8734:56162/1,D1ELHACXX121214:2:2205:5922:99351/1,D1ELHACXX121214:2:2204:20682:21880/1,D1ELHACXX121214:2:2204:20682:21880/1,D1ELHACXX121214:2:2204:20682:21880/1,D1ELHACXX121214:2:2110:5113:57673/1,D1ELHACXX121214:1:2108:7784:63829/2,C1EBLACXX121222:8:1108:21212:42904/2,C1EBLACXX121222:8:1108:21212:42904/2,C1EBLACXX121222:7:2101:10089:94412/2,C1EBLACXX121222:7:1312:16955:55130/1,C1EBLACXX121222:6:2311:5644:39781/2,C1EBLACXX121222:5:1315:17398:28847/2,C1EBLACXX121222:4:2310:1518:7743/2,C1EBLACXX121222:4:2307:17209:19899/2,C1EBLACXX121222:4:2307:17209:19899/2,C1EBLACXX121222:3:2106:7147:28035/1,C1EBLACXX121222:3:1116:12855:77245/2,C1EBLACXX121222:2:2202:18863:11843/1,C1EBLACXX121222:1:2215:5846:6100/2,C1EBLACXX121222:1:2103:17003:55490/1,C1EBLACXX121222:1:1205:10359:78987/2,C1EBLACXX121222:1:1205:10359:78987/2,D1JNMACXX121226:8:2212:8271:58154/1,D1JNMACXX121226:7:1202:9830:97574/1,D1JNMACXX121226:5:1305:20984:13820/1,D1ELWACXX121213:7:2208:15136:95261/1,D1JNMACXX121226:2:2310:11967:85114/2,D1ELWACXX121213:8:2307:12858:99055/1,D1JRNACXX121222:8:1311:20204:6808/2,D1JRNACXX121222:7:1212:11629:46834/1,D1JRNACXX121222:6:2103:7227:82164/2,D1JRNACXX121222:5:2214:12966:46831/2,D1JRNACXX121222:2:2202:13396:97978/1,D1JNMACXX121226:7:1209:13908:99165/2,D1JNMACXX121226:6:1115:4660:66135/2,D1JNMACXX121226:5:1210:10930:48034/1,D1JNMACXX121226:3:2313:5096:12931/2,D1JNMACXX121226:2:2114:13880:64042/2,D1JNMACXX121226:2:2111:17805:76054/2,D1ELWACXX121213:8:2305:9404:55114/1,D1ELWACXX121213:4:1111:11184:81747/2,D1ELWACXX121213:3:1115:6697:44090/1,D1ELWACXX121213:1:2101:19307:19837/1,D1ELHACXX121214:8:2306:6027:30439/1,D1ELHACXX121214:8:2115:16798:26845/1,D1ELHACXX121214:6:1211:18020:24072/1,D1ELHACXX121214:4:2205:4476:14687/1,D1ELHACXX121214:3:2209:10459:45870/1,C1EBLACXX121222:8:2110:18400:100899/1,C1EBLACXX121222:4:2311:17744:83479/1,C1EBLACXX121222:2:2305:6221:20133/2,C1EBLACXX121222:1:2114:2949:81319/2,D1JRNACXX121222:3:1207:4129:39264/1,D1JRNACXX121222:1:2110:19727:47540/1,D1JNMACXX121226:3:1311:8722:21580/1,D1ELWACXX121213:8:1310:12583:16598/1,D1ELWACXX121213:4:2105:12133:49396/1,D1ELWACXX121213:4:1108:4668:46809/1,D1ELWACXX121213:3:2214:6951:78434/2,D1ELHACXX121214:4:1113:18158:39253/1,C1EBLACXX121222:7:2215:13612:67682/2,C1EBLACXX121222:5:2205:9682:44999/1,C1EBLACXX121222:5:2110:8631:96250/1,C1EBLACXX121222:3:1310:20279:42527/1,C1EBLACXX121222:3:1207:7457:52115/1,D1JRNACXX121222:5:1214:3048:74166/2,D1JRNACXX121222:3:1214:11332:6545/2,D1JNMACXX121226:7:2213:2769:46276/1,D1JNMACXX121226:6:1206:14725:73095/1,D1JNMACXX121226:5:2311:11965:77550/2,D1JNMACXX121226:5:2311:11965:77550/2,D1JNMACXX121226:4:2209:7284:49684/1,D1JNMACXX121226:4:2209:7284:49684/1,D1JNMACXX121226:4:2209:7284:49684/1,D1JNMACXX121226:4:2116:9700:70344/1,D1JNMACXX121226:4:1316:5021:25618/1,D1ELWACXX121213:8:2211:3868:93692/1,D1ELWACXX121213:8:1213:20769:77954/1,D1ELWACXX121213:6:1216:16896:91520/1,D1ELWACXX121213:3:2104:20525:36125/1,D1ELWACXX121213:2:2310:4262:22108/1,D1ELWACXX121213:2:1310:5211:85705/2,D1ELWACXX121213:1:2307:15171:29862/1,D1ELHACXX121214:7:1302:18531:49869/2,D1ELHACXX121214:2:2207:10253:34799/1,D1ELHACXX121214:2:2207:10253:34799/1,C1EBLACXX121222:6:1208:17492:83699/1,C1EBLACXX121222:2:2305:3518:65700/1,D1JNMACXX121226:2:2310:14451:85681/1,D1ELHACXX121214:5:1310:7117:24346/1,D1JRNACXX121222:3:2103:13048:51367/1,C1EBLACXX121222:8:2316:4426:93190/2,C1EBLACXX121222:3:2308:9100:53447/2,C1EBLACXX121222:3:1209:17122:14610/1,D1ELWACXX121213:7:2304:12679:87696/1,D1JRNACXX121222:8:1103:11032:16602/2,D1JRNACXX121222:1:1102:4017:56713/1,D1ELHACXX121214:6:1212:1307:23863/2,D1JRNACXX121222:5:1216:17266:65469/1,D1JNMACXX121226:5:2213:13447:84758/1,D1JNMACXX121226:5:2213:13447:84758/1,D1JNMACXX121226:5:2213:13447:84758/1,D1ELHACXX121214:2:1215:11199:71830/1,C1EBLACXX121222:4:2316:4605:89318/2,D1ELHACXX121214:3:1306:17985:46804/1,D1JRNACXX121222:2:2111:5676:18881/2,D1JRNACXX121222:2:2101:13440:86119/1,D1ELHACXX121214:4:1112:5349:90814/1,C1EBLACXX121222:8:1301:2154:72442/2,C1EBLACXX121222:5:2103:12242:20382/2,D1ELHACXX121214:2:2308:19807:7279/1,	D1ELHACXX121214:2:1204:7114:54062,	na
chr9_13276573_-:chr9_13250371_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	13276641	13250305	1	1	26202	ENSG00000234740.1	ENSG00000107186.12	RP11-272P10.2	MPDZ	sense_intronic	protein_coding	D1JRNACXX121222:7:2111:7352:64605/1,C1EBLACXX121222:1:1110:2646:80265/1,	C1EBLACXX121222:1:2206:20181:93669,	na
chr16_88851309_-:chr16_88878064_-	inverted	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	88851340	88877981	1	0	na	ENSG00000103335.15	ENSG00000198931.6	PIEZO1	APRT	protein_coding	protein_coding	C1EBLACXX121222:6:1114:10220:95787/2,D1ELHACXX121214:6:2116:13225:2218/1,	D1JNMACXX121226:6:2116:4775:90009,	na
