"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","EWSR1:FLI1","chr22",29683123,"chr11",128651853,Inf,"6",82,TRUE,TRUE,TRUE,"Locus_1292_Transcript_110/114_Confidence_0.017_Length_3148",878,"HighConfidence","Yes"
"jaffa-direct","ADAM9:ANKFY1","chr8",38854679,"chr17",4075975,Inf,"4",31,FALSE,TRUE,TRUE,"Locus_3196_Transcript_4/19_Confidence_0.153_Length_5030",332,"HighConfidence","-"
"jaffa-direct","ADAM9:ANKFY1","chr8",38854679,"chr17",4074155,Inf,"4",3,TRUE,TRUE,TRUE,"Locus_3196_Transcript_5/19_Confidence_0.139_Length_4905",332,"HighConfidence","-"
"jaffa-direct","AC016907.3:ALK","chr2",30342634,"chr2",29940563,402.083,"0",6,FALSE,TRUE,FALSE,"Locus_6547_Transcript_1/8_Confidence_0.476_Length_3114",256,"MediumConfidence","-"
"jaffa-direct","SDF4:GLOD4","chr1",1167272,"chr17",681984,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_1155_Transcript_38/63_Confidence_0.124_Length_1807",154,"MediumConfidence","-"
"jaffa-direct","AC131097.3:AC093642.5","chr2",242824786,"chr2",243056790,232.005,"-",3,FALSE,TRUE,FALSE,"Locus_12876_Transcript_6/13_Confidence_0.059_Length_227",171,"MediumConfidence","-"
"jaffa-direct","RP11-680G10.1:GSE1","chr16",85391249,"chr16",85667520,276.274,"-",3,TRUE,TRUE,FALSE,"Locus_6044_Transcript_15/23_Confidence_0.587_Length_7554",7366,"MediumConfidence","-"
"jaffa-direct","VAX1:ATP6V1B1","chr10",118895983,"chr2",71170788,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_4289_Transcript_6/12_Confidence_0.068_Length_880",45,"MediumConfidence","-"
"jaffa-direct","DYNC2H1:BTF3","chr11",102980498,"chr5",72798313,Inf,"-",2,TRUE,TRUE,TRUE,"Locus_985_Transcript_13/14_Confidence_0.024_Length_224",112,"MediumConfidence","-"
"jaffa-direct","SCML2:CLIP4","chrX",18323092,"chr2",29344240,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_3426_Transcript_8/18_Confidence_0.114_Length_5023",91,"MediumConfidence","-"
"jaffa-direct","SFSWAP:TSTA3","chr12",132195992,"chr8",144698893,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_4272_Transcript_10/11_Confidence_0.543_Length_1543",104,"MediumConfidence","-"
"jaffa-direct","STX10:SURF1","chr19",13260387,"chr9",136221812,Inf,"0",1,TRUE,TRUE,TRUE,"Locus_3374_Transcript_13/27_Confidence_0.156_Length_3693",1039,"MediumConfidence","-"
"jaffa-direct","RPS9:CBR3-AS1","chr19",54710329,"chr21",37505105,Inf,"188",28,NA,FALSE,TRUE,"Locus_778_Transcript_4/29_Confidence_0.178_Length_729",376,"LowConfidence","-"
"jaffa-direct","ORAOV1:CORO1C","chr11",69467964,"chr12",109125268,Inf,"1",79,NA,FALSE,TRUE,"Locus_882_Transcript_152/253_Confidence_0.049_Length_13658",9860,"LowConfidence","-"
"jaffa-direct","RPL18A:AL136376.1","chr19",17972118,"chr1",116926661,Inf,"1",77,NA,FALSE,TRUE,"Locus_924_Transcript_56/117_Confidence_0.088_Length_3608",1467,"LowConfidence","-"
"jaffa-direct","HNRNPC:PPP1R9A","chr14",21679445,"chr7",94548637,Inf,"43",23,NA,FALSE,TRUE,"Locus_2072_Transcript_17/24_Confidence_0.325_Length_3911",1514,"LowConfidence","-"
"jaffa-direct","ZNF625-ZNF20:RPL17","chr19",12253401,"chr18",47017920,Inf,"5",61,NA,FALSE,TRUE,"Locus_1138_Transcript_49/70_Confidence_0.068_Length_1466",376,"LowConfidence","-"
"jaffa-direct","RPL36AL:RPL36A","chr14",50085581,"chrX",100650978,Inf,"1",15,NA,FALSE,TRUE,"Locus_808_Transcript_21/24_Confidence_0.299_Length_1138",436,"LowConfidence","-"
