"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","C10orf54:CDH23","chr10",73515116,"chr10",73199584,315.53,"2",12,FALSE,TRUE,TRUE,"Locus_6759_Transcript_8/13_Confidence_0.466_Length_4139",3359,"HighConfidence","-"
"jaffa-direct","SRSF5:KIAA0247","chr14",70233972,"chr14",70170112,63.858,"-",149,FALSE,TRUE,TRUE,"Locus_2230_Transcript_1/36_Confidence_0.027_Length_350",193,"MediumConfidence","-"
"jaffa-direct","DNAJC25:UGCG","chr9",114429226,"chr9",114676885,247.661,"0",7,FALSE,TRUE,FALSE,"Locus_1710_Transcript_27/28_Confidence_0.157_Length_3777",3447,"MediumConfidence","-"
"jaffa-direct","RAD23B:RARS","chr9",110087285,"chr5",167915607,Inf,"-",7,TRUE,TRUE,TRUE,"Locus_5305_Transcript_1/6_Confidence_0.649_Length_2123",2060,"MediumConfidence","-"
"jaffa-direct","RANBP2:NCK2","chr2",109336134,"chr2",106432887,2903.243,"-",3,FALSE,TRUE,TRUE,"Locus_2_Transcript_286/1125_Confidence_0.003_Length_2540",2448,"MediumConfidence","-"
"jaffa-direct","INPP5A:INF2","chr10",134579350,"chr14",105167694,Inf,"-",3,FALSE,TRUE,TRUE,"Locus_1063_Transcript_38/57_Confidence_0.067_Length_1386",1261,"MediumConfidence","-"
"jaffa-direct","RP11-453F18__B.1:GOLIM4","chrX",130959250,"chr3",167728206,Inf,"-",3,FALSE,TRUE,TRUE,"Locus_6468_Transcript_1/9_Confidence_0.024_Length_660",185,"MediumConfidence","-"
"jaffa-direct","CTD-2337A12.1:CAST","chr5",95715356,"chr5",96011243,295.892,"-",2,FALSE,TRUE,FALSE,"Locus_463_Transcript_10/31_Confidence_0.240_Length_4951",97,"MediumConfidence","-"
"jaffa-direct","IQGAP2:WDR73","chr5",75757494,"chr15",85196930,Inf,"0",2,TRUE,TRUE,TRUE,"Locus_6992_Transcript_10/24_Confidence_0.280_Length_2203",502,"MediumConfidence","-"
"jaffa-direct","RP11-634B7.4:TRIM58","chr1",247803731,"chr1",248023919,220.191,"-",1,FALSE,TRUE,FALSE,"Locus_14662_Transcript_3/5_Confidence_0.667_Length_1990",119,"MediumConfidence","-"
"jaffa-direct","SPRYD3:RBM42","chr12",53467255,"chr19",36119970,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_2598_Transcript_11/14_Confidence_0.341_Length_1621",53,"MediumConfidence","-"
"jaffa-direct","TUBB:TUBB2A","chr6",30691231,"chr6",3155027,27536.204,"1",245,NA,FALSE,FALSE,"Locus_408_Transcript_37/89_Confidence_0.116_Length_2297",1412,"LowConfidence","-"
"jaffa-direct","RP11-398K22.12:RPSAP58","chr6",74000719,"chr19",24010507,Inf,"87",146,NA,FALSE,TRUE,"Locus_1061_Transcript_18/33_Confidence_0.108_Length_1186",584,"LowConfidence","-"
"jaffa-direct","ACTG1:ACTB","chr17",79477413,"chr7",5567469,Inf,"5",72,NA,FALSE,TRUE,"Locus_98_Transcript_65/73_Confidence_0.211_Length_4387",960,"LowConfidence","-"
"jaffa-direct","PGAP3:GSDMB","chr17",37840850,"chr17",38062234,221.384,"3",16,NA,FALSE,TRUE,"Locus_6362_Transcript_5/5_Confidence_0.235_Length_1018",456,"LowConfidence","-"
"jaffa-direct","SAMD4B:ECH1","chr19",39873929,"chr19",39322130,551.799,"4",8,NA,FALSE,TRUE,"Locus_69_Transcript_158/300_Confidence_0.009_Length_1989",896,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387761,"chr10",51732773,345.012,"2",8,NA,FALSE,FALSE,"Locus_717_Transcript_14/17_Confidence_0.456_Length_1004",356,"LowConfidence","-"
"jaffa-direct","C15orf57:CBX3","chr15",40854975,"chr7",26241389,Inf,"1",8,NA,FALSE,TRUE,"Locus_2664_Transcript_14/27_Confidence_0.246_Length_1498",314,"LowConfidence","-"
"jaffa-direct","MAF:RP11-679B19.2","chr16",79619778,"chr16",79246798,372.98,"4",3,NA,FALSE,FALSE,"Locus_8616_Transcript_10/12_Confidence_0.118_Length_690",464,"LowConfidence","-"
"jaffa-direct","CCT6A:CCT6P1","chr7",56120148,"chr7",65216133,9095.985,"3",4,NA,FALSE,FALSE,"Locus_897_Transcript_3/27_Confidence_0.054_Length_535",229,"LowConfidence","-"
