juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr11_71159931_+:chr11_71166156_+	readthrough	0	na	4	2	2	100	1	50	2	0	0	100	100	0	0	na	na	GT	AG	71159879	71166217	1	1	6225	ENSG00000254682.1	ENSG00000172890.7	RP11-660L16.2	NADSYN1	antisense	protein_coding	C1EYGACXX121228:8:1108:15368:69230/1,C1EYGACXX121228:8:2109:8669:47938/1,	C1EPNACXX121228:5:2105:4003:61716,C1EYGACXX121228:1:2209:5950:16597,	na
chr11_63918711_-:chr11_63886249_-	readthrough	0	na	9	6	5	83.3333	4	66.6667	3	0	0	100	100	0	0	na	na	GT	AG	63918808	63886213	1	1	32462	ENSG00000133315.6	ENSG00000256341.1	MACROD1	RP11-21A7A.3	protein_coding	antisense	C19MCACXX121216:6:2202:13959:16254/2,C1EYGACXX121228:5:2314:5994:40923/2,C19U9ACXX121216:5:2212:19488:85915/2,C19MCACXX121216:6:2202:13959:16254/1,C1EKGACXX121217:4:2106:14833:60819/1,C19U9ACXX121216:4:2104:17667:64044/2,	C1EKGACXX121217:1:1214:20694:37191,C19MCACXX121216:7:1206:15513:77759,C1EYGACXX121228:8:1102:17875:79751,	na
chr7_56170560_-:chr7_56156668_-	readthrough	0	na	17	16	7	43.75	15	93.75	1	0	0	100	100	0	0	na	na	GT	AG	56170658	56156652	1	1	13892	ENSG00000106153.12	ENSG00000164776.5	CHCHD2	PHKG1	protein_coding	protein_coding	C19U9ACXX121216:5:2113:4649:31136/2,C19MCACXX121216:3:1107:6959:15777/1,C1EKGACXX121217:4:2214:20223:11327/1,C1EKGACXX121217:2:1216:6361:10142/1,C1EYGACXX121228:1:2216:3643:36846/2,C1EPNACXX121228:6:2204:4114:5502/2,C1EPNACXX121228:2:2111:10837:64929/1,C1EKGACXX121217:3:1112:16527:78952/1,C19U9ACXX121216:4:2208:17085:29288/1,C19MCACXX121216:7:1115:12977:11969/2,C19MCACXX121216:3:1313:7478:73281/2,C19U9ACXX121216:6:2307:15251:5235/1,C1EYGACXX121228:4:1103:19874:90926/2,C1EPNACXX121228:2:2216:14989:16186/1,C1EKGACXX121217:5:1207:8930:58831/2,C19MCACXX121216:4:1302:8029:91589/1,	C19MCACXX121216:1:2108:6213:38799,	na
chr7_64023303_-:chr6_84326758_-	interchromosomal	0	na	5	2	2	100	0	0	3	2	40	100	100	0	0	na	na	GT	AG	64023347	84326692	0	na	na	ENSG00000173041.7	ENSG00000065609.10	ZNF680	SNAP91	protein_coding	protein_coding	C19MCACXX121216:3:1306:15157:97980/1,C19MCACXX121216:8:2114:19200:39764/2,	C19U9ACXX121216:1:1209:8270:63221,C19U9ACXX121216:5:1104:17912:31203,C1EYGACXX121228:5:2301:2416:11606,	C1EPNACXX121228:4:1212:17985:87007,C19MCACXX121216:4:1307:17375:36470,
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	5	4	3	75	3	75	1	0	0	100	100	0	0	na	na	GT	AG	85029035	84967557	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C1EYGACXX121228:7:1311:2546:99527/1,C19MCACXX121216:3:2216:9324:58879/1,C19U9ACXX121216:3:1103:20702:31903/2,C19U9ACXX121216:6:2311:18366:90376/2,	C19U9ACXX121216:5:1309:8999:55803,	na
chr19_28283908_-:chr19_16279095_-	intrachromosomal	0	na	5	3	3	100	1	33.3333	2	1	33.3333	100	100	0	0	na	na	GT	AG	28283962	16278996	1	1	12004813	ENSG00000261824.2	ENSG00000141977.5	LINC00662	CIB3	lincRNA	protein_coding	C1EPNACXX121228:5:2108:8964:31719/1,C1EKGACXX121217:5:2312:16372:17491/1,C19MCACXX121216:1:1310:12256:24784/1,	C19MCACXX121216:8:2106:7708:57647,C19MCACXX121216:6:2114:10527:43683,	C1EYGACXX121228:7:2311:1810:6406,
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	72	67	38	56.7164	40	59.7015	5	0	0	100	100	0	177	na	na	GT	AG	51387665	51732871	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C19MCACXX121216:8:1308:12850:40692/2,C1EYGACXX121228:1:1307:8991:28984/2,C1EYGACXX121228:1:1307:8991:28984/2,C1EYGACXX121228:5:2214:7444:98855/2,C1EPNACXX121228:4:2102:3619:40018/1,C19U9ACXX121216:2:2110:16151:36976/2,C1EKGACXX121217:6:2107:16931:27770/1,C19U9ACXX121216:7:1102:3956:73439/2,C1EYGACXX121228:3:2207:13239:19491/1,C1EPNACXX121228:6:1110:1767:66397/1,C19U9ACXX121216:3:2309:7103:98904/1,C1EYGACXX121228:2:1301:3715:4067/1,C1EPNACXX121228:8:2116:1930:45589/1,C1EPNACXX121228:7:1103:4311:11450/1,C1EKGACXX121217:4:2114:15019:50413/1,C19U9ACXX121216:7:2201:3966:14206/1,C19MCACXX121216:1:2103:19930:31331/2,C1EYGACXX121228:7:1312:8324:57203/1,C19MCACXX121216:7:1107:15107:46049/1,C1EKGACXX121217:8:1107:5597:44754/2,C1EPNACXX121228:4:1116:20163:27256/2,C1EYGACXX121228:2:2206:6685:15211/2,C19MCACXX121216:7:1214:3796:20214/1,C1EKGACXX121217:6:1215:3872:55026/1,C1EYGACXX121228:7:2308:11684:45633/2,C1EPNACXX121228:8:1302:7681:3789/1,C1EPNACXX121228:6:1211:17646:92883/2,C1EPNACXX121228:3:2107:15908:98335/1,C19U9ACXX121216:8:2101:4355:40738/1,C19U9ACXX121216:1:2102:17187:10657/2,C1EPNACXX121228:5:1214:18109:91067/2,C1EPNACXX121228:6:1314:7616:66455/1,C19U9ACXX121216:2:1107:1498:92904/2,C19MCACXX121216:4:1313:15256:34843/1,C1EPNACXX121228:4:1116:20163:27256/1,C1EYGACXX121228:1:2304:15919:26298/2,C1EPNACXX121228:6:1110:1767:66397/2,C19U9ACXX121216:3:2309:7103:98904/2,C19U9ACXX121216:2:1101:5050:40946/2,C19MCACXX121216:3:1313:15271:65487/1,C19U9ACXX121216:7:1311:11312:47929/1,C19U9ACXX121216:7:1311:11312:47929/1,C1EKGACXX121217:6:2316:6371:38213/2,C19U9ACXX121216:4:2111:16929:13186/1,C1EYGACXX121228:6:1306:17910:51128/2,C19MCACXX121216:1:1312:6794:29546/2,C19MCACXX121216:8:2108:6539:65704/1,C19MCACXX121216:5:1113:1573:48784/1,C1EPNACXX121228:1:1205:2317:25678/1,C19U9ACXX121216:4:2111:16929:13186/2,C19MCACXX121216:7:1107:15107:46049/2,C19MCACXX121216:1:1210:11518:75039/2,C19U9ACXX121216:8:2205:16030:68444/2,C19U9ACXX121216:2:2110:16151:36976/1,C1EPNACXX121228:6:2112:2053:50544/1,C1EYGACXX121228:6:1306:17910:51128/1,C1EKGACXX121217:3:1206:4394:7551/2,C19U9ACXX121216:5:2114:2752:64779/2,C19U9ACXX121216:5:2114:2752:64779/1,C1EKGACXX121217:6:2316:6371:38213/1,C19U9ACXX121216:8:2205:16030:68444/1,C19U9ACXX121216:2:2213:7575:25362/2,C19MCACXX121216:6:1106:16391:72376/1,C1EPNACXX121228:1:1205:2317:25678/2,C1EPNACXX121228:4:2102:3619:40018/2,C1EYGACXX121228:4:2204:9788:70116/1,C1EPNACXX121228:1:1110:9233:73059/2,	C19U9ACXX121216:2:2311:2300:54379,C1EKGACXX121217:3:2211:17707:70239,C19U9ACXX121216:1:1310:11151:4604,C19MCACXX121216:4:2105:19367:27684,C1EPNACXX121228:2:2208:15655:44004,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	22	21	9	42.8571	14	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	10269182	10282059	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	C1EPNACXX121228:6:2304:17871:68763/2,C1EPNACXX121228:6:2304:17871:68763/2,C1EKGACXX121217:5:2308:16588:73616/2,C19U9ACXX121216:7:2316:17131:37734/2,C19U9ACXX121216:3:1213:4632:51275/2,C19U9ACXX121216:3:1213:4632:51275/2,C19U9ACXX121216:3:1213:4632:51275/2,C19U9ACXX121216:3:1213:4632:51275/2,C19U9ACXX121216:3:1213:4632:51275/2,C19U9ACXX121216:3:1213:4632:51275/2,C1EKGACXX121217:8:1306:11240:82229/1,C1EKGACXX121217:8:1306:11240:82229/1,C1EPNACXX121228:7:1214:19336:40212/2,C1EKGACXX121217:7:1203:12257:66736/1,C19U9ACXX121216:4:1105:16686:20799/1,C1EYGACXX121228:6:1208:18871:5903/1,C1EPNACXX121228:1:2208:19693:71715/1,C1EKGACXX121217:2:2314:8589:32377/2,C19U9ACXX121216:8:2108:20841:18252/2,C1EYGACXX121228:4:2304:12763:4773/2,C19U9ACXX121216:8:2216:6588:79834/2,	C1EKGACXX121217:5:2111:20506:43669,	na
chr10_34985246_-:chr8_38826110_+	interchromosomal	0	na	13	11	10	90.9091	10	90.9091	2	0	0	100	100	0	0	na	na	GT	AG	34985329	38826185	0	na	na	ENSG00000148498.11	ENSG00000169499.10	PARD3	PLEKHA2	protein_coding	protein_coding	C1EPNACXX121228:8:1309:9522:68225/2,C19U9ACXX121216:8:1116:16415:99402/2,C1EPNACXX121228:8:1214:6871:42748/1,C19MCACXX121216:3:2314:17888:58906/2,C19U9ACXX121216:3:2204:16858:46514/2,C1EPNACXX121228:7:1103:15102:23966/1,C19MCACXX121216:3:1205:5386:71561/1,C19U9ACXX121216:4:1101:4524:68484/1,C19MCACXX121216:6:2107:20326:40751/2,C1EPNACXX121228:7:1103:15102:23966/2,C1EPNACXX121228:8:1309:9522:68225/1,	C1EKGACXX121217:8:1311:18479:8203,C1EPNACXX121228:7:2316:4283:57118,	na
chr6_42176596_-:chr6_42156469_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	42176653	42156391	1	1	20127	ENSG00000048544.5	ENSG00000112599.8	MRPS10	GUCA1B	protein_coding	protein_coding	C1EKGACXX121217:8:1101:16546:69701/1,C1EKGACXX121217:8:1101:16546:69701/2,	C1EKGACXX121217:7:2301:2670:42556,	na
