#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
67285	15	82821977	[82821977,82821981]	15	83208854	[83208337,83208854]	1	1251	RPS17	RP11-152F13.10;RPS17L	intra-chromosomal
26944	10	70482334	[70482212,70482335]	19	59082800	[59082361,59082800]	40	19	CCAR1	MZF1	inter-chromosomal
82176	17	1579593	[1579591,1579665]	17	1451681	[1451590,1451683]	34	10	PRPF8	PITPNA	intra-chromosomal
58291	17	45247283	[45247281,45247408]	14	67555700	[67555699,67555792]	28	9	CDC27;RP5-867C24.5	GPHN	inter-chromosomal
88557	7	128141022	[128140928,128141022]	17	60512217	[60512217,60512339]	1	20	METTL2B	METTL2A	inter-chromosomal
63445	15	40854971	[40854970,40855226]	7	26241385	[26241380,26241446]	6	11	C15orf57	CBX3	inter-chromosomal
146122	8	145730348	[145730347,145730645]	8	145627066	[145626824,145627066]	7	7	CTD-2517M22.14;GPT	CPSF1	intra-chromosomal
137023	7	30329545	[30329453,30329547]	7	29690955	[29690865,29690955]	19	0	MIR550A1	AC007255.7	intra-chromosomal
46283	12	57066524	[57066523,57066590]	12	57033976	[57033891,57033976]	17	0	PTGES3	ATP5B	readthrough-adjacent
106678	20	29632721	[29632630,29632722]	2	170361515	[170361513,170361550]	17	0	FRG1B	BBS5	inter-chromosomal
36993	11	69062043	[69061840,69062040]	14	106329408	[106329408,106329601]	10	2	MYEOV	IGHJ6	inter-chromosomal
142202	7	102307537	[102307536,102307599]	7	102150739	[102150702,102150740]	1	6	POLR2J2	RASA4B	readthrough-intersecting
101379	2	69732701	[69732701,69732795]	2	69693684	[69693594,69693684]	11	0	AAK1	AC114772.1	readthrough-intersecting
58292	17	45258928	[45258928,45259004]	14	67555700	[67555698,67555792]	6	2	CDC27	GPHN	inter-chromosomal
43903	12	31478770	[31478770,31478841]	12	31451158	[31451081,31451159]	9	0	AC024940.1	FAM60A	readthrough-intersecting
127666	5	19142163	[19142163,19142309]	5	19036142	[19036007,19036141]	1	4	RP11-124N3.3	RP11-124N3.2	readthrough-intersecting
113289	21	30702014	[30701945,30702015]	21	30723955	[30723954,30724039]	8	0	BACH1	BACH1-IT1	readthrough-intersecting
55921	14	24761402	[24761402,24761466]	14	24740517	[24740436,24740517]	7	0	DHRS1	RABGGTA	readthrough-adjacent
128234	5	36877280	[36877188,36877280]	5	37379587	[37379587,37379656]	7	0	NIPBL	WDR70	intra-chromosomal
35645	11	65063461	[65063372,65063461]	11	65088015	[65088013,65088077]	7	0	POLA2	CDC42EP2	readthrough-adjacent
118980	7	148701266	[148701119,148701266]	3	56680738	[56680550,56680738]	1	3	PDIA4	FAM208A	inter-chromosomal
97092	19	42659859	[42659856,42659949]	19	42637180	[42637117,42637181]	6	0	CTC-378H22.2	CTC-378H22.1	readthrough-intersecting
71189	16	9010917	[9010917,9011059]	16	8906963	[8906850,8906965]	4	1	USP7	PMM2	intra-chromosomal
129759	5	77753774	[77753674,77753774]	6	109575651	[109575648,109575801]	4	1	SCAMP1	C6orf183	inter-chromosomal
51229	12	132625382	[132625382,132625468]	12	132528057	[132527987,132528058]	6	0	DDX51	EP400	intra-chromosomal
147087	9	37126939	[37126897,37126940]	9	37160059	[37160059,37160145]	5	0	ZCCHC7	Y_RNA	readthrough-intersecting
