juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr9_21854869_+:chr9_22046750_+	intrachromosomal	0	na	6	5	4	80	1	20	1	1	50	100	100	0	0	na	na	GT	AG	21854781	22046823	1	1	191881	ENSG00000099810.14	ENSG00000240498.2	MTAP	CDKN2B-AS1	protein_coding	antisense	D1EDCACXX121128:6:2107:4636:28502/2,C19KCACXX121210:7:2112:12022:61369/1,C19KCACXX121210:6:2209:8427:8917/2,D1EDCACXX121128:2:2116:14460:84756/2,D1JPNACXX121217:6:2208:16957:36127/1,	C19C7ACXX121128:4:2102:10244:99066,	C19KCACXX121210:5:1213:6466:74566,
chr1_100483371_+:chr1_100515465_+	readthrough	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	100483312	100515532	1	1	32094	ENSG00000117620.8	ENSG00000156875.9	SLC35A3	HIAT1	protein_coding	protein_coding	C19U6ACXX121211:6:1309:20896:35367/1,D1JPNACXX121217:6:1105:14078:85703/1,C19U6ACXX121211:6:1309:20896:35367/2,	D1JPNACXX121217:6:1208:5158:15747,	na
chr11_122051044_-:chr11_121987031_-	readthrough	0	na	4	3	2	66.6667	2	66.6667	1	3	75	100	100	0	0	na	na	GT	AG	122051084	121986963	1	1	64013	ENSG00000255090.1	ENSG00000255248.2	RP11-820L6.1	RP11-166D19.1	processed_transcript	sense_overlapping	D1EDCACXX121128:4:1101:18427:90839/2,D1EDCACXX121128:4:1101:18427:90839/2,D1EDCACXX121128:5:1115:6743:12713/2,	C19C7ACXX121128:8:2202:17624:31246,	D1JPNACXX121217:2:2302:14125:49964,C19KCACXX121210:8:2209:13993:69022,C19U6ACXX121211:1:2315:10604:16027,
chr1_156219360_-:chr1_156216547_-	readthrough	0	na	10	6	6	100	3	50	4	0	0	100	100	345	0	na	na	GT	AG	156219458	156216489	1	1	2813	ENSG00000198952.7	ENSG00000160781.11	SMG5	PAQR6	protein_coding	protein_coding	C19KCACXX121210:7:1312:1102:24657/1,D1JPNACXX121217:5:1205:16461:31594/2,D1JPNACXX121217:5:2208:4065:32192/1,C19U6ACXX121211:1:2307:3784:70879/1,D1JPNACXX121217:5:1109:3303:64659/1,C19KCACXX121210:7:1312:1102:24657/1,	D1JPNACXX121217:2:1103:19423:44210,D1JPNACXX121217:3:2306:14023:55898,D1EDCACXX121128:4:1208:14814:92354,C19U6ACXX121211:1:1308:16364:13754,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	41	36	25	69.4444	18	50	5	0	0	100	100	0	177	na	na	GT	AG	51387665	51732871	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C19U6ACXX121211:2:2107:9004:91907/2,C19C7ACXX121128:4:2310:12094:96831/2,C19C7ACXX121128:3:2207:15768:15054/1,D1EDCACXX121128:2:2213:9041:60385/1,C19C7ACXX121128:1:1311:18775:19590/1,C19C7ACXX121128:1:1310:19430:51987/2,D1EDCACXX121128:5:1210:14521:82066/1,D1EDCACXX121128:5:1309:11973:60070/2,D1EDCACXX121128:5:1309:11973:60070/2,D1JPNACXX121217:1:2110:6697:45109/2,C19KCACXX121210:6:1302:18099:3341/2,D1EDCACXX121128:2:2115:3275:50809/1,D1EDCACXX121128:4:2311:3746:50406/1,D1EDCACXX121128:4:2311:3746:50406/1,C19C7ACXX121128:8:2314:16058:33387/2,C19C7ACXX121128:8:2314:16058:33387/2,C19C7ACXX121128:8:2314:16058:33387/2,C19KCACXX121210:4:2103:13726:12717/2,C19KCACXX121210:6:1113:16683:96809/2,C19U6ACXX121211:2:1208:19478:23623/2,C19C7ACXX121128:1:2305:14488:51136/2,D1JPNACXX121217:8:1313:9690:36834/2,C19KCACXX121210:6:1113:16683:96809/1,C19KCACXX121210:3:2313:16325:85519/1,D1JPNACXX121217:3:1207:16612:50628/2,C19KCACXX121210:8:1106:15548:14253/2,C19C7ACXX121128:6:2214:15316:98331/1,C19KCACXX121210:3:1206:20547:17155/2,C19U6ACXX121211:2:2215:15367:8494/2,C19KCACXX121210:3:1206:20547:17155/1,C19C7ACXX121128:4:2114:3600:36314/1,C19U6ACXX121211:1:1115:4517:5938/1,C19C7ACXX121128:6:1212:6850:2218/2,D1JPNACXX121217:8:2310:3793:8129/1,C19KCACXX121210:3:2215:14880:70588/1,C19C7ACXX121128:7:2301:7521:26425/2,	C19U6ACXX121211:6:2102:17641:48561,C19C7ACXX121128:5:2307:14938:87118,C19U6ACXX121211:4:1101:14020:54921,C19C7ACXX121128:6:2314:1646:65034,C19KCACXX121210:7:2215:4358:70107,	na
chr9_120466843_+:chr9_120610343_+	intrachromosomal	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	120466748	120610416	1	1	143500	ENSG00000136869.13	ENSG00000228512.2	TLR4	RP11-281A20.2	protein_coding	lincRNA	C19C7ACXX121128:1:2103:3786:55924/2,D1JPNACXX121217:2:1115:11558:38134/1,	C19U6ACXX121211:4:2306:13901:92009,	na
chr19_35802920_+:chr19_35820092_+	readthrough	0	na	10	8	7	87.5	3	37.5	2	1	33.3333	100	100	0	0	na	na	GT	AG	35802821	35820127	1	1	17172	ENSG00000105695.10	ENSG00000012124.10	MAG	CD22	protein_coding	protein_coding	C19KCACXX121210:4:1101:7785:79003/2,C19KCACXX121210:3:2314:16863:7672/1,C19KCACXX121210:8:1207:19762:56234/1,C19KCACXX121210:4:1211:1190:75259/2,D1EDCACXX121128:4:1303:3973:58257/1,C19U6ACXX121211:3:1103:13521:42556/2,C19U6ACXX121211:5:2208:5608:50975/2,D1EDCACXX121128:4:1303:3973:58257/1,	C19C7ACXX121128:7:1209:14985:68172,C19KCACXX121210:7:1207:16644:86393,	C19C7ACXX121128:3:1212:19908:93903,
chr17_37682569_+:chr17_43006392_-	interstrand	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	37682506	43006321	0	na	na	ENSG00000167258.9	ENSG00000186185.9	CDK12	KIF18B	protein_coding	protein_coding	C19U6ACXX121211:5:1208:18541:19434/2,C19C7ACXX121128:2:1116:11315:80147/1,C19C7ACXX121128:2:1116:11315:80147/2,	C19KCACXX121210:3:1207:10650:10553,	na
chr3_145788829_-:chr3_145784472_-	readthrough	0	na	8	7	7	100	1	14.2857	1	1	50	100	100	0	0	na	na	GT	AG	145788917	145784383	1	1	4357	ENSG00000152952.7	ENSG00000240032.1	PLOD2	RP11-274H2.3	protein_coding	antisense	C19U6ACXX121211:4:2312:19570:6220/1,C19C7ACXX121128:1:1312:5385:13639/1,C19C7ACXX121128:6:2105:7120:39715/1,C19U6ACXX121211:4:2312:19570:6220/2,D1JPNACXX121217:5:1305:18074:15879/2,C19C7ACXX121128:4:2210:10358:61497/1,D1JPNACXX121217:7:2212:14130:69729/1,	C19U6ACXX121211:1:1206:2376:33243,	D1JPNACXX121217:4:2205:20582:59471,
chr9_22723429_+:chr9_22767174_+	readthrough	0	na	7	6	5	83.3333	0	0	1	1	50	100	100	0	0	na	na	GT	AG	22723350	22767256	1	1	43745	ENSG00000234840.1	ENSG00000224549.1	RP11-399D6.2	RP11-370B11.3	lincRNA	lincRNA	C19C7ACXX121128:8:2305:16388:71330/1,C19U6ACXX121211:7:1303:9975:28030/1,D1JPNACXX121217:8:2211:18612:52119/1,C19U6ACXX121211:2:1312:18987:4028/2,C19U6ACXX121211:2:2211:3526:77932/1,C19C7ACXX121128:1:2302:4293:34183/2,	D1JPNACXX121217:6:1102:9072:69292,	C19U6ACXX121211:5:1103:7340:75420,
