#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
57038	17	28256956	[28256955,28257172]	19	1218416	[1218415,1218499]	28	15	EFCAB5;SSH2	STK11	inter-chromosomal
57033	17	28175867	[28175866,28175947]	19	1218416	[1218416,1218499]	12	3	SSH2	STK11	inter-chromosomal
97944	X	9622362	[9622255,9622363]	X	10058811	[10058809,10058940]	5	6	TBL1X	WWC3	intra-chromosomal
43291	15	81980751	[81980751,81980854]	15	82554955	[82554955,82555074]	8	3	CTD-2034I4.2	EFTUD1	intra-chromosomal
89341	6	166399596	[166399596,166399662]	6	166324420	[166324335,166324422]	8	0	RP11-252P19.3	LINC00473	readthrough-intersecting
55684	7	135661937	[135661813,135661937]	17	1424924	[1424873,1424924]	1	3	MTPN	PITPNA	inter-chromosomal
64129	19	40325098	[40325098,40325202]	9	35711445	[35711445,35711727]	1	3	FBL	TLN1	inter-chromosomal
16139	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356414]	6	0	C1orf95	MUM1	inter-chromosomal
86690	5	151126015	[151125875,151126015]	6	160113928	[160113693,160113928]	2	2	ATOX1	SOD2	inter-chromosomal
14229	1	180953813	[180953813,180953907]	1	180920054	[180919967,180920055]	6	0	STX6	KIAA1614;RP11-46A10.4	readthrough-intersecting
77926	3	52325127	[52325053,52325127]	3	52350468	[52350468,52350558]	5	0	GLYCTK	DNAH1	readthrough-adjacent
27350	11	120930794	[120930718,120930795]	11	120973374	[120973371,120973420]	4	0	TBCEL	TECTA	readthrough-adjacent
24995	11	63918711	[63918710,63918791]	11	63886249	[63886175,63886254]	4	0	MACROD1	FLRT1;RP11-21A7A.3	readthrough-intersecting
67131	2	69732701	[69732701,69732769]	2	69693684	[69693606,69693684]	4	0	AAK1	AC114772.1	readthrough-intersecting
